RESISTOR_0,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft17,ft21,ft23,ft8,gm0,gm10,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2.76,0.18,2,4.33,10,13,1.95,6.61,14,0.22,8.4,11,2.82,10,5,3.26,5.2,20,0.22,7.4,1,5.46,2,26,0.451076830769222,0.514492945059944,0.451076830769222,0.569809497806019,0.823199484532229,0.451076830769222,3188177.33599025,1943843779.69206,3538456.5975306,45935725.5279105,23717727.6630573,3538456.5975306,0.00015126069568011,0.000107448586433912,8.21892477460717e-05,4.44363058877514e-05,0.000253156916233053,8.21892477460717e-05,-9,5,4,-11,5,3,37.8458311292007,1.58620971986223,10.1648661662813,2.59204087240172,37.9787440698033,29868.8705263585,112.82056727388,0.185884692995442,-80.0506179,135.548973017782,191407.9,0.000110766714004,0.000380036434121025,78.70623,0.185884692995442,3.82540284137423e-05,0.00420456740386532,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,2
2.76,0.231,6,4.33,10,13,3.01,6.61,14,0.22,8.4,11,2.82,10,5,3.26,5.2,20,0.22,7.4,1,5.46,3,50,0.451076830769222,0.471871876731524,0.451076830769222,0.57017505005472,0.736109084726374,0.451076830769222,3189332.68628728,665352435.031369,3538456.5975306,46009680.5322842,19429129.7904159,3538456.5975306,0.00015130523073286,0.000121747730879967,8.21892477460717e-05,4.45162585546887e-05,0.000315174556310665,8.21892477460717e-05,-9,5,4,-5,5,3,35.5518621297822,16.8275612418002,10.1237626355688,2.58155947207003,35.5381322045877,316935.531825108,113.449208811697,0.242788575980795,-80.1232641,137.629994320818,190674.1,0.000110790068210461,0.000298855789787421,78.82741,0.242788575980795,5.51814885975266e-05,0.00548519545101489,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,2
5,2.35,7,4.88,5.68,20,1.83,9.79,1,2.76,4.98,16,3.18,9.8,1,1,7.54,1,3.31,6.98,1,1.96,3,63,0.668461706569159,0.531676694817906,0.668461706569159,0.653292342295685,0.625629808267264,0.668461706569159,10146793.9628658,17650951.6147738,11192658.5729449,22451981.3856796,31105554.4224351,11192658.5729449,3.45130868526435e-05,4.15288634556758e-05,1.85999861815921e-05,2.18632050893252e-05,0.000245696833441522,1.85999861815921e-05,-8,15,-15,-4,-5,15,50.2931820528279,3.51897073915,19.4542602996887,4.96083637642061,50.3946278777546,24063.5482066972,105.844219492611,0.0159446716877806,-85.8297528,137.120841811306,133032.8,4.02249106518568e-05,0.00103944965509588,83.50878,2.1936671148962e-06,3.20717798488968e-06,0.000439979466434926,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,0
5,4.32,20,1.11,6.05,20,2.31,10,5,0.762,10,12,1.39,4.69,13,4.27,10,1,2.06,10,7.95,3.41,1,17,0.436639224073928,0.624640990625323,0.436639224073928,0.811983876039379,0.65579503099522,0.436639224073928,3674017.86716302,11593686.2701491,4003817.89731525,25278124.481562,34256375.683174,4003817.89731525,0.000168744013994077,4.13555654596908e-05,9.07033014511621e-05,2.1256571261478e-05,0.000373827872416561,9.07033014511621e-05,-9,12,-5,-3,9,-15,35.8786015251858,6.86500032007699,8.69505446934996,2.21723888968424,35.7218920991261,80682.9472065974,152.38817965971,0.0120142040704149,-88.8830712,136.468822752583,102191.2,6.91340931792107e-05,0.00010690810616373,73.89736,2.80965058671589e-06,1.9443017022352e-05,0.00392576615768647,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,2
1.26,7.96,14,5,2.56,18,1.63,5.7,11,0.22,4.49,1,3.53,7.77,12,3.2,1.41,10,3.44,7.79,9.28,1.75,3,59,0.439205678351599,0.539729614504498,0.439205678351599,0.452372597752366,0.58762976121886,0.439205678351599,1706793.17699451,1889484.72181022,1681102.7620973,45304561.0004454,98999333.2244474,1681102.7620973,9.1769845721504e-05,3.28892486693087e-05,4.53375219769715e-05,4.74777239491198e-05,0.000269118470248573,4.53375219769715e-05,-2,12,4,-1,-15,1,38.939507324919,24.1329142169404,26.5294036850965,6.7649979396996,38.9182387757397,147003.679754875,146.859831131593,0.0112642352802245,-89.6626797,136.38277671126,161601.7,3.58318734404173e-05,0.000102120733427678,41.97216,3.9521442273989e-06,1.48933234946425e-05,0.00182638046555705,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,2
1.89,0.37,1,3.23,7.55,13,0.55,5.32,14,4.05,10,11,3.85,4.36,5,4.59,10,6,2.28,10,1.07,5.46,3,21,0.347354280993688,0.488377082132235,0.347354280993688,0.547529431999324,1.17507956529389,0.347354280993688,9490733.42405183,1326821666.84283,8070614.61318702,8632524.67378831,52879034.5253897,8070614.61318702,0.000209251787073889,6.13115625986616e-05,9.28076076753846e-05,4.62643881062599e-05,0.00012660107361209,9.28076076753846e-05,-9,5,10,-5,8,6,102.569767126018,104.916264322253,40.9543252287646,10.443352933335,101.918708616607,1991170.58541636,130.710288806964,0.308595807815765,-22.0514184,156.101413136817,777258.4,0.000111639203179518,0.000109613521274547,58.08624,0.308595807815765,6.24858292319619e-08,2.91668613721097e-05,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,2
2.06,0.18,20,2.57,3.57,17,3.43,10,8,3,4.67,11,3.69,1.55,20,2.89,4.73,18,0.89,8.14,1.81,7.75,5,56,0.444258264592417,0.536719114239442,0.444258264592417,0.607056432255436,0.666285063580137,0.444258264592417,29218295.6468897,677874106.308987,27900711.419944,37094952.8360769,101433269.727371,27900711.419944,0.00044450622582929,0.000211449216726428,0.000213729698232387,0.000103372668051986,0.000840519385861822,0.000213729698232387,-8,0,-2,-4,-11,0,43.4080330049245,86.4428963577957,27.0229488694489,6.89085196170947,43.4235551319346,2347791.97190921,117.636687729636,0.340457861371929,-26.3395242,147.919866561732,733944.2,0.000159764903689338,0.000174421159008216,75.1367,0.340457861371929,8.19609015852096e-06,0.00084408474475528,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,0
2.32,0.18,15,0.22,2.58,3,3.59,0.18,1,3.56,8.01,15,4.15,3.68,1,1.56,8.08,4,1.17,10,2.46,2.38,5,63,0.4665691259017,0.307196106898826,0.4665691259017,0.558751432977419,0.607255439375905,0.4665691259017,37325169.9959705,1994283444.53218,30712348.129081,13571201.881786,153489309.540312,30712348.129081,6.21896128234684e-05,4.54778602808969e-05,2.69664238413416e-05,2.0265328619664e-05,0.000176561350476947,2.69664238413416e-05,2,-8,1,-3,10,0,110.644316814369,9.58828145109568,86.4181953068766,22.0366398032535,105.989202084149,79650.0150707623,133.097695697559,0.00689196528614554,-27.9301374,159.28425548018,717877.4,4.88648046895524e-05,0.000381488101859288,57.82181,3.03710873196354e-06,4.73392073813139e-07,2.20745778327647e-05,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,2
3.7,5.51,7,4.88,4.79,14,1.83,6.49,11,1.73,5,16,3.18,9.8,1,0.92,7.54,1,1.89,4.33,1,1.96,1,8,0.590419392733114,0.430134458794087,0.590419392733114,0.646819761839395,0.547757139680418,0.590419392733114,10424735.9594406,4406945.48868434,8791305.13357809,21456052.5126357,36293787.1667921,8791305.13357809,3.05657485846069e-05,2.58797341682292e-05,1.36141607482788e-05,1.26416960215204e-05,0.000175115808807341,1.36141607482788e-05,-2,13,-8,-4,-5,10,97.3299243839133,31.9612243356561,92.7679241934305,23.6558206693248,103.945180045705,218719.545161974,92.2368364591935,0.00695909024838651,-38.5336127,159.358016445882,634836.7,4.0254576804212e-05,0.000478871442177496,43.91707,2.15242967656522e-06,1.74077585026744e-07,3.8858063761249e-05,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,0
2.32,0.18,8,1.38,8.56,3,3.59,0.82,1,3.56,7.68,15,4.57,3.68,1,1.56,8.08,4,1.17,10,2.37,2.38,1,8,0.466661435609905,0.29043421712304,0.466661435609905,0.558035772724305,0.81359170586701,0.466661435609905,37320185.532385,699863976.508407,30728975.5186709,13531018.8367336,25718542.6410258,30728975.5186709,6.22145022915777e-05,4.86802960055188e-05,2.69854054296781e-05,2.01946450964026e-05,0.000100909945330338,2.69854054296781e-05,-2,-8,1,-3,9,-1,104.365323159327,9.79110751444476,54.5508484207582,13.9104663472933,100.442167668571,81366.4636168974,133.828521623756,0.0942766523844438,-54.1202607,154.823164934662,453330.7,4.88837708976099e-05,0.000229798594691164,58.54234,0.00435897302848742,6.1266463298737e-08,2.15235794552848e-05,"Leung_NMCNR_Pin_3",180,1.8,0.8,10,2
