CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,VDS0,VDS17,VDS5,VDS8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,gmid_offset0,gmid_offset17,gmid_offset5,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
18,10,1,2,10,1,2,10,1,2,2,20,10,24,0,2.86745281244623,4.26379229444442,1.83379916238966,0.0658691544631962,43657277.350011,5873842.19686436,31752268.6537182,71411439.1832767,1.09921534309043e-05,2.09838898513521e-06,7.93334382937285e-06,0.000277473162129561,-15,-15,15,15,108.087033717259,7769.16587778979,3.20584041813608,216.394228224186,65.8359515377557,36622171578.2422,33.7638860322683,0.000957833634285898,444.100000000002,66.6554729254906,15111640,0.000104750760618792,0.00011335254073261,55.92617,6.1546016821097e-08,9.8994269406516e-07,0.00101609589657192,Cascode_Null_Pin_1,180,5,2,0.1,0
18,10,1,2,10,1,2,10,1,2,2,20,10,25,1,2.86745281244623,4.26379229444442,1.83379916238966,0.0658691544631962,43657277.350011,5873842.19686436,31752268.6537182,71411439.1832767,1.09921534309043e-05,2.09838898513521e-06,7.93334382937285e-06,0.000277473162129561,-15,-15,12,15,108.087033717259,7769.16587759008,3.20584041813608,216.394228224186,65.8359515377557,36622171577.3008,33.7638860322683,0.000957107951055606,443.800000000002,66.6554729254906,15111640,0.000104750760618792,0.00011335254073261,55.92617,6.15555450530873e-08,9.8994269406516e-07,0.00101609589657192,Cascode_Null_Pin_1,180,5,2,0.1,0
18,10,1,2,10,1,2,10,1,2,2,20,10,26,2,2.86745281244623,4.26379229444442,1.83379916238966,0.0658691544631962,43657277.350011,5873842.19686436,31752268.6537182,71411439.1832767,1.09921534309043e-05,2.09838898513521e-06,7.93334382937285e-06,0.000277473162129561,-15,-15,15,15,108.087033717259,7769.16587725861,3.20584041813608,216.394228224186,65.8359515377557,36622171575.7383,33.7638860322683,0.000957105904439385,435.100000000002,66.6554729254906,15111640,0.000104750760618792,0.00011335254073261,55.92617,6.15555261203153e-08,9.8994269406516e-07,0.00101609589657192,Cascode_Null_Pin_1,180,5,2,0.1,0
18,10,1,2,10,1,2,10,1,2,2,20,10,26,3,2.86745281244623,4.26379229444442,1.83379916238966,0.0658691544631962,43657277.350011,5873842.19686436,31752268.6537182,71411439.1832767,1.09921534309043e-05,2.09838898513521e-06,7.93334382937285e-06,0.000277473162129561,-15,-15,12,15,108.087033717259,7769.16587745832,3.20584041813608,216.394228224186,65.8359515377557,36622171576.6797,33.7638860322683,0.000957109146419136,431.500000000002,66.6554729254906,15111640,0.000104750760618792,0.00011335254073261,55.92617,6.1555553059812e-08,9.8994269406516e-07,0.00101609589657192,Cascode_Null_Pin_1,180,5,2,0.1,0
18,10,1,2,10,1,2,10,1,2,2,20,10,26,4,2.86745281244623,4.26379229444442,1.83379916238966,0.0658691544631962,43657277.350011,5873842.19686436,31752268.6537182,71411439.1832767,1.09921534309043e-05,2.09838898513521e-06,7.93334382937285e-06,0.000277473162129561,9,-5,15,15,108.087033717259,7769.16587728181,3.20584041813608,216.394228224186,65.8359515377557,36622171575.8477,33.7638860322683,0.000957912188090234,427.900000000002,66.6554729254906,15111640,0.000104750760618792,0.00011335254073261,55.92617,6.15555846476628e-08,9.8994269406516e-07,0.00101609589657192,Cascode_Null_Pin_1,180,5,2,0.1,0
28,10,1,2,10,1,3,10,1,3,2,20,10,22,12,3.68633922555566,3.95014127729241,1.80285372891669,0.0963308860653012,51468517.4538882,6725317.51156883,31275593.8812245,91299181.9133665,1.30068402592553e-05,3.58400048207345e-06,1.16734776500871e-05,0.000374395091957561,-15,-10,15,15,91.3317084998846,4703.13093439449,2.67459817187211,180.535376601368,65.7423612685626,34057260785.6992,35.0713558335004,0.00108855643523713,401.400000000002,66.5809572353321,19367840,0.000160920039866468,0.000113530601835472,53.28232,4.90611413019135e-08,1.2299322636844e-06,0.00105358849107784,Cascode_Null_Pin_1,180,5,2,0.1,0
18,10,1,2,10,1,2,10,1,2,2,20,10,28,8,2.86745281244623,4.26379229444442,1.83379916238966,0.0658691544631962,43657277.350011,5873842.19686436,31752268.6537182,71411439.1832767,1.09921534309043e-05,2.09838898513521e-06,7.93334382937285e-06,0.000277473162129561,-15,-15,12,15,108.087033717259,7769.16587726275,3.20584041813608,216.394228224186,65.8359515377557,36622171575.7578,33.7638860322683,0.000957947860785668,401.400000000002,66.6554729254906,15111640,0.000104750760618792,0.00011335254073261,55.92617,6.1555620583598e-08,9.8994269406516e-07,0.00101609589657192,Cascode_Null_Pin_1,180,5,2,0.1,0
18,10,1,2,10,1,2,10,1,2,2,20,10,29,14,2.86745281244623,4.26379229444442,1.83379916238966,0.0658691544631962,43657277.350011,5873842.19686436,31752268.6537182,71411439.1832767,1.09921534309043e-05,2.09838898513521e-06,7.93334382937285e-06,0.000277473162129561,-15,-15,15,9,108.087033717259,7769.16587725446,3.20584041813608,216.394228224186,65.8359515377557,36622171575.7188,33.7638860322683,0.00095710516167705,389.500000000001,66.6554729254906,15111640,0.000104750760618792,0.00011335254073261,55.92617,6.15555213046145e-08,9.8994269406516e-07,0.00101609589657192,Cascode_Null_Pin_1,180,5,2,0.1,0
17,10,1,2,10,1,2,10,1,2,2,20,10,28,15,2.77683335964983,4.28876116557442,1.8031862896752,0.0621388863512782,42718020.1610105,5522800.65128571,31352748.8191201,69102607.8735224,1.07502299764e-05,1.97311219972753e-06,7.8310355345085e-06,0.000266418404838051,-15,-15,15,15,109.955801413969,8191.80321292221,3.2489270838282,219.302578158404,65.3794639964851,36641353719.3398,33.7638860322683,0.000983085571661946,385.300000000001,66.5970658744825,14532220,9.93984210448038e-05,0.000115213104959264,56.42891,6.18687302838205e-08,1.09522138606488e-06,0.00107254232858711,Cascode_Null_Pin_1,180,5,2,0.1,0
28,10,1,2,10,1,3,10,1,3,2,20,10,24,31,3.68633922555566,3.95014127729241,1.80285372891669,0.0963308860653012,51468517.4538882,6725317.51156883,31275593.8812245,91299181.9133665,1.30068402592553e-05,3.58400048207345e-06,1.16734776500871e-05,0.000374395091957561,-14,-10,15,15,91.3317084998846,4703.13093442632,2.67459817187211,180.535376601368,65.7423612685626,34057260785.9297,35.0713558335004,0.00108854011299416,355.800000000001,66.5809572353321,19367840,0.000160920039866468,0.000113530601835472,53.28232,4.90612286562181e-08,1.2299322636844e-06,0.00105358849107784,Cascode_Null_Pin_1,180,5,2,0.1,0
