MOSFET_0_2_L_LOAD0_NMOS,MOSFET_0_2_M_LOAD0_NMOS,MOSFET_0_2_W_LOAD0_NMOS,MOSFET_13_2_L_gm1_PMOS,MOSFET_13_2_M_gm1_PMOS,MOSFET_13_2_W_gm1_PMOS,MOSFET_1_2_L_gm2_NMOS,MOSFET_1_2_M_gm2_NMOS,MOSFET_1_2_W_gm2_NMOS,MOSFET_25_30_L_BIASCM_PMOS,MOSFET_25_30_M_BIASCM_PMOS,MOSFET_25_30_W_BIASCM_PMOS,MOSFET_28_25_L_BIASCM_NMOS,MOSFET_28_25_M_BIASCM_NMOS,MOSFET_28_25_W_BIASCM_NMOS,MOSFET_6_2_L_LOAD1_PMOS,MOSFET_6_2_M_LOAD1_PMOS,MOSFET_6_2_W_LOAD1_PMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,av0,av1,av13,av25,av28,av6,ft0,ft1,ft13,ft25,ft28,ft6,gm0,gm1,gm13,gm25,gm28,gm6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.37,3,1.91,0.06,12,2.99,0.5,2,1.15,0.06,1,0.12,0.282,1,0.12,0.06,2,1.61,1.86,41.6,42,44,38.3961477017001,2.93960289350506,4.41528839862774,5.43608867905184,10.0064858458197,5.49684426164499,8025014128.72371,3288350624.30814,13215294731.2589,78752113691.2144,13824875173.0028,25520303914.4324,0.00113953142499003,0.000264619571441173,0.002521639682776,7.54103075350045e-05,0.000159099796156688,0.000479005589091283,26.8107277232252,1.33198298608861,70.5672715850315,7846.34773999847,34.1099700524489,19529849.0814909,4.64695599290546,0.133239986991685,-30.1002425972052,20.8787143644833,1034674000,0.000666465279261446,0.000437557043092486,52.52488,3.60754431258957e-10,0.000207938557054962,0.00606973126844296,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,1
0.234,3,0.758,0.0798,20,0.766,0.06,1,0.911,0.06,1,0.12,0.204,1,0.47,0.06,1,1.68,3.46,16.9,43,52,28.4269990959844,0.582809839396339,8.55627378108682,6.26675755309245,24.2311150804832,1.78695302781342,15295917333.8173,39981614509.6286,12260887406.271,68487396366.4547,7969789038.83766,26637742234.1493,0.000575988712951865,0.000233638445361661,0.00119721092420477,6.42922422094914e-05,0.000201534606819905,0.000276711343176695,34.0949493025257,0.833439564840657,117.823712442599,1133.79362478463,27.4378639502796,6446473.8381382,4.87167568707113,0.071281319428658,-21.8314223806881,26.0441934603975,911340800,0.000351581026937704,0.000556758958467832,59.38715,4.50865140779624e-10,5.58909811279967e-05,0.0074285243527833,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,1
0.278,1,2.44,0.06,11,1.91,0.5,2,1.13,0.06,1,0.12,0.06,1,0.12,0.06,2,1.61,3.46,36.8,42,60,33.3184944798007,0.860734162573299,2.29137479239532,5.3267431048328,5.46583638009446,5.22383405053976,15432331374.1432,2344662929.84868,14694912638.0471,79803274758.4534,71987410703.6526,27615249807.757,0.000724310235290028,0.000203277939371039,0.00172520787419037,7.65477947908116e-05,0.00025173220061374,0.000525671065290863,15.7218390366201,1.72493381056648,59.3396866380956,256998.035745329,21.9616403324394,23290586.8453996,4.92140630308045,0.112657421811393,-54.9336232563393,19.316766498079,801222700,0.000613741253109059,0.000590209887526253,50.70998,3.55934330850069e-10,0.000232609811714847,0.0153621390747601,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,1
0.295,1,3.47,0.06,6,2.7,0.339,2,1.33,0.06,1,0.12,0.06,1,0.12,0.06,5,0.806,3.46,18.5,40,15,36.7631822788442,0.793328060063678,5.8612270411548,6.13188433475758,6.40488020794599,4.29809402633494,9965802990.83628,3221339695.60476,14425585697.8694,70397068298.4478,52996538833.9281,19414144267.6497,0.000669983954989705,0.00022017883062897,0.00124386831342506,6.63607793814171e-05,0.000177048958718096,0.000450834720246461,29.3018446396344,2.94612188440053,123.255713533932,7676.65562467586,26.3740353042807,23732164.5371443,4.89636395706038,0.0992286125056681,-23.75098927346,23.0165405231939,992873000,0.000366154149086699,0.000647952578132416,51.54211,3.80818699080971e-10,8.17260061733965e-05,0.0157882730024159,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,1
0.239,20,0.83,0.1,20,5.06,0.267,10,1.11,0.468,8,2,0.4,8,0.273,0.854,4,3.48,1.17,29.7,27,4,32.5441941997815,1.99993818205132,18.9516252514715,55.4522280620895,33.4917000164891,0.0958299934219617,7437633557.03672,3614592965.22903,4527314171.09107,920131244.500254,1872135040.32071,86346162.6958233,0.00186439483858389,0.00069118815776472,0.00275951008764099,0.000371177245600746,0.000394045851315953,7.88400070177919e-05,27.0594643826949,17.7745534642717,27.3734931187977,4349.47108097585,28.5284822309952,238765295.48164,17.6127101832739,0.0852250831383884,-26.1938754,37.4548347656768,367707700,0.000610590189973185,0.000300418872900904,52.62201,1.27765537617982e-06,0.000124988214688165,0.0121650303923372,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,0
0.419,15,1.08,0.1,8,2.17,0.4,10,1.11,0.429,8,0.811,0.136,1,0.12,0.485,2,1.56,1.17,30,27,22,43.673329197289,20.4689056029959,18.3809196618941,45.5057292281207,9.03877048718892,0.132792590963143,3491859139.81606,2232787614.24707,10108562925.9524,1583893487.99423,31454672905.2173,395008124.293198,0.00148867483893811,0.000581726005382069,0.00122840383194116,0.000266138901767976,0.000192480991344693,4.7062687388436e-05,9.71005437488526,20.8400968660524,45.5872369797162,10431334.047748,14.4900873719755,250587159.089459,10.8955293584112,0.172260875216884,-73.126677127422,26.492274200643,548153700,0.000546558179953164,0.000492261629189997,62.42495,1.27691592104404e-09,0.000636098126980129,0.0793082440992058,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,0
0.14,1,2.4,0.3,1,1.14,0.06,1,1.32,0.312,1,0.521,0.4,1,0.225,0.355,1,0.12,80,30,27,40,24.4251126497063,6.66695529122377,26.1850435764054,23.4840175733039,18.0818112041192,0.710100292463816,21191810618.0595,25737699147.4292,6036936137.77135,6664613452.57912,6109122990.40792,3733048398.23292,0.000487531006532161,0.000175941348632245,0.000142225455340518,7.73579626554205e-05,0.00016194171846442,1.39673890024396e-05,13.5286470303707,27.1450525320855,93.4569299422617,1463103.45696349,18.7950358539938,140583837.804025,20.2169770242734,0.120529881825421,-105.535086859957,21.3197311697202,484012100,0.000235408439091591,0.00131481388823106,33.14768,2.64428235472903e-09,0.000241376530118085,0.0506454324853935,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,0
0.0976,19,0.923,0.1,20,2.68,0.169,10,1.11,0.429,1,2,0.27,8,0.15,1.1,3,3.11,1.17,29.5,70,63,18.2996862005634,9.43415260871932,20.3534416207868,41.4046525458184,34.3341792724026,1.02802198208655,16706311752.5987,5945844469.42012,6759364969.14302,2753232649.7467,4762720343.67395,223463802.259594,0.00207683546807693,0.000696819526341219,0.00237054875738203,0.000152709952366581,0.000404246518087996,0.000152677081546898,55.4973825172368,30.7337815486895,58.6550584704845,0.262419379860284,52.6399183410606,326207157.137763,8.83804403700276,0.0573515076360666,1450,51.4978873201264,622562500,0.000482452770357143,0.000436582664602022,53.71571,8.07337425877553e-07,8.65468406441999e-06,0.000325183951788266,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,0
0.3,6,2.84,0.0982,9,0.12,0.06,2,1.1,0.121,1,0.148,0.3,1,0.12,0.06,1,2.65,3.46,40,39,51,38.7170529522816,5.19273395636681,10.6647998402527,11.3332114027093,11.8594480941654,5.19289506276111,4534786413.76033,46946035961.9488,39373696517.4497,37136023781.5983,12682998952.4503,28218140078.165,0.00134718175220796,0.000584904910196207,0.000444863503326392,6.50212133291598e-05,0.000153892697358361,0.000440366035472044,27.9987165558263,128.541346072867,15.4743165703169,48491.4896118339,28.1147573611397,1362477166.83351,5.45484665229005,0.0707314849992105,-116.310365020703,19.8338228422112,164020400,0.000481796575208624,0.0011524237959698,61.78961,1.48858513491064e-10,8.95786947881222e-05,0.0121745125322178,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,1
0.3,6,2.84,0.0982,15,0.12,0.06,2,1.07,0.091,1,1.64,0.3,1,0.12,0.06,3,1.89,3.46,21.7,37,13,38.699879413865,4.64277432833633,11.9124320484896,15.2282427156011,9.26450676063578,1.20160902122538,4719778199.3161,45253589506.7832,33848486832.7649,18072724686.2409,9971204860.05934,13472834577.5282,0.00141271000938979,0.000550549489854986,0.00062363979308125,0.000214962731339857,0.000119502193321902,0.000437227275167573,33.9668580356445,66.4316120052153,29.7592078664567,6081.84304015263,33.0221088458087,642553654.873757,5.84738574065368,0.0443007436630276,-100.329680926727,22.8934763858403,287843200,0.00043965490872253,0.0010063785963173,46.78049,3.09460398954034e-10,7.26500650549169e-05,0.00846657408538537,"HSOTA_CS_Pin_2",65,1.2,0.4,0.05,1
