MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.9,9,1.91,0.15,2,1.97,0.3,2,1.2,0.15,1,0.4594498,1,50,2,1,50,2,1,50,2,1.139642,0.06935776,13.49271,0,2,837.2324,52.71581,44.57581,566.9094,245.4824,47.14651,85.46922,143883100,1515753000,48380670000,146295700,244803800,25562440000,68290470000,0.06372291,0.0007201117,0.0005765319,0.1528477,0.3897498,0.0005875694,0.0001123869,28.3957150226562,0.0176593584263738,131.520685465466,989.299686628016,26.7315037802,1000,55.077405773407,0.51803806003757,0.179439399546779,76.5884814368627,7447648,0.000333101169314924,0.000637642483272998,68.67362,1.00000000000001e-08,1.54539438140383e-05,0.0111194682689105,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
0.9,2,1.49,0.15,3,1.75,0.15,4,1.79,0.15,1,0.8833256,1,50,2,1,50,2,1,50,2,1.260548,0.02954133,11.69899,2,32,375.3203,35.77495,42.30566,456.4825,437.9325,43.80792,85.13133,176813200,1559172000,26182970000,136613400,295893200,39948940000,33866520000,0.2171439,0.000310911,0.0008665944,0.2608102,0.3302202,0.001178922,0.000132177,32.2542683973409,15.8514993965981,103.704986341341,3328.12057848728,29.4400594532441,1811484.00223116,55.7648256345342,0.0892719629097694,-25.013030625,72.2906678952858,11851240,0.000672225887394944,0.00097399917469583,63.79896,1.8738637222877e-08,2.7973095627532e-05,0.0117907876883127,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
0.75,6,1.95,0.15,24,1.98,0.15,4,1.62,0.15,1,1.668257,1,50,2,1,50,2,1,50,2,1.970899,0.03115931,17.99656,10,42,127.6918,87.26255,47.71866,16.46457,436.9004,27.38952,53.10103,236258400,1655914000,17950190000,101417400,326169000,57346930000,34532340000,0.3557356,0.0003406445,0.004081713,0.1950067,0.1691495,0.002124233,0.0002786442,46.9894397018493,25.4216512814857,37.9096889715055,100.23003336297,43.2156949142389,7956022.84529813,62.4308976124002,0.0422721171650976,427,78.0104995116332,11864310,0.00184095572179415,0.000412717619368627,74.05193,1.63524963530421e-08,1.08224296809994e-05,0.00421451531213213,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
0.75,3,1.75,0.15,14,1.95,0.15,2,1.17,0.15,1,0.9950229,1,50,2,1,3,1.43,1,50,2,1.02187,0.01810295,12.40802,10,56,115.0621,52.33718,49.85033,206.231,216.2228,32.10912,71.71005,245915100,1926490000,15357150000,320925900,321854300,87286890000,41131580000,0.2123572,0.0002083173,0.001860521,7.155466e-05,0.03434137,0.0009749502,0.0001616665,40.8296779315392,32.5713145962299,71.8523453254342,83.087700256803,39.5353624706171,7295387.2744328,46.5965937534065,0.0713462091818304,309.5,70.6750345630104,16093630,0.00131754101186166,0.000394866034783373,68.65181,1.3321543364077e-08,9.55582071083483e-06,0.00349057713297307,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
0.6,4,1.78,0.15,2,1.83,0.15,3,1.5,0.15,1,1.014366,1,50,2,1,50,2,1,50,2,2.178159,0.0793297,24.89466,4,24,246.7342,30.92058,42.96528,144.5247,29.68283,44.59355,85.30619,187454400,1969654000,30547360000,136459500,796971000,43432230000,49068660000,0.1983738,0.0008303704,0.0009926633,0.05848642,0.06813787,0.001143828,0.0003300226,24.7155953531054,36.6177102354831,85.4398401613181,6367.66094424994,22.896961202909,4081916.31261933,64.530655537504,0.0807728920208443,-4.9896726,73.6536934940939,9524306,0.000655728396799243,0.000573215934874794,75.21235,1.88992275476959e-08,2.42681365020403e-05,0.0149714831563185,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
0.75,3,1.35,0.15,4,1.9,0.15,2,1.05,0.15,1,1.781007,1,50,2,1,50,2,1,50,2,2.379658,0.04293885,16.65395,10,63,600.2852,61.72181,37.88745,220.489,371.6225,36.66037,72.49477,180398800,1763066000,23152730000,101305200,322293900,67955570000,61246300000,0.4022418,0.0001474449,0.0009888914,0.2259599,0.2224758,0.0009159178,0.0002792043,47.0128549102623,33.5428556603385,74.7855773301187,240.108304915763,40.4577241274599,4725960.58334368,65.9032227721073,0.0693275752878604,168.5,73.6124566490143,10536780,0.000828783584165332,0.000508697523102492,68.87079,1.9754032945965e-08,1.99978810369639e-05,0.00724895086513788,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
0.6,3,1.34,0.6,16,1.98,0.15,2,1.19,0.15,1,0.733884,1,50,2,1,4,1.65,1,50,2,1.310242,0.02504749,14.2575,6,18,151.3717,40.52927,49.31497,165.4396,106.272,35.87543,73.40287,251169500,2358780000,2942150000,376238700,348661100,94314960000,38417450000,0.1699601,0.0002039185,0.001413624,0.0001225228,0.02761517,0.00105089,0.0001207253,27.6009456613737,31.0707007152707,110.631704808113,967.727667638821,26.5643285246302,3307452.22556372,50.2227778981808,0.0919648729147499,-0.170675999999995,79.7799497754831,11776660,0.000626171952320448,0.000600552142607738,73.18605,1.56860532487211e-08,1.56516107268606e-05,0.00772242989938798,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
0.75,10,1.86,0.15,9,1.87,0.3,12,1.9,0.15,2,1.02,1,50,2,1,50,2,1,50,2,2.504635,0.09001234,26.89268,6,24,232.578,77.88547,34.83062,406.8736,313.1303,39.9986,61.79616,174874500,1553502000,20672990000,211781100,398668700,12429410000,42365490000,0.1142399,0.0005824507,0.001816751,0.2389869,0.1480564,0.002233991,0.0003283116,38.4532233959331,51.7130581526896,69.7039622659723,157.127675118152,36.4309364539178,9340101.21633631,67.4499625890185,0.0418040074459382,-1.81261079999999,83.9386596705104,12589510,0.00106243517253571,0.000549689125128375,76.37319,1.33209251275504e-08,1.15898466288805e-05,0.00455564682111553,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
0.6681523,5,1.084081,0.3,32,2,0.15,2,1.36,0.3521635,4,2,0.2108973,1,0.3,1,11,1.414463,0.8652243,50,0.3,0.9014026,0.006175171,10.10849,13,61,82.99239,57.9413,68.00291,363.7624,225.6677,24.54752,104.0739,6179031000,1649104000,15133020000,220923000,895209700,94653940000,727635100,1.374942e-05,4.495623e-05,0.001435975,6.244454e-05,0.0001018452,0.0003157948,0.0002905332,37.3240501588553,73.0435421209272,134.649888825673,24.8843938036989,37.1547767733197,12926542.3248489,33.9498600616657,0.0551895172060718,458,70.2084334901868,23829040,0.00104100214825195,0.000755697548746582,73.12959,1.16470157556161e-08,2.90392505654047e-06,0.00201623288765229,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
0.9,13,1.93,0.15,3,1.65,0.3,2,1.82,0.15,1,0.8833256,1,50,2,1,50,2,1,50,2,1.702572,0.08303687,20.11868,4,49,362.5055,53.11016,43.95702,456.4669,436.2005,45.17646,83.96181,180268600,1521078000,39118420000,127808000,306859700,23673550000,34790170000,0.2171627,0.0007523387,0.001072895,0.2608424,0.3302868,0.001083244,0.0001299051,31.4136123136179,106.392228338649,138.351586575407,288.84653054865,29.8344435506648,8663411.72843089,60.5739924151446,0.0684844644764641,-16.87546575,80.9449520286118,11265830,0.000478994060535579,0.000507770818390381,71.79804,2.18221146875761e-08,1.27344720893585e-05,0.0072057819263398,"Leung_NMCF_Pin_3",22,1.8,0.8,10,0
