MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_2_2_L_LOAD2_PMOS,MOSFET_2_2_M_LOAD2_PMOS,MOSFET_2_2_W_LOAD2_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS2,VDS3,VDS5,VDS7,ft0,ft2,ft3,ft5,ft7,gm0,gm2,gm3,gm5,gm7,gmid_offset0,gmid_offset2,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.14,11,0.1,0.719,1,0.449,0.271,30,0.22,0.391,6,0.183,0.617,16,0.235,3,43,17,0.244120788400181,0.689279981564624,0.231111036218929,0.28691246986104,0.300355503278988,7219226787.84847,1315201015.09591,1202020446.0729,2222542575.22043,791266552.25896,6.05968574257671e-05,3.05422131413662e-05,7.42039261109463e-05,5.30665990052574e-05,9.23301594362518e-05,14,-5,-5,-4,-4,56.1598639690188,356.482392798636,1004.58021687234,12205.649634999,43.0535080741778,55089360.0746525,2.74871206203924,0.26286419191159,363.900000000001,45.1694890325,155243800,1.90785174868752e-05,0.000685801180264624,49.61687,0.26286419191159,8.25631677196875e-06,0.000918678451533872,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.14,23,0.674,0.85,1,1,0.275,30,0.22,0.273,7,0.52,0.614,18,0.52,4,27,39,0.153347008678669,0.688920595909143,0.274846771712403,0.260407310900034,0.300936233556113,1272051518.86509,686069180.858224,1486351473.25319,2043383251.70006,451635732.72175,9.59471108478277e-05,3.81123960076977e-05,0.000100887559281388,9.19418537200289e-05,9.68510689668025e-05,-15,-6,-15,-2,12,67.6360665347655,265.219354044804,737.352621570312,8958.83435207929,47.6787278931474,45238344.1252861,3.90317306815878,0.284824504316139,336.500000000001,45.0943926850106,125769900,2.10579683233248e-05,0.000619537870294383,47.3573,0.284824504316139,2.55846361161965e-06,0.00068470968967832,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.14,11,0.1,0.719,1,0.449,0.271,30,0.22,0.391,6,0.18,0.617,16,0.235,3,47,47,0.244120788400055,0.689282606837477,0.230889963597301,0.287134883809871,0.300351573666543,7219226787.83613,1317016001.61216,1202011634.57061,2237474744.53014,792799606.100375,6.05968574256352e-05,3.05950259940429e-05,7.42061524162756e-05,5.29378481629678e-05,9.25846342719027e-05,14,-5,-5,-4,-4,55.8103431322106,354.899740867573,1003.37966065522,12191.0628769609,42.7687144244312,55121142.8989798,2.74615039646411,0.269625942692418,329.300000000001,45.1814559048334,155839600,1.91746529699036e-05,0.000687269978035234,49.41626,0.269625942692418,8.70367670532307e-06,0.000943558620035478,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.317,30,0.343,0.622,15,0.1,0.297,15,0.931,0.419,21,0.168,0.637,24,0.199,8,22,54,0.252748044048399,0.688451942027121,0.269110755220142,0.271531526535914,0.301391835565311,1289737628.91831,1022530160.3456,1241454029.475,1711017023.81692,729849245.69252,0.000162137242378571,6.70699914698661e-05,0.000177514150297205,0.000136907173558314,0.000105055768924141,6,-2,-15,-1,15,71.3895659230398,251.264461304698,551.396266356198,6699.4646362278,47.8824404023636,73078489.5341778,4.40703029261202,0.296418076993784,315.900000000001,44.744689896886,160369700,3.59065332921059e-05,0.000588538616633158,53.27975,0.296418076993784,4.25238717008253e-06,0.0010039842382662,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.338,9,0.1,0.564,1,0.586,0.13,30,0.175,0.273,7,0.1,0.614,9,0.282,10,49,61,0.41659812943524,0.688902379089798,0.208255479465816,0.320253643203228,0.300755759603881,4356048944.15416,1838767613.71286,6430419531.19705,7809718514.92827,964362549.699265,0.000100494556182573,4.11336354683813e-05,0.000210876563590811,0.000121889221266189,8.46090358845835e-05,-7,-8,-6,-1,9,48.1887804208937,236.139202224404,517.852039517257,6291.90228013467,47.7154532393835,85114566.2062979,2.06657687977002,0.301074883509261,303,44.9727048939866,186655800,4.44990541070525e-05,0.000541424061438046,61.56752,0.301074883509261,6.90872387277802e-06,0.000685496109800676,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.18,12,0.21,0.571,1,1,0.304,30,0.898,0.647,14,1,0.591,10,0.473,7,15,41,0.272002326898512,0.68836848416433,0.22575401196789,0.283348955044932,0.301495797254458,5664949668.07786,1266328222.41885,734357615.337208,431615402.508173,633347023.016764,0.000128060613180495,4.3461523800458e-05,0.000174151471795315,0.000142670085066568,7.67709763590353e-05,-11,-13,0,-3,-15,73.6872674248227,179.303275966556,428.37395150559,5204.74351079292,46.4724021997841,43559114.2157094,6.23590811349879,0.300326444068857,315.400000000001,44.0324754470283,104067200,2.99920254814283e-05,0.000467260764409171,57.6692,0.300326444068857,5.12080392945341e-06,0.00100698583675402,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.309,2,0.516,0.471,3,0.1,0.454,26,1,0.318,28,0.395,0.606,22,1,10,38,50,0.4234973975009,0.688576284535405,0.305999602302176,0.240328801270087,0.301022959147418,4942207428.14136,3101504160.70946,551327682.727762,1327339187.5056,299541081.969244,0.000100461995824265,3.62128452511084e-05,0.000212049515751626,0.000199606860422857,0.000114072496385592,-4,-12,5,-1,-9,52.7624226259442,167.281532439703,343.625884848885,4175.05450091395,45.4654884119861,54161592.3480119,6.67649968171946,0.240451920595331,306.500000000001,44.0153688956634,111257500,3.99722326890505e-05,0.000466473210321767,50.62838,0.240451920595331,4.33067939635601e-06,0.00080648807547562,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.138,23,0.18,0.675,30,0.302,0.17,18,1,0.414,19,0.56,0.656,16,0.587,7,12,48,0.226592244690103,0.687602888974233,0.229656897839111,0.25936378731084,0.302366783233047,5617645256.44226,327575573.479941,1791612491.32917,903686684.416619,392531352.291733,0.000148852802878258,8.15719389406732e-05,0.00018489402453425,0.000153755690159646,8.70361730912867e-05,1,0,-10,-4,-1,79.7036270726934,201.843727910771,454.700301501265,5524.60866324037,46.4057381474043,48512865.9071977,5.82180315709832,0.324777582643132,290.5,44.1068485630186,109286600,2.96726718565165e-05,0.00056163496922809,48.66424,0.324777582643132,7.11436048936642e-06,0.0016377382302219,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.14,23,1,0.541,1,1,0.275,30,0.352,0.273,7,0.52,0.614,28,0.217,7,16,8,0.157813485585404,0.688671747850157,0.254465410136619,0.289814692917881,0.301021731437964,1489495168.36774,2033775395.91313,1573227253.01691,2866455106.18685,866586913.206496,0.00016754851453989,7.42150739886342e-05,0.000172081688554963,0.000144810122181808,0.000164725645605699,-11,-11,-15,1,12,65.7953333838953,208.089569029419,671.183553233615,8154.88017178843,46.116059328294,71618142.4779201,3.97845497649527,0.287149864988263,407.400000000001,43.0694677981822,231001100,4.24900970585334e-05,0.000661758283874353,46.83259,0.287149864988263,3.80503982182895e-06,0.000662971822861791,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
0.389,17,0.275,0.415,1,0.71,0.195,30,0.1,0.273,7,0.209,0.614,14,0.52,10,23,13,0.32289395715487,0.688401037759379,0.262826187592893,0.317660214423052,0.301144145063581,1614883722.3743,3746266477.23673,5334596359.41881,5671233005.13033,785856074.12489,0.000152035776712689,7.59351582361896e-05,0.000179631649597876,0.000142165444773092,0.000170764723301003,-2,-15,-15,-2,12,45.5320852619376,268.82252535163,612.178725388787,7437.97151347376,44.3297606742218,114936557.571255,2.97432227574619,0.278957173949451,386.300000000001,42.2570581510635,261740400,5.27846334566881e-05,0.000724543974904439,47.53341,0.278957173949451,4.75604664090357e-06,0.000896186258872111,"PseudoTwoSt_Null_Pin_1",22,0.9,0.3,0.1,0
