MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av11,av12,av17,av18,av22,av24,av25,av9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.85,30,1,0.44,1,0.1136062,0.85,30,1,0.85,30,1,0.85,10,0.91,0.85,30,1,0.52,1,0.1,0.85,30,1,0.16,1,0.1,0.7490016,0.09507224,2.787386,13,19,346.9658,668.9956,587.3932,240.8747,40.60187,606.7842,253.1149,468.7867,476.8207,95962910,959179600,530966900,69028790,88652040,98583930,2093707000,771942400,18560260000,0.04451618,2.038334e-05,0.0008063371,0.00818218,3.21307e-05,0.01427757,1.279686e-05,0.001205531,2.451292e-05,17.0055824115118,62.1974726597846,117.548889451129,47098.9406031301,8.94583281750103,1703211.99926263,38.1834440364931,0.0594358770493309,385,83.8296351100832,3218952,0.000338073361081563,0.000802219135733588,67.14172,5.70671325871811e-08,2.08980104174536e-05,0.0096992733289204,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
0.85,30,1,0.32,1,0.2762829,0.85,30,0.99,0.85,30,1,0.6,30,1,0.32,30,1,0.44,1,0.1431392,0.85,26,0.99,0.44,1,0.2372738,0.5523598,0.07140498,2.95729,10,9,553.8388,363.3399,605.3773,410.9025,158.1252,72.13766,152.4434,455.747,68.47361,69574920,5050696000,263469400,32937020,27638450,81306520,2621662000,308322400,4668771000,0.05985075,2.837408e-05,0.0002296421,0.0371747,0.05217068,0.04512919,8.051848e-06,0.0002608301,1.848102e-05,19.4645967583495,91.0569867921644,183.290474733008,4509.22475150027,19.3685185886328,897688.212922396,35.4184138286852,0.0759075077621663,-25.193586825,92.6758306870368,1806975,0.000121710270901033,0.000962233639392538,76.99701,6.0164717316171e-08,3.12540537750972e-05,0.00808612465734732,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
0.85,30,1,0.36,1,0.1,0.8192635,30,0.99,0.85,30,1,0.7434,30,1,0.85,1,0.86,0.6,1,0.2933072,0.85,30,0.9816202,0.16,1,0.1951782,0.6686338,0.07283752,2.963462,16,55,416.7076,35.63945,366.5398,332.6585,118.1714,387.6663,298.4999,249.4876,81.92326,85894540,8175450000,709926900,59381800,58159830,466923400,1637989000,1152177000,15173810000,0.02300102,2.935522e-05,0.00124106,0.0232407,0.01599919,4.511868e-05,1.82696e-05,0.001591761,1.725862e-05,22.7047842417113,89.922170173692,168.982889048354,3541.62726517997,16.891214319613,2459824.19522112,37.3788195355873,0.0500072896189141,503.5,94.367442636833,4622533,0.000337716492855353,0.000763813319891307,69.05647,6.4272373654802e-08,2.49182687693006e-05,0.00620649435541737,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
0.85,30,0.7186746,0.7050604,1,0.3225983,0.8430808,30,0.98,0.7449907,30,1,0.808785,30,1,0.8,25,0.97,0.52,1,0.2536826,0.8210982,30,1,0.2913522,1,0.3296321,0.662601,0.1194105,3.286605,17,42,351.3735,236.123,434.1891,411.9992,74.17877,311.3869,89.77715,338.3619,111.1973,106536700,1605229000,530650300,59569850,29311310,144511100,4065709000,1020736000,8018575000,0.01627224,2.483554e-05,0.0009817256,0.0009341547,0.01026794,0.009814446,2.216997e-05,0.001221003,2.00268e-05,22.9032439443317,100.262711150577,185.556989903426,1688.49091401375,20.2078715954931,2323405.56786758,37.5936697428369,0.0560497357592898,546.5,98.9027909967413,4299945,0.000286088606893061,0.000795990813990346,67.7255,5.71966794335441e-08,2.18235157343211e-05,0.00590485278280228,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
0.85,30,1,0.3806691,1,0.5241699,0.85,30,1,0.1124991,30,1,0.85,30,1,0.8,7,0.1105714,0.6053864,1,0.3590428,0.7432752,30,0.3627972,0.2,2,0.2587514,1.41257,0.09587299,1,20,43,135.1545,281.0555,439.3406,25.22413,16.51977,143.8983,229.2304,507.6726,94.10095,80610670,4303451000,222500800,70550980,19348020,209837600,230059800,718355600,1074039000,1.401539e-05,4.482334e-06,0.0003549519,1.051893e-05,0.006570346,2.009561e-05,6.559241e-06,7.188332e-05,2.133632e-05,60.9757177778155,53.5480257064324,1120.09144916877,0.125425966832116,56.5574029356817,145045.838014236,45.6538198584073,0.0963610179380024,540.5,94.7768634796844,3033998,3.34408100873332e-05,0.000420863995377791,68.59245,1.88721877203017e-07,1.13171478768531e-05,0.000586134067885991,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
0.85,30,1,0.32,1,0.3295243,0.85,30,0.99,0.85,30,1,0.72,30,1,0.84,30,1,0.4,1,0.1001208,0.85,21,0.97,0.44,1,0.2341249,0.5936957,0.07865935,2.825279,1,2,436.7864,426.1422,640.1862,414.6407,196.5309,289.6206,123.367,520.0441,46.9889,60057640,5019096000,314929200,30496410,34506480,59370280,2589188000,372737400,5019418000,0.0747948,2.850169e-05,0.0002331205,0.04644982,0.04828523,0.05639241,9.03844e-06,0.0002469253,1.72506e-05,20.991047687647,125.314455365585,195.248007234104,2153.79716037499,20.8729618008902,1057067.90364598,36.8674066820274,0.0773196714885242,-65.649501225,93.2774658746409,1646980,0.000104139789736105,0.000947206529708699,75.86718,5.9284236015035e-08,2.7926085911045e-05,0.00670389756081569,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
0.85,30,0.6587095,0.7530324,1,0.4559532,0.85,30,1,0.85,30,1,0.8,30,1,0.85,30,1,0.4,1,0.1,0.84,30,0.99,0.32,1,0.4100815,0.6664479,0.07865935,3.773999,12,1,553.8565,119.5702,508.038,397.1259,178.1389,277.7719,602.05,368.8558,86.64136,96661540,3354717000,246071700,82818240,42367860,44708010,5204757000,726515000,1009107000,0.03068144,2.856685e-05,0.0007263488,0.02385903,0.01982848,0.02314497,1.793367e-05,0.0009238007,2.758172e-05,24.2085408632685,121.756537933144,200.04642568057,854.949834817313,23.1969493226149,2573972.50647314,37.3415630757804,0.0576227926314879,594,100.350349630116,4229046,0.000260991638649985,0.000855299153601072,66.87585,5.0239761613894e-08,1.97982473564587e-05,0.00505344101652921,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
0.8,30,1,0.32,1,0.3100862,0.85,26,0.98,0.85,30,1,0.76,30,1,0.84,30,1,0.48,1,0.1,0.85,9,0.96,0.32,1,0.2756941,0.7338758,0.06308728,3.628112,10,11,299.2805,424.5214,634.6503,414.3484,213.3366,291.2238,66.16068,494.1481,283.5929,65581070,5156649000,335126300,32674220,35888020,63337990,2379888000,475934900,5529573000,0.07479849,3.918799e-05,0.0002238846,0.04084864,0.04828939,0.05351926,7.904699e-06,0.0002037328,2.672686e-05,22.8415236016969,200.328065991614,267.999787381763,808.792932531762,22.743400329659,2029542.43903586,38.4411038593847,0.066196164225303,-28.080718875,97.1718026717381,2715131,0.000125075232819942,0.000911040761810108,74.55232,5.46406052192789e-08,2.22913972489674e-05,0.00534795522748099,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
0.85,30,0.7736705,0.6084706,1,0.288336,0.8295935,30,0.9658436,0.6193139,30,1,0.8168421,30,1,0.8428515,23,0.6968421,0.3501045,1,0.178747,0.8125539,30,1,0.2764419,1,0.4402092,0.722551,0.106967,3.386608,23,7,367.8074,199.9635,400.934,88.11164,52.53765,326.5335,266.5175,225.1389,113.5264,95974120,376532600,514298300,82189600,25466170,1040132000,5712776000,402303000,7254549000,0.008918818,2.889215e-05,0.001129864,0.002849195,0.00940436,3.386334e-05,2.960718e-05,0.0009824245,3.772292e-05,26.4567886414485,231.349848194838,264.699339532187,412.681617572784,24.0990647433062,5187941.0826756,37.9299325025235,0.0394929479849248,578,101.711234250019,5935792,0.000276847622081574,0.000800766231994499,63.4856,4.96544987985979e-08,1.81038035800776e-05,0.00421415549753018,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
0.85,30,1,0.48,1,0.6239007,0.85,30,0.99,0.85,30,1,0.44,30,1,0.85,30,1,0.4,1,0.219498,0.85,30,0.99,0.28,1,0.214399,0.5523598,0.07140498,2.95729,10,29,511.4388,332.792,757.4214,365.3789,126.91,117.0591,160.9033,411.1085,177.6994,77188900,2099900000,342865300,43872410,37281750,89935960,3046332000,377751100,7089219000,0.0308656,2.946283e-05,0.0003326781,0.02975233,0.04175284,0.03611825,1.195032e-05,0.0003911933,2.092038e-05,23.5812527540942,174.438666515705,402.477111136677,780.122643849719,23.4478334455517,1382061.88627139,35.442589922239,0.0675856053952446,-59.467490775,93.4952394072632,3188790,9.78137058939703e-05,0.00108349568078034,75.94767,6.23772616772579e-08,2.9166289686717e-05,0.00481776858941707,"Leung_DFCFC1_Pin_3",22,0.9,0.3,10,0
