MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.68,30,1,0.28,30,1,0.56,30,1,0.85,30,1,0.4,30,1,0.6,30,1,0.36,7,0.86,0.32,1,0.8217231,11.3153,25.83751,0,9,134.215,557.3994,663.1067,264.5831,371.0936,84.89882,633.6139,410.864,53986260,1104159000,6550936000,37832200,4920961000,2507725000,5385821000,6384027000,0.1375585,0.2449309,0.0994408,0.06586761,0.02260769,0.1814903,0.0009639326,0.0001451422,55.0304315493358,0.102904424144795,39.8435845655081,113025853.474439,53.6483432037793,1000,112.997731867384,0.507859291296945,0.455437959386762,69.0783780517698,387190.2,0.000599861430397505,0.000498291276836977,45.592,1.00000000000001e-08,31.035707496689,0.0012612663847868,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
0.4,30,1,0.2,30,1,0.8,30,1,0.85,30,1,0.52,30,1,0.85,30,1,0.64,12,1,0.32,2,0.53,7.748025,23.43406,0,21,238.2357,187.4611,71.53951,314.1796,319.5196,103.6106,598.2226,301.963,34227410,4066639000,6563413000,37024500,2812271000,1037970000,1700957000,5889687000,0.1020882,0.1879664,0.1091748,0.01841302,0.1292635,0.1294217,0.0008698343,0.0001488383,48.4215111136592,0.104801334161872,50.6067197632866,107914959.28089,52.6172791232595,1000,94.7038468266658,0.50716644880461,1.68890860553338,73.909265774176,482882.4,0.000589003904915804,0.000537904670934136,26.69433,1.00000000000001e-08,36.4887809282994,0.000920048482914493,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
0.36,30,1,0.28,30,1,0.85,30,1,0.85,30,1,0.36,30,1,0.28,30,1,0.85,8,0.94,0.64,3,0.71,8.762752,13.47681,0,41,394.2087,376.1507,102.3357,333.3593,489.2598,258.2533,80.55886,122.8239,32333500,5516680000,5115697000,30613600,5589546000,4847740000,1012119000,1216983000,0.2440167,0.166527,0.1152612,0.02497527,0.2198084,0.2041972,0.0006979833,0.0001155986,45.0469327858867,0.182748963860591,91.8447681138942,308844945.866415,42.0802846214089,1000,100.180296287642,0.5,1.37505125125352,63.9459420475911,502573.4,0.000337776990674583,0.000329493128708622,54.16848,1e-06,22.4026435869959,0.00516105293161989,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
0.36,30,1,0.64,30,1,0.85,30,1,0.85,30,1,0.36,30,1,0.36,30,1,0.44,7,0.95,0.32,2,0.75,12.03834,20.40978,0,4,507.0319,184.2406,666.4961,344.5743,239.5545,781.16,775.8528,714.5843,36126530,4668424000,851582900,33779150,5176666000,3308915000,3770009000,5093193000,0.07210882,0.1779654,0.04081209,0.06989506,0.08904864,0.1217098,0.0008711731,0.0001389339,53.1078715915849,0.14107051994752,97.9727707509529,23389926.3112355,63.1758399037018,1000,116.670723860921,0.521921080155208,1.77493003344924,68.760366961145,694495,0.000437571188400611,0.000307674798711657,59.71081,2.9805880115222e-08,14.2488629896528,0.00216321041879486,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
0.6,30,1,0.28,30,1,0.85,30,1,0.85,30,1,0.64,30,1,0.85,30,1,0.76,30,0.99,0.28,2,0.85,8.924403,23.03297,0,42,618.2395,770.5509,324.4282,357.3789,630.913,600.1744,353.6122,416.0074,34692080,1915334000,5383324000,39524560,1620230000,319237900,738541200,6907717000,0.2430201,0.1353188,0.02697128,0.1076332,0.2377202,0.08127644,0.001007342,0.0001582367,43.3204416533158,0.120442827876157,105.323133832986,5729328.57870563,53.0589057543937,1000,101.54074664942,0.5,0.186765152051621,75.0916601104915,874465.8,0.000512512003829731,0.000402301829728033,28.48994,1e-06,19.1414194383668,0.000161767281566305,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
0.48,30,1,0.48,30,1,0.85,30,1,0.85,30,1,0.48,30,1,0.28,30,1,0.56,5,0.84,0.48,3,0.74,11.27304,13.81174,0,10,67.00998,638.7059,265.3498,338.9601,731.4907,577.9006,57.51624,698.5862,25482440,3218188000,1537135000,34504990,3097909000,5180037000,6403944000,2027133000,0.1476382,0.1336074,0.04760198,0.1047762,0.08557299,0.05453785,0.0007939167,0.0001256568,41.554284954183,0.196689274795957,117.569361819375,135557458.916831,50.4686419849182,1000,113.138221914082,0.584144579741825,0.838835926254711,61.8009970433418,597741.6,0.000313837117584397,0.000285761218076725,62.16361,8.9500361969968e-08,13.5903857090158,0.00577785451451701,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
0.85,30,1,0.2,30,1,0.85,30,1,0.85,30,1,0.4,30,1,0.85,30,1,0.76,30,0.99,0.4,3,0.77,9.225269,14.85905,0,33,445.4138,481.0164,75.02073,277.3628,655.296,772.0693,490.7192,599.7862,28491820,507379200,5320010000,30076290,4794584000,178051100,649373300,2828121000,0.09421165,0.1768611,0.2253493,0.1007717,0.03588165,0.1057108,0.0008871674,0.000127612,47.4331002511091,0.17164878958196,113.393027039891,1913180.30534788,56.8710766315961,1000,102.92382328169,0.506208426370247,0.734121124817037,74.9556447524647,660610.7,0.000359620334125653,0.000327625389684151,37.76575,8.95991919885794e-09,18.2246355612295,0.000118430254492374,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
0.85,30,1,0.4,30,1,0.76,30,1,0.85,30,1,0.36,30,1,0.32,30,1,0.44,7,0.86,0.28,1,0.783646,9.037587,12.7016,0,12,214.1993,177.6745,310.874,298.9573,787.4793,601.6491,454.688,407.0036,34364410,604374200,2699153000,34017660,5049242000,4399266000,3343143000,7212201000,0.1450701,0.1300154,0.128165,0.1478713,0.2003616,0.1635778,0.0008771786,0.000122563,48.4880923550077,0.214104450545469,120.5431822165,46814009.0804624,52.0827481037148,1000,101.628735949129,0.5,1.52995587466606,65.3896517853856,563011.1,0.000288309724083102,0.000312372044156091,59.26562,1e-06,15.2093495730955,0.00279723041280278,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
0.4,30,1,0.52,30,1,0.85,30,1,0.85,30,1,0.32,30,0.99,0.48,30,1,0.84,30,0.99,0.56,3,0.98,11.77623,12.68574,0,32,412.6058,650.5972,196.2378,728.5572,759.1629,510.5272,754.3215,625.2397,24764940,3883040000,1362061000,27949980,6982693000,1687404000,470954200,1441118000,0.07732268,0.2402348,0.1995215,0.007648333,0.009505921,0.09743819,0.000600945,9.573371e-05,53.691089635503,0.224223280179202,137.257541024874,2232704.54400126,60.2617092821702,1000,115.507292109831,0.5,0.494531681504175,74.290031985334,612146.7,0.000275298778130417,0.000230776207453612,55.62324,1e-06,10.6268229639015,0.000597955219098778,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
0.32,30,1,0.32,30,1,0.76,30,1,0.85,30,1,0.64,30,1,0.36,30,1,0.44,11,0.95,0.28,2,0.62,11.48013,7.059378,0,25,206.9764,547.7255,781.1678,253.3383,721.448,453.6094,771.7154,633.5747,23232600,6596306000,4249530000,28287240,1658906000,3487570000,3387971000,6813432000,0.1851048,0.1581797,0.0985893,0.07747668,0.1114587,0.2068105,0.0005802233,8.217538e-05,51.4068273959241,0.368912222043317,211.243196376446,3495667.3932234,62.0237198692731,1000,114.158229992197,0.502284763467191,0.0964184195585522,66.9644612018273,572611,0.000167325426953408,0.00020021479411492,62.17761,9.99975000000006e-09,8.08098190445738,0.00178173732402309,"R2R_Miller_PNin_2",22,0.9,0.3,50,0
