MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av11,av12,av17,av18,av22,av24,av25,av9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,50,2,0.3,1,0.3,0.15,50,1.99,1,50,2,1,50,2,1,50,2,1,1,0.3,0.9,16,1.92,0.15,1,0.3,0.3340267,0.08743896,2.321084,10,47,151.4737,382.5452,24.45967,254.2315,140.4372,289.9169,245.625,109.4608,326.823,72708050,6987519000,8623981000,32209960,28011850,81271450,955578700,1957009000,15876580000,0.01079478,1.381118e-05,0.004674091,0.0163126,0.009875564,0.006878441,5.738305e-06,0.001665708,2.138733e-05,62.9462289741082,16.9783323473647,31.4215623859954,288.05465466131,46.1320394689618,3666433.37228849,53.8704845322557,0.0439058135323329,405,74.9249753346405,6785417,0.00127028112595854,0.000678919075428463,62.12529,4.19713806004021e-08,1.92982840892597e-05,0.0085365928766491,"Leung_DFCFC1_Pin_3",22,1.8,0.8,10,0
0.6,50,2,0.45,1,0.5235308,0.6,18,1.95,1,50,2,1,50,2,1,50,2,0.75,1,0.3,1,11,1.98,0.15,1,0.3640902,0.6554072,0.09191906,5.573871,8,48,187.2974,56.08078,272.0423,271.8585,482.0466,478.3515,290.3243,140.9019,321.5573,117013400,3642991000,1615889000,48904520,27677210,72110900,2994976000,1072147000,17212440000,0.05426303,2.393615e-05,0.0009897632,0.05894806,0.02555178,0.0804668,1.450333e-05,0.0008182951,2.958845e-05,46.5884225987699,45.0897799629114,135.914895648915,1909.63765964653,37.898520636551,2430037.95222254,54.1963846862501,0.10492931599578,-12.803967,74.8698660400571,7324905,0.000317019530970976,0.000936497558854348,59.18005,3.7229712509772e-08,4.80166213259975e-05,0.0253420844465565,"Leung_DFCFC1_Pin_3",22,1.8,0.8,10,0
0.45,50,2,0.2065239,1,0.414345,0.15,24,1.9,1,50,2,1,33,1.069371,1,1,2,0.8745351,1,0.3,0.9376826,1,1.370146,0.15,1,0.7860816,0.6929313,0.07553455,1,13,53,31.38351,369.4204,20.88896,273.6697,72.4417,526.3746,120.003,33.20427,248.92,78620670,4739979000,13419270000,19649300,44600580,152927300,715990800,3065746000,6534942000,0.00554401,1.333548e-05,0.004337158,0.03286863,8.195228e-06,4.419169e-06,1.274236e-06,4.893664e-05,2.330066e-05,58.212708895905,58.0407344580242,152.444973440437,18.098742422649,57.4253605765785,1438197.45204079,46.4391271544697,0.0406706163887921,439,68.1667669804183,3777450,0.00014575944103745,0.000375281490812901,69.52417,1.22738818655466e-07,2.6387924317493e-05,0.00506170881214274,"Leung_DFCFC1_Pin_3",22,1.8,0.8,10,0
0.5292443,50,2,0.3,1,0.8514297,0.3,37,1.99,1,50,2,0.45,1,1.99,1,50,2,1,1,0.3,0.9639798,11,2,0.15,1,0.4477511,0.6334462,0.03033593,1,12,22,329.7787,182.24,55.97071,174.6544,34.01763,22.48196,155.5875,135.0186,82.89527,186279300,4693996000,2970366000,30659970,449944700,50992550,972641700,2181513000,14627530000,0.03145877,2.447143e-05,0.001547956,0.0270486,1.933359e-05,0.002277147,9.553153e-06,0.001109851,2.086443e-05,62.6731778890228,104.158417648702,282.674107069852,5.89162233739434,65.6601784953056,1604167.03252854,45.7876510580091,0.0453191471931904,664,83.8977207820457,4353527,9.05954302585377e-05,0.000625483174953272,66.86149,8.37538682904629e-08,2.29624580211946e-05,0.00450446368113688,"Leung_DFCFC1_Pin_3",22,1.8,0.8,10,0
1,50,2,0.2491081,1,0.5318398,0.5170349,50,1.996606,1,50,2,1,1,0.3,1,1,1.8,0.75531,1,0.4507976,1,50,1.897381,0.15,1,0.6460901,0.6636634,0.05970128,1,21,42,127.0605,215.7674,115.5985,65.89947,67.75557,398.4876,248.4712,132.9732,91.33852,63895750,3028807000,991089900,21747020,390542400,479673200,1932929000,126516600,4246238000,6.012968e-06,1.063325e-05,0.002571927,0.003597848,9.844881e-06,1.188063e-05,1.635629e-05,0.002597938,1.038307e-05,77.6152122317151,103.980134710572,270.243147932811,0.298599292131079,71.2468909379347,1764488.16458284,49.4023859774486,0.0301251301764129,536.5,98.6490898886831,4585884,9.98204337154958e-05,0.000545298314626965,57.45756,9.18552583429421e-08,8.79305430726063e-06,0.00159029844286196,"Leung_DFCFC1_Pin_3",22,1.8,0.8,10,0
0.45,50,2,0.3,1,0.9107875,0.6,17,1.94,1,50,2,1,50,2,1,50,2,0.75,1,0.3,1,1,0.3,0.15,1,0.3,0.7665899,0.0762452,3.199717,8,61,135.6413,338.2823,66.89408,233.6352,112.4405,649.2273,231.2084,68.09054,266.6297,77014670,4438179000,2367357000,318327600,38535460,61674380,1872299000,1624985000,18701680000,0.008656778,2.929616e-05,0.001165322,0.04472649,5.983063e-05,0.005522572,6.240481e-06,1.254409e-05,2.653233e-05,50.6413000373287,231.55603478597,347.498753522804,112.126827436893,47.729442496029,3094667.2152437,53.8379388549562,0.0627501310585734,-48.061308625,68.2086606919921,4644202,7.86156353574515e-05,0.000693489685877661,31.11134,6.8255706011471e-08,3.58283265561715e-05,0.0134496529110232,"Leung_DFCFC1_Pin_3",22,1.8,0.8,10,0
