CAPACITOR_0,CAPACITOR_1,CAPACITOR_2,MOSFET_0_14_L_BIASCM_PMOS,MOSFET_0_14_M_BIASCM_PMOS,MOSFET_0_14_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_AZC1_NMOS,MOSFET_12_1_M_AZC1_NMOS,MOSFET_12_1_W_AZC1_NMOS,MOSFET_13_1_L_gmf2_PMOS,MOSFET_13_1_M_gmf2_PMOS,MOSFET_13_1_W_gmf2_PMOS,MOSFET_14_4_L_LOAD1_NMOS,MOSFET_14_4_M_LOAD1_NMOS,MOSFET_14_4_W_LOAD1_NMOS,MOSFET_18_1_L_gm3_NMOS,MOSFET_18_1_M_gm3_NMOS,MOSFET_18_1_W_gm3_NMOS,MOSFET_19_16_L_BIASCM_NMOS,MOSFET_19_16_M_BIASCM_NMOS,MOSFET_19_16_W_BIASCM_NMOS,MOSFET_24_8_L_AZC3_NMOS,MOSFET_24_8_M_AZC3_NMOS,MOSFET_24_8_W_AZC3_NMOS,MOSFET_6_3_L_AZC2_PMOS,MOSFET_6_3_M_AZC2_PMOS,MOSFET_6_3_W_AZC2_PMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,RESISTOR_0,RESISTOR_1,RESISTOR_2,RESISTOR_3,CURRENT_0_BIAS,gen,index,VDS0,VDS11,VDS12,VDS13,VDS14,VDS18,VDS19,VDS24,VDS6,VDS9,ft0,ft11,ft12,ft13,ft14,ft18,ft19,ft24,ft6,ft9,gm0,gm11,gm12,gm13,gm14,gm18,gm19,gm24,gm6,gm9,gmid_offset0,gmid_offset11,gmid_offset12,gmid_offset13,gmid_offset14,gmid_offset18,gmid_offset19,gmid_offset24,gmid_offset6,gmid_offset9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.81,0.404,0.31,0.866,17,0.864,0.5,41,0.984,0.772,1,0.99,0.649,71,1.21,0.448,54,1.01,0.5,12,1.05,5.78,1,0.55,0.547,1,1.01,0.788,1,0.999,0.707,76,1.05,35,35,350,40,3.87,100,48,0.866468310509999,0.418636752927285,0.701208350650984,0.418636752927285,0.340964596770906,0.507646695841364,0.866468310509999,0.589828380121739,0.291925285397223,0.866468310509999,27897527.8238171,555350326.038328,1968369078.02821,327652206.491335,263434499.013099,2169057650.70863,52302877.7812167,2619169212.96235,342072810.884311,52302877.7812167,3.11456735100728e-05,0.000386249082099435,6.69547754090356e-05,0.000615420232607148,0.000148453560861561,0.000562097099162879,1.44101687192346e-05,6.36853320560918e-05,0.000219218910700848,1.44101687192346e-05,-4.20880923000803,0.0148333561301843,-1.33703953914031,5.11076748624039,9.50814632456273,-0.0499417856897928,-4.4541482264503,-1.67392749167155,13.8240234284735,-3.30545037336193,86.4681577999633,10682.7676742132,176803.913956292,28.6422340609193,82.0647922644019,227599.846375986,66.9994287886098,0.000878119947001973,714.8,108.33137931247,3766865,0.000197271535732246,0.000119440868683381,54.69057,2.5848840995133e-06,1.2416383607583e-06,0.00024540806185791,Qu2017_AZC_Pin_3,180,1.8,0.4,15000,2
0.81,0.404,0.31,1.37,13,1,0.5,35,1.07,0.629,57,0.929,1,200,0.981,1,76,1.03,0.5,4,1.03,2.23,1,0.97,1,25,0.975,0.811,121,1.05,0.18,20,1,35,35,350,40,3.01,34,43,0.544697121628421,0.393576983111777,0.27539118292117,0.393576983111777,0.348150665803009,0.669121986174849,0.544697121628421,0.329822169075953,0.284936836728651,0.544697121628421,146241209.82722,502108423.72275,183972342.119629,123655636.227283,86039809.8258834,3955094599.4035,150864861.023412,157559585.915713,89457838.7735017,150864861.023412,8.85917523725512e-05,0.000301270231789066,0.000142859479510363,0.000752991848465566,0.000140366501518559,0.000376739954964317,2.58273375550555e-05,0.000102565491036291,0.000162455359063405,2.58273375550555e-05,-5.56219336514174,-0.988117981087045,6.59814882609573,5.11965154009206,9.93616200429575,-6.2446689578157,0.18173149862813,6.79788900998228,0.786486360326972,1.38115814962911,83.116634485895,6379.01706806503,144559.408423065,23.4186241645365,83.017621439967,121767.267565352,72.9267487757407,0.0028444817327928,714.799999999999,109.341235500657,2759454,0.000176747402875532,0.000110701828274377,57.10606,2.42003740386715e-05,3.53856772481731e-06,0.000488767814783242,Qu2017_AZC_Pin_3,180,1.8,0.4,15000,2
0.81,0.404,0.31,0.86,19,0.863,0.5,44,0.968,0.396,29,0.856,1.05,28,1.13,0.363,43,0.982,0.5,18,1.01,2.64,1,0.488,0.698,25,1.06,1,1,0.973,1.05,76,0.884,35,35,350,40,5.2,48,47,0.77472056585715,0.43611232663728,0.34557470637263,0.43611232663728,0.37505534437132,0.376001158209309,0.77472056585715,0.351134247025754,0.311781159903805,0.77472056585715,150204311.29262,622467317.378728,919230018.833989,134215222.428335,568936854.606466,801644849.057372,207220159.910296,338716120.740001,644653168.613516,207220159.910296,6.31067786985117e-05,0.000472528058959045,0.000277754026760041,0.0001535965843181,0.000228136932554724,0.000234053620233027,2.32755597028351e-05,0.000182563810572947,0.000285334391081572,2.32755597028351e-05,-7.08548668451579,-1.36456112821144,11.2650656741953,3.10992860428353,8.2170941890861,8.70827521854876,-3.36889645543701,9.92544076319333,8.42405323503619,-3.31383892980224,83.1208136534504,2294.43814074701,143913.515847163,23.3139895672404,80.4746974067769,50614.2824774343,67.8557356160848,0.00237828259872873,686.3,110.053758900611,3174668,0.000204255131292128,9.10258063104142e-05,52.11258,0.000136688883815889,1.28826891982459e-06,0.000292541356936793,Qu2017_AZC_Pin_3,180,1.8,0.4,15000,2
0.81,0.404,0.31,0.86,16,0.863,0.5,44,0.968,0.396,46,0.88,0.821,28,1.09,0.363,43,0.982,0.5,21,1.34,2.64,2,0.22,0.576,4,1.01,0.816,1,1.01,1.14,115,0.86,35,35,350,40,5.2,53,51,0.733985445062277,0.435170181401768,0.317411426435682,0.435170181401768,0.375724200788839,0.366011912253774,0.733985445062277,0.478038903781119,0.311647020940446,0.733985445062277,165058504.076864,621197024.434497,647978117.214777,220654989.553297,573364190.110488,691459823.40172,221610908.602628,1381054688.41149,643505869.97355,221610908.602628,6.45908165558055e-05,0.000470422003743876,0.000296522465570436,0.000192048593541414,0.000230377103337572,0.000302106094358986,2.33651120822958e-05,0.000125774547680572,0.000284734004896806,2.33651120822958e-05,-4.22027500765882,-1.79176053072182,11.9333750515619,3.21683133923256,8.20025437759979,8.216388357795,-4.20138513892634,4.99384361963025,8.42734562655528,-3.29564535468561,81.262268941795,2720.60357969061,151615.600475287,24.5617272769965,80.8506893667746,61095.9030262549,67.2964774115258,0.00204834088913966,680.9,109.673315421195,3404793,0.000207932831531078,0.000117466378833774,51.15477,4.07021992278539e-06,1.97073805157655e-06,0.00042780007548493,Qu2017_AZC_Pin_3,180,1.8,0.4,15000,2
0.81,0.404,0.31,0.892,27,0.816,0.5,41,1.02,1.42,69,0.474,0.487,111,1.48,0.645,79,0.979,0.5,10,0.964,3.26,1,0.345,0.18,6,1.15,1.23,18,0.955,1.12,76,1.01,35,35,350,40,4.34,100,18,0.847350542633649,0.403735841120103,0.338231736175412,0.403735841120103,0.340815168535662,0.627802409422707,0.847350542633649,0.320324441090345,0.291352438811457,0.847350542633649,90006012.3575215,530152607.692312,115484042.908416,539039041.589961,154220484.496162,3521205927.95785,164510713.58963,3499172826.68608,195703575.792765,164510713.58963,3.58628004288348e-05,0.00036559222027318,0.000155077132882499,0.00141370022659881,0.000163792077909639,0.000771757322182162,1.64387039144083e-05,0.000171442784344044,0.000240058978765823,1.64387039144083e-05,-4.15712535080983,0.0520722260695425,6.89506202848831,7.63539173092458,11.7391070569689,0.428578340739958,-4.41255678605057,15,12.9639955561295,-4.62067999314286,87.7645357631816,19100.107205322,114411.189988769,18.5346127781806,82.1467902589107,551276.014333205,69.6404550243607,0.000524805945533208,837.8,93.217366473231,3302188,0.000267244968064891,8.59551882108317e-05,50.46698,2.83634310096123e-06,1.1487481289349e-06,0.000148362806920432,Qu2017_AZC_Pin_3,180,1.8,0.4,15000,2
0.81,0.404,0.31,0.477,13,1.17,0.5,28,0.92,0.908,33,0.884,0.404,200,1.06,2.12,45,0.99,0.5,3,1.68,2.4,1,0.998,0.722,1,0.896,1.04,73,0.979,0.613,85,0.975,35,35,350,40,4.64,33,55,0.620717350701684,0.466787201292151,0.356729762399789,0.466787201292151,0.48064587383508,1.12446169426897,0.620717350701684,0.663520989877892,0.388348591224932,0.620717350701684,166330392.723583,710905840.263984,267547498.311199,1106621378.86886,66523808.2748326,6237346804.59694,169614790.593923,2060708703.61459,67531347.4764791,169614790.593923,0.00011627665223471,0.000346638766817429,0.000204622225453485,0.00365812730133027,0.000183165301211109,0.000773326535116212,3.365839670823e-05,5.87758750578647e-05,0.000198785197442183,3.365839670823e-05,-5.3151778840508,-3.19912311715128,7.26926554322219,6.78426746509281,6.15037861384087,-1.69644233997111,-1.43241281838442,-4.51421876490868,7.00368822411186,-5.18276615471865,90.0124451237822,13641.5870816004,69688.9753171254,11.2896140013743,79.6136023360211,819367.970637529,70.2467710432302,0.00356298282350265,655.4,78.7689133733538,4185797,0.000556147933776627,0.000155922242024567,49.708,5.28581961258735e-06,2.84318707869213e-06,0.000596662992001507,Qu2017_AZC_Pin_3,180,1.8,0.4,15000,2
0.81,0.404,0.31,0.8,26,0.869,0.5,41,1.05,0.18,1,0.878,0.316,147,1.09,0.18,76,0.854,0.5,18,0.86,0.673,1,0.593,0.18,1,0.847,0.539,1,1,1.05,70,0.699,35,35,350,40,3.76,71,63,0.49982698079403,0.40006484963922,0.444298922912097,0.40006484963922,0.235352632915445,0.627348690945095,0.49982698079403,0.44030649942052,0.215408681436172,0.49982698079403,1137672976.34857,513885639.650033,16952794446.0255,1344499172.45281,544345818.057362,3519952730.65374,1220069795.41091,13866691217.2982,600042262.276392,1220069795.41091,0.000130187186472945,0.000361715216244038,0.00012457779876146,0.00237838565470181,0.000213480127820008,0.00124160735215886,3.93975346982616e-05,0.000100076637985907,0.000252726514185787,3.93975346982616e-05,-4.38380493491213,0.818841799811354,7.06798612014783,3.43394259940989,10.8412066398932,-0.355591295825881,1.47473109883355,5.18346754870589,11.5128209638623,-4.28473888712837,85.3974577788978,25395.0950294526,93102.0061551048,15.082524997127,76.942374572999,874815.16845504,66.719191421959,0.00115743000367725,606.6,90.9761139896989,3207196,0.000318964762260722,0.000160908040180287,62.07844,1.86534020661954e-06,5.9278829379672e-07,0.000136299981417787,Qu2017_AZC_Pin_3,180,1.8,0.4,15000,2
