MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS3,VDS5,VDS7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,gmid_offset0,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
10,1,2,2,1,2,2,10,2,0.25,6,1,2,14.388,5,33,62,1.42377191179886,0.541016687935403,0.769293907484228,1.06383464814103,26114078.6746552,368055567.872116,97940192.7125172,1391206854.35716,6.49223294761719e-06,1.79382530247499e-05,1.58186937986796e-05,7.99417232298374e-05,-7.34455357721372,-1.68248619395194,-4.29951849300984,-5.91808008620125,54.4960310731939,104.899845457884,34.7882247723795,234.820517213561,104.182493621871,26128049.3659184,20.8851621971198,0.00394889307100873,231.8,82.2262586389534,8664917,5.53502549701793e-05,0.000292035413806156,45.83702,2.39250733105037e-07,1.48098600676638e-05,0.00374518485894182,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
4,15,2,6,2,2,2,2,2,0.25,7,1,2,11.6,5,2,3,0.205564763849016,0.775218757435126,0.858359919751099,1.11483506953501,25444505.4323902,47987072.3637572,80033066.864133,1444848590.56613,3.67214706263123e-05,1.37470009987194e-05,1.51662984277191e-05,8.32225216446283e-05,-1.26220651692167,-5.62614673502386,-4.49784845572909,-6.02976047128213,61.9302346101016,78.5802638386016,24.4683955753801,165.161670133816,94.0132104871967,20657610.6485836,23.1138486626524,0.00206865311762668,-19.39922325,82.2200048873146,6432386,5.84189963214989e-05,0.000332327946609552,50.63682,1.8016885933892e-07,9.36661140756412e-06,0.00159277348225295,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
8,4,2,2,1,2,2,2,2,0.25,3,1,2,8.99,6,16,21,0.673751979433707,0.594850150892919,0.596363946217901,1.16753059107111,21657235.5004145,402018789.085972,316859812.380927,1498772393.36231,1.70305224526674e-05,1.96188322384816e-05,2.56407357457935e-05,8.65200245204228e-05,-5.6166474856433,-2.01721648755387,-4.22928532485609,-6.13351033512586,49.7939266310228,101.548617055606,30.9219617624253,208.723241896371,92.7577426877164,30595028.293525,20.2286924935845,0.245617880972346,352.900000000001,77.7019071901247,9316309,6.69521198168156e-05,0.000331831213672998,45.50757,0.245617880972346,3.30664542156245e-05,0.007338167184753,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
10,7,2,2,1,2,2,2,2,0.25,3,1,2,8.99,6,18,48,0.572807719359337,0.594642018673543,0.596205997121055,1.16697068162265,11781393.263244,401900166.444713,316766195.926628,1498210581.03731,2.00807066758204e-05,1.96127453859485e-05,2.56320462169299e-05,8.64855918661244e-05,-8.81404170227687,-1.66385076463345,-4.5691517815168,-6.18087455716126,49.8205760887808,99.7671596104655,30.8487915295409,208.229342824401,94.4322454957828,30006428.4146506,22.0272558436134,0.241461267011753,297.500000000001,77.9530585660821,9278224,6.68365745731446e-05,0.000331918362181465,45.09549,0.241461267011753,3.3037936574587e-05,0.00732548107197317,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
8,4,2,2,1,2,2,2,2,0.25,3,1,2,8.99,6,17,38,0.673751979433707,0.594850150892919,0.596363946217901,1.16753059107111,21657235.5004145,402018789.085972,316859812.380927,1498772393.36231,1.70305224526674e-05,1.96188322384816e-05,2.56407357457935e-05,8.65200245204228e-05,-5.86796737089721,-1.71397141995744,-4.46908387069349,-6.18122409168713,49.7939266310228,101.550094138464,30.9219617624253,208.723241896371,92.7577426877164,30595473.3157529,20.2286924935845,0.243969353520554,288.8,77.7019071901247,9316309,6.69521198168156e-05,0.000331831213672998,45.50757,0.243969353520554,3.30664542156245e-05,0.007338167184753,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
10,4,2,2,1,2,2,1,2,0.25,3,1,2,8.99,6,18,54,0.760822072194594,0.593315643916791,0.595199390682563,1.1644143305782,15360580.6515107,401143957.022746,316169582.807663,1495643086.73476,1.50635711734869e-05,1.95739407333825e-05,2.55766577753079e-05,8.63282425771852e-05,-9.65024115964615,-1.76050145765101,-4.45861329599707,-6.17538675554106,49.8601365970359,102.756426240702,31.1592086008965,210.324658056052,95.7183897174522,30832565.1740034,20.5231576517845,0.24231868736004,277.6,78.1984128146139,9349472,6.66788579599761e-05,0.000330787480615721,45.14713,0.24231868736004,3.32351697286559e-05,0.00731099476897512,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
10,1,2,2,1,2,2,1,2,0.25,3,1,2,8.99,6,19,54,1.5693052859104,0.591230982212796,0.593616946936165,1.16047981850054,28189417.6850524,399953943.676204,315231685.866042,1491683464.34746,7.02197193014277e-06,1.95128830518754e-05,2.54895482499127e-05,8.60856059827545e-05,-8.07834865976787,-1.64444877983153,-4.50210252527354,-6.16866222332385,49.9152871816529,104.592783144747,31.5576810657962,213.014347194125,91.6858796173946,31245668.0758035,19.0052624291274,0.243796844535024,258.8,78.4988319379352,9427427,6.63858593858604e-05,0.000328300644987193,45.02954,0.243796844535024,3.23505526558709e-05,0.00728235384754283,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
6,3,2,3,2,2,2,2,2,0.25,2,5,2,14.388,5,17,51,0.605999352837356,0.49313253535982,0.451267526422019,1.07450367916194,35370481.3950819,140057768.763538,565708045.509908,1402788486.75468,1.57446313449221e-05,1.99447038937831e-05,2.96363346693325e-05,8.06446930518535e-05,-9.01190940976911,-1.3053768360214,-0.239423795777518,-5.98656928730276,56.5355751251862,102.934927884536,37.52075845156,253.26511954803,90.1476414350871,26035365.7803973,21.2647595801128,0.248158474174319,239.1,77.8707857726974,9490138,5.62067410838246e-05,0.000340482835873936,47.89756,0.248158474174319,3.51756226396205e-05,0.00755513708169619,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
6,3,2,3,2,2,2,5,2,0.25,4,1,2,13.3,7,21,24,0.718885741570374,0.58949002518024,0.732589843201606,1.26257675050504,41459435.4545386,163605528.428888,216831959.22971,1591179548.84173,1.85273554451385e-05,2.354080006275e-05,2.3595285930135e-05,9.21994198978159e-05,-5.59809872797997,-6.55923891691692,-3.94218669108643,-6.33926850284076,51.7617835732391,96.8841814152903,31.2125611899832,210.684788032387,92.9066543674803,34231981.521758,20.850659461993,0.239737690480894,316.700000000001,80.1412931277778,11028300,7.85175339638525e-05,0.000306108924225665,46.41169,0.239737690480894,3.15837634044103e-05,0.00451216518574604,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
3,13,2,4,4,2,2,2,2,0.25,4,1,2,4.51,5,4,11,0.18603525208316,0.436569703322736,0.667744080402511,1.13219145027538,41390145.7631468,67243191.7869095,195616506.530356,1462775957.91357,3.93101630525871e-05,2.51891505198686e-05,2.10710025687177e-05,8.4318829491251e-05,-0.487283993517177,-3.80873280876352,-3.78558888315235,-6.06515279407899,60.584854747979,79.0488883209493,36.8861010256569,248.981181923184,88.0571580909293,21279874.1649809,21.466252583998,0.00284964970113499,-21.123564,80.0707615556242,9929698,5.98219788537885e-05,0.000333812297158361,35.39838,2.06566794749906e-07,1.33086990029851e-05,0.00241770232563887,"TwoStFixIRatio_SMCNR_Pin_2",180,5,2,1,1
