MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,av0,av3,av5,av7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
6.65,30,2,0.85,1,0.12,1.95,1,0.12,1.864156,10,30,2,131.31,0.1,0,53,561.5618,460.3659,169.4024,385.7234,1649052,354001000,980001.2,243764500,0.004389832,3.686412e-07,0.004816228,1.786923e-06,13.403706332848,11.0837258737155,716.626609159478,642.065294612169,56.5795199535776,1000,65.4679621080281,0.561618296712393,1.39688860445007,36.4533629141626,64655.75,1.11385640108827e-06,0.00016309451747107,28.98182,5.03999857373185e-06,0.000203343060744724,0.0135110270678855,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,0
9.1,30,2,0.65,1,0.12,3.8,1,0.331737,2.333284,9.35,30,2,99.43,0.1,0,58,646.4609,474.5125,148.4214,397.2994,979276.8,631538800,1502852,61448980,0.000465071,4.227739e-07,0.002539532,1.960129e-06,13.9786618174719,11.1623986515419,695.058453250427,310.015916630094,63.086680516835,1000,68.6113138416174,0.500293869585056,0.0784387526325769,41.7256301654464,62267.84,1.10600592200139e-06,0.000162278036868972,34.16541,3.45381926314224e-07,0.000177230559649922,0.0131714150395946,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,0
3.75,30,2,0.15,1,0.2589214,0.382499,1,0.4700654,0.9916332,7.3,2,1.02,11.38815,1,16,31,277.4222,304.1828,286.4291,16.85174,8642635,7637951000,12312200,6525109000,0.003156301,1.023162e-05,0.0007064429,4.492995e-05,22.0559172908873,248.512444142259,1209.92663093342,397.862460067187,31.8756706429346,225213.989807881,37.3077844526506,0.179127464370989,-16.944708,41.7128744529246,1096494,1.11882511028951e-05,0.00021758141290078,37.29786,4.24179830446248e-06,7.33843793779934e-05,0.0080226456210602,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,1
5.35,30,2,0.15,1,0.1416887,0.35,1,0.4473777,1.682167,6.1,30,2,3.184974,1,10,23,505.3119,74.68663,180.5706,131.5466,8402609,8819702000,8442039,7665205000,0.002324807,8.026181e-06,0.00996165,4.630162e-05,19.5504427877144,543.796601058177,628.542984469548,1211.17573472516,48.4394396440917,489172.109904943,53.8609675164214,0.111276351271304,-64.9582197,42.1378183494378,565405.7,1.11055527727218e-05,0.000276935742108401,35.03028,1.54732989560016e-06,9.57271808821786e-05,0.0197037230200473,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,1
1.862459,30,2,0.1,1,0.4560505,0.15,1,3.078412,0.7574905,3.213939,30,2.600424,0.1,8.994503,18,32,174.3187,44.09854,160.732,171.6843,107525800,27679080000,83610670,32322720000,0.0045408,7.831003e-05,0.007218819,0.0005940317,32.7534801001412,610.677060017177,563.676196533682,705.914268690782,37.254120712309,4970191.64262509,37.9363139090787,0.100047396162889,-92.314112,41.7368738516981,4587660,0.000100479278930121,0.00028674228604738,27.39457,2.42450770625838e-07,3.18701168353586e-05,0.0170827987930634,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,2
7.8,30,2,0.55,1,0.12,1.7,1,0.12,2.069738,10,30,2,46.86,0.1,1,57,609.2044,54.15667,9.398925,144.1015,1282548,623986700,965318.4,318755600,0.001406747,6.392526e-07,0.002559686,3.233564e-06,14.6861006644307,588.399460434138,773.445359490671,347.30114255793,61.623808315677,52901.4570419952,64.4715493997158,0.210673029407195,-73.7599665,40.1868079179107,69538.45,1.10996772064337e-06,0.000184994029816918,25.18044,4.89935082965964e-06,0.000184709518511223,0.0127761046259261,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,0
1.297197,30,2,0.04,1,1.173528,0.04,6,1.301469,1.384087,1.378037,3,1.832251,0.1,11.10803,19,54,132.7092,12.51974,217.0444,8.854058,92229800,14273770000,188980700,21456860000,0.0009452872,8.033937e-05,5.767701e-05,0.00069922,21.4212528330577,671.447049806283,680.930495399931,50850.5951703147,27.1453888918521,6886209.91509078,40.0144755785668,0.110227258962176,-71.1890236486783,21.7266270282862,6983470,0.000126614507052895,0.000166642378898011,67.96572,4.75870547511539e-08,9.67088315534625e-05,0.0420458459210066,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,2
8.6,30,2,0.75,1,0.12,3.1,1,0.2581156,1.760879,9.75,30,2,73.1,0.1,1,55,75.23449,548.2872,801.3254,267.0367,1205806,482854100,1275019,91934630,0.001054678,4.246397e-07,0.0001031356,2.251804e-06,14.6047925024659,653.998852490244,810.016597659852,275.639324410423,59.9395829366824,58662.3900581932,63.0085501290103,0.206752479659381,-70.3538407,41.6766431457972,72656.87,1.10738273469108e-06,0.000175383862030964,25.32539,4.03107256168045e-06,0.000166735255873961,0.0122159816421898,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,0
8.95,30,2,0.6,1,0.12,2.6,1,0.2236508,1.939261,9.85,1,0.2583543,33,0.1,1,4,418.2975,152.2236,45.94808,541.7036,881391.1,676576800,2731799,134174300,0.003188081,5.619923e-07,2.379138e-07,3.378794e-06,15.5967918095043,496.421146667696,838.47892925169,178.809653863308,50.7606103530257,44495.9286725976,53.1005678010132,0.191073700483038,-40.3466514,40.9604413537114,75155.74,1.10658552004804e-06,0.000159193801776443,37.84053,4.93594143373976e-06,0.000144286544059763,0.00811238473016429,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,0
8.968127,30,2,2.909629,1,4.436986,0.158246,1,0.4654742,0.7964976,7.363818,3,0.12,11.38815,1,18,45,429.5487,220.7161,229.7365,190.2161,8201759,4044548000,16713460,12163810000,4.000833e-06,1.062033e-05,1.45727e-06,7.551283e-05,11.331708501179,709.361318823205,1151.33354541469,4640.43750971789,42.2301086769425,633705.578863879,38.6472486868941,0.120221803947559,-8.923948,47.5381787536919,1028540,1.10289713540696e-05,0.000130949179310126,40.94366,8.50688516562543e-06,0.000964708191319874,0.00699223510243757,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,10,1
