MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
8.63,1,2,0.4,34,8,5.36,11,10,3.5,2,7,6.8,1,8,8,4,5,1.24,9,7,3.94,3.27,20,5,1191.91498203074,4281.13279313762,51.8818658630475,4.43093353380479,155.575079584455,1.1693482451912,2067.18950408823,12230655.8857235,9915897.85205247,6325842434.74445,4380334.61897113,24069439.1005062,138982873.334257,38780371.8897449,1.44787170659293e-05,3.85144550701118e-06,0.017431767632953,4.67083443859962e-05,2.45185665072137e-05,0.00226779981870405,3.90181112616123e-05,113.071297389209,1.18446582212399,4.24432365625646,0.0025060448026088,75.187467103145,287593.106163457,82.5576162446567,0.0237300536616747,233.5,94.5421031782013,1030539,0.00758762675945514,6.06317864569979e-05,50.53229,1.70487713826717e-06,1.89331423964267e-07,7.54741432451578e-05,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
10,1,2,0.4,21,10,1.2,3,10,5.09,1,6,10,1,2,8,3,10,2,47,10,2.98,3.45,15,14,901.464306711695,4323.93590518614,44.3831907568574,4.29360255061445,202.95156576074,1.62063754126619,1939.02343532578,12611487.4926382,8524212.21885967,6942272660.41132,3513920.36235059,3031287.59227329,2465051453.05642,29344109.7763977,5.92515983944261e-06,3.89377133418992e-06,0.0149645741858765,5.33619548503386e-05,3.11342992028193e-05,0.00248350184713478,2.04241222399001e-05,68.014612224769,2.75493930703491,3.13019474658282,0.226673144123488,66.5228715122969,661605.479308384,84.6540016774163,0.0351945332703814,-28.2099015,88.3883752448669,751724,0.00750476468777066,8.92245928654429e-05,57.99168,4.47200443162374e-07,2.62388572304539e-06,7.15582031169948e-05,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
10,1,2,1.2,32,9,0.8,1,4,1.6,1,3,10,1,4,8,3,9,1.2,22,10,3.04,1.71,14,50,1436.62406251133,5253.91888024922,309.410570563449,4.06991449191651,144.959543681776,1.88805155829623,869.549693233765,6786127.31927087,7169555.55904363,507206484.037696,2354460.25384992,6575709.0032745,5237532258.32811,199506888.484767,6.07224061428277e-06,3.20834759346674e-06,0.00411752206540437,2.95474521000673e-05,2.08756519095569e-05,0.00047500907512863,2.02261303832474e-05,117.648409945721,7.01652909489024,14.9451044700268,0.000899310377468307,75.3561933012446,317237.997381272,77.7750602699863,0.030523636527437,-52.5922749,99.345965318775,675712.3,0.00141290476873877,0.000100269555311194,39.65263,1.02265340911224e-06,2.36745814289341e-07,6.83906473051277e-05,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
2,1,8,0.4,50,7,1.2,1,6,0.4,1,3,10,1,2,8,3,10,1.2,21,10,5.14,2.17,14,8,1051.77281316613,2048.8894644215,105.391207297616,4.11415966515851,149.15271673946,4.25763736608406,121.669092717789,10293938.5859059,73568631.6267391,3169388763.11142,2580960.47309511,12292627.3154301,3131269378.373,2291845422.91505,4.79020217976293e-06,1.99860902529162e-05,0.00951450242537747,3.66725071411793e-05,3.85491739469956e-05,0.000596552733459937,5.4979556267433e-05,119.460269507417,5.33352848427895,29.4954163401743,0.000115537578023729,84.6610497147281,185056.812025673,90.0392136793742,0.0204826843896121,-28.7761914,117.691900403403,1023399,0.00108427758337623,0.000117210335088091,35.46657,2.86975947067988e-06,2.34944258924452e-07,2.21841069618645e-05,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
15,1,2,0.4,3,8,0.4,1,10,6.84,1,10,10,1,2,8,5,8,8,1,2,3.04,9.39,23,31,845.897626729754,543.481017394827,7.71737355288106,5.1961659217349,344.479827768868,8.54897316548343,2808.67323637434,21974438.3766856,10757720.6856266,10398160212.2793,5988550.49234945,59614086.8452264,21245365190.8453,19281873.712126,9.98068882335922e-06,7.30421647517402e-06,0.00274294421909855,0.000131083975862746,2.22866319497901e-05,0.00241291745318559,2.92219982900575e-05,56.3695879156803,13.6786006440803,7.6540279708051,72.8250508190058,52.6832419942636,1881974.84754608,76.960769226925,0.0452197442582757,142,71.4718655674,1053082,0.00429954170869569,0.000200427284847351,64.00376,2.07328041961745e-07,3.02322536494448e-05,0.000516924708803046,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
9.55,1,2,0.4,5,10,0.4,14,10,6.8,1,6,2.79,1,2,8,3,10,0.4,1,2,1.43,6.91,25,57,427.684548423775,1478.55189035514,16.9517510086472,5.20021479805449,44.3452865722511,47.1152077675196,2329.09652097805,139261000.821404,20075548.7928649,9675809464.89033,5943891.52034512,4254861978.53699,15438580586.1292,24065310.6091923,1.77558479107823e-05,8.65869237692185e-06,0.00529703583820618,9.73293536543017e-05,8.00194516541815e-05,0.0215481183427273,2.19965948411623e-05,48.1375586453051,37.5431870682698,11.7247976407629,760.081140548377,48.05142789465,6260444.89772453,58.8235497058789,0.0370424568777983,241,98.7350093681831,1955147,0.00521103609819101,0.00145488516678936,57.70783,1.28739345813181e-07,1.36715683642052e-05,0.00213925019415817,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
9.55,1,2,0.4,3,8,0.4,14,10,6.8,1,4,12.7,1,2,8,3,10,8,1,2,1.43,6.73,25,55,808.465873019969,875.243438392422,14.9948587420081,4.64163799057753,293.193535394237,49.8153866153056,2003.01952333999,11693206.1257814,18213600.1561402,9407079171.71866,5294986.86194729,47457587.3844722,11002657700.2748,22645275.2296851,7.03054449773754e-06,8.23591015858945e-06,0.00253371428891363,8.84645425695266e-05,1.83917283329379e-05,0.0150297284239115,1.43315784624942e-05,42.9475093782243,25.8159520768675,13.5865176510938,1554.36476049699,42.0445450411932,2197654.52630023,60.0963393227907,0.0339964201670484,258,113.390473664556,1156590,0.00266024292818626,0.000694849094485239,64.37358,1.55074785852981e-07,5.76160117341451e-05,0.00263206181055486,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
9.55,1,2,0.4,5,8,0.4,14,10,6.69,1,6,6.59,1,2,8,3,10,8,1,2,1.43,6.73,25,50,749.444445359697,979.37465109498,16.0390312774287,5.197311674576,354.088857024908,49.4447587337435,2466.58815656197,36364124.5781707,20477641.5349175,9783718132.70155,5842022.00024828,56336498.1127589,14515184742.5728,22970204.3558032,1.0876734924535e-05,8.85849122690112e-06,0.004286743346299,9.51944295489801e-05,2.09962456445612e-05,0.020084143632184,2.05753269290518e-05,64.1030618830559,41.7514359674078,12.8866522588197,4.97160096764576,64.5729987632952,5863498.95349623,59.5490554081255,0.0364864762756401,285,123.502632653883,1809779,0.00438869557539996,0.000650310909226183,57.32352,1.2028485334119e-07,3.68018796059966e-06,0.000665663004317141,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
18.7,1,2,0.4,1,8,0.4,12,10,6.92,1,10,10,1,2,8,5,8,9.25,1,2,3.04,5.47,21,21,772.155923628458,759.383042461341,8.48395909055772,4.36627836231884,330.865540589564,54.622879573709,2552.68469239159,15424438.3960045,5904066.25364371,9922911876.46354,3920938.23429667,34635659.8298007,8480175582.75955,16632057.8628838,7.29490501139343e-06,5.21327390035313e-06,0.000894938040160858,8.14075997365343e-05,1.54693046632445e-05,0.00952530139933325,2.62584776522016e-05,58.3902842528891,49.0017026289649,27.0009358203031,11.5045880187604,57.175521101657,2038069.88206667,77.295277992902,0.0459801522552391,-4.063046625,124.84149167573,1123018,0.00129974430269973,0.00114000227696443,56.81155,2.78918210282679e-07,7.4075348721192e-06,0.000771802916909037,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
9.6,1,10,2.8,25,10,0.4,50,4,1.6,1,4,10,1,8,8,5,10,2.8,3,10,4.75,3.1,13,14,1483.62237265193,5597.69159496978,1007.54537778097,4.06665303000459,291.257212175322,62.6494145712468,769.223693652823,6456351.72479547,6342417.16569994,75908404.860752,2320205.04486153,38269895.8898387,2672473924.40188,220212828.731294,1.14785964857875e-05,1.31970824860471e-05,0.0011790888693971,5.3751479806667e-05,5.01355136630099e-05,0.00427620635687143,3.08682792022542e-05,118.327296344624,43.0076931703169,73.0660332723061,0.000715469904204076,76.7211541524174,427410.314247878,98.3338700550324,0.051625118420355,-39.7619046,144.720283163176,726130,0.00031056239792616,0.000710099618982817,43.61173,7.43668776889e-07,3.20263533399867e-07,5.95993954961571e-05,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
0.4,1,5,0.4,8,10,6.32,1,2,3.1,1,7,10,1,3,8,3,8,0.4,1,10,4.59,4.18,19,54,966.313476491809,141.475810723245,128.884050536186,4.49058482489327,44.8399913856427,102.237854132517,1339.19989367598,11355185.7039023,1167979500.37893,992901542.397931,4553955.91204759,608467344.575219,132569593.840303,66494237.548227,7.96047387364145e-06,4.23884620037302e-05,0.0005807040528258,5.87334804941869e-05,5.00571030644082e-05,4.1957993327731e-05,3.23147136404987e-05,62.7693715207673,172.897772807924,357.052388890705,0.0247590750503371,65.3583035309411,434604.952776038,81.7346315829465,0.051769577615675,-20.9409651,114.87554882066,897505.7,7.85516467545195e-05,0.000122229451514834,44.54847,1.13430706144384e-06,1.04164554147745e-05,0.000208359928640878,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
4.69,1,9,1.07,50,10,0.711,50,7,1.7,3,2,10,1,2,8,1,10,2.4,9,10,3.73,3.52,30,0,895.453220530448,3275.72956089466,418.447762282221,4.92272883886765,259.192436138727,206.665179686313,896.378877495997,12722866.7013102,22261873.1672668,468483958.647275,6841062.52925463,22566645.7007483,1900350223.50355,184419733.647436,5.9795202706768e-06,1.94457527839423e-05,0.00549952394932909,4.05998221195206e-05,6.66250207783453e-05,0.00978445293512586,4.00350765509271e-05,80.5076110580947,10.871133862303,39.337872588136,0.000410670459682284,81.9808962720838,364810.379539483,77.8487636382236,0.0355558644397077,624,157.178131079981,1320089,0.00104867850079014,0.000324235736056339,50.44871,1.29487522122079e-06,3.18265322519773e-07,1.87692077318058e-05,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
9.55,1,2,0.4,3,8,1.69,12,10,6.8,1,6,10,1,2,8,5,9,8,1,2,3.04,5.65,14,0,1027.53330152598,1224.38545592155,19.0127479330562,5.04307623661973,368.411117859824,179.312241324015,2665.33659753298,17629214.5791732,18964397.4093399,9483120355.02399,4143384.92193068,51994184.2347632,1320464095.33823,20865668.7549915,7.97205595397495e-06,8.17947618644048e-06,0.00248735804147841,9.21708773515238e-05,1.92856574629264e-05,0.00627853697251888,1.89207620515767e-05,56.4870389476553,19.7679722272664,11.0370644832377,0.629096303452364,56.5596822391515,1455037.3010184,79.5968592345201,0.0539325403894672,-18.5732019,131.135800055113,812391.9,0.00230018107745555,0.000276032396126081,65.91206,2.80965939121575e-07,2.6738802072801e-06,0.000234503846119116,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
9.55,1,2,0.4,3,8,0.4,14,10,6.8,1,6,12.7,1,2,8,3,10,8,1,2,1.43,5.47,19,0,868.83496360057,1160.50988358103,18.3243147020247,4.52405240296523,306.499282509848,51.3634575300566,2250.04990473649,10681007.4276081,16662163.0015959,9112250153.75622,4682128.09454437,43292324.116559,10240338127.1792,19655814.7610641,6.41042102933722e-06,7.50827996344432e-06,0.00243668288696342,7.59491582856182e-05,1.66713415852251e-05,0.0138307379508456,1.84972639834058e-05,52.1222864275178,74.2180688883479,22.4324817885016,8.9656993495437,51.8148669576189,5339238.81096026,60.322218128978,0.0388226488803448,261.5,125.256131419511,1613790,0.00224812118317866,0.000660883589452002,50.19392,1.44868769149834e-07,6.71186536652546e-06,0.000522797414072906,"Fan_SMC_Pin_3",65,3.3,1.6,100,0
