CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,VDS0,VDS17,VDS5,VDS8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,gmid_offset0,gmid_offset17,gmid_offset5,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
50,7,7,6,9,16,5,10,13,2,6,13,4,3,22,0.79972062783494,5.14465746583526,0.853469254555929,0.660538683408926,33477497.1220716,5121485.3103697,17017654.9383037,41962142.5285786,0.00012112141546894,4.08004260352462e-06,5.43843343935306e-05,0.000154532407059107,-13,8,-2,15,100.478211675979,9.75906463859235,3.71664802477829,2.50873741672534,42.1368202170466,1309041.63322499,92.3904756996088,0.281745069185591,-64.5130750147747,50.5951498409301,498536.2,0.000298079940536826,6.09354430660808e-05,87.98369,0.281745069185591,2.42339168700711e-05,0.013789631739614,"Cascode_Null_Pin_1",180,5,2,10,0
50,7,7,6,7,13,5,10,13,2,6,13,4,1,10,0.79972062783494,5.12564443232411,0.890003116515299,0.661949214693889,33477497.1220716,6753683.87124528,17654726.9658621,42073704.4438488,0.00012112141546894,4.19863288717222e-06,5.64750731488139e-05,0.000154908498066728,-9,-7,-3,15,100.518373392827,8.06509218643328,3.39868617365788,2.29411316721907,39.2324456829985,1099572.66404042,81.7373843476778,0.283894842462044,-84.4836121918412,48.9017420136923,463367.6,0.000302971714705139,7.52902735654788e-05,88.31401,0.283894842462044,3.07172586438398e-05,0.017623608646248,"Cascode_Null_Pin_1",180,5,2,10,0
50,7,7,6,7,16,5,10,13,2,6,13,4,2,22,0.79972062783494,5.12564443232411,0.890003116515299,0.661949214693889,33477497.1220716,6753683.87124528,17654726.9658621,42073704.4438488,0.00012112141546894,4.19863288717222e-06,5.64750731488139e-05,0.000154908498066728,-13,8,-2,15,100.518373392827,8.06509218643441,3.39868617365788,2.29411316721907,39.2324456829985,1099572.66404057,86.1162005664439,0.283892119362732,-84.4836121918412,48.9017420136923,463367.6,0.000302971714705139,7.52902735654788e-05,88.31401,0.283892119362732,3.07172586438398e-05,0.017623608646248,"Cascode_Null_Pin_1",180,5,2,10,0
35,7,8,5,7,15,5,8,13,3,8,15,10,3,55,0.683748117351089,5.15071468240612,0.566214219419067,0.395782248869229,29077803.3916362,4818722.50870608,18415296.2460352,13878650.1896073,9.97651056762648e-05,2.99599739058469e-06,6.98985558839831e-05,0.000190560043738322,-10,-5,-1,11,91.1440414733777,8.23866183677297,4.89919084563899,3.30695382080632,35.7417657465564,806232.561397715,94.5462849613881,0.277642703662923,-94.700708108364,49.6601855888069,479433.1,0.000217465888236883,6.49165045722788e-05,88.30236,0.277642703662923,2.42143007869e-05,0.0225156351811742,"Cascode_Null_Pin_1",180,5,2,10,0
35,7,7,5,7,15,5,8,13,3,8,15,7,0,18,0.731,5.13,0.566,0.47,30900000,4850000,18400000,16600000,9.3e-05,3.02e-06,6.98e-05,0.000161,-10,-5,-1,11,91.4945012796397,10.0542835480771,4.22664249526595,2.85298368430451,34.308858886315,982882.090833445,89.1010662113535,0.372804311811963,0.427678641368954,48.248841328549,413186.2,0.000217238992080351,7.39334358346835e-05,88.59081,0.372804311811963,2.98847991300955e-05,0.0266462429480558,"Cascode_Null_Pin_1",180,5,2,10,0
35,10,7,2,6,10,4,10,17,7,5,8,7,2,41,1.42377228146292,4.80334013919745,0.363688545507395,0.489535824963515,26114084.0580118,7917124.36167037,7371197.21115168,46522157.4331945,4.54456402438851e-05,3.39000691501667e-06,0.00010373718881553,0.000152497169477808,0,3,0,-12,85.0376665444438,11.300786526915,4.47754389347111,3.022342128093,32.5409502767593,1085821.92707688,75.7627876995032,0.286577392581053,-112.41071030455,47.553809216738,430219.2,0.000213519440437136,8.49283070039959e-05,86.53342,0.286577392581053,3.03086842616462e-05,0.0306031002152038,"Cascode_Null_Pin_1",180,5,2,10,0
15,10,1,2,7,1,3,9,1,9,2,19,8,6,28,2.58905933819001,4.18928124464403,0.837352649497331,0.0732698819055426,40715697.4335614,5094329.55658599,20885745.9174203,76978408.3661976,1.02347842110854e-05,1.91008108981809e-06,2.06794528304186e-05,0.000229948178550788,4,-12,-7,-15,83.7374444323582,8.54373368313579,15.7790834279661,10.6508813138771,45.7068341852902,355748.598621236,32.8176781628439,0.0041990020911001,-17.6940225,59.4459270891588,657018,9.25300893848051e-05,3.67948137522407e-05,87.60347,2.5552320701205e-06,8.56317258418615e-06,0.00632697082475397,"Cascode_Null_Pin_1",180,5,2,10,0
15,10,1,3,7,1,3,9,1,9,2,20,8,4,4,2.07759836868838,4.43766458890151,0.846040507251743,0.0699894120510232,34729747.9288048,4642929.19623933,21075034.7449851,74867470.5848047,1.29981450518482e-05,1.74071138831075e-06,2.08732954234877e-05,0.000233942270716101,4,-12,-7,-15,97.8742097395153,8.54065416777893,15.5128448468834,10.4711702716463,45.6484704222922,357334.017771015,34.4818792991333,0.00428192205939076,-18.680706,59.2011252767729,649044.8,9.29759687545347e-05,3.7278362639794e-05,87.66614,2.89248039646132e-06,8.11578904574395e-06,0.00640627224016699,"Cascode_Null_Pin_1",180,5,2,10,0
15,10,1,3,7,1,3,9,1,9,2,20,8,7,54,2.07759836868838,4.43766458890151,0.846040507251743,0.0699894120510232,34729747.9288048,4642929.19623933,21075034.7449851,74867470.5848047,1.29981450518482e-05,1.74071138831075e-06,2.08732954234877e-05,0.000233942270716101,4,-15,-7,-15,97.8742097395153,8.54065416777755,15.5128448468834,10.4711702716463,45.6484704222922,357334.017770957,34.4818792991333,0.00427931730319556,-18.680706,59.2011252767729,649044.8,9.29759687545347e-05,3.7278362639794e-05,87.66614,2.89316296988359e-06,8.11578904574395e-06,0.00640627224016699,"Cascode_Null_Pin_1",180,5,2,10,0
15,10,1,3,9,1,6,9,12,9,2,20,8,2,16,2.07759836868838,4.36929191030057,0.255464671237643,0.0768886155433512,34729747.9288048,1856496.24644426,6209097.01045743,79541284.8509295,1.29981450518482e-05,1.77501845941157e-06,6.95753554470178e-05,0.000251645802771266,12,-11,-7,-15,88.5702955330789,9.51392632284029,12.9418562669433,8.73575298018674,35.8107721074002,407641.866551355,56.5862174031804,0.302259549009616,-75.2516693687985,53.8281197221227,554517.9,9.5215243824605e-05,5.36707521839561e-05,84.66118,0.302259549009616,2.95897579155402e-05,0.0182904049041448,"Cascode_Null_Pin_1",180,5,2,10,0
