MOSFET_15_2_L_gmb_NMOS,MOSFET_15_2_W_gmb_NMOS,MOSFET_15_2_M_gmb_NMOS,MOSFET_11_1_L_gmf_PMOS,MOSFET_11_1_M_gmf_PMOS,MOSFET_11_1_W_gmf_PMOS,MOSFET_7_1_L_gm3_PMOS,MOSFET_7_1_M_gm3_PMOS,MOSFET_7_1_W_gm3_PMOS,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,RESISTOR_0,gen,index,VDS0,VDS10,VDS11,VDS15,VDS17,VDS21,VDS7,VDS8,ft0,ft10,ft11,ft15,ft17,ft21,ft7,ft8,gm0,gm10,gm11,gm15,gm17,gm21,gm7,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset15,gmid_offset17,gmid_offset21,gmid_offset7,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.204,0.22,136,0.688,174,0.563,5.84,46,1.93,1.19,120,0.415,1.33,1,2.05,6.8,26,0.22,8.93,11,0.22,0.18,41,0.22,8,0.2,0.472,4.17,42,36,0.284444807248731,0.215841647402471,0.215841647402471,0.0990583666066722,0.284444807248731,0.14054877693493,0.284444807248731,0.284444807248731,3035111.3593181,17625267.3271968,44142584.9037719,71240539.9477451,2536542.92328189,656906810.260938,2536542.92328189,2536542.92328189,1.5048963929346e-05,2.02602004496359e-05,6.07274991462833e-05,1.36711433122147e-05,6.62606568894228e-06,4.09438701463538e-05,6.62606568894228e-06,6.62606568894228e-06,-15,11,9,15,15,-12,15,-15,89.3090204534339,7453.40714420625,7159.26976873056,21.7462819225191,88.9913474386275,157698.116282522,100.291000673041,0.000996078570832288,856.9,117.54475346903,151474.8,1.04483240311859e-05,0.000160521921123737,59.4331,1.10292130188416e-05,8.13973793010736e-07,6.21814558997569e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.206,0.461,103,0.613,200,0.323,5.4,200,0.272,1.06,102,0.33,1.33,1,2.45,5.62,31,0.22,9.51,1,0.22,0.18,134,1.34,8,0.2,0.479,4.17,52,51,0.518143845213628,0.220905381947626,0.220905381947626,0.201480957793122,0.518143845213628,0.110087758069187,0.518143845213628,0.518143845213628,10436853.4492789,26415712.0287145,76986985.0226746,43221450.2703714,8590621.16040997,35933680.2467247,8590621.16040997,8590621.16040998,7.1789764932304e-06,1.92686853468457e-05,6.67643837656701e-05,1.26340276087577e-05,3.13242753487464e-06,4.18070284491709e-05,3.13242753487464e-06,3.13242753487464e-06,-15,7,13,15,8,-15,15,-15,101.872124493146,8495.85488055409,7546.53763901524,22.9226080785088,102.155805591908,183870.254886397,98.5435619206044,0.000828705597950936,837.5,115.965059914705,163324.8,1.06875796663683e-05,0.000213992411130193,61.75403,1.19500218412613e-05,3.33274250879922e-07,3.251879966093e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.206,0.466,78,0.628,200,0.323,4.33,200,0.272,1.09,126,0.33,1.33,1,2.5,5.5,30,0.22,9.51,1,0.22,0.18,134,1.34,8,0.2,0.457,4.17,48,40,0.511708617690444,0.208839161680655,0.208839161680655,0.207424059045078,0.511708617690444,0.0990525160494223,0.511708617690444,0.511708617690444,10201139.1028979,20803170.4932022,61329239.1024742,53635148.8819045,8386416.25128594,27642456.3196152,8386416.25128594,8386416.25128594,6.98959104398107e-06,1.87918489974492e-05,5.32812517590147e-05,1.20138264500838e-05,3.04708012152914e-06,3.21498448409329e-05,3.04708012152914e-06,3.04708012152914e-06,-15,7,13,15,9,-15,15,-5,100.345197765519,9041.6342260036,8413.28661505732,25.5553580932366,100.661988554763,168616.918592004,98.1965140725474,0.00102728855244063,832.5,116.191106343933,156898.9,9.20935441958399e-06,0.000223417489218536,58.5602,1.35319184107526e-05,4.32626157267357e-07,2.41086830006232e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.206,0.513,53,0.633,153,0.436,5.59,200,0.336,0.831,138,0.431,1.33,1,2.2,10.1,40,0.22,15.7,4,0.226,0.18,92,0.22,8,0.2,0.515,4.17,49,54,0.415049334866938,0.193859422429039,0.193859422429039,0.193505633806275,0.415049334866938,0.0799414443039431,0.415049334866938,0.415049334866938,2524394.34350934,21799816.1882522,39625428.7122707,79359274.1892979,2039338.29716609,158896302.743505,2039338.29716609,2039338.29716608,1.06824333534807e-05,2.19322134281163e-05,3.45624069607827e-05,1.33825128388333e-05,4.60940658997762e-06,2.19035002473436e-05,4.60940658997762e-06,4.60940658997762e-06,-15,1,5,15,14,-15,-7,-3,87.8609208946001,8400.0180834207,7890.61166629295,23.9677329363648,87.6967022845067,140363.428231269,101.152509855169,0.000898321022331405,821.2,115.876507571303,131851.3,8.25180047379135e-06,0.000118286061916018,40.20929,1.23735041760432e-05,1.28146019162889e-06,7.48894478507234e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.208,0.22,171,0.447,200,0.22,1.47,200,0.92,0.881,165,0.22,1.33,1,1.92,9.13,45,0.22,5.38,1,1.01,0.18,79,0.22,8,0.2,0.93,4.17,37,59,0.43346416657785,0.227477034172716,0.227477034172716,0.151600244903577,0.43346416657785,0.131538117940372,0.43346416657785,0.43346416657785,15577616.7803665,50753430.3729479,181936741.528967,109626412.058471,12461916.4342031,539750185.066975,12461916.4342031,12461916.4342031,2.33530852830345e-05,3.69576758023301e-05,8.96475793775818e-05,2.65131440737179e-05,9.95872934837689e-06,6.45955026059284e-05,9.95872934837689e-06,9.95872934837689e-06,-15,15,13,15,8,-13,15,-15,68.0394527966689,4438.8974153254,4987.41870023114,15.1492843019521,67.9892323203093,157789.51086506,100.200173752344,0.00075726336004875,801.5,116.050246760566,177287.8,1.75540767932999e-05,0.000124420353137807,67.07898,5.9974305969377e-06,8.92261845198417e-07,6.21519509842461e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.22,0.22,173,0.837,166,0.414,7.03,200,0.22,1.69,134,0.424,1.33,1,3.03,5.58,29,0.22,5.71,1,0.22,0.18,56,0.22,8,0.2,0.786,4.17,48,61,0.52055296560722,0.249635637565448,0.249635637565448,0.186099042282354,0.52055296560722,0.138048531933217,0.52055296560722,0.52055296560722,28418886.8061879,15603179.1440954,59641616.1468834,86984270.3138077,23538710.2414646,622387331.248999,23538710.2414646,23538710.2414652,1.1837874292025e-05,3.00670122465587e-05,7.30641715979951e-05,2.15576355877026e-05,5.17136403679909e-06,5.29298939266175e-05,5.17136403679909e-06,5.17136403679921e-06,-15,9,5,15,15,-15,14,0,83.7714626943435,6778.68918147084,6764.89596676965,20.5483714990628,83.7534332044616,203548.678988928,98.5672310050353,0.000965961774752153,770.599999999999,118.954065331697,203134.5,1.48285108634471e-05,0.000149122846710371,43.70946,8.44457251455465e-06,4.87141212744402e-07,3.71641392943323e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.2,0.22,48,0.468,156,1.06,2.63,55,1.21,0.555,134,0.814,1.33,1,2.17,5.11,76,0.22,9.75,1,1.11,0.18,1,0.22,8,0.2,1.34,4.17,35,25,0.514851628467879,0.211192775870337,0.211192775870337,0.227200816021852,0.514851628467879,0.414148969987799,0.514851628467879,0.514851628467879,7507716.54783692,42723951.2963726,60161983.9592717,521207199.128885,6137228.79261491,19019843261.469,6137228.79261491,6137228.79261491,2.47439864733682e-05,5.79204997630675e-05,0.000103353882495622,3.52841364036417e-05,1.07614742840259e-05,3.99461614467511e-05,1.07614742840259e-05,1.07614742840259e-05,-8,4,8,15,15,-6,13,-4,66.0383372256161,5216.02609572613,4887.6916689456,14.8463634444223,66.0268560030208,245108.929697445,100.060475013863,0.000617318402742291,898.799999999999,113.441190227466,229680,2.32056827444457e-05,0.000122112760046095,56.72882,5.40275484942237e-06,1.43170772407886e-06,0.000102274638040356,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.196,0.654,56,0.368,153,0.22,1.76,136,10,0.616,124,0.22,1.33,1,1.92,5.42,34,0.22,5.49,18,0.22,0.18,1,0.22,8,0.2,0.922,4.17,33,30,0.268599773093288,0.229162989656621,0.229162989656621,0.162613280767236,0.268599773093288,0.408500489880718,0.268599773093288,0.268599773093288,6466003.44678968,90515470.2006628,260825739.675875,108330298.500751,5530536.73859789,18414228867.9277,5530536.73859789,5530536.73859789,3.07688757647203e-05,3.77737559881457e-05,8.654303840862e-05,2.43630494182648e-05,1.3711278105297e-05,3.84952582703866e-05,1.3711278105297e-05,1.3711278105297e-05,-15,10,-12,15,6,-2,4,-15,70.1922611841215,4930.25120967545,6212.28288175693,18.8698092533367,70.0908616921217,181857.590256519,108.851504206419,0.00098807953652553,868.8,114.137556994299,229146.7,1.82153431116015e-05,0.000182115271020226,62.29597,8.85611298541994e-06,7.77568449142896e-07,4.24151210589585e-05,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.18,0.22,83,0.261,46,1.77,0.633,44,0.791,0.715,138,0.813,1.33,1,2.11,6.06,59,0.22,18.5,1,0.852,0.18,29,6.13,8,0.2,1.49,4.17,36,43,0.648226647366533,0.224522951112851,0.224522951112851,0.235744749834275,0.648226647366533,0.130202608464235,0.648226647366533,0.648226647366533,3349414.68669716,35688670.7987885,166504241.999027,359228469.740864,2836766.41034026,49309265.7057461,2836766.41034026,2836766.41034026,1.72968489329845e-05,6.1023002990061e-05,0.000100202033938577,4.01316032501086e-05,7.72856077475843e-06,5.63996952632399e-05,7.72856077475843e-06,7.72856077475843e-06,15,6,7,15,13,14,-1,6,60.1547192201719,4262.56058299899,5380.62903694086,16.3436606997079,60.1320602416097,189424.663509747,99.3432839300171,0.000676936880698475,841.899999999999,112.035643231089,239110.7,2.19452701931343e-05,0.000148277094256455,52.07188,6.22516634384808e-06,1.4244625982246e-06,0.000141694480588539,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
0.18,0.22,200,0.299,151,1.24,5.88,50,4.72,0.504,138,1.03,1.33,1,2.08,6.16,53,0.31,18.2,17,0.422,0.18,1,0.22,8,0.2,1.11,4.17,33,48,0.350148746439871,0.192017101042014,0.192017101042014,0.109696430348826,0.350148746439871,0.424894311741,0.350148746439871,0.350148746439871,968073.247833894,31412154.3157574,78525886.9608707,123220142.786962,786095.506898662,20176089861.4966,786095.506898662,786095.506898664,3.12857253978482e-05,5.12565021287271e-05,0.000115748364619203,3.3129357609027e-05,1.3566288477258e-05,4.27260171212994e-05,1.3566288477258e-05,1.3566288477258e-05,15,13,9,1,2,5,15,9,65.7669592816053,4929.44969602352,5463.14649678332,16.5943074839793,65.7462653413567,213717.088880726,110.40920849277,0.000839795361765816,829.4,112.501043967296,236855.6,2.14099564168617e-05,0.0001335245262931,42.56347,7.26724030058646e-06,2.19284890038252e-06,0.000149416340788577,Alfio_RAFFC_Pin_3,180,1.8,0.9,800,3
