MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.3,1,0.4821023,0.15,2,1.08,0.3,1,0.7934014,1,2,1.41,1,50,2,1,50,2,1,50,2,7.460585,5.43037,0,42,81.32051,173.444,84.11937,203.6462,784.6908,84.28163,113.8135,30946280,3664722000,12505710000,21787320,35736230,12259280000,892782000,0.4593036,2.646404e-05,0.0001147824,0.2860621,0.08414943,0.0001006816,5.367372e-05,37.9354916667074,1.09192330298039,1003.0761244328,34.5822102346417,36.4753957786236,1000,99.1510150587196,0.5,0.789976052664885,79.5079376436828,918632.4,0.00010774296921992,0.000228369758361989,66.53117,1e-06,1.29259693756989e-05,0.00504551381468732,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
0.6,1,1.466188,0.15,2,1.19,0.3,1,0.8783229,0.3,1,0.6348683,1,50,2,1,50,2,1,50,2,5.77757,5.043583,0,49,202.1642,188.9776,84.24545,430.8454,515.8682,84.71191,90.37121,32795660,1285458000,12200900000,21164520,33721840,11947420000,8339010000,0.5537777,1.012193e-05,0.0001063636,0.8461087,0.5485821,9.238366e-05,5.363752e-05,34.5342321889789,1.19757931431986,1204.25102867993,51.3090821191314,33.4729140485612,1000,89.4072441375723,0.5,1.43411464303973,80.1112457160616,1005571,9.82373838766117e-05,0.000284268577526496,65.64177,1e-06,1.26663797912208e-05,0.00498971890329891,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
0.15,1,0.3,0.15,2,1.28,0.3,1,0.9420569,0.3,1,0.9165869,1,50,2,1,50,2,1,50,2,5.776092,5.037356,0,40,274.1648,165.483,84.45955,598.8454,31.88276,85.46109,91.33682,30600820,11532490000,11548710000,20164710,31601360,11306320000,7015335000,0.2919002,1.271278e-05,9.895072e-05,0.2782361,0.3651764,8.718095e-05,5.160055e-05,46.1889376344151,1.27506357744275,1544.0267635321,6.84271964453228,43.1027060161886,1000,89.394775337238,0.5,0.768164845343528,81.2282202018187,1210941,9.22676021061484e-05,0.000291033694437591,51.78461,1e-06,7.67664314833993e-06,0.00382107238705753,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
0.15,4,1.991315,0.15,2,1.933848,0.3,2,2,0.1503429,1,1.913583,1,50,2,1,1,0.3,1,1,1.750581,17.22166,12.77089,17,55,282.3133,21.91451,24.18254,16.93401,269.138,24.28599,27.35066,41026990,9646316000,9444679000,1425655000,2990354000,5719128000,11856810000,5.089976e-05,0.000277907,0.0001138091,2.881954e-05,2.223644e-05,0.0002799563,0.0001201781,85.9806326840175,339.86444519135,1022.10460016116,0.00247390184539749,73.7135944793299,429051.576690275,139.869722358469,0.100565740109514,517.5,102.437173429982,1290325,0.000148519966696692,0.000162223502771066,64.50782,6.72996234300579e-07,7.8270007594583e-07,0.000251252066335583,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
0.15,4,1.759011,0.15,3,1.976635,0.3,2,2,0.2420304,5,1.970476,1,50,2,1,1,0.3,1,19,0.7664685,19.28649,15.48304,19,39,54.57115,21.13926,25.76983,16.99999,91.15628,26.28591,38.50816,55618750,9952838000,8481936000,1536628000,1497216000,5048044000,8265864000,0.07420434,0.0002979683,0.0002068043,2.787726e-05,0.03529288,0.0003167475,0.0002522102,91.3801591586962,303.700883429694,1410.72902815569,0.000345353841101054,79.5041310184285,468873.342851264,147.790823315572,0.0889396559941764,533.5,105.367396042423,2177976,0.00018163124560017,9.12361919207885e-05,55.67123,6.02540795753585e-07,4.9626649021195e-07,0.000145269308698404,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
0.2446988,3,1.304321,0.15,4,1.674925,0.3,2,2,0.45,11,2,1,20,1.157962,1,1,1.898988,1,50,1.580364,17.09263,21.18982,19,47,254.7338,89.64745,44.4931,50.32594,179.6947,41.42069,98.78415,348476200,7515239000,11538560000,642507400,314402100,10652580000,3483702000,0.05899317,0.0001941016,0.0004724124,0.1414386,0.01283929,0.000390063,0.0004101173,88.3132171775624,366.532018177929,1373.36460028804,0.00146354382578733,77.1151805689946,928629.094067615,137.8166889689,0.0829688465587987,510.5,100.902781429986,3479495,0.000298065315543536,0.000130297644283283,66.03607,2.69536541603135e-07,6.36025285398745e-07,0.000208755963900797,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
0.1737712,2,1.545472,0.15,9,1.38,0.4025887,4,1.509777,0.3,9,2,1,42,2,1,2,0.3,1,43,0.8048035,17.87407,8.88723,23,29,327.5644,90.73075,25.58184,87.10005,21.83374,36.72103,120.4466,324495500,7450896000,5844206000,821156800,1258604000,4531918000,493549100,0.0574083,0.0002142397,0.0005019869,0.2513752,0.1557497,0.0002437304,0.0003198276,88.1498696348018,409.606490830686,1729.76398919574,0.00100651479936553,79.0330279631677,489008.771000853,142.217814371783,0.064678179709996,588,102.674547464516,2065079,0.000140452958961873,0.000150656397256958,72.91278,4.32299911616645e-07,6.96358111437201e-07,0.000200901679738741,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
0.15,5,1.153858,0.15,8,1.379449,0.3,4,1.970786,0.2924241,7,1.52175,1,49,2,1,1,0.3,1,2,1.747925,16.65901,18.5532,25,36,81.11952,34.472,33.59285,106.6704,23.42681,23.52145,60.3713,155266300,10332190000,7842751000,2265455000,2357336000,5743555000,3871096000,0.0001891427,0.0003596469,0.0005248561,5.832093e-05,0.0005500658,0.0003509092,0.0003632627,89.4224369656112,326.343433825902,1491.25101951501,0.00109321767932323,77.0653493123087,657112.434131695,137.643994473927,0.0627410403227305,580,106.96473635969,3002725,0.000236889537765929,0.000126429677788295,73.99793,3.5865074914837e-07,6.9496504544575e-07,0.000197814945003483,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
0.15,6,1.600923,0.15,11,2,0.3,6,0.8043649,0.2626533,9,2,1,50,2,1,1,0.3,1,2,0.3,17.14262,14.90507,29,19,193.8846,22.55149,23.38339,80.98626,58.63734,34.7587,79.25008,72878930,8645150000,2456277000,1811872000,2547310000,7028965000,1672505000,0.0002276604,0.0005422055,0.0001945806,0.05265017,0.07727302,0.0002670335,0.0005397083,93.4274750944261,383.705747014179,1820.2956730008,0.000269032014179051,81.5404585633683,656361.406175558,139.596767105546,0.0384785028063511,605.5,105.865396125194,3113771,0.000201245328126339,0.000125806718548757,70.3806,3.86266185648398e-07,4.39769918099131e-07,0.000110931709489726,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
0.3,1,0.5485742,0.15,3,1.62,0.3,1,1.651755,0.3,1,0.3598961,0.6,50,2,1,50,2,1,50,2,3.902028,4.335013,5,38,186.3799,152.7468,71.48748,470.0437,191.8296,71.81225,81.02365,69549420,5243243000,12176590000,21548410,55848670,11992270000,8365114000,0.4183248,2.350011e-05,0.0002319231,0.01151632,0.2418051,0.0001894644,3.177693e-05,24.9551732132089,615.421279340171,879.494777296968,2640.12125380631,24.332234734587,692384.119270701,75.0394131668152,0.0674529719497584,-9.1938429,71.9783695858356,989481.9,0.000132359666366513,0.000393714761990462,73.45,2.86745478416951e-07,2.69799140242249e-05,0.0142724670928629,"Fan_SMC_Pin_3",22,1.8,0.8,200,0
