CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,av0,av17,av5,av8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
9.89,6.8,50,10,3.2,50,10,1.2,50,10,6.8,10,10,0,5,4530,3.93,705,6230,4410000,4020000,36800000,8990000,0.000187,0.000267,0.000265,0.000104,89.2497885301862,0.0445043025432331,37.2016760970888,5.01462442363243,41.0266851684075,1000,202.385770250776,0.57116879848996,0.58140853152663,45.2898868400733,835911.9,7.02179299847304e-05,5.72513825960136e-05,75.83591,3.77086762553148e-07,1.48457170523042e-05,0.00845070996017494,"Cascode_Null_Pin_1",65,3.3,1.6,10,1
8.22,1.2,50,10,5.2,50,10,0.8,50,10,0.8,50,10,0,28,488,3.65,314,611,20500000,1480000,31300000,34100000,0.000165,0.000181,0.000181,0.000182,71.8068144119438,0.0511352158854016,64.6453955984041,1.89317578802702,45.8851027304302,1000,156.843871413581,0.61769410345732,1.31939503849522,50.1687358042226,1264205,6.11124827751464e-05,4.85151665111012e-05,53.96704,5.91016673807812e-07,1.56792530457506e-05,0.00500458320175601,"Cascode_Null_Pin_1",65,3.3,1.6,10,1
7.86,6.8,50,10,5.6,50,10,6.8,9,10,6.8,10,9,0,47,4140,3.95,2890,6240,3330000,1510000,7700000,7730000,0.000145,0.000185,8.1e-05,8.04e-05,100.46943324035,0.0561701000656479,38.112182424913,0.0947654763231333,48.8583776059073,1000,221.918904106883,0.554320595143959,0.0264647407505261,57.0749617177559,678513.7,5.56345813225845e-05,5.11082524602273e-05,63.24986,3.65119450004574e-07,4.15026513555961e-06,0.00207689719543191,"Cascode_Null_Pin_1",65,3.3,1.6,10,1
7.78,6.8,50,10,4.4,50,10,1.2,50,10,0.8,50,10,0,52,2910,3.57,487,609,2870000,1630000,19800000,31100000,0.000132,0.000165,0.000159,0.000165,92.7252038913778,0.0566373720798785,68.8814090882228,0.394448505771093,47.9627314280007,1000,211.187120819429,0.588224773792469,0.298604705420149,53.276637068957,1216183,5.51755825745704e-05,4.52386473007584e-05,56.41663,4.66013822508789e-07,1.13338695494203e-05,0.003452963913813,"Cascode_Null_Pin_1",65,3.3,1.6,10,1
1,10,50,10,4.4,50,10,0.4,50,10,10,20,10,0,20,3690,3.24,74.8,10900,362000,270000,5430000,920000,2e-05,2.3e-05,1.92e-05,2.28e-05,79.1479385258018,0.440318699564488,74.1745470131852,18.7248030276638,35.5444743991128,1000,244.54038521275,0.528633510011159,0.748989363111227,37.1740757104883,168456.5,7.09713215244069e-06,5.04511740942342e-05,69.82014,1.3000047154401e-06,3.94630806893359e-05,0.0237946733783239,"Cascode_Null_Pin_1",65,3.3,1.6,10,0
1,10,50,10,2.8,50,10,0.8,50,10,10,19,10,0,40,6950,2.97,435,11900,548000,646000,6250000,1200000,2.64e-05,3.18e-05,3.03e-05,2.45e-05,89.4826551455241,0.438663714221182,78.3466992174172,0.608408133291067,43.6766726107786,1000,233.238075793812,0.496025747798165,1.54763167534582,47.3288327237265,178603.1,7.12390812982612e-06,4.3125506579489e-05,71.91563,2.56654024077832e-07,1.59357164685803e-05,0.00718792913819488,"Cascode_Null_Pin_1",65,3.3,1.6,10,0
1,10,50,10,4,50,10,0.4,50,10,1.2,50,10,0,31,3690,3.19,74.8,867,362000,297000,5440000,3790000,2e-05,2.3e-05,1.92e-05,2.62e-05,80.6628571538351,0.44008650824163,89.408855187386,16.5350086730347,36.4741223491672,1000,235.796522451032,0.502456645297355,1.25749125889698,38.0934671543289,203162,7.10087662647503e-06,5.17288126302749e-05,65.82922,3.44064150173316e-07,4.94889282785749e-05,0.0205992325668058,"Cascode_Null_Pin_1",65,3.3,1.6,10,0
1,10,50,10,6,4,9,1.2,50,10,0.8,50,10,0,17,3690,3.77,420,592,362000,1820000,2910000,4510000,2e-05,1.98e-05,2.13e-05,2.24e-05,95.8191948639784,0.441503884947297,103.034644637921,0.127803262879958,47.5393789139684,1000,208.595301960519,0.50905873948133,0.626017052545039,53.719382482059,233372,7.07808041230041e-06,3.92844852346014e-05,78.77429,3.68009019003702e-07,1.48371234342703e-05,0.00358438047930987,"Cascode_Null_Pin_1",65,3.3,1.6,10,0
9.12,10,1,2,8,15,9,8.4,1,2,3.2,6,9,8,28,855.64989392394,4.80007674964852,746.776810951984,2943.06748808493,21699874.4729507,2797487.0895211,29577094.2203154,32023705.6069176,9.8540663181251e-06,0.000169035253303645,1.13034532747625e-05,9.16398356114853e-05,59.2429477079583,33.9916637130762,45.0501305840498,0.43091560126252,52.3667621360309,694619.86038811,89.9955554458108,0.0450536685689283,-7.8606297,58.2426761319196,920599.7,6.38593945278944e-05,4.13942040099432e-05,66.75494,7.48405081348438e-07,2.01865481383801e-05,0.00101187912345901,"Cascode_Null_Pin_1",65,3.3,1.6,10,1
7.68,6.8,50,10,6,50,10,1.2,50,10,6.8,9,10,0,43,4650,4.45,699,6440,3820000,1590000,29400000,8510000,0.000156,0.000199,0.000208,8.6e-05,89.7876522681978,81.4428723778849,38.7640519146425,3.22753437766706,41.8691188732277,1416895.66334559,224.997777766804,0.37975737329156,0.64758959768911,46.9628248296917,674394.4,5.436693007843e-05,5.69680766598992e-05,65.71474,6.90432336974986e-07,1.44449705684901e-05,0.00738642198807082,"Cascode_Null_Pin_1",65,3.3,1.6,10,1
