MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av11,av12,av17,av18,av22,av24,av25,av9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
6,50,10,2,1,3,4,15,9,2,50,10,10,50,10,6,50,10,2,1,2,10,50,10,2,1,5,2.884908,0.4818334,4.868468,10,16,278.4807,300.6531,579.0549,565.1233,171.2004,671.659,179.2035,365.4256,257.0724,5971679,844561700,91239830,327192400,4332734,35651530,487463100,22171120,3228483000,0.008905797,4.088836e-05,0.0003549827,0.03808178,0.05899642,0.01146785,6.835963e-06,0.0001630155,3.017213e-05,71.0042630601372,21.6054543306633,26.6737851403521,63735.5710180981,29.2028775237968,436946.739562163,285.019966641988,0.104379388515088,-46.7386712391758,102.066442303155,539448.2,0.000224710098598694,0.000637454300534523,50.60696,7.88041011340171e-07,0.00106314670554595,0.05507290682885,"Leung_DFCFC1_Pin_3",180,5,2,50,0
6,50,10,2,1,10,2,26,10,4,50,10,10,50,10,2,50,10,2,1,2,6,1,7,6,25,10,3.972945,0.4416935,7.794441,13,22,226.2731,318.4683,551.3417,821.664,208.8004,451.5011,158.4029,208.3927,754.2693,7119124,1294131000,159513300,174096600,4095903,197288700,201745600,213738800,6434170,0.02608097,3.351567e-05,0.0008799825,0.03727604,0.06434027,0.05151861,5.317258e-06,0.0001840564,0.0001005201,73.9279585328466,19.857455812181,38.7538522938937,738.181862851856,45.5536243937793,550247.924362033,288.779399068736,0.0437238918916067,584.5,97.2993434584579,1073865,0.000307887671213873,0.000226553682959879,64.77832,9.16796452682238e-07,0.00044207451365307,0.0106542386955639,"Leung_DFCFC1_Pin_3",180,5,2,50,0
6,50,10,2,2,10,2,34,10,2,50,10,10,50,10,10,50,10,7,1,2,10,5,4,2,50,10,5.78029,0.998857068825447,2.378245,32,29,16.38323,175.4449,589.438,476.0133,16.00035,285.2546,40.80644,187.4447,108.9576,4411015,997724600,200873300,799843400,4064781,7921999,141060300,345767700,713025000,1.101958e-05,1.536942e-05,0.0004369782,0.002545369,0.01091567,5.852832e-06,1.602133e-06,3.27636e-05,0.0001068219,82.0636796423851,23.674246759173,65.4295938977589,19.3395845141416,45.7700642509048,192906.652312677,293.796683367854,0.0217705229011164,587.5,87.336711956153,533144.9,9.05375055739896e-05,0.000212695158877151,61.19769,3.31394513134135e-06,0.00017031732482054,0.00185329048281302,"Leung_DFCFC1_Pin_3",180,5,2,50,0
6,50,10,2,1,9,2,29,10,2,50,10,10,50,10,2,50,10,6,1,2,6,1,7,2,14,10,4.36937,0.1256501,3.624999,20,49,145.4254,293.9784,472.4817,267.369,16.00036,239.8662,100.8096,202.519,305.3582,5593789,357934200,168208000,914941600,4072342,103308300,26516700,335671800,2266582000,0.003777065,4.444735e-05,0.002742217,0.04850609,0.06547038,1.27869e-05,4.409067e-06,0.0004271361,0.0001536502,71.2650147179336,21.8123026090399,62.5403101356605,171.008782845548,51.052900587567,365647.225304358,272.226150266465,0.0436304343966161,542.5,94.4744654266232,1048385,0.000186259425272343,0.000265774205802388,61.36842,1.53498529772545e-06,0.000274134959376495,0.00609769621356193,"Leung_DFCFC1_Pin_3",180,5,2,50,0
6,50,10,2,1,4,2,11,10,2,50,10,10,50,10,2,50,10,4,1,2,4,10,7,2,50,9,5.236672,0.4631608,3.56431,24,63,16.61316,143.7747,590.3968,783.9681,68.00036,284.6683,269.6113,336.8145,353.9184,4568960,59598330,218109200,270153400,4071983,180840200,151145600,1194789000,555497700,0.0009084059,4.760363e-05,0.0007197427,0.005491769,0.01259518,1.286524e-05,6.919018e-06,0.0002556037,0.0002027677,66.8485387385143,16.9266887597308,63.9013658917272,393.935450922033,45.1292873282582,291657.831082129,276.6281220686,0.0533830526414286,515,100.82351435432,1101062,0.000191451654459957,0.000262392629524213,50.30752,1.91772136901026e-06,0.000274071529916246,0.011110681912879,"Leung_DFCFC1_Pin_3",180,5,2,50,0
6,50,10,4,1,5,6,6,9,6,50,10,10,4,9,4,50,10,2,1,2,2,33,10,2,2,7,4.095366,0.4716806,5.139078,10,41,383.3367,152.4732,531.8492,1049.758,121.6004,246.555,347.3548,596.3557,438.412,4946311,3131981000,52093690,39637660,4086046,72759920,624786300,205926300,1451262000,0.03532208,3.92903e-05,0.0001108847,0.03348659,1.393515e-06,0.005591802,8.107359e-06,0.0001231001,3.701269e-05,66.2582359854028,30.9519799616721,26.2765701575355,192153.422306658,32.7326875622587,294605.191998927,239.911470645736,0.0488485641094558,-148.719875205999,108.546952989983,250104,0.000105757080040235,0.000452988981561865,75.9943,2.06824708821193e-06,0.00968950334252588,0.0458931819420889,"Leung_DFCFC1_Pin_3",180,5,2,50,0
6,50,10,2,2,8,3,7,9,8,50,10,10,50,10,2,50,10,2,1,2,4,2,10,6,20,10,4.056343,0.3966454,5.506993,12,51,396.2127,399.1323,462.0686,1034.8,16.00039,509.3305,97.34585,329.7606,498.0413,5334449,1962415000,62542810,25412110,4083225,188966700,637123300,171086400,7500146,0.05004203,4.908816e-05,0.0001362624,0.06972175,0.05754885,0.04269472,2.09844e-05,0.0001205466,8.024191e-05,65.6856309348045,28.4912714051783,52.095148399631,33233.6132781365,46.0027080325419,203467.022652658,310.731885019224,0.0939771739580397,-62.756770725,107.455255669111,372031.3,7.93486771436165e-05,0.00088031563985538,59.98254,2.89085825963646e-06,0.0099190012278934,0.012337981417478,"Leung_DFCFC1_Pin_3",180,5,2,50,0
6,50,10,2,3,7,2,50,10,2,50,10,10,50,10,2,50,10,8,1,2,6,50,5,2,17,10,3.43941,0.5058724,1.700632,20,0,16.26325,639.8082,635.9977,597.6921,16.00034,292.9629,121.614,320.3185,825.9288,4308800,54904680,102704900,741468100,4060340,213993400,371094000,46316870,2229639000,8.378102e-06,6.689123e-05,0.0008537421,0.01397871,0.007841304,9.148648e-06,1.902379e-06,0.0002072493,0.0001178185,68.0787516096622,25.6530368458062,70.8060928347946,115.286254263508,40.3346478125969,183600.883719101,274.835246163224,0.0287043569491607,732,75.0449651059939,506765,7.95231313689328e-05,0.000308084602421473,59.5626,3.21751941131369e-06,0.000179864387548559,0.00316340649379887,"Leung_DFCFC1_Pin_3",180,5,2,50,0
6,50,10,2,2,6,4,13,9,6,50,10,10,50,10,6,50,10,2,1,2,2,3,10,2,1,9,2.541439,0.3878531,7.359271,7,44,89.38778,408.2781,346.8223,722.415,34.40043,219.8414,483.0065,334.0736,339.4655,5926301,246471900,93699420,231964800,4093522,37844860,411598000,434833300,1314358000,0.00415806,5.609526e-05,0.0004462575,0.03603576,0.02896349,0.01031836,1.363346e-05,0.0002186188,4.14475e-05,79.4039672835432,52.6443384755544,38.5979454834862,9973.70312779134,36.6737071609997,600608.537262518,299.636444874284,0.0923056644408191,-226.99832705,108.084312139261,440356.1,0.000126764404018574,0.000440119247614842,4.977547,1.11442127206108e-06,0.00170551412749286,0.0275622577642951,"Leung_DFCFC1_Pin_3",180,5,2,50,0
