MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.3,1,0.2755887,0.3,50,1.993233,1.620697,50,2.014632,8.865199,1,2.205442,7,50,2,0.04,50,1.965368,1.101512,39,2.031211,0.25,5,1.78,20.13332,13.285,13,38,53.51211,120.0069,156.7475,18.85657,632.0475,32.37978,390.9298,104.7876,45411320,11792280000,1486980000,16962650,8085042,1837696000,776259800,3805787000,0.02006935,4.50631e-05,0.005175449,0.0001116893,0.01007352,0.001620906,0.01418852,0.0003291528,39.4665569764196,0.503992366452077,5.67892538506321,20354664.0896287,39.2900444200567,50471.6603407984,168.497733239508,0.128527449535221,-42.6978486,41.8431799278317,568708.6,0.00618170987562848,3.50699715055283e-05,66.13085,1.24121026092826e-06,4.35765937680948,0.000273617834841311,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
6.15,50,2,5.5,50,2,3.5,2,1.54,6.074577,2,1.29,0.8,50,2,0.55,50,2,0.4,50,1.98,0.4,3,1.78,8.016277,14.81858,13,26,220.2159,150.4179,61.69408,202.9383,219.5869,219.2833,46.40887,33.29665,13956120,8614707,8908672,20659910,867733200,699315800,4368533000,1844427000,2.093439e-05,0.037857,3.285818e-05,3.154092e-05,0.01146948,0.08820048,0.02358479,0.000125558,33.034019590356,0.880700177449668,27.4132040630502,22514738.135722,41.1313958427577,27660.5520586515,103.669708756319,0.182359353549785,-30.1965800476068,66.105909331323,860979,0.00193873185088523,4.14199901522332e-05,45.42325,3.13450039368194e-07,5.99516760769293,0.00140037520454267,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
7,50,2,0.35,50,1.99,5.35,1,1.616058,6.2,2,1.33,0.45,50,1.99,0.55,50,2,0.4,28,1.98,0.5,2,1.86,8.016277,14.81858,6,43,343.2,235.2078,96.00395,315.7817,295.8506,320.1172,50.20902,33.74929,8000000,8218139,1795322000,20840240,3881769000,964431900,5271020000,1683218000,2.620488e-06,0.07994653,0.004399222,2.52297e-05,0.01777276,0.1376878,0.009585018,8.795289e-05,5.03359159716415,2.46911045905469,0.695616159291592,445385358238552,2.14996039531136,268952.967540402,100.207898567927,0.364385715930599,-240.712118774729,45.7099759835482,75771.43,0.00672389320310695,4.05289726558122e-05,42.09172,3.17000028966658e-05,3.57031034191131,0.123337504381416,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
0.3,1,0.161,0.25,1,0.12,8.15,50,2,7.1,5,1.89,7,50,2,0.04186979,50,2,0.75,50,1.97,0.25,3,1.69,15.24281,14.9192,12,25,16.93872,103.6912,183.6249,37.26001,697.0718,77.3772,188.0047,239.8532,8318497,11132840000,3384437000,12438530,8928337,5189244000,1368138000,4162232000,0.02987132,2.576056e-05,2.713108e-06,8.838071e-05,0.02449069,0.003700095,0.01628027,0.000233519,54.3216339443044,3.33075060919058,4.97140679152998,2159850.454913,58.1963913840964,334848.716927031,169.022166797731,0.0942639139840795,-49.520988,71.3291269746166,499788,0.00620571045678129,4.13049412177393e-05,57.27942,6.0466819634952e-07,1.55302653253331,0.000780145794238574,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
1.25,50,2,0.3,1,0.12,3.8,2,1.74,6.6,1,1.3101,0.4,50,2,0.5,50,2,0.4,15,1.91,0.4,2,2,7.774381,19.75334,10,7,221.6436,294.4025,217.4131,393.7486,190.9978,383.3945,48.43309,77.99754,9816793,435236200,3690980000,18658270,4790917000,1085185000,5758188000,2093622000,9.49339e-06,0.09993025,5.661713e-06,1.334402e-05,0.02213208,0.1720228,0.005523867,0.000134433,24.9658286820078,2.16791601539817,21.134007385187,5868695.15517779,25.2387609623978,74885.6543983389,95.3976704589792,0.113534395197195,-38.8591871629816,67.6570118429304,730025.5,0.00213226491539513,5.06036435929228e-05,59.57297,6.05803914808534e-07,5.69828195623671,5.9286707424111e-05,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
1.25,50,2,0.3,50,2,3.8,2,1.74,7.45,1,1.539337,0.4,50,2,0.5,50,2,0.4,15,1.91,1.1,5,1.78,7.774381,19.75334,10,28,221.6462,294.4022,120.0022,393.7534,85.42919,383.3872,46.62662,22.73895,9874600,435276300,2228560000,14290130,4826770000,1081339000,6042709000,273732900,9.680423e-06,0.09993084,0.005462404,1.367799e-05,0.02217054,0.1720208,0.007438857,0.0001247994,29.7373800204259,4.86860662647242,15.8363168424903,63068648.471193,38.4075489104178,139040.608208916,95.7006757214911,0.122965782321044,-107.917890582943,65.5945705113271,452263.1,0.00176287678418613,3.61267643985528e-05,45.79535,2.149902530903e-07,10.9252078438279,0.00136855651370399,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
1.4,50,2,5.25,50,2,3.6,5,1.61,7.4,1,0.8132124,0.45,50,1.99,0.6,50,2,0.35,50,1.99,0.4,2,1.61,7.947036,16.08587,10,30,177.7541,259.2056,96.07516,299.301,82.00002,312.7608,29.18411,19.14884,10964750,352254500,8613980,13564150,3861222000,687475700,5102118000,2248735000,2.553576e-05,0.07787215,0.004389447,6.960199e-06,0.01773605,0.1376452,0.008594907,0.0001212936,16.7935111458905,4.49452720480619,21.7688471368208,118176557042.737,5.34456815062544,127097.528782764,100.014122034441,0.1311919918208,-112.941516764074,42.4700421107573,615585.7,0.00174557325177212,6.54585530190251e-05,65.91086,5.91485639581136e-07,20.5262184836067,0.00229771307043442,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
1.4,50,2,0.25,1,0.1654371,3.7,5,1.7,5.575977,2,0.8457269,0.45,50,1.99,0.8116593,50,2,0.0883407,34,1.99,0.35,3,1.750141,7.774381,19.75334,12,32,198.8388,188.0121,145.2564,253.0737,146.2356,176.3034,18.50665,56.64798,15449370,288821400,5494421000,21335890,3811610000,942971500,4478680000,2685022000,4.937782e-05,0.06404912,1.096714e-05,3.738123e-05,0.01416472,0.1101867,0.006684508,0.000213289,12.0487424527386,4.58535391226138,38.0114496161539,566385668580.333,7.07206272544309,93884.5868513835,96.573125301424,0.0531740878276835,-75.7621655144029,27.4445379398701,778280,0.00126388169337865,6.20254382557078e-05,69.39541,9.56952150705376e-07,10.9542078848581,0.0127283009651742,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
0.09041338,1,0.1972382,5.596855,1,0.12,2.4,1,1.017285,7.80719,7,1.79,7,50,2,0.25,50,2,0.8,38,1.98,0.25,3,1.75,18.45982,14.9192,12,23,80.83803,83.34156,180.4151,30.58287,658.2679,77.97331,171.6672,179.7686,28615520,20143910000,8005715000,14540890,8733361,2755764000,4021494000,4104379000,7.85291e-06,3.666494e-05,5.832038e-06,0.0001019239,0.01961539,0.01501499,0.005952248,0.0001119781,47.2720476417919,6.21368919231418,38.8220217408777,4422686.44132012,52.2940605107761,84482.1013173943,160.605848095492,0.0517733452335418,-46.7449191,74.7498799856881,527829.1,0.000839267038366763,4.02354030551943e-05,51.49678,8.58777709807101e-07,2.67152405705451,0.00486474133000619,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
0.5,50,2,0.45,1,0.129149,1.75,50,2,7.25,2,1.22,0.5,50,2,0.2,50,2,0.5,17,1.92,0.1,3,1.48,8.705983,16.29902,6,23,159.1283,45.05308,170.0801,363.0954,95.84057,192.4437,403.8697,18.11224,10700440,3095378000,1192712000,14898740,3097350000,4141186000,2681792000,12268560000,0.05300579,0.0094813,2.517286e-06,2.461262e-05,0.06677645,0.1089444,0.002035304,0.0002450132,33.6158794146731,5.01094601031911,223.196676503221,121260027871.815,20.8188667210707,35224.758449425,106.964796096893,0.160487659431027,-163.396472830354,36.0613953066363,1568975,0.00043392361463132,6.98369407277026e-05,32.85944,6.37678972201542e-07,255.277759176305,0.0500221522106232,"R2R_Miller_PNin_2",40,0.9,0.3,50,0
