RESISTOR_0,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av10,av17,av21,av23,av8,ft0,ft10,ft17,ft21,ft23,ft8,gm0,gm10,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1.39,1.2,4,1.88,0.6,8,1.77,0.3,1,1.88,2.2,20,1.97,4,20,1.99,4,20,2,5.52,3.26,2.78,1,33,107.198579250552,111.133530478081,4.61265537331965,108.143781681464,39.0971058716102,64.9022861637979,16186474.1196755,145680914.403978,2844306.24008374,12622184.2790071,1708828589.64319,1558901618.95349,5.5011400119247e-05,6.83203387519597e-05,6.49443952533239e-05,9.57016367272464e-05,0.000883425031121141,4.3308710882151e-05,56.8561853918397,6.77050307004046,66.3892304478007,0.585903539774039,55.3493781822822,97277.9901826314,108.235197602259,0.0676104409589008,-4.5664146,97.5978204290555,953874.6,0.000130617378966991,0.000142050295155811,57.52129,5.17603766511341e-07,7.61133546102882e-06,0.00152893475998195,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,1
0.13,0.3,20,1.92,0.3,20,1.93,0.1,3,1.88,1,20,2,4,9,1.83,4,20,1.97,5.05,4.31,34,10,52,67.9571712641251,63.1221936885161,5.77193546009758,112.870913173452,21.6847018984205,21.9814751313453,200357524.622873,1703301781.31342,23857140.976514,53801664.2954551,9652506092.99888,11045774688.3417,0.000416272832210731,0.000995988300523715,0.000380236622102988,0.000522342888206145,0.0074858052133534,0.000430651628004581,47.5926351699266,5.52704923650503,58.6183525850209,1.07601893751185,48.3959433751257,961463.929302381,106.368594989311,0.387555598213104,-63.397063125,92.6730648859319,10197020,0.00158141909027089,0.000167295314934601,47.42825,0.000657000080314672,5.2333921020048e-06,0.000452279587621784,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,2
13.2,1.6,1,1.6,2.4,1,1.78,2,1,1.33,1.3,20,2,4,20,1.99,3.3,20,1.95,6.51,3.68,0.326,2,54,54.0502842583223,146.23993271033,4.01033869322348,87.9109934136956,26.6052000132253,156.492739076339,7312951.13582643,69876198.9521748,678417.167271431,3662240.62767062,218476279.751938,41142805.8240378,7.94052884461163e-06,8.87889277509167e-06,9.99445815380454e-06,1.47210352004759e-05,6.12596197735877e-05,5.35732575664504e-06,47.550082797309,31.1171325756616,53.0151018822777,10.7739748851822,50.2534416147064,57808.3956634932,113.854565125866,0.0853220912125983,-1.4951673,80.9782377032691,98489.73,1.68887948910552e-05,0.000131578981276672,74.58678,5.22125264728215e-06,3.64680432522832e-05,0.00624891472802225,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
7.59,1.2,1,1.71,1.7,3,1.92,1.8,1,1.3,1.1,20,2,4,20,1.99,3.4,20,2,6.69,4.45,0.368,2,38,49.5948154155481,117.272655944991,4.04604555798249,90.3814543639,62.0152106328127,143.770399323855,9775077.2663119,117911208.752024,757818.543526161,4078008.29128544,222583902.845605,52238210.1245877,8.96015807081694e-06,1.17086182300482e-05,1.15217820240176e-05,1.81684709303297e-05,0.0001308706642763,6.0283918570635e-06,46.0381283413832,26.9010913453102,48.2048651784593,12.5853146360357,49.0440626901383,57978.0549609474,118.00141524575,0.0874837212870457,732,85.5639707488337,103892.6,1.95930053599699e-05,0.000115272455330376,74.56831,4.60071111267974e-06,3.87117454930533e-05,0.00692687066536535,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
0.393,0.06,1,1.93,0.1,20,2,0.883,20,2,1.08,20,1.94,4,6,1.94,4,20,1.96,6.34,3.27,41.2,17,26,93.4507420151322,7.99918808748106,6.93388146906108,150.081522247978,14.7986082740473,99.7262269257037,228602116.79053,46019485471.7181,39955494.7391749,77883269.7926428,43354121232.5942,285271410.647809,0.000529582327777499,0.00056722513048839,0.000479281137854151,0.000740535067771279,0.0144371099640718,0.000532337274950386,40.9241491929677,36.5512400025868,47.9415339282839,123.349878409414,33.7035760388815,7629853.90466377,107.316181445297,0.0940516201152212,900,82.1093180308243,10007510,0.001897673190275,0.000143097598929458,54.85944,3.97787153703681e-08,1.68770563025919e-05,0.00436824954473475,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,2
10.3,4,1,1.66,3.8,6,1.97,0.06,20,1.89,4.77,6,2.8,4,20,2,7.41,17,1.93,9.74,5.61,0.435,12,49,141.779376185659,232.337693310473,4.11508173480303,137.533142834037,93.613853050858,8.72235514639015,3006532.09239799,18072474.5190609,741897.45157888,1816989.39326419,47708795.7108373,56350475.6248097,8.95200177335275e-06,6.92356686532647e-06,1.12588727872116e-05,1.76631827572096e-05,0.000128763981808105,8.94287464418261e-06,73.7498943688805,22.3970433577579,45.5528302422323,0.120687192094735,64.1593736403454,49265.025586125,138.098060087751,0.017595109769084,1540,107.163874375711,100199,1.99965621270114e-05,0.000101717531758181,55.34775,6.75937390593244e-06,1.10617827629725e-05,0.00174629030188594,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
1.23,1,20,2,1.5,20,2,0.7,3,1.74,2.6,7,1.93,4,20,2,4,20,2,6.36,4.27,3.61,4,60,115.374584616385,100.468286611293,4.69034391833109,109.059497783493,58.7771003937496,86.5642032896017,26478077.6388987,88607322.9279262,3304561.80112562,14690391.1380736,294635212.010205,313584194.142224,4.70856604498247e-05,0.00013889627831971,7.93096802032549e-05,0.000115216397933738,0.00106591900768995,5.4473714180362e-05,56.1082702590063,14.772395764561,58.1000772423291,0.377889357938418,56.2283480455167,266898.952173609,115.803868674583,0.369721543176313,1372,106.231746246283,1049718,0.000164249194872643,0.000111226694943649,65.41,0.00472000000126335,9.67177191323249e-06,0.000984499947259687,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,1
11.8,1.8,3,1.42,0.8,4,1.58,2.2,2,1.52,0.2,20,2,4,20,1.99,3.1,20,1.96,5.54,3.41,0.277,2,37,23.3181625270374,161.311880813657,3.95659499268106,85.7326617897723,47.9696309884986,171.720325478303,29721931.2068125,37415100.5739244,709451.909529884,4316577.99724788,569504067.315978,23286665.2418542,6.79513919565916e-06,1.26127792018149e-05,1.05929536871668e-05,1.6563131191305e-05,0.000158844450958095,6.77186251913077e-06,42.6020769744728,8.97221987330647,63.9136422231808,57.4057363334298,52.3975120393136,17070.953238489,106.080582577586,0.0691359349734337,905,79.1975746376661,121605,1.72967767372682e-05,0.000150440302494377,77.81912,5.64658721951414e-06,9.4340704358391e-05,0.0101945755491656,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
13.1,1.4,1,0.925,1,3,1.5,0.5,1,0.228,1.3,20,2,4,20,1.99,3.3,20,2,5.33,3.36,0.359,1,39,55.1565934748603,117.307432184141,4.04081543593757,88.7989583699153,48.9309661412885,83.4675479424556,7835291.33016163,121263028.385942,727097.153427034,4108359.52984238,521366241.040954,881467567.75442,8.71064058936901e-06,8.53091406352799e-06,1.09229097750053e-05,1.75029792652442e-05,0.000138400918843589,5.57538976508085e-06,43.7734071877215,30.5762842360206,58.6721309312864,24.8629794862292,45.6869681023569,62758.9444998746,106.439339531961,0.0990564194877755,-4.511694,85.5512324962155,120426.7,1.86594242349973e-05,0.000157125088964064,72.42633,3.92281084665067e-06,4.38732488723825e-05,0.00785396400383004,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
0.56,0.06,13,1.43,0.3,20,1.98,0.0645,18,1.93,1.47,20,2.01,4,9,1.85,3.4,20,2.03,5.92,3.29,33.5,26,44,81.4980526664663,8.88560802779144,5.90124608842022,104.096313182714,22.6625391576695,10.0358341387207,107248076.810631,10612630804.1166,23311059.646199,66235866.0925689,9400292028.57515,3502952646.68271,0.00034591166804565,0.000976080579514306,0.000373503565260725,0.000555610271571187,0.00744333189731726,0.00056195188375567,66.9726949620997,20.2219943820606,64.9565082163192,2.49224721721694,54.3800148196416,3393365.19706412,106.136698931143,0.0382774846411129,1570,96.0331086505926,10900070,0.00152550603743276,0.000132563317873381,64.69808,4.01569232271587e-08,1.65837979711661e-05,0.00120049575455666,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,2
6.63,0.9,1,0.682,4,20,2,4,4,1.63,2.8,20,1.97,4,20,1.99,4,5,1.94,6.42,3.21,0.354,4,31,87.5827466396681,90.5389879048551,4.04474236316575,105.370019849901,111.164003832958,256.668555122945,2950292.84185781,281978791.293463,667979.96736178,8555064.80119546,20439684.2500813,6365233.17516272,8.35195031322901e-06,9.20134301941243e-06,9.79373972098338e-06,1.43710773193722e-05,0.000171899290028763,7.00334301485312e-06,58.8884583468014,22.019827506579,69.0488287783985,0.436863954689109,57.1462666589681,41356.2017061908,113.170463461099,0.043082813898978,1894,105.942979809664,129683,1.70739516439877e-05,0.000108517802322152,66.91608,5.15178201471423e-06,1.65300656158926e-05,0.0026116716734681,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
11.9,0.8,1,0.594,2.9,6,1.9,0.8,1,1.38,3.7,20,1.98,4,20,2,4,20,1.99,5.22,4.56,0.281,1,3,96.1069201206819,93.6109100934491,3.96554039787041,96.2807068734418,89.167188936624,86.2340810604102,1747220.40574014,318636039.269128,551617.405558655,2586564.33080739,57424118.616419,133462925.212802,6.6244651398401e-06,7.76812882418271e-06,7.72062941782459e-06,1.30107900074202e-05,0.000108073459299437,5.79135560177584e-06,62.0950970945453,31.0052126670659,87.1021072644547,0.183324287049397,59.0579292962648,45483.3685888745,115.5691273654,0.0409163925628125,2426,105.635607212401,127775.2,1.33359888038754e-05,0.000113705159027113,55.99131,4.89420466256909e-06,1.37657466839855e-05,0.00188447262658031,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
0.56,0.221,13,1.82,0.3,20,2,0.121,18,2.14,1.82,20,1.98,4,9,1.65,3.47,20,2.03,5.48,3.29,31.6,35,54,88.7638920002381,53.5547934239454,6.054910698174,105.176216478245,23.533340248841,31.7115890465652,74689584.6237233,3106177852.31904,23884619.0487749,62227195.6722175,9089828977.77967,2497747455.43617,0.000299803788343744,0.000871886115849751,0.000343251965114568,0.000531109821219074,0.00723213581942659,0.000588134098505687,62.5398808267699,19.0149828150905,84.5800504297556,0.149882232338715,64.1746103813464,2987268.20592058,104.182631469934,0.0996619426488928,1582,103.725505564737,13287590,0.00142818870541576,0.000151430531800093,55.79595,4.63583710662947e-08,4.87140136231357e-06,0.000359494292148377,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,2
6.12,1,1,0.6,1.6,2,2,0.7,1,0.385,4,20,2,0.5,20,2,4,20,2,6.17,4.94,0.342,0,21,259,93.1,2.92,132,79.3,102,2170000,273000000,7690000,3300000,340000000,431000000,1.08e-05,8.99e-06,1.28e-05,1.89e-05,0.00013,5.93e-06,51.1942581552489,41.4035004431191,54.4317937610151,5.00829874756913,45.196679298373,73575.8249175177,117.816682158967,0.264283885830686,1.889173702523,97.6041264204025,96727.67,1.61549416946691e-05,0.000127088790083536,66.08549,4.01664379829283e-06,3.37724636864833e-05,0.00458291833626573,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
0.337,0.06,9,1.93,0.1,20,2,0.883,20,2,1.08,20,1.93,4,6,2.04,4,20,1.96,6.92,3.27,55,19,34,65.3064855762012,8.41833790253071,6.46603397860636,112.13843199746,10.6085655814097,81.5516748923375,220636312.714642,16041444847.2113,36715215.870654,69056354.8467702,44543109603.1666,300564334.449494,0.000515047410730932,0.00144043413679669,0.000458714198749458,0.000685170674281878,0.0142789885050726,0.000574207505080019,54.7597159523909,37.4058926804086,38.3424536185252,9.20858241864113,52.0037230063056,10341101.6539279,110.290984219019,0.0289660235255389,1528,86.6452941492734,10600020,0.00251324078371604,0.000124992202732406,74.22522,2.6419639992627e-08,1.63075510831884e-05,0.00142521883216695,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,2
16.1,3.9,20,2,1.4,4,1.75,0.7,1,0.715,4,20,1.99,4,20,2,4,20,2,6.9,4.13,0.382,1,56,107.164420035167,269.235428907011,4.07108151631788,97.9963364303892,60.6561898266505,83.2461253725563,1939878.99126937,3287724.79000112,688888.537719419,3189209.10012505,249393959.784706,282922923.090219,8.81407163938022e-06,1.69028574204331e-05,1.02385854769892e-05,1.71011751205407e-05,0.000140927672653531,6.51862302340271e-06,91.1497461248746,38.3004460679565,57.5770976305198,0.00183041459433728,75.4265364581144,75681.5850304856,122.362457477774,0.0176366109969315,-19.54359,103.62439407663,113772.2,1.79636134823941e-05,0.000109355714910794,77.81178,3.84576743404447e-06,2.213988101126e-06,0.000288204220872113,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
9.12,0.9,1,0.598,2.6,3,1.9,1.1,1,0.43,1.3,20,2,4,20,2,4,20,1.99,5.1,4.43,0.265,1,43,108.189825280829,93.3509832336892,4.05019025214274,132.255060294837,101.097897755894,121.900312306762,8166559.49018848,285597375.393742,639455.695179654,2823604.90572647,125466181.176373,179283329.212169,9.09492219900683e-06,8.14762487696893e-06,1.01002614186066e-05,1.54057017185867e-05,0.000110452296118352,4.34948589105196e-06,45.4852783385444,39.7093312462672,61.8200191584091,14.2066014665532,47.5818368961702,60557.9446721058,110.880450035162,0.031181135144974,-5.6653542,87.8850704258904,94277.42,1.38639144117585e-05,0.00013721080910894,66.63203,4.66488651604301e-06,4.6005180461178e-05,0.00721319100085172,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
0.207,0.3,20,1.95,0.3,20,1.94,0.3,4,1.97,1.4,20,1.95,4,9,1.98,3.7,20,1.97,4.18,3.19,31.6,10,17,80.0570579150297,64.2854072009093,5.77113569517198,108.526237408789,23.0366937929722,56.4451622963932,114673451.973933,1618055609.07012,21770689.5091017,57722961.4642531,9253594321.13513,2485357411.04521,0.000338560219417845,0.000944259653194741,0.000368761879739694,0.000513369339677932,0.0071663802628673,0.000335528961123252,44.2287707378002,57.0611493701084,60.1906045918587,4.77361995327006,44.6158960182059,9059231.53064179,96.3449687321554,0.0263222518152713,-29.957362875,96.2231050820597,9556075,0.00144330514172405,0.000173676352255405,54.11221,3.46527698593019e-08,8.68632919552748e-06,0.000977372658301279,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,2
16.5,3.6,13,1.83,4,20,2.3,0.255,20,2,2.2,1,0.362,4,20,2,3.5,20,1.69,5.64,5.12,0.271,12,22,93.1422315069779,255.597040566142,3.94911020960495,89.8076120568015,114.259291566423,62.2185830806078,56680071.1899571,4067204.66289795,512542.275833924,3299825.2439961,15461946.3961681,26701975.4925208,2.64077075867268e-06,1.17091273394288e-05,7.03861666466624e-06,1.22250742152681e-05,0.000140416943410798,6.69743732681361e-06,68.4102730788359,42.3526539610603,95.6847487091297,0.125258897995823,65.3074391060976,57279.077390537,115.98773728287,0.0180676545325603,1817,109.448152721961,129407.1,1.22948348372047e-05,0.000110758008559889,64.90372,6.05694388434302e-06,2.436843615686e-05,0.00129869438158137,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
