MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_15_2_L_gmc_NMOS,MOSFET_15_2_M_gmc_NMOS,MOSFET_15_2_W_gmc_NMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_7_1_L_gmf1_PMOS,MOSFET_7_1_M_gmf1_PMOS,MOSFET_7_1_W_gmf1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS15,VDS17,VDS21,VDS23,VDS7,VDS8,ft0,ft10,ft11,ft15,ft17,ft21,ft23,ft7,ft8,gm0,gm10,gm11,gm15,gm17,gm21,gm23,gm7,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset15,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset7,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.85,1,0.916,0.56,3,0.66,0.48,2,0.62,0.56,13,0.895,0.85,1,0.563,0.85,16,0.97,0.32,3,0.91,0.841,25,0.99,0.04,31,0.99,1.15,1.23,28,30,0.13946809208817,0.656578789997861,0.690059971175367,0.456331962144727,0.0780021572854031,0.333198868694731,0.299550315868259,0.0780021572854031,0.0780215048999028,295663703.957511,1677774378.60373,2408960313.06153,237137824.648699,210247737.28157,406377403.882422,3473493682.93605,210247737.28157,210286968.260448,5.01925149711068e-05,0.000121663923611422,9.44322726341654e-05,3.83619223079733e-05,2.04049637180248e-05,0.000244522453691486,0.000171538206992989,2.04049637180248e-05,2.04075951513479e-05,-5,-11,-15,3,-5,10,1,-3,13,58.6317554044322,705.084903826101,43244.373551559,65.6773923314302,59.3489140645135,58074.4350476175,36.430638204676,0.00335994207301654,299.6,121.281941934084,3561830,8.13483119585308e-05,0.000313198485325694,52.12997,3.79755465399226e-06,2.27518057106552e-06,0.000154599135003763,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
0.792,1,0.373,0.312,2,0.904,0.48,2,0.327,0.666,10,0.965,0.599,1,0.323,0.546,16,0.66,0.85,5,0.995,0.735,25,0.995,0.637,1,0.945,1.15,0.506,47,60,0.0983269646189794,0.66763491111194,0.689898665448618,0.508670216740085,0.0656756282794798,0.322094617136323,0.299953318798621,0.0656756282794798,0.0656853479349255,343754705.467045,4768824700.13475,1814037622.37067,118881855.44023,268248323.684078,952730889.176709,337390725.3133,268248323.684078,268276421.894448,2.32252103573901e-05,0.000166835829282488,3.5321457856413e-05,1.59620046266176e-05,9.87113663607444e-06,0.000259489985459927,5.92787078195264e-05,9.87113663607444e-06,9.8718743080338e-06,-1,-9,13,14,-2,-2,15,-8,-7,77.9647149383847,310.50135280371,15176.9898911125,23.0500533971271,75.1094603036433,25717.4752921428,36.1254315960377,0.000540986408791734,299.200000000001,120.051453877697,1257044,8.18031076767488e-05,0.000332630441844935,58.36512,7.73361317140041e-06,6.94025994689429e-07,5.65922176480882e-05,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
0.85,1,0.916,0.56,3,0.66,0.48,2,0.62,0.56,13,0.895,0.85,1,0.527,0.625,16,0.97,0.32,3,0.91,0.841,25,0.99,0.04,1,0.99,1.15,1.23,31,61,0.142325207840177,0.675273495414829,0.69002266205692,0.453308802076205,0.0791393513816283,0.314504175683882,0.299587951600315,0.0791393513816283,0.0791574280129671,304645640.630778,1678630937.65609,2408088900.3966,237357419.732923,215599905.853768,630219043.206543,3471916937.57971,215599905.853768,215637094.39988,4.96013258978368e-05,0.000121694452367868,9.43874816849651e-05,3.84346022897872e-05,2.01448255868928e-05,0.000262720110913007,0.000171432626460384,2.01448255868928e-05,2.01472243662648e-05,-7,8,-9,-9,-2,10,-5,-7,1,93.0122733929494,257.781247704559,42923.2674411424,65.189712426235,58.1222549723244,21242.9390417375,36.2989972313286,0.00147962707781404,257,120.841154947171,3537171,8.13894754636891e-05,0.000371698423262771,56.03196,3.86202809589261e-06,1.81836748678277e-06,0.00016044711971297,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
0.85,2,0.81,0.56,1,0.66,0.48,2,0.62,0.56,13,0.98,0.85,5,0.563,0.85,16,1,0.4,3,1,0.85,25,0.99,0.44,31,1,1.15,1.4,25,20,0.0619994057462514,0.697108811966866,0.690473538258218,0.585586642169099,0.0585877496176663,0.292587832306268,0.29896155582296,0.0585877496176663,0.0586353776280421,103297806.383234,1992791816.1655,2856766513.79145,210471504.00031,99619805.2729801,279401590.304289,3016685335.89616,99619805.2729801,99672679.4297332,6.17515658265782e-05,5.06679879663745e-05,0.000117838105523524,3.50550164547747e-05,3.00558830496789e-05,0.00014262641846904,0.000218689196887205,3.00558830496789e-05,3.00678031114165e-05,-10,-7,-13,-14,0,-5,12,-13,11,73.2783336871787,982.795865125379,81524.4038004408,123.815188271919,54.6967070397446,58274.8745135365,37.0414139848899,0.00486976800424449,-22.7513286,119.869147559534,4833989,5.85629566227012e-05,0.000302552383293414,38.50943,3.52075948224453e-06,4.08508315468736e-06,0.000559735898843616,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
0.85,2,0.81,0.56,1,0.66,0.48,2,0.678,0.56,13,0.98,0.85,5,0.215,0.85,16,0.97,0.4,3,0.814,0.85,25,0.99,0.44,31,0.99,1.15,1.4,18,0,0.0779912594252033,0.693008932471509,0.690361985148181,0.565219696768374,0.0673631929495301,0.296667298365535,0.299004663636993,0.0673631929495301,0.0673778056119365,186047498.027778,2041722790.3654,2930005561.01962,219469991.227726,168523283.159129,292799709.524015,3612998498.61097,168523283.159129,168549199.704124,5.71195843441513e-05,5.22737310961552e-05,0.000132972216962654,3.71852180514747e-05,2.66675906379175e-05,0.000148865847805482,0.000227203563155919,2.66675906379175e-05,2.6670506196749e-05,13,12,-10,12,-4,-6,0,13,-15,71.6304938846393,959.958371268768,77365.535065997,117.498906381483,45.8987444388686,64779.9475711086,36.8843737916208,0.0037445952752381,-23.4073818,119.79675245169,5220784,6.66489267106417e-05,0.000325028915753602,38.17809,3.23391001729375e-06,5.50561618815643e-06,0.0005651486032488,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
0.85,2,0.81,0.56,1,0.66,0.48,2,0.678,0.56,13,0.98,0.85,5,0.215,0.85,16,0.97,0.4,3,0.814,0.85,25,0.99,0.44,31,0.99,1.15,1.4,25,23,0.0779912594252033,0.693008932471509,0.690361985148181,0.565219696768374,0.0673631929495301,0.296667298365535,0.299004663636993,0.0673631929495301,0.0673778056119365,186047498.027778,2041722790.3654,2930005561.01962,219469991.227726,168523283.159129,292799709.524015,3612998498.61097,168523283.159129,168549199.704124,5.71195843441513e-05,5.22737310961552e-05,0.000132972216962654,3.71852180514747e-05,2.66675906379175e-05,0.000148865847805482,0.000227203563155919,2.66675906379175e-05,2.6670506196749e-05,-10,12,10,-10,-10,-1,-9,-12,5,71.6304938846393,959.958298871378,77365.535065997,117.498906381483,45.8987444388686,64779.9426855851,36.8843737916208,0.0037445953422216,-23.4073818,119.79675245169,5220784,6.66489267106417e-05,0.000325028915753602,38.17809,3.2339124943888e-06,5.50561618815643e-06,0.0005651486032488,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
0.85,2,0.81,0.56,1,0.66,0.48,2,0.62,0.56,13,0.98,0.85,5,0.563,0.85,16,0.97,0.4,3,0.91,0.85,25,0.99,0.44,31,0.99,1.15,1.4,16,0,0.0619993352340649,0.696281037911808,0.690473621701243,0.585586354304226,0.0585877508647546,0.293414147906685,0.298941564568407,0.0585877508647546,0.0586353789114539,103297731.873278,1992410635.45399,2856332811.12503,210472874.272041,99619805.9296027,283659497.191405,3166639769.96785,99619805.9296027,99672680.1249546,6.17515325043236e-05,5.06564431174415e-05,0.000117815124048905,3.50553249276573e-05,3.00558829647501e-05,0.000141762142355206,0.00021260908367689,3.00558829647501e-05,3.00678030350249e-05,1,15,-11,15,14,4,4,-10,14,73.1910780416916,987.259284837928,80473.4625786711,122.219071291357,54.6976032825157,58526.2778873035,37.0252555696784,0.00439253017563297,-23.5673658,119.538244102208,4770593,5.85496962494597e-05,0.000300196049622754,38.09729,3.53844976382917e-06,4.08086669063168e-06,0.000559695012578409,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
0.85,2,0.81,0.409,1,0.66,0.48,2,0.678,0.369,13,0.486,0.718,5,0.215,0.85,16,0.97,0.4,3,0.814,0.85,25,0.99,0.44,31,0.99,1.15,1.4,23,9,0.0779147791397037,0.69138667435613,0.690387318101764,0.563349805952873,0.0649055187811156,0.298279810344825,0.299186008394606,0.0649055187811156,0.0649167405520872,240560862.078034,3557010066.81787,2486028976.13368,538712303.613806,213515859.474967,297389114.961266,2953977740.77433,213515859.474967,213541535.633413,5.98817335847843e-05,6.45193583480169e-05,0.000107511710894057,3.72795168142709e-05,2.75419281393444e-05,0.000152471982692021,0.000173424781174233,2.75419281393444e-05,2.7544316358539e-05,-5,-12,13,-15,1,7,-3,5,-3,76.3329515404271,997.581385670136,75553.5402251788,114.74693921699,60.0874979037887,60423.756304363,36.7390521652369,0.00323674462753859,-23.7912444,120.356456882016,4576297,5.98224714911053e-05,0.000295573383149412,37.98422,3.20277065849908e-06,2.46630221226007e-06,0.000405542118478208,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
0.85,2,0.81,0.56,1,0.66,0.48,2,0.647,0.56,13,0.98,0.85,5,0.215,0.85,16,0.97,0.4,3,0.814,0.85,25,0.99,0.44,31,0.99,1.15,1.4,26,45,0.0779911268198941,0.692990619434664,0.690308390301585,0.565219654066485,0.0673631917702245,0.296685502505208,0.299015734315262,0.0673631917702245,0.0673778044351312,186047296.48228,2041999749.84492,2928850702.92633,219470031.007667,168523281.557172,292851302.94834,3530222051.17411,168523281.557172,168549198.107129,5.71195428400644e-05,5.22828331606833e-05,0.000126895010331497,3.71852273262727e-05,2.66675905589152e-05,0.00014890624366727,0.000220253930698362,2.66675905589152e-05,2.66705061183424e-05,5,11,5,-1,15,2,-6,-8,14,71.6194987088672,931.278901008141,77494.9855835116,117.695509354958,45.8778199543017,61861.5058671011,36.8839703665427,0.00374447337865555,-24.5758194,120.072158070501,5147713,6.56063221300355e-05,0.000323825202823363,37.58797,3.35439744055392e-06,5.52178858316127e-06,0.000565596549628178,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
0.832,1,0.188,0.31,2,0.826,0.48,1,0.283,0.275,22,0.108,0.296,1,0.1,0.694,16,0.449,0.709,1,0.927,0.548,25,0.989,0.44,3,0.929,1.15,0.1,44,41,0.104458863516618,0.666173838288966,0.689961848742855,0.559786544754535,0.0491060683548087,0.323607923203341,0.299880755397532,0.0491060683548087,0.0491070874101351,600030193.980427,4190821725.99854,1572623565.37495,215263709.056175,408354154.656996,662997634.931676,581100018.453526,408354154.656996,408359882.163031,6.22900278825562e-06,0.000126563782983687,1.2749520463471e-05,4.14753214641104e-06,2.34009551770031e-06,0.000167045585647266,1.76636351427644e-05,2.34009551770031e-06,2.34012173825334e-06,2,-3,-4,-7,-8,-5,3,-12,6,104.214309970478,228.27760151957,6858.93096686027,10.417001405919,75.2203707166622,12561.7379606811,35.8105261480476,0.000711965453200548,331.000000000001,114.535246951359,377435.6,5.43489798972578e-05,0.000513649212302398,53.99268,1.76295298976672e-05,1.49525149409357e-06,9.52408720625297e-05,Sau_CFCC_Pin_3,22,0.9,0.3,800,2
