MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS3,VDS5,VDS7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,gmid_offset0,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.494,17,0.705,0.696,13,1,0.235,27,0.806,0.25,0.85,11,1,5.52,5,74,44,0.254237892678707,0.28385863948305,0.290989346031032,0.299901382436588,514786108.778453,288632252.490859,275006083.959106,3137303017.11143,0.000102961108932996,9.73283509428206e-05,9.56804496969299e-05,0.000781413560676965,-14,7,7,-14,66.8793590768155,506.205660736655,1139.60681109736,1384.62227548329,67.088941378741,23124896.3869079,18.646196931278,0.000501754066561531,343.900000000001,78.7217053713815,52060440,5.63985293192997e-05,0.000313366513614054,63.40449,2.85984048738811e-08,6.40896246870137e-08,3.74527930814827e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.476,10,0.753,0.703,16,1,0.299,30,0.996,0.25,0.673,8,1,5.39,5,100,54,0.275428375658808,0.269645221147384,0.295210505738524,0.299923082957382,691161468.866022,255229869.102457,451722695.045104,1981668661.8574,9.48194889630671e-05,0.000101119358871737,9.42435204062547e-05,0.000787220672466335,10,-5,4,13,67.3288131017341,524.983135196382,1195.57681545417,1452.62583077682,67.5629780891137,23939971.8287465,18.5737018388904,0.000467061794412723,335.600000000001,79.5927427303606,54519990,5.629803853637e-05,0.000314690658585785,62.97269,2.6916596358401e-08,1.46166135301939e-07,2.35102816338872e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.337,10,0.444,0.85,13,1,0.308,30,1,0.25,0.85,11,0.915,5.39,5,59,50,0.277730211508782,0.29517931701137,0.293628327091124,0.299959391191001,1478058077.31945,210344721.786677,288233870.543953,1938541474.38003,9.30397741545788e-05,9.22966966756743e-05,9.44225720232627e-05,0.0007992651660449,-4,7,7,-12,63.6946096866656,533.717360582648,1085.43865321204,1318.80796365263,63.7711140853303,24721695.4964111,18.685469755936,0.000605789124975219,328.200000000001,79.2324174207298,50277330,5.71849708816773e-05,0.000364216899401834,61.01111,3.0356644862244e-08,1.42942660080192e-07,1.92249944246381e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.42,8,0.726,0.85,10,1,0.244,29,0.696,0.25,0.85,10,1,3.37,5,60,59,0.280650285350558,0.307343934354836,0.29589146046059,0.299879491520871,948558734.455684,238260329.105886,288606546.925283,3139986239.59522,9.27033125784514e-05,8.60491994928117e-05,9.37164193524726e-05,0.000765923164860987,-1,10,1,-6,60.5613249652913,523.956590207425,1006.2843229662,1222.63545240393,60.6263072298992,23978205.8122766,18.1786758593689,0.00060921724999689,326.500000000001,78.8660510583952,46051320,5.64984271183872e-05,0.000336957673792141,57.93642,3.7141952224076e-08,1.5787929652844e-07,4.89502384296015e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.63,11,0.1,0.74,16,1,0.229,24,0.944,0.25,0.596,9,1,4.19,5,57,61,0.409329088393769,0.285583726276351,0.281811691479236,0.299968443549986,1036344383.96896,233711524.150515,496560342.676537,3112560140.2447,5.16050158264274e-05,9.85646089085035e-05,9.71782961486595e-05,0.000774216633496024,7,2,12,4,57.9100529202801,550.899972308442,1200.96610354417,1459.17381580616,57.7837629869144,24686987.8010761,18.2616873262029,0.000637985335102541,316.100000000001,79.204876391834,53817820,5.53235873105358e-05,0.000339170965879922,61.75926,2.66783562651731e-08,4.50925769143462e-07,4.63114201635362e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.494,17,0.705,0.628,12,1,0.235,27,0.806,0.25,0.85,11,1,5.53,5,73,63,0.254237894885994,0.280994938050984,0.291004508628566,0.299898827453036,514786121.39686,354109627.863041,275047599.457423,3137299813.39619,0.000102961112796021,9.84780282498289e-05,9.57027974986201e-05,0.000781412722033539,15,-3,-8,0,67.2150726874587,505.334475188809,1152.28870732186,1400.03077939606,67.4506959932983,23086341.6270843,18.5662774944252,0.000531750069788311,315.900000000001,78.2231841473486,52642620,5.64015671384475e-05,0.000310714357002813,64.07905,2.92635268463241e-08,6.62706236015387e-08,3.98462782099096e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.48,5,0.85,0.16,1,0.1,0.44,8,0.96,0.25,0.703,1,0.7,3.37,10,13,15,0.354430379130889,0.331117981398334,0.534043685511694,0.294427638900305,1263257585.69154,31071614364.8814,2013560152.70794,3505262143.50542,0.000134721033777065,4.91168332650144e-05,6.98508718218039e-05,0.000800935376920284,10,7,12,5,26.2641296768149,27.8319601519311,95.6782892149703,116.249121396189,30.2300009631814,2469929.91526711,17.1911430684524,0.349969634678177,387.200000000001,55.2141780535147,8490910,0.00010956095708107,0.000758651175028317,79.65693,0.349969634678177,1.99832334015204e-05,0.0030975957268739,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.24,1,0.143,0.56,1,0.669,0.08,4,0.94,0.25,0.76,2,0.62,5.62,5,10,21,0.510342674315003,0.363920276245487,0.405423198467605,0.296770380149071,12874433648.8737,1555472521.94373,939142539.752504,30815331946.0752,3.54924694623754e-05,3.7724764410313e-05,5.26700925645667e-05,0.000660411180460763,14,8,-12,-14,40.770818729823,96.8835017374745,262.796940103182,319.298282225366,48.3615072124139,4282337.50381721,17.4160615524865,0.392673642207588,385.200000000002,55.3412166113472,11615860,5.45690063803788e-05,0.000380673461246244,84.79636,0.392673642207588,1.291038092783e-05,0.0015939979490035,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.432,1,0.1,0.64,1,0.79,0.06,4,0.409,0.25,0.728,3,0.686,4.75,9,12,42,0.854780976888025,0.413168939555409,0.377401739128968,0.296865295470166,6631806656.8378,1237908046.02332,831478624.228606,87331545934.2196,2.6998175995071e-05,4.10950013443159e-05,6.88398326907369e-05,0.000793605848037133,3,-6,-10,-9,41.627819792053,54.6218309041605,148.062486480178,179.895921073416,46.4513104395825,3992926.75785358,17.3248090321365,0.405363169704245,326.000000000001,55.0220084254679,10823560,9.0248516492902e-05,0.000384996546520698,84.89954,0.405363169704245,5.30668980254667e-06,0.00114165363716068,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.631,7,1,0.58,1,0.785,0.115,4,0.958,0.25,0.395,3,1,3.39,7,18,20,0.321304980894103,0.473106969243219,0.336665903569073,0.298968327706724,535929504.618315,1656273856.00071,1857607738.56775,25065585332.7833,0.000109529365710338,5.05051308041632e-05,0.000109667610639578,0.000798874050215018,-6,12,12,14,46.8416430753572,96.6018287426597,245.53858176528,298.329376844815,47.1862975995888,6063100.04700823,17.2434996447937,0.00313703942687257,380.200000000001,60.6317237124935,15410940,7.74862008042362e-05,0.000418010992840232,80.36691,1.55960600121706e-07,4.88124208926355e-07,0.000615015673165908,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.56,1,0.591,0.64,1,0.895,0.2,30,0.99,0.25,0.8,1,0.538,4.18,8,7,48,0.567598412060277,0.265940928572824,0.537282206645259,0.291517803237465,2106346419.38952,1152955885.17293,1635179043.6871,4113231545.98907,4.89813492803878e-05,4.73763229470876e-05,5.02648824704652e-05,0.00122568702194807,0,-13,-15,3,20.5964016978916,64.3644921203163,202.956882343985,246.592612047941,30.3580281761539,4434187.3207109,17.3616635147672,0.431817635914003,327.600000000001,59.0475172574811,13982070,8.50516356748048e-05,0.000379213218183188,86.4952,0.431817635914003,5.58212579087589e-05,0.00255250912382426,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
0.501,1,0.1,0.816,2,0.859,0.201,28,0.894,0.25,0.85,12,1,3.37,14,17,17,1.10434238519835,0.464436545100851,0.301238220957418,0.300033332038714,5906975983.28449,656321160.519262,303850190.180777,6202523270.60706,2.84664888333151e-05,5.80379155353233e-05,0.000121731709427637,0.00177599628085035,-6,8,-1,-14,57.4428787792028,54.614632200032,140.043178059012,170.1524613417,57.0394287470553,5991569.65152189,17.8153110553815,0.00173661488965228,383.550000000001,68.090208804016,15363620,0.000135439886195476,0.000390910347152706,80.16932,1.20720830503757e-07,7.24161503521947e-07,0.000397267005126933,"TwoStFixIRatio_SMCNR_Pin_2",22,0.9,0.3,1,0
