MOSFET_0_2_L_LOAD0_NMOS,MOSFET_0_2_M_LOAD0_NMOS,MOSFET_0_2_W_LOAD0_NMOS,MOSFET_13_2_L_gm1_PMOS,MOSFET_13_2_M_gm1_PMOS,MOSFET_13_2_W_gm1_PMOS,MOSFET_1_2_L_gm2_NMOS,MOSFET_1_2_M_gm2_NMOS,MOSFET_1_2_W_gm2_NMOS,MOSFET_25_30_L_BIASCM_PMOS,MOSFET_25_30_M_BIASCM_PMOS,MOSFET_25_30_W_BIASCM_PMOS,MOSFET_28_25_L_BIASCM_NMOS,MOSFET_28_25_M_BIASCM_NMOS,MOSFET_28_25_W_BIASCM_NMOS,MOSFET_6_2_L_LOAD1_PMOS,MOSFET_6_2_M_LOAD1_PMOS,MOSFET_6_2_W_LOAD1_PMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS1,VDS13,VDS25,VDS28,VDS6,ft0,ft1,ft13,ft25,ft28,ft6,gm0,gm1,gm13,gm25,gm28,gm6,gmid_offset0,gmid_offset1,gmid_offset13,gmid_offset25,gmid_offset28,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2,1,10,2,10,5,4,2,2,10,1,4,8,1,2,10,1,10,23,41,73,2,1.11777844988032,0.903536158810625,0.687435856538936,2.5613017567382,2.02364675416251,1.22485901794662,1409327769.20183,15521200.1123755,462247164.605458,40270004.2812069,142300903.887258,21726029.161764,0.000403090417420436,5.56705009011728e-05,0.000569643814195689,2.01741085233559e-05,3.10482711289448e-05,2.73549495227253e-05,15,15,-15,-14,-15,15,84.8177076656895,1.48867186600021,2.16652234087031,146.240258008746,80.5796441251754,41293112.3128138,46.7653718043597,0.00674565173001631,392.400000000001,73.0135313035817,60095480,0.00061640495734498,0.000220774371809757,45.35497,1.22851122047457e-08,2.74724942350857e-05,0.000305334233769994,"HSOTA_CS_Pin_2",180,5,2,0.1,0
2,4,10,2,10,5,4,2,2,10,1,4,8,1,2,10,1,6,23,41,69,2,1.11777843521587,0.903302062178438,0.687386855519348,2.5613017567382,2.02364675416251,1.60414862782896,1409382086.40151,15515922.5765393,462232803.693756,40270004.2812069,142300903.887258,26267169.8355938,0.000403099733966918,5.56501594147378e-05,0.000569617480101589,2.01741085233559e-05,3.10482711289448e-05,2.00764931354205e-05,15,15,-15,-13,-15,15,85.8224759369344,1.48649424422493,2.17053513414393,146.511121554715,77.9923133594839,41232689.9461732,47.1911008559877,0.00686997085328866,381.800000000001,73.0553475031457,60206760,0.000616404673185669,0.00022037031945103,45.40986,1.22909498676048e-08,1.80757890464411e-05,0.000263046235017939,"HSOTA_CS_Pin_2",180,5,2,0.1,0
2,4,10,2,10,5,4,1,2,10,1,4,8,1,2,10,1,6,23,41,72,3,1.11777843521587,0.903302062178438,0.687386855519348,2.5613017567382,2.02364675416251,1.60414862782896,1409382086.40151,15515922.5765393,462232803.693756,40270004.2812069,142300903.887258,26267169.8355938,0.000403099733966918,5.56501594147378e-05,0.000569617480101589,2.01741085233559e-05,3.10482711289448e-05,2.00764931354205e-05,15,15,-15,-13,-15,15,85.8224759369344,1.48649424311265,2.17053513414393,146.511121554715,77.9923133594839,41232689.9153204,47.021271782035,0.00687004725729191,381.200000000001,73.0553475031457,60206760,0.000616404673185669,0.00022037031945103,45.40986,1.22893770651154e-08,1.80757890464411e-05,0.000263046235017939,"HSOTA_CS_Pin_2",180,5,2,0.1,0
2,1,10,2,10,5,4,2,2,10,1,4,8,1,2,10,1,6,23,41,66,3,1.11777843521587,0.903302062178438,0.687386855519348,2.5613017567382,2.02364675416251,1.60414862782896,1409382086.40151,15515922.5765393,462232803.693756,40270004.2812069,142300903.887258,26267169.8355938,0.000403099733966918,5.56501594147378e-05,0.000569617480101589,2.01741085233559e-05,3.10482711289448e-05,2.00764931354205e-05,15,15,-15,-15,-15,15,85.8224759369344,1.48649423317346,2.17053513414393,146.511121554715,77.9923133594839,41232689.6396251,45.902069670114,0.00698999714832371,378.100000000001,73.0553475031457,60206760,0.000616404673185669,0.00022037031945103,45.40986,1.22893724014062e-08,1.80757890464411e-05,0.000263046235017939,"HSOTA_CS_Pin_2",180,5,2,0.1,0
2,5,10,2,10,5,4,2,2,10,1,4,8,1,2,10,1,7,23,41,72,5,1.1177784367899,0.903335895031442,0.687393931396617,2.5613017567382,2.02364675416251,1.47727962950415,1409374245.66041,15516685.3667921,462234878.029722,40270004.2812068,142300903.887258,24938049.665225,0.000403098389930951,5.56530994350928e-05,0.000569621283112139,2.01741085233559e-05,3.10482711289448e-05,2.21322258582253e-05,15,15,-15,-14,-15,15,85.69225243769,1.48699133479915,2.16972764862073,146.456616281899,78.7277042066647,41246477.1176801,47.8225888048734,0.00694574624386898,366.200000000001,73.0527386723078,60184360,0.000616404654783476,0.000220491004091124,45.39178,1.22885965918952e-08,2.02187719656566e-05,0.000271837413631015,"HSOTA_CS_Pin_2",180,5,2,0.1,0
2,1,10,2,10,5,4,2,2,10,1,4,8,1,2,10,1,6,23,41,78,8,1.11777843521587,0.903302062178438,0.687386855519348,2.5613017567382,2.02364675416251,1.60414862782896,1409382086.40151,15515922.5765393,462232803.693756,40270004.2812069,142300903.887258,26267169.8355938,0.000403099733966918,5.56501594147378e-05,0.000569617480101589,2.01741085233559e-05,3.10482711289448e-05,2.00764931354205e-05,15,15,-15,-13,-15,15,85.8224759369344,1.48649424089686,2.17053513414393,146.511121554715,77.9923133594839,41232689.8538585,45.902069670114,0.00687027917628635,358.700000000001,73.0553475031457,60206760,0.000616404673185669,0.00022037031945103,45.40986,1.2289376697354e-08,1.80757890464411e-05,0.000263046235017939,"HSOTA_CS_Pin_2",180,5,2,0.1,0
2,8,10,2,10,5,4,1,2,10,1,4,8,1,2,10,1,6,23,41,68,6,1.11777843521587,0.903302062178438,0.687386855519348,2.5613017567382,2.02364675416251,1.60414862782896,1409382086.40151,15515922.5765393,462232803.693756,40270004.2812069,142300903.887258,26267169.8355938,0.000403099733966918,5.56501594147378e-05,0.000569617480101589,2.01741085233559e-05,3.10482711289448e-05,2.00764931354205e-05,-6,15,-15,-15,-15,15,85.8224759369344,1.48649423643036,2.17053513414393,146.511121554715,77.9923133594839,41232689.7299657,48.6929152957594,0.00698963979437541,356.900000000001,73.0553475031457,60206760,0.000616404673185669,0.00022037031945103,45.40986,1.22893752971611e-08,1.80757890464411e-05,0.000263046235017939,"HSOTA_CS_Pin_2",180,5,2,0.1,0
2,4,10,2,11,4,4,3,2,9,1,3,8,1,2,10,1,7,23,40,76,15,1.10887444356398,0.972887101556464,0.730996130898153,2.79003234558338,2.00261700372307,1.46208297770487,1399760580.45571,20622545.9524222,483401370.218696,52846658.1294365,140943276.316459,24831664.3047039,0.000400209090251464,5.00969325107457e-05,0.000525056969593036,1.79249180708202e-05,3.07491356455178e-05,2.20104395589721e-05,15,15,-15,-13,-14,6,83.9798743487049,1.20810668877526,2.29239519502595,154.736675664252,77.9825991780572,32056137.8695283,43,0.0079348654659459,336.200000000001,73.4542196279442,60826860,0.000589648766902383,0.000231422286020326,45.10912,1.19314727241722e-08,2.51301354716249e-05,0.00032182855488383,"HSOTA_CS_Pin_2",180,5,2,0.1,0
2,8,10,2,10,5,4,1,2,10,1,4,8,1,2,10,1,9,23,41,72,16,1.11777844416085,0.903460310427308,0.687419969103781,2.5613017567382,2.02364675416251,1.29401120655771,1409345385.27544,15519490.2614577,462242509.450289,40270004.2812069,142300903.887258,22669856.0749384,0.000403093440398066,5.56639104564287e-05,0.000569635276510175,2.01741085233559e-05,3.10482711289448e-05,2.57322169780983e-05,-15,15,-15,-15,-15,15,85.1272181379034,1.48814116958847,2.16738040807618,146.298177545142,80.0118295476085,41278397.738605,49.3051721424842,0.00698173567408329,333.400000000001,73.0240866558298,60119290,0.00061640504696085,0.000220687991811129,45.36449,1.22863309495773e-08,2.74203579352994e-05,0.000293725967266845,"HSOTA_CS_Pin_2",180,5,2,0.1,0
2,5,10,2,7,5,4,3,2,9,1,3,8,1,2,10,1,8,22,39,75,28,1.09490568545738,0.960795430855018,0.810369311628384,2.7586224664256,1.98238070506503,1.34289544666133,1384599566.0881,20374999.6479891,526442763.914833,52442096.5311697,139672372.990646,23319987.5550482,0.00039564901224277,4.94668687519905e-05,0.000456428850693307,1.77844364592255e-05,3.04739789319454e-05,2.35568841306797e-05,-5,15,-15,-15,-15,15,82.0404243528469,1.17829930183022,2.39580816134954,161.717050891094,78.0497173888144,29929974.1198189,43.2203655699486,0.00890512864970814,312.6,73.6060574420329,60855910,0.000564466545098412,0.000251683144709219,45.69314,1.17963330312925e-08,2.42622949553351e-05,0.000382667178692842,"HSOTA_CS_Pin_2",180,5,2,0.1,0
