Element,X,Y,Factor
CURRENT_0,237,456,1
MOSFET_0,1634,541,1
MOSFET_0,1805,534,1
MOSFET_1,2147,534,1
MOSFET_1,2336,533,1
MOSFET_10,1210,263,1
MOSFET_10,1385,263,1
MOSFET_13,1630,263,1
MOSFET_13,1806,265,1
MOSFET_28,475,456,4
MOSFET_28,477,571,4
MOSFET_28,887,453,4
MOSFET_28,888,568,4
MOSFET_28,695,459,1
MOSFET_28,2159,466,8
MOSFET_28,2329,468,8
MOSFET_33,2160,251,8
MOSFET_33,2335,256,8
MOSFET_33,270,105,4
MOSFET_33,269,214,4
MOSFET_33,470,105,4
MOSFET_33,474,214,4
MOSFET_33,680,118,4
MOSFET_33,684,224,4
MOSFET_33,895,245,1
MOSFET_33,1316,146,16
MOSFET_33,1752,140,16
MOSFET_6,2158,104,1
MOSFET_6,2331,106,1
