MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,av0,av3,av5,av7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
10,50,5,1,1,0.5,1.5,1,0.5,2.12,0.5,50,5,65.9,0.1,0,50,462,740,258,505,1150000,534000000,1670000,949000000,0.000963,2.25e-07,0.00146,1.75e-06,74.3463344637118,4.11175139678499,312.894536444527,0.577696795284935,85.0398660485428,1000,73.3977522094832,0.500688822513103,1.1234702153846,89.6978413725009,76097.63,1.10547893265353e-06,0.00016059674927615,39.74157,4.74039413421117e-07,0.000219128802688425,0.00526971428486811,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,0
10,50,5,1,1,0.5,2,1,2.6,1.51,10,50,5,41.8,0.1,0,42,617,490,24,814,1760000,606000000,1460000,80800000,0.00365,2.96e-07,0.00612,2.86e-06,78.0210371134966,4.11167839326446,348.866989326376,0.000295630859721986,125.150004409812,1000,96.7479524328401,0.501478724910196,0.722110258345912,107.09332267471,84847.83,1.1054985606123e-06,0.000157245506258572,29.96584,4.99657826015587e-07,3.6609731423054e-06,0.000591843828002148,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,0
1.9,50,3.54,0.5,1,2.52,0.5,2,6.36,1.05,1.35,1,0.5,0.386,19.7,28,57,376,541,940,17,501000000,55400000000,181000000,61000000000,0.628,3.27e-05,6.28318530717959e-06,2.68e-05,35.6430595896942,212.344563622087,194.469309689198,176.178821504741,36.4785222614208,10202733.3487767,38.6252508082472,0.212892216207458,-6.4957563,66.2943201065944,9343863,0.000218400037586053,0.000199921851710984,52.92636,9.2522258676251e-08,6.73157843031957e-05,0.00544532878612203,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,2
1.9,50,3.54,0.5,1,3.36,0.5,2,6.36,0.829,1.35,1,0.5,0.698,19.7,28,39,392,541,611,17,501000000,55400000000,181000000,61000000000,0.628,3.27e-05,6.28318530717959e-06,2.68e-05,37.9967262206791,223.392869652835,257.65203647289,81.6449166401483,39.262473822759,10734677.3560701,35.4067931335217,0.341393245825192,124,67.5339839844462,12380930,0.000218422316065707,0.000187514192814377,46.82688,0.000152999998566,5.8591402199335e-05,0.00486063658164593,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,2
10,50,5,1,1,0.5,2,1,0.5,1.68,0.5,50,5,44.2,0.1,2,22,462,983,258,910,1150000,534000000,1670000,742000000,0.00438,2.8e-07,0.00146,2.3e-06,73.2071955207124,199.314765589972,349.351184236947,0.65370690857056,85.1305066326961,48474.3334376876,69.3002164498784,0.0476768664441661,-45.0372813,91.4243290394025,84963.93,1.1054769505411e-06,0.00017708922572257,31.29474,4.51436700129533e-05,0.00022120991368013,0.00571367435097803,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,0
10,50,5,0.5,1,0.5,0.5,1,0.618,1.57,0.5,50,5,3.36,1,5,5,36,102,258,174,14900000,8200000000,10700000,4980000000,0.0437,6.49e-07,0.034,2.55e-05,62.1672998067821,215.314762818974,275.119285606707,1.37743887715922,86.710375985039,522829.929404932,66.9129210242686,0.0327063931949795,-56.964402,77.4599446551171,668048,1.10373280865621e-05,0.000234083008247802,34.04493,1.12408257100087e-05,3.92819450963455e-05,0.00773623845775906,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,1
0.5,50,8.54,0.5,2,6.32,0.5,32,10.4,1.1,3.86,22,0.5,0.53,26.4,28,35,506,10,681,10,100000000,55300000000,263000000,36400000000,0.628,1.84e-05,0.151,6.28318530717959e-06,61.97781124149,136.672929827646,340.343380590844,0.231443689755473,73.5732519487402,9362163.33005189,40.9635203565319,0.0430728399959262,179,79.7383444186934,23313690,0.000311365885823457,0.000130291633994846,45.24399,5.56702268122826e-07,9.61378264622059e-06,0.00151522033332685,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,2
0.5,50,8.54,0.5,2,6.32,0.5,32,10.4,1.1,3.86,22,0.5,0.53,26.4,29,55,506,10,896,10,100000000,55300000000,263000000,36400000000,0.628,1.84e-05,0.151,6.28318530717959e-06,61.97781124149,136.67293212225,340.343380590844,0.231443689755473,73.5732519487402,9362163.48723339,40.9635203565319,0.0436075174667941,197,79.7383444186934,23313690,0.000311365885823457,0.000130291633994846,45.24399,5.56702265625287e-07,9.61378264622059e-06,0.00151522033332685,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,2
2.89,50,4.97,0.656,3,5.12,0.5,32,10.4,1.1,2.58,50,0.5,0.53,44.7,29,45,10,89,681,10,100000000,100000000,193000000,42500000000,0.628,1.03e-05,0.151,6.28318530717959e-06,57.2688861167299,214.492808881331,292.652669680855,0.0971550083355762,58.456931384183,23289338.3090212,47.2680369806067,0.0411981417780234,281,88.9668284224047,31775830,0.000493539290335541,0.000143125012440886,48.86746,6.90666494741053e-07,4.07139153537961e-06,0.000675708239664896,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,2
10,1,0.5,0.5,1,0.5,10,2,3.92,2.06,1.5,50,5,56.4,0.1,3,20,341,743,802,362,1000000,954000000,1830000,1000000,6.28318530717959e-08,1.64e-07,0.00427,1.27e-06,69.4002090759875,244.174984210977,385.253060184865,0.0131792890742046,112.852472322567,59149.3022821581,57.9589509911972,0.0500126460406512,-31.8027446,107.287540796666,93324.26,1.10109750098968e-06,0.000150924188232254,33.54829,1.20967967723399e-05,2.63627111753095e-05,0.00259547500070112,"TwoStFixRatio_SMCNR_Pin_2",40,2.5,1.2,10,0
