MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av11,av12,av17,av18,av22,av24,av25,av9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
3.5,50,5,0.5,5,4.02,0.5,50,4.96,6,50,5,7.5,50,5,1.5,1,2.05,0.5,50,5,0.5,50,5,0.5,1,4.41,3.49,0.172,238,1,49,773,967,407,793,740,728,148,879,63,115000000,83100000000,5110000000,192000000,133000000,161000000,58600000000,5110000000,67200000000,0.576,0.00172,0.00503,0.628,0.515,6.28318530717959e-06,0.363,0.00503,0.000224,37.0906021737332,5.91731496861048,1.08560553005805,3120922695.94251,20.0935100573978,33420340.6741111,187.102987683254,0.0282500524603627,-300.972668203316,71.0045670612403,6131380,0.0256722246886665,0.000753548234766159,36.18073,2.15070779201921e-08,0.00472876418707298,0.946262987386551,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,1
4,50,5,0.5,6,4.28,0.5,49,4.92,2.5,50,5,7,50,5,2,50,5,0.5,50,5,1,37,4.97,0.5,2,2.55,3.76,0.393,300,10,14,10,26,180,1000,175,1000,392,1000,1000,100000000,83100000000,3470000000,227000000,100000000,165000000,52100000000,2160000000,57400000000,0.41,0.00163,0.00633,0.628,0.628,0.505,0.487,0.00648,0.000328,44.4802805928694,5.09643011064315,6.31830216879142,75.9787331069282,44.1580802316821,6829184.15938346,174.914227551677,0.29460398163378,-15.1817985,128.619631845071,8466485,0.00609088038197357,0.000354539524608981,57.69853,0.000522000002251539,1.12629259573904e-05,0.00232047867812302,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,1
1.5,50,5,0.5,3,3.9,0.5,50,4.98,5,50,5,7.5,50,5,6.5,50,5,0.5,50,5,1,34,4.94,0.5,1,2.64,2.38,0.272,270,8,53,1000,367,889,670,546,108,566,888,149,155000000,100000000000,1730000000,144000000,146000000,114000000,51500000000,2280000000,19000000000,0.486,0.00075,0.00681,0.376,0.59,0.169,0.359,0.00631,0.00017,30.5373874110168,13.9387347655816,3.30431179638601,32148.3103757937,30.066415316615,26487622.8335424,177.310400146184,0.0261712301432707,-36.8364447,110.199097612502,6279147,0.0086376767785485,0.000690341395652261,64.24889,1.8642744136385e-08,3.81875611605154e-05,0.0144866784127409,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,1
4,50,5,0.5,5,4.66,0.5,34,4.97,1.5,50,5,4.5,1,0.5,2,50,5,0.5,50,5,1,28,4.93,0.5,1,3.46,3.97,0.429,268,6,57,426,212,137,563,666,1000,836,361,10,112000000,75600000000,4590000000,100000000,188000000,178000000,51100000000,4590000000,23700000000,0.323,0.0015,0.00627,0.411,6.28318530717959e-06,0.628,0.186,0.00681,0.000232,15.8521065612497,50.6126062681833,6.47787771765392,966036.705444953,22.7969306581388,42403405.9837556,129.591284429162,0.0577593048851973,-45.2708487,96.7282041734096,5427187,0.0038081965874336,0.000437616792457585,58.32792,1.38523826231531e-08,0.00023724434818331,0.0278204897853001,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,1
1.5,50,5,0.5,4,4.08,0.5,50,4.98,5,50,5,7.5,50,5,6.5,50,5,0.5,50,5,1,47,4.98,0.5,1,2.64,2.38,0.272,270,7,49,1000,367,889,670,546,108,566,811,149,155000000,100000000000,1730000000,144000000,146000000,114000000,51500000000,1730000000,19000000000,0.486,0.00105,0.00681,0.376,0.59,0.169,0.359,0.00631,0.00017,34.474119432026,15.1959960495015,3.88635178727844,7269.92021529375,34.0071087947937,23592436.2668092,177.503205604857,0.0211491898569537,-39.2660928,115.865835402563,6033728,0.00705701332890465,0.000816060939541696,60.33479,1.85330173947541e-08,2.44995635128742e-05,0.00934151260856786,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,1
1,50,5,0.5,6,4.22,0.5,41,4.9,7.5,50,5,8,50,5,1,50,5,0.5,50,5,1,22,5,4,10,4.67,2.16,0.221,287,10,16,801,205,442,14,407,501,467,157,729,256000000,100000000000,4740000000,100000000,146000000,100000000,56400000000,3940000000,100000000,0.339,0.00163,0.00777,0.205,0.486,0.129,0.628,0.00864,0.000209,31.7977219817294,42.8598226162809,7.48371946074132,6595.92220992864,31.6138409569383,50920729.581058,181.492751921392,0.0392629040020449,-15.9950648,106.349273759975,8891228,0.00540034576914369,0.000569413488135309,42.71899,1.41567695772496e-08,2.85200552439102e-05,0.0102525597918239,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,1
10,50,5,6.21,2,0.5,0.5,1,3.7,10,1,6.69,10,1,0.5,10,1,0.5,0.5,1,0.5,1.5,1,0.772,0.5,1,0.5,2.79,0.309,6.05,18,19,1000,10,10,466,458,10,737,10,947,10000000,3430000000,2420000000,11800000,10100000,45500000,10000000000,3710000000,6420000000,0.0628,2.07e-05,9.6e-05,6.28318530717959e-07,6.28318530717959e-07,0.0294,6.28318530717959e-07,5.65e-05,1.83e-05,58.2565148188749,50.3966434920355,20.1280907657738,1.00270665584749,56.260477973088,2234548.75279502,154.59003525454,0.0541619891420848,-26.6405722,77.9109922436736,892464.2,0.000201541989339768,0.000275229873577248,37.72976,3.52369337381533e-07,6.86269186769506e-06,0.000649033307158042,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,0
0.5,50,5,0.5,6,4.58,0.5,17,4.94,10,50,5,1,2,2.65,1,2,2.92,0.5,50,5,1,18,4.88,0.5,2,2.62,3.79,0.301,155,10,23,281,10,143,231,526,530,933,345,10,264000000,73400000000,5330000000,100000000,131000000,122000000,28100000000,5330000000,85400000000,0.0247,0.00184,0.00446,0.35,6.28318530717959e-06,6.28318530717959e-06,0.567,0.00446,0.000351,30.6675996649549,39.6803016971277,16.4173527487419,4588.61580332028,30.6928486711076,20795393.3448727,152.570275610946,0.0824552472668304,-22.2028279,103.709596557971,8603899,0.00238215212992721,0.000476710348169429,41.19026,2.25056187419141e-08,3.30577069099247e-05,0.0136667232080629,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,1
3.89,50,5,0.5,2,4.78,0.5,50,4.92,0.5,50,5,0.808,1,5,2.18,50,5,0.5,50,12.2,0.5,50,4.84,0.5,5,4.6,3.78,0.999967549135023,201,26,49,1000,1000,196,563,926,977,178,870,733,246000000,100000000000,3200000000,190000000,100000000,183000000,58700000000,5280000000,23700000000,6.28318530717959e-06,0.000549,0.0138,0.194,6.28318530717959e-06,0.628,0.628,0.00242,0.000328,80.6660732707638,33.4872886105773,18.2735200791065,0.0180354189487275,77.5530606743537,54237033.148466,124.721468324455,0.0256998726937047,399,142.432307448661,29596350,0.00736195670314121,0.00036494919407053,49.64804,1.00508118326701e-08,6.37693570875175e-07,0.000181871368528874,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,1
10,50,5,0.5,1,0.5,0.5,3,8.78,10,1,0.5,10,1,0.513,10,1,0.5,0.5,50,0.5,1.5,1,0.5,0.5,1,0.5,2.79,0.314,3.99,20,58,1000,10,382,466,458,10,402,10,300,10000000,10000000000,3710000000,10200000,10100000,17200000,10000000000,3200000000,6420000000,0.00615,1.51e-05,9.79e-05,6.28318530717959e-07,6.28318530717959e-07,6.28318530717959e-07,6.28318530717959e-07,4.2e-05,2.15e-05,73.5844908158861,51.5628277346976,26.1675863999192,0.00184712535548633,75.6856097040551,1562140.73418697,153.259048672501,0.0662731021691775,-22.6363698,85.8991073470425,792769.8,0.000137708500732044,0.00023656143603107,56.42058,3.92370120613705e-07,3.5811727418511e-07,0.000129055479610951,"Leung_DFCFC1_Pin_3",40,2.5,1.2,10,0
