RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS14,VDS2,VDS4,VDS6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset14,gmid_offset2,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
80,52,3,7,9,2,9,2,10,20,4,2,1,4,10,5,2,4,14,1,5,0.5,24,46,0.392991305285658,0.392991305285658,0.102228762198053,0.831674489235577,0.102228762198053,0.15597691451947,268532228.44947,268532228.44947,1941133.24023536,528637145.439896,1941133.24023536,19872910.0679627,0.000117314086855132,0.000117314086855132,1.58798651146672e-05,5.27284124586517e-05,1.58798651146672e-05,4.54474054425944e-06,-1,15,15,-15,15,4,84.1983097668853,17.8882936342346,23.638876949071,159.562419406229,63.4081615984857,7572132.3934086,45.5302097513288,0.0100876604812894,261,78.6304795212535,10006360,9.40668865253747e-05,0.00010405951425441,59.24103,1.25222646406355e-07,1.72571780354058e-05,0.000631300756220199,"HSOTA_COMP_Pin_2",180,5,2,1,0
72,39,2,1,5,2,16,2,10,20,5,2,1,4,7,1,2,4,12,1,10,0.78,23,61,0.340278907053177,0.340278907053177,0.147618081475669,0.97818341772309,0.147618081475669,0.139558975295503,233605553.349247,233605553.349247,2846481.52859609,594012502.082451,2846481.52859609,18203926.1110973,0.000180077455040529,0.000180077455040529,3.06040431348459e-05,5.97396492136662e-05,3.06040431348459e-05,8.09410329439659e-06,-5,15,-5,10,5,8,87.4691894414749,21.0705514682103,31.9917512171411,215.944320715702,63.0792855297472,12201993.8113176,46.1627555503352,0.0117768752783481,256,78.606497783539,18526480,0.000128689283922341,0.000112282045623137,51.82053,7.6867468140542e-08,1.02281051192055e-05,0.000600340434985913,"HSOTA_COMP_Pin_2",180,5,2,1,0
80,47,2,17,9,2,20,2,6,18,2,2,1,3,7,11,2,7,12,1,5,0.78,19,2,0.289013119070789,0.289013119070789,0.118184496151955,1.08652578650443,0.118184496151955,0.287659311903854,197485545.562746,197485545.562746,6141107.79478234,648769112.948908,6141107.79478234,11852638.9654667,0.00018911599459651,0.00018911599459651,1.46816816566116e-05,4.86255863235733e-05,1.46816816566116e-05,4.90319962661191e-06,2,-8,2,-11,13,4,82.5387056577125,19.2093898088722,32.3629890639195,218.450176181457,65.4844617038827,10385888.9718054,42.6262829718942,0.00931799027452047,462.800000000002,78.2718800273889,17497610,0.000120148289457996,0.000106157804380231,45.35454,8.4026384326928e-08,1.25805535464285e-05,0.000526353789846112,"HSOTA_COMP_Pin_2",180,5,2,1,0
74,47,2,2,7,2,5,5,7,20,3,2,1,4,8,5,2,4,12,1,10,0.78,20,5,0.375652257199163,0.375652257199163,0.108001952578899,0.969710003033525,0.108001952578899,0.139558975295503,267333760.862244,267333760.862244,4157414.77283417,601907778.287462,4157414.77283417,18203926.1110973,0.000162975135816765,0.000162975135816765,1.86578852226166e-05,5.98974549482265e-05,1.86578852226166e-05,8.09410329439659e-06,-1,-15,3,1,-1,4,77.9094383888191,19.4347468613394,28.8455624702892,194.707546674452,64.8254249194888,11019424.7161447,40.8778668719394,0.00964255273469981,434.400000000002,78.0800643208192,16355320,0.000125999122371044,0.000110759469409547,47.66262,8.60060738411901e-08,1.53960191780089e-05,0.000586972461447122,"HSOTA_COMP_Pin_2",180,5,2,1,0
47,5,2,20,10,6,19,10,8,1,2,2,1,10,10,16,2,6,8,1,10,9.9,63,41,0.758459977106672,0.758459977106672,1.61857530267658,1.8157106465031,1.61857530267658,0.671526675534955,46327453.9549,46327453.9549,45351105.3246168,839039228.659976,45351105.3246168,39206068.4700842,0.000632812857810418,0.000632812857810418,9.0864417965518e-06,0.000225025462672458,9.0864417965518e-06,2.89644874478245e-05,15,-15,-11,-15,-4,-8,110.821051795382,2.45337958549537,3.8868884883727,26.2364972965157,74.2983549870441,10987132.1928339,51.3419906119737,0.00393775819195828,304.500000000001,78.321632235588,17406910,0.000995192487202456,9.32918673030832e-05,48.39048,3.31357618214942e-08,4.2036449859717e-06,0.000240620573459083,"HSOTA_COMP_Pin_2",180,5,2,1,0
71,47,2,2,6,2,14,2,7,19,2,2,1,3,9,6,2,4,12,1,7,0.894,24,43,0.388117470064688,0.388117470064688,0.15600887243859,1.20314024446017,0.15600887243859,0.182555023903313,255156168.251946,255156168.251946,6023708.3403888,703063956.529179,6023708.3403888,23627831.1448306,0.000177240457089411,0.000177240457089411,1.8243046680067e-05,5.26660795030607e-05,1.8243046680067e-05,7.68057680708039e-06,-1,-15,-1,-1,4,4,72.8231882633027,18.7064021717786,25.0048878082439,168.782992705646,63.229566540904,12006010.5568131,37.2290209379726,0.0130320674001852,275.9,78.0291010383258,16048460,0.0001426250928136,0.000105388518156957,48.17032,1.02251042145927e-07,1.14766961670099e-05,0.000616880866564085,"HSOTA_COMP_Pin_2",180,5,2,1,0
78,42,3,1,9,2,20,2,10,20,7,2,1,4,6,1,2,7,9,1,9,0.78,22,57,0.247032229741701,0.247032229741701,0.104023963133832,0.806941881459467,0.104023963133832,0.214071471478226,174254506.891959,174254506.891959,2020583.7703072,504271737.606591,2020583.7703072,8663922.12064438,0.000162731138753196,0.000162731138753196,2.82148836807593e-05,5.09532255778747e-05,2.82148836807593e-05,6.22497700174708e-06,-1,15,1,-1,15,7,91.0349970298866,25.8089443165805,38.1512467921911,257.52091584729,63.5747878478448,10868944.6937747,51.9037570894439,0.0114113854225687,249.6,77.7400510506308,16066670,9.35846508649857e-05,0.000113205737205769,55.70029,9.47468995412359e-08,1.53303590580189e-05,0.000599279730768121,"HSOTA_COMP_Pin_2",180,5,2,1,0
47,5,2,20,10,4,17,8,7,1,2,2,1,9,10,8,2,2,8,1,10,9.47,55,4,0.719324709075792,0.719324709075792,1.51870857489174,1.95532956649916,1.51870857489174,0.324176360957138,104180943.850826,104180943.850826,56621754.2277739,884928120.82114,56621754.2277739,199714546.350856,0.000684293533347111,0.000684293533347111,9.94856113125884e-06,0.000213049687606538,9.94856113125884e-06,5.213254034098e-05,7,-15,15,-15,-1,15,94.8973491354184,4.36318070774442,5.05375529491452,34.112848240673,73.3208631359503,20057375.007821,39.446165846632,0.0035841082515033,390.800000000002,77.5389327114712,23231920,0.00102154706502785,0.000104001125526232,45.30137,3.18207127530208e-08,4.55158806184963e-06,0.000277994392719805,"HSOTA_COMP_Pin_2",180,5,2,1,0
47,5,2,20,10,4,18,8,7,1,2,2,1,9,10,2,2,2,8,1,10,9.02,52,6,0.68236331702072,0.68236331702072,1.4817326703573,1.90754368753302,1.4817326703573,0.316093286884882,99753015.4154149,99753015.4154149,55547962.1952247,865204727.037349,55547962.1952247,194527816.62108,0.000691598433158176,0.000691598433158176,9.75525789567366e-06,0.000209025603087459,9.75525789567366e-06,5.07380888501336e-05,6,-15,15,-15,13,15,92.8299959086326,4.38703045216304,5.11826091563925,34.5482611805649,72.8214776829937,19262264.7171361,38.314488121336,0.00375987016822541,388.100000000002,77.6216417224099,22472900,0.000975717701791693,0.000101645618283184,46.31967,3.6257823958876e-08,4.90902193172493e-06,0.000302381913693139,"HSOTA_COMP_Pin_2",180,5,2,1,0
47,5,2,20,10,4,17,8,7,1,2,2,1,9,10,8,2,2,8,1,10,9.47,62,2,0.719324709075792,0.719324709075792,1.51870857489174,1.95532956649916,1.51870857489174,0.324176360957138,104180943.850826,104180943.850826,56621754.2277739,884928120.82114,56621754.2277739,199714546.350856,0.000684293533347111,0.000684293533347111,9.94856113125884e-06,0.000213049687606538,9.94856113125884e-06,5.213254034098e-05,7,-15,15,-15,4,15,94.8973491354184,4.36318077159198,5.05375529491452,34.112848240673,73.3208631359503,20057375.3013259,39.446165846632,0.00362167663048994,375.400000000002,77.5389327114712,23231920,0.00102154706502785,0.000104001125526232,45.30137,3.18207145088862e-08,4.55158806184963e-06,0.000277994392719805,"HSOTA_COMP_Pin_2",180,5,2,1,0
