Element,X,Y,Factor
CURRENT_0,331,492,1
MOSFET_0,1421,731,1
MOSFET_0,1640,728,1
MOSFET_10,834,358,1
MOSFET_10,1066,360,1
MOSFET_14,1978,120,1
MOSFET_14,2236,119,1
MOSFET_2,1428,353,1
MOSFET_2,1631,347,1
MOSFET_4,1978,740,1
MOSFET_4,2226,732,1
MOSFET_6,404,146,1
MOSFET_6,993,156,6
MOSFET_6,1562,153,6
RESISTOR_0,835,716,1
RESISTOR_0,1073,719,1
RESISTOR_2,1420,587,1
RESISTOR_2,1652,586,1
