MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.15,1,0.7008866,0.15,1,1.657449,0.4109119,1,0.4145164,6.072251,2,1.94,5.852618,30,2,9.011388,27,0.192745,7.02968,1,1.822884,2.237749,2.808125,22,39,1016.984,31.50973,33.76795,43.47169,549.1693,26.83055,983.4633,8810043,5694378000,8489746000,9494057,43191780,9506340000,9228628,0.003254431,3.095535e-05,0.0001667868,1.0063e-05,0.08613188,3.309605e-05,3.139469e-05,38.9623695002253,0.03560618744155,1027.0537115759,0.797102518509197,33.5303377536505,10,75.1512656410195,100,-226.20838185,95.706230426429,288448.1,3.46728473319756e-05,0.000440683358885009,52.53106,10,1.62321602214716e-06,0.00107935059316877,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
0.1626416,1,0.8087831,0.15,1,1.933173,0.3076386,1,0.4145164,11.34955,14,2.07748,5.133396,30,2,7,1,0.192745,7.183463,1,1.735074,6.936311,2.808125,24,53,930.0963,13.91613,27.46517,67.291,562.1727,21.62265,1194.812,8966299,6503714000,8864582000,13703460,46196140,9657132000,8385604,0.006553346,2.278251e-05,0.0001549874,0.001067483,1.368628e-05,0.0001035297,4.320076e-05,16.7355794656861,0.0340723914994908,1405.67320678333,84166.7380214076,11.6273462529094,10,103.502613254386,100,-165.5987949,76.4304281910762,412554.9,3.62336732733603e-05,0.00145304615166093,40.93785,10,4.96101274503422e-05,0.0183127915513672,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
0.15,1,0.8606846,0.15,1,2.251735,0.3128106,1,0.7146726,1.72581,15,2.031966,6.539837,30,2,6.13844,1,0.192745,7,1,0.192745,0.511799931758625,2.808125,26,55,864.1766,8.007994,24.58205,14.73468,307.9874,15.34272,427.5712,8588981,3806325000,11351030000,18757750,55524300,9469350000,23190180,0.0317214,8.914826e-06,0.0002958979,6.289799e-06,4.108967e-06,0.000150513,0.000107045,16.4320883675641,1.04743830985701,951.056597874225,5455339.92298582,12.4114238551657,1000,61.7522989724946,0.42478897150194,-112.197091377958,20.7801876470957,907983.4,0.000117865452276908,0.00021143124978913,36.61707,5.50731198587661e-07,0.000410087018263181,0.0365440523908332,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
0.1191852,1,0.4026626,0.15,1,2.456776,0.3,1,0.6130406,4.183231,15,3.407343,6.119661,30,2,7.742248,1,0.192745,7,1,0.2414332,0.511799931758625,2.808125,25,32,968.2896,8.018533,23.80805,9.755876,224.717,10.62593,465.8372,8717270,4253085000,11541880000,17255610,62727730,10344440000,11816140,3.55012e-05,3.150953e-06,0.0004494754,1.85408e-06,4.978045e-06,0.000184478,0.0001107121,15.5758374540935,1.33143829335393,1387.53445152952,5859004.06775825,10.2684436715247,1000,62.7441227014927,0.413908555910309,-106.879506087964,21.9708671864056,1042132,9.27243798978213e-05,0.000123438447593019,27.19938,4.6052167328224e-07,0.000817178398993234,0.0315856886529288,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
0.1481887,1,0.4666729,0.06,1,2.412695,0.276432,1,0.9491848,2.550398,15,1.985666,5.35,30,2,7,1,0.192745,7,1,0.12,2.302871,2.808125,24,24,998.5739,15.219,17.66383,8.091102,458.4187,8.681298,746.8771,8914174,4978505000,18864660000,18424900,48534950,11878720000,22967960,0.006550159,1.40908e-06,0.0004292359,0.008201065,1.810923e-06,0.0002976749,0.0001064229,18.8783760593884,286.649632090815,665.884544699781,188643.46830484,13.5742881469027,396000.655905027,72.3833854158193,0.202129703865588,-113.911949393606,24.0145482462994,919906,0.000170553052896748,9.31703825520787e-05,23.81516,7.11528889046722e-07,8.78515267497731e-05,0.0196335591988792,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
0.15,1,0.3332839,0.1990303,1,1.657449,0.3,1,0.6202708,0.04,15,1.94,5.35,30,2,10.53513,1,0.192745,1.120462,1,0.192745,3.142323,2.372814,22,45,842.4475,11.98829,40.82366,8.099629,269.3514,29.8643,550.4234,8700789,5912304000,8348985000,13490440,499549400,9340184000,135540800,0.1252386,1.753822e-05,9.27761e-05,0.008550857,7.852586e-06,0.0001108108,6.626827e-05,6.87651892352756,1204.13245133638,167.088647897251,13322941128.9457,0.843237784840272,317117.682551568,77.5082562422613,0.0892170882731983,-248.701974884733,43.0703217825254,44004.1,3.25133095912794e-05,0.000429885502293127,64.0791,1.16989898269597e-06,0.00141232138495626,0.0353226105779364,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
0.15,1,0.3552611,0.1990303,1,1.657449,0.3,1,0.6202708,0.04,15,1.94,5.35,30,2,10.53513,1,0.192745,1.120462,1,0.192745,3.142323,2.372814,23,61,752.8475,25.64361,38.43676,8.099629,271.7495,26.96453,440.0258,8700789,6504008000,8921249000,12103490,620963800,8797971000,233928400,0.1001986,2.99964e-05,8.886068e-05,0.006841447,8.909441e-06,0.0001227762,7.873544e-05,5.6450082691881,1180.38151053422,183.602419144485,59095626448.1798,0.424606402331582,307189.726205568,77.5082775082509,0.0836547540285281,-248.066876274557,44.59425103549,47781.82,3.21291524967033e-05,0.000394477699668278,63.9993,1.18226593643466e-06,0.00141674682194777,0.0328770386468692,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
0.15,1,0.3959939,0.1193017,1,3.280735,0.2171509,1,0.7769383,5,26,1.914818,5.658591,30,2,7,1,0.192745,10.76076,1,0.12,3.878324,2.808125,24,33,1008.62,24.00743,25.58401,8.89125,321.7576,17.30351,923.17,8847733,652720000,12871160000,16078700,50258360,13300820000,9767911,1.202001e-05,5.560457e-06,0.0004509195,0.0007287833,3.004712e-06,0.0002721307,0.0001191718,14.2252259001348,475.560573309367,427.240323057103,2293212.76326752,9.90908765522531,673803.506212697,86.3140648596672,0.142913919343798,-130.125586357117,21.429170956581,605340.4,0.00017492118295693,7.71875621693394e-05,40.3559,8.25202387968222e-07,0.000132841004348384,0.0363060259285655,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
0.15,1,0.6772742,0.2359165,1,3.627682,0.3,1,0.7146726,5,15,3.144294,6.01558,30,2,7,1,0.192745,7,1,0.192745,0.511799931758625,3.091458,24,28,889.8097,8.008963,26.75311,8.156241,292.8508,12.98976,623.7626,8778826,4278576000,9773088000,25381140,56899590,10178480000,17932730,0.02539132,2.191652e-05,0.0003365088,6.133591e-06,0.005147866,0.0002301683,0.0001034331,12.0855064449017,466.821199285349,927.55875856336,28342712.6377797,7.94309292397217,476802.407838032,62.6880162681489,0.4481851346345,-121.899039384635,18.7309182249819,947391.1,0.000126096447386995,0.00011163714562317,37.50394,0.00838000058256837,0.000570842046641493,0.0443982299935535,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
0.08153383,1,0.5551799,0.15,1,1.657449,0.3,1,0.9711493,8.261287,12,1.054726,5.35,30,2,6.964021,1,0.2590399,7.02968,1,2.329933,4.228591,2.808125,22,23,852.1739,46.35269,30.06195,8.115993,479.8742,27.79259,1102.547,8914173,10991310000,9220047000,15980140,557810000,8742471000,8746630,5.368298e-05,3.035193e-05,6.345003e-05,0.007525281,0.00152187,9.49139e-05,3.52031e-05,22.2702531790674,1601.27660935796,920.584908424757,4162.84021701975,12.0915149755397,406819.81035906,86.1860044882417,0.0995535402991572,-164.69740925,81.2460739601712,233883.5,3.136539162069e-05,0.000396619844647979,34.06354,8.62991378914586e-07,2.45214278190345e-05,0.0126355784554126,"Fan_SMC_Pin_3",40,0.9,0.3,100,0
