RESISTOR_0,MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.04,1,50,2,0.15,1,0.3,0.5509502,50,2,1,50,2,1,50,2,0.15,50,2,0.15,13,1.95,0.15,2,1.4,0.398361,99.72865,15,25,16.708,269.5589,226.7351,106.9185,148.6007,81.33938,24.20091,20.03151,647009300,366422500000,154357400000,358195800,380998300,2060706000,231201000000,13286130000,0.1521845,0.05950438,0.008034675,0.02184852,0.1058208,0.09831185,0.01335265,0.0002747917,53.9607021343656,20.8297526966701,34.7755753783527,373153154.966714,42.9705767593309,61074759.4125678,48.9289565492664,0.0547471947172623,-42.988836,43.3913139981591,101965200,0.00344952046136962,0.000437702539906648,25.45962,2.633030229015e-09,3.95834522711653,0.0255284701730688,"R2R_SMCNR_PNin_2",22,1.8,0.8,2,0
0.06,1,50,2,0.15,50,2,0.75,2,1.22,1,50,2,1,50,2,0.15,50,2,1,50,1.99,0.15,2,1.2,0.4109829,33.39023,6,38,123.507,516.4208,139.9555,236.4788,450.3427,54.63102,667.6105,577.3824,1104229000,162396800000,167803500000,759586000,265872100000,338038700000,430254500000,233756900000,7.564074e-05,0.7292654,0.6682772,0.06957024,0.6700808,0.07412758,0.00635112,0.0003614695,26.2372654723367,28.4847376081771,49.477743677882,1302376130.96013,26.602194172959,45149492.920568,45.7423258929845,0.0425997438158672,-96.7373672162217,51.4273742955687,78424280,0.00186475477588874,0.000300754264757105,29.02952,4.02406857185136e-09,7.51442103256627,0.014104360576284,"R2R_SMCNR_PNin_2",22,1.8,0.8,2,0
0.04,1,50,2,0.15,50,2,0.75,1,0.9409616,1,50,2,1,50,2,0.15,50,2,0.15,9,1.8,0.15,2,1.35,0.3579265,80.64216,1,35,228.5166,469.2639,19.09254,16.50927,521.1268,334.1391,315.5189,451.1316,938465500,519892000000,695960400000,798586200,201103600000,176273400000,48426270000,48942820000,4.728047e-05,0.3946327,0.2121309,0.2199955,0.7947229,0.6857665,0.007572858,0.0004209888,23.7562838915947,36.7232098615908,31.267317149677,1146608453093.34,10.2645351018422,112829722.779599,43.9142656559346,0.758068218742304,-232.894557543663,42.8990770943705,96066840,0.00361463093311393,0.000269479805632422,26.98971,2.97411801443903e-07,14.6966095567489,0.343626002737666,"R2R_SMCNR_PNin_2",22,1.8,0.8,2,0
0.03,1,50,2,0.15,50,2,0.45,50,2,1,50,2,1,50,2,0.15,50,2,1,50,1.98,0.15,1,0.7721585,0.4024271,49.46199,2,31,425.4256,105.8395,279.5657,288.4912,583.9964,626.994,308.9748,210.9291,1369962000,432254600000,367349900000,978248000,622883700000,567539200000,456702600000,571316500000,0.465594,0.5985483,0.244297,0.1651572,0.6818233,0.4293252,0.005504465,0.0003960893,54.9443467055767,31.8972440289956,34.3933096449998,912221095.305752,42.084148230452,56235958.8601625,49.2697568055191,0.0514782890280551,-156.607396287765,46.9703417930816,60636610,0.00207415886902485,0.000427634313306853,24.12033,3.47336979828314e-09,18.1334398213716,0.0208383511590937,"R2R_SMCNR_PNin_2",22,1.8,0.8,2,0
0.04,1,50,2,1,3,1.4,1,50,2,1,50,2,1,50,2,0.15,50,2,0.15,11,1.852303,0.15,2,1.27,0.3940408,140.3528,13,18,16.91115,469.528,399.8938,257.3353,222.2833,194.9378,23.96593,19.83494,132562300,243471000000,81460350,596149300,402811100,250271700000,50974560000,55425650000,0.2369613,0.09297559,1.01014e-05,0.03315559,0.1938162,0.1529981,0.01076879,0.0004679766,59.5524224776687,30.6341296728218,29.9963977785161,483850771.183074,43.4147481334419,113058108.957131,52.4590100092444,0.0552637505134854,-52.3480705,45.392173304955,110704500,0.00434187428760445,0.000504583021981733,21.63002,1.86986619643805e-09,4.8747939610314,0.0262617288607877,"R2R_SMCNR_PNin_2",22,1.8,0.8,2,0
0.05,0.3,1,0.3,0.15,50,2,0.6,1,0.5882595,0.9,50,2,1,50,2,0.15,7,1.89,1,50,2,0.15,2,1.59,0.3925141,58.84257,1,30,579.7078,30.33403,131.3741,361.2884,813.1835,45.30025,555.2666,252.0978,1604948000,287350400000,530590700000,1304543000,636506200000,138079700000,201997700,565702900000,3.83985e-05,1.005326e-05,0.04822287,0.2151426,0.9357406,0.001871538,0.004675203,0.0002856127,26.6250340232843,32.3505865870645,43.8826842701574,3362448386511.23,14.6762601095211,51757868.1991764,43.336739615481,0.199652075295345,-214.157605506951,46.4307673302489,70208130,0.0018822412843184,0.000290559191439167,44.50072,1.23230834027159e-08,290.790095844713,0.23326128428468,"R2R_SMCNR_PNin_2",22,1.8,0.8,2,0
0.02,1,50,2,0.15,50,2,0.6,2,1.89,1,50,2,1,50,2,0.15,50,2,1,50,1.99,0.15,1,1.823585,0.399616,57.85948,4,15,99.94499,479.8912,116.7714,189.2961,383.4449,26.91601,548.9254,590.0425,1229142000,129917500000,135015300000,640757300,389681400000,245836100000,441795000000,192370900000,0.0001415446,0.595926,0.5348754,0.0559125,0.5366067,0.2716968,0.00582178,0.000337383,27.6418849924867,31.5342261914988,51.1787027515971,2382638498.1916,28.2981207508509,72263392.0476627,45.6420788500042,0.110117468520743,-96.4119231421561,50.0340811994768,117280400,0.00269598355875022,0.000339101727409747,28.54213,2.89541118035511e-09,11.7961527622842,0.0146597173233745,"R2R_SMCNR_PNin_2",22,1.8,0.8,2,0
