MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av10,av11,av17,av21,av23,av8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.9,2,1.83,1,6,1.91,0.3,2,1.95,0.3,1,0.4190735,1,50,2,1,50,2,1,50,2,2.364303,0.112775,2.411544,0,55,620.3204,56.1118,75.52109,61.23757,408.1898,47.0941,90.89574,22289560,1700686000,383699600,19712600,43811450,8790683000,6866005000,0.0002003875,0.0001054463,0.0001742673,0.05523695,0.08300584,0.0001998529,1.790931e-05,44.6309084278558,0.165954515838365,251.070927466705,20.8613373679698,42.2459102393667,1000,66.4357835689044,0.5,1.25356520183908,87.4785326080215,1512890,7.08911464259967e-05,0.000427357307267625,76.91936,1e-06,1.89895753707114e-05,0.00485345718301555,"Leung_NMCF_Pin_3",22,1.8,0.8,20,0
0.75,1,0.3,0.45,2,1.63,0.3,3,1.84,0.15,1,1.30367,1,50,2,1,50,2,1,50,2,4.346618,0.1854483,3.271537,1,20,69.40402,24.35435,42.14257,207.6675,255.0634,45.84335,85.6721,35405780,2137265000,4106865000,16969820,82757610,11916600000,9963858000,0.05506312,0.0001850245,0.0001774519,0.06986281,0.08915284,0.0003742045,3.248731e-05,52.218025616406,42.0352078111887,100.086638428975,884.863241059028,37.6746211627268,894229.230461329,81.4810364545027,0.0553188968806006,-29.903407875,72.1693439339422,2129177,0.000250274577802375,0.000948736113207341,67.63283,1.62789618599349e-07,3.85923066805155e-05,0.0113611767925068,"Leung_NMCF_Pin_3",22,1.8,0.8,20,0
0.75,3,1.47,1,25,1.98,0.45,1,0.5126,1,4,1.78,1,1,0.3,1,50,1.99,1,50,2,4.244734,0.09813108,4.526749,7,49,37.82644,106.6839,127.893,16.49345,80.23079,27.8335,133.5149,491645000,1461365000,377051900,29794170,171710100,12052970000,634203300,6.661339e-06,0.0001118066,0.0008009563,0.008887838,0.03941237,9.447176e-05,0.0001237789,28.246745852091,64.2579654673423,114.229540170124,490.457622406296,26.7566150553927,947766.334728769,75.4689223596044,0.07373954328301,223.5,74.6141923662574,1684817,0.000173522334424772,0.000216454302553182,71.46527,1.70422126300549e-07,3.03939161182404e-05,0.0070936809840767,"Leung_NMCF_Pin_3",22,1.8,0.8,20,0
0.7837557,4,1.278429,0.9637099,47,1.79,1,3,1.116647,0.3,2,1.78,1,50,2,1,50,2,1,1,2,2.487554,0.0103601219807237,1.406482,13,11,488.1238,120.3912,169.2394,330.831,395.1676,29.38512,120.8047,223528300,1434875000,1076935000,14350010,1617157000,1073529000,3733628000,0.06360717,0.000107814,0.0009325156,0.03539513,0.04222105,8.969637e-05,3.992329e-05,72.8839991621393,107.634693838183,277.393777550653,0.140399615676687,65.5008417033254,893351.136709419,65.6871314473938,0.0283302039519414,669.5,106.885963222476,2302325,9.76452201262598e-05,0.000255193472381557,66.19132,1.7672978457648e-07,8.16559696288133e-06,0.0010904361376517,"Leung_NMCF_Pin_3",22,1.8,0.8,20,0
0.56286,4,1.278429,1,47,1.944731,1,3,1.013517,0.3,1,1.244159,1,50,1.523628,1,50,2,1,1,2,2.487554,0.0103601219807237,1,20,9,267.2303,117.1267,186.0725,318.0253,556.6244,32.57973,112.1293,323094600,1544721000,65677170,13163060,1482843000,1304957000,8626716000,0.05089071,0.0001216156,0.0008577296,0.02832217,0.05221752,0.0002266379,6.95705e-06,73.0782240775543,128.471614027202,271.074961220244,0.122528431417861,65.5141711502623,616348.195571426,64.2786697779657,0.0294148624848519,623,106.64441767833,1300494,5.64416917847818e-05,0.000253797739910896,74.33187,2.77266085358216e-07,9.24228863894039e-06,0.00110054160800621,"Leung_NMCF_Pin_3",22,1.8,0.8,20,0
