Element,X,Y,Factor
CAPACITOR_0,2171,229,1
CAPACITOR_1,1891,336,1
CURRENT_0,103,369,1
MOSFET_0,158,136,1
MOSFET_0,928,110,4
MOSFET_0,340,134,1
MOSFET_0,523,136,1
MOSFET_0,704,142,1
MOSFET_0,1278,130,1
MOSFET_0,1406,129,1
MOSFET_0,1775,128,1
MOSFET_0,1956,132,1
MOSFET_11,1600,223,1
MOSFET_12,2266,183,1
MOSFET_17,1266,282,4
MOSFET_17,1397,282,4
MOSFET_18,335,281,4
MOSFET_18,337,366,4
MOSFET_18,477,367,4
MOSFET_18,479,275,4
MOSFET_18,1262,408,8
MOSFET_18,1412,410,8
MOSFET_18,700,290,1
MOSFET_22,1642,411,1
MOSFET_22,1790,412,1
MOSFET_24,1980,410,1
MOSFET_25,2250,406,1
MOSFET_9,881,212,1
MOSFET_9,1040,211,1
