RESISTOR_0,MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.005,3,20,5,1.529922,5,5,0.5,20,2.80693,0.3474806,1,5,0.5988142,20,5,0.2171587,20,5,9.319519,20,4.873953,3.584153,20,5,0.1821956,285.0006,53,45,17.34979,473.3808,202.4979,17.15022,180.1035,503.5116,536.5653,143.9405,528306000,98404620,3388657000,5625527000,1269673000,368223900,82840130,900492000,0.02341804,0.004348429,0.004519582,0.001012019,0.002523239,0.001331698,0.005316549,0.0009558374,57.5389822589385,7.33201467538017,19.3481221957906,7432875.4457793,62.8633325147833,37375068.765672,49.8112370973874,0.107656906951617,-1.3588938,70.5730386246506,98627380,0.00599707871340352,0.000266746659927853,47.66711,4.36596938238203e-09,4.247554554007,0.00283161807699639,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.09300326,0.18,20,5,1.850489,20,4.961875,0.5,20,3.820145,2.442402,13,5,0.18,20,5,0.2182701,20,5,10,20,4.879578,2.242254,20,5,0.3032005,300,51,44,17.26723,96.53279,332.9916,17.09282,42.20291,494.6817,590.8095,175.3496,433734800,2393355000,1117944000,224293700,4577485000,381231900,82077340,5673307000,0.01608639,0.0003786575,0.0001857281,0.01414613,0.002960735,0.00759098,0.004639997,0.0005980965,56.1248225390438,6.80140662094971,16.0831542839706,8712285.10860347,50.3598888728607,41956055.3051852,57.4209089351388,0.105805487334609,-4.32827670000001,76.714242543599,99212670,0.0072573318749808,0.000184173415216913,43.3869,2.27487605434479e-08,4.64780661736162,0.00262697025052588,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.005,3,20,5,1.215978,5,4.99821,0.5,20,2.793475,0.3474806,1,5,0.5988142,20,5,0.2608066,20,5,10,20,4.850982,2.832713,20,4.952308,0.3081742,267.8674,50,30,17.33828,472.9997,122.7195,17.11501,147.6679,485.4732,602.0346,234.5571,309737300,9566675000,127650300,3821243000,3328090000,540656100,82302130,95703440,0.01925614,0.006900373,4.727096e-05,0.0198519,0.002884714,0.0001484901,0.005079047,0.0009662279,53.080103453794,6.99608595900404,19.5037487711369,7329189.02995185,64.7774020510473,34697604.1200863,50.9673565807467,0.0921505455036854,-4.42555079999999,72.1751191247019,96730280,0.00583479262100498,0.000238524099274343,44.45976,5.18751228354998e-09,3.19067805076986,0.00399891391313523,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.07462137,10,20,5,6.832245,9,5,0.5,6,5,10,20,5,0.6993668,20,5,0.2916486,20,5,9.289356,20,4.892484,3,20,4.879659,0.7021373,185.7383,31,13,17.38703,879.4222,540.9365,21.23998,294.7632,534.8519,645.7283,151.3465,480645200,10523500000,35091640000,81574600,277265400,3826444000,9263448000,8154778000,0.07284941,0.03638599,0.009603131,0.02688038,0.05601337,0.0007266298,0.003454172,0.0008937596,61.5253509055652,7.23146409069483,27.0491658288658,136858.069057797,59.1381799017001,21275954.9630665,104.464890386943,0.0839631145022265,-47.81246415,91.4481838494043,79582340,0.00346133714234643,0.000164364498778745,38.85303,1.06404092825411e-08,2.45744995495148,0.000386719813671887,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.005,3,20,5,1.128992,5,5,0.5,20,3.31332,0.18,1,5,0.5988142,20,5,0.1807472,20,5,8.5,20,5,2.427396,16,5,0.1507232,267.8674,39,40,23.96045,489.514,207.5829,16.80717,192.6339,496.8707,569.6519,113.3457,392405300,44128520000,5734111000,6268284000,2826076000,1291422000,83901530,2606091000,0.05985075,0.008261822,0.01339852,0.001971614,0.002355142,0.002543403,0.005851759,0.0009876322,50.2340068884556,8.53256873138159,18.2028237434278,1161436241.20413,38.2325288748298,45488120.7613228,47.3834285884844,0.0481136272779238,-18.3464644968984,50.7721029729755,97041380,0.00627190215215839,0.000491123832026997,46.87894,4.13058958144195e-09,3.97571118560597,0.0355337246122415,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.02,0.18,20,5,4.612056,20,5,0.5,20,3.850123,6.5,20,5,0.18,20,5,0.18,20,5,8.5,20,4.993967,1,4,4.22556,0.5181795,228.733,32,54,17.18518,589.1733,508.2862,21.97247,26.18431,508.0429,600.3686,158.7841,361896600,28619310000,77239250000,536094600,43922250000,3421166000,4857612000,7021178000,0.0005476296,0.0007466276,0.06704407,0.1070528,0.04354202,0.03688227,0.004853652,0.0004117169,66.1846170449026,9.85349730672777,17.1044676563876,14914664.4986028,54.5884261527908,41909060.7496581,83.1353687999277,0.213207042425245,-73.9315596315664,76.5603787214879,72749010,0.00500378452621839,0.000220263974799224,44.7872,1.8258805679903e-07,9.42586387728265,0.00374754797694748,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.09300326,0.18,20,5,1.850489,20,4.939493,0.5,20,3.794064,2.442402,13,5,0.18,20,5,0.1991951,20,5,10,20,4.879578,1.95592,20,5,0.3032005,300,49,25,17.26878,361.3304,337.9316,17.09283,42.1992,501.0851,645.3649,158.5282,434052700,2379023000,1115998000,215705500,7105272000,381231600,892524200,4534717000,0.01608467,0.0003691359,0.0001685995,0.0215473,0.00291768,0.007590967,0.004050895,0.0006181072,56.5765913019672,7.39744611411003,16.3156134988529,8141648.52911683,50.4431971880301,46918130.3152644,57.1288460415712,0.217616378146559,-5.332888,74.4862384548103,103481400,0.00746173740496925,0.00019935428064835,42.57596,2.13576510888674e-07,4.02422032331723,0.00250084666761929,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.005,3,20,5,1.215978,10,4.950899,0.5,20,3.31332,0.18,1,5,0.5988142,20,5,0.1837139,20,5,8.5,20,4.996902,2,20,5,0.2286082,168.4608,36,47,17.47675,470.3598,216.6098,16.70546,267.4081,546.6456,545.2941,201.021,384320400,25524250000,4537446000,5107363000,1873234000,1034201000,83425040,1315163000,0.0004331561,0.01575739,0.001164265,0.0009180635,0.001930586,0.002300739,0.005156433,0.001115136,50.0005154651342,10.9844682164162,19.5509146350008,540839340.595273,38.7176568202299,39940961.5894508,48.6575938825814,0.0777019522405009,-28.6212168,50.5335041727887,71089680,0.00427780076832478,0.000523328027680768,46.01329,4.93178269821501e-09,2.9244404299815,0.0266636833021046,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.005,5.357411,20,5,1.128992,5,5,0.5,20,3.31332,0.18,1,5,0.5988142,20,5,0.1807472,20,5,8.5,20,5,2.427396,16,5,0.1507232,267.8674,40,46,20.76045,538.901,211.2354,16.80717,200.6152,496.8707,645.6719,123.9454,456839200,35304460000,4612482000,8032607000,5462128000,1037616000,83900500,2104746000,0.04845011,0.006633398,0.01074329,0.002135996,0.002684801,0.002187134,0.005842202,0.0009564895,49.8930926624473,9.12147884183066,20.0240725026613,1225843153.22739,38.1616687755137,46422893.3217617,49.8089390049618,0.0662882530824602,-15.973339670878,50.7907301610975,101910600,0.00598753442954609,0.000491504796845195,45.01588,4.28912787862003e-09,4.39738397531411,0.0357716423643534,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.02,0.18,20,5,4.612056,20,5,0.5,20,3.850123,6.5,20,5,0.18,20,5,0.18,20,5,8.5,20,4.993967,1,4,4.22556,0.207776,228.733,27,2,17.18518,729.1733,526.6862,21.17247,25.38431,508.0429,604.3686,176.3841,339386400,35088090000,96546340000,665834000,53238330000,84184190,15932610000,8614699000,0.07303166,0.0004877057,0.08375666,0.1333653,0.05326472,0.06384372,0.002519428,0.0003931387,66.1846170449027,10.4920028949247,19.8134360475368,16292122.7797293,54.5884261527903,44624763.4744632,81.076877924597,0.0639060294641082,-72.5521079315664,76.5603787214875,84270840,0.00500378452621839,0.0002589600531796,40.2294,5.35132106034448e-08,9.42586387728265,0.00374754797694748,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.1270557,3.138962,20,5,4.612056,20,5,0.5,20,3.850123,5.460289,20,5,0.18,20,5,0.18,20,5,8.5,20,5,1,4,4.22556,0.207776,228.733,30,11,17.18731,646.607,503.8801,17.12725,228.5951,508.0643,583.1021,34.58186,1062921000,22459540000,61793090000,322611700,36717370000,84181670,8335719000,5740299000,0.04770802,0.01201129,0.0536632,0.08604813,0.03800378,0.03204952,0.003374547,0.0004453005,62.6893218235846,9.03686273964806,23.3073870361187,11995748.7419699,53.5745783045356,36388244.574593,78.3780551079191,0.065333426780001,-60.1934936676955,75.5283135179004,93850590,0.0047372302460343,0.000248691756864881,38.79383,9.50891647958902e-09,8.45460189680886,0.00300297038778369,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.02,0.18,20,5,5.477952,20,5,0.5,13,0.4756866,6.5,20,5,0.18,20,5,0.18,20,5,8.5,20,5,2.208374,4,4.566347,0.5774628,87.26134,29,18,17.82936,527.0729,444.0391,16.98386,25.25476,530.6111,699.1624,437.2501,718334900,22165510000,93926040000,81956680,34284680000,82532800,33789090000,49285730000,0.2216228,1.53776e-05,0.05366048,0.00257793,0.1002691,0.0315469,0.00307723,0.0003794381,43.7560831142338,12.8154365827326,36.5904012270341,101547156.890953,46.8100808585451,25265739.6892486,82.4852999046443,0.068023945209077,-104.660584934946,58.2874873190949,72138280,0.00231942153843284,0.000169023204184988,39.86492,8.077575513878e-09,14.9007995681962,0.00841746637298235,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.005,0.18,20,1.281961,1.753618,20,5,0.5,20,3.850123,6.5,9,5,0.18,20,5,0.18,20,5,9.883944,20,5,1.219834,1,4.345367,0.1507232,91.0535,30,31,16.95698,91.21469,274.36,17.13729,114.151,545.1876,723.0934,90.02709,231000800,7867330000,13247970000,83095270,13979110000,1235234000,7313632000,26148850000,0.05873962,0.006223333,0.02218222,0.0005112394,0.02378624,0.005907881,0.003370306,0.0002388603,72.2339964399134,13.845198402084,44.0045361120698,5006188.37733886,99.588962625207,23691865.0592993,61.9463016717631,0.0512810798949396,-122.933303492862,81.3002347181314,75300440,0.00201317320367974,0.000257708499762569,36.06969,8.983529501962e-09,24.546335486489,0.00466722447499746,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
0.02828096,0.18,20,5,3.807033,20,5,0.5,9,3.850123,3.204368,9,5,0.18,20,5,0.18,20,5,8.5,20,4.930678,1,4,4.487867,0.4385621,133.6848,32,24,17.26215,158.1375,503.6487,17.86485,182.9354,483.5541,669.5143,182.8793,402083300,27768380000,56777060000,90580900,42944930000,83217020,17259200000,6980254000,0.1098712,5.396811e-05,0.09144724,0.04074308,0.06593586,0.03751593,0.003491426,0.0002969396,58.6381389227156,13.8872931774824,36.4990837479176,1239584.1206273,68.326980484077,40556479.8447483,54.9962353957069,0.068190780807271,-47.9435480627079,79.7491511367956,106592000,0.00343576714986252,0.000223459550893163,34.82636,6.06642130349602e-09,6.67251178138925,0.00102019516014146,"R2R_SMCNR_PNin_2",180,1.8,0.8,2,0
