CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,av0,av17,av5,av8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
9.33,4,20,2,0.3,20,2,4,20,1.99,4,20,1.98,0,24,131,2.66,129,242,12700000,148000000,13400000,13300000,0.000107,0.000223,0.000114,0.000112,44.9375657769327,0.134005606044194,141.161237395742,227.363567168922,32.9386099466909,1000,44.7124143834797,0.315820948857601,1.36978007009403,28.6644804723481,1053398,6.78397670013222e-05,6.32123674168962e-05,86.72241,2.2995827544207e-07,3.5396674703693e-05,0.011069959034393,"Cascode_Null_Pin_1",65,1.2,0.4,10,1
7.61,4,20,2,4,20,2,3.2,20,1.99,4,20,1.99,0,16,134,4.89,126,248,11600000,5440000,16900000,12000000,9.53e-05,0.000151,0.000107,9.77e-05,52.7822270283035,0.166315520125848,174.470967970739,7.76765499395868,40.6619291110928,1000,54.5263239179023,0.363832063139041,1.05741211798433,38.7565039913601,1049036,5.46606178667522e-05,5.01081634375419e-05,76.49404,2.67477656120936e-07,1.73991350726727e-05,0.00462035134709615,"Cascode_Null_Pin_1",65,1.2,0.4,10,1
7.14,1.3,20,2,4,20,2,4,20,1.98,1.2,20,2,0,19,83.3,4.8,133,110,59400000,5460000,12200000,70100000,0.000131,0.000151,0.0001,0.00014,60.5861369846291,0.167897651867944,257.627026058078,1.31464860315725,44.2990723364026,1000,44.1452149162285,0.370339479759137,0.773388885944636,42.212669484097,1534429,5.41455403918294e-05,4.51547296155113e-05,67.76876,2.9400075e-07,1.16440672012622e-05,0.0029369317613771,"Cascode_Null_Pin_1",65,1.2,0.4,10,1
1,4,20,2,4,20,2,1,20,2,4,20,2,0,33,128,4.37,55.4,251,3700000,1370000,22900000,4170000,2.12e-05,2.5e-05,2.4e-05,2.45e-05,52.8892456175586,1.224118184163,328.426501985469,22.9391284501417,34.3997753546988,1000,52.9150262212918,0.295914965696734,1.34847237338186,33.1599988517269,268296.4,7.42649623910709e-06,4.63182653636882e-05,81.80606,1.63354914031638e-06,4.0727226035023e-05,0.0123480453551407,"Cascode_Null_Pin_1",65,1.2,0.4,10,0
1,4,20,2,4,20,2,2.1,20,2,4,20,2,0,60,128,4.37,92,251,3700000,1370000,9120000,4020000,2.12e-05,2.5e-05,2.42e-05,2.33e-05,57.985284992579,1.22426222728067,318.035658321181,3.75265714672345,39.0497520300101,1000,53.7401153701776,0.531219767384734,0.110599203467782,37.4590136711203,259777.4,7.42562245925192e-06,4.40245855353567e-05,80.44024,4.15091185816727e-07,2.37853083080189e-05,0.00707860151632827,"Cascode_Null_Pin_1",65,1.2,0.4,10,0
7.83,3.1,20,1.93,4,20,1.99,2.2,20,1.95,4,20,1.99,1,60,124.885072036337,4.89361295088418,110.299418587221,246.431258389271,17755077.4701146,5592938.68004726,30534852.1242085,12185095.4206818,0.000105963329914359,0.000155216162516743,0.000124955239718508,0.000100003602037478,49.948808534833,25.8206456556487,173.994690375793,18.8901528334864,38.3956261287376,160662.740640278,50.6130417975446,0.0673416671789307,1308.5,36.7208713927627,1082640,5.65659894386704e-05,5.15628897500041e-05,78.25084,2.98523395230362e-07,2.16500240246287e-05,0.0061748471218237,"Cascode_Null_Pin_1",65,1.2,0.4,10,1
8.15,1.3,10,1.86,4,20,1.99,2.9,20,1.98,4,20,1.99,1,59,82.2463259323997,4.85682746836285,121.139875595935,245.562230112041,97328974.6491873,5871578.22454886,20954924.8853468,12376627.2150819,0.000115622253739697,0.000165242702312787,0.000121204922845985,0.000102068494592298,52.1043844132116,23.7821773041321,164.979938230091,12.8752166690748,39.4499092066117,158029.153293082,43.0803899703798,0.0687936348510601,1313.5,37.5601584228844,1096268,6.0407785541618e-05,5.19061510778119e-05,77.64222,3.15598130396472e-07,1.94268975983605e-05,0.00527658694657918,"Cascode_Null_Pin_1",65,1.2,0.4,10,1
6.95,1.7,20,2,4,20,1.99,2.7,20,1.92,1.9,11,1.89,2,59,97.8029458423757,4.82035625957778,119.429976829274,153.7975007753,39953781.5283294,5293556.81018509,21960137.9263346,49604650.196046,0.000120001415694332,0.000144810080612168,0.000111351919388814,9.81253436574997e-05,54.3690611858775,39.7593771093488,194.216330015841,9.29421296670525,39.7107653436805,226154.103721087,44.0994557789549,0.067070218616494,1372,37.9177396332307,1104716,5.17097235152862e-05,5.15174161147068e-05,76.49535,3.39797494239371e-07,1.8698525133459e-05,0.00525737983341079,"Cascode_Null_Pin_1",65,1.2,0.4,10,1
7.64,1,20,2,3.4,20,2,4,20,1.97,4,20,1.98,0,52,70,4.71,130,247,89300000,7230000,12900000,12100000,0.000145,0.000168,0.000107,9.9e-05,55.6007165710569,113.898110747975,160.347119647514,8.91420180497592,40.0206622302416,743458.678125474,43.6348484585429,0.157995488154639,1.60976848471024,37.7954545308892,1046650,5.93400119747491e-05,5.16310901707348e-05,78.35609,2.73652699787897e-07,1.78556202787081e-05,0.00471647774595946,"Cascode_Null_Pin_1",65,1.2,0.4,10,1
7.08,2.1,17,1.99,4,20,1.99,2.5,20,1.97,2.8,20,1.96,4,61,108.335924574927,4.84472164564587,116.603561071787,205.242844777231,32465147.3690043,5292358.60330993,24183386.3544446,20326899.1346171,0.000108898350649067,0.000144719414016153,0.000114405527190138,0.000107933391178904,55.6541121493032,48.5076557115643,208.801348107071,7.11949762500578,40.1868839855538,276910.483775318,45.8177258274568,0.0576499836120873,1515.5,38.4617599401085,1191962,5.18963037358436e-05,4.91435474236802e-05,75.36354,3.57074370457325e-07,1.80182832900488e-05,0.0050066322821079,"Cascode_Null_Pin_1",65,1.2,0.4,10,1
