RESISTOR_0,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft17,ft21,ft23,ft8,gm0,gm10,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.77,0.3,50,1,1,50,1,1,4,0.99,1,17,0.98,1,16,0.98,1,2,0.78,8,2,12,0,35,0.0986,1.34,0.0591,0.559,0.801,0.0591,264000000,1120000000,196000000,1860000000,1040000000,196000000,0.000645,0.000286,0.00026,9.59e-05,0.00147,0.00026,-4,-13,-11,1,-12,-3,34.0465402596109,21.1985142107257,31.8260976955932,8.11565491237626,33.74262233889,942647.595439062,105.891123329578,0.0331246330513086,1.9024744436295,106.861363650657,1415231,0.000261574268856933,0.000174697767233196,89.01156,1.99486613040472e-07,8.77110477368492e-06,0.00255169872814831,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.77,1,35,1,1,50,1,1,8,0.9,1,31,0.98,1,4,0.76,1,4,0.88,8,2,9,0,33,0.139,1.46,0.0862,0.442,0.8,0.0862,543000000,248000000,398000000,1080000000,911000000,398000000,0.000348,0.00016,0.000141,0.00011,0.00123,0.000141,-14,-2,-1,-4,-6,13,78.283489329584,40.5959396978778,57.475610991062,14.6562808027208,82.6534771844646,1360661.84247936,106.13486703247,0.0369499454955282,1.61843837841064,108.840066857084,1926421,0.000197159943842204,0.000152752711071695,84.67715,1.82074354597873e-07,8.00557275055791e-07,0.000200633934837935,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.77,0.3,50,1,1,50,1,1,16,0.95,1,50,1,1,14,0.99,1,22,0.97,8,2,5,0,18,0.0879,1.6,0.0517,0.295,0.8,0.0517,177000000,555000000,133000000,302000000,687000000,133000000,0.000315,0.000125,0.000126,0.000114,0.00083,0.000126,9,-13,0,-9,14,8,78.7493380030591,54.0382489255523,93.5217297936341,23.8480410973767,96.2013197881885,1034203.73176984,107.372948175972,0.0184650013833926,1.28801699992717,107.883297038432,1789853,0.000112578617633099,0.000149511342124987,82.06685,2.33948678845048e-07,2.41058346904521e-06,0.000192558620046634,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.77,0.3,50,1,1,50,1,1,16,0.98,1,10,0.94,1,4,0.84,1,3,0.69,8,2,6,0,16,0.123,1.45,0.0734,0.45,0.8,0.0734,418000000,663000000,305000000,1140000000,742000000,305000000,0.000267,0.000154,0.000107,7.06e-05,0.000926,0.000107,6,-7,13,-9,0,-6,74.7664176796549,51.9576612763759,93.5426651234703,23.8533796064849,75.1149027801396,1152577.94406634,105.323644069126,0.023657754452488,0.756630681960414,115.711746668259,2075059,0.000130488364808222,0.000132989345319016,83.51563,2.39118513662632e-07,3.63324073381577e-06,0.000344717545996076,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.77,0.3,50,1,1,22,0.97,1,11,0.93,1,21,0.96,1,10,0.96,1,6,0.92,8,2,5,0,32,0.0932,1.54,0.0549,0.365,0.801,0.0549,217000000,553000000,161000000,620000000,1040000000,161000000,0.000294,0.000125,0.000118,8.35e-05,0.000624,0.000118,12,-14,-10,2,9,-8,75.3872925498228,50.3403071538672,84.4028554095115,21.5227281294254,78.0010023572185,948598.787193943,105.783599863117,0.0283533550339506,0.30784965019021,109.718363755791,1590464,0.000110845427478049,0.000156811204464694,83.09421,2.67505106487688e-07,4.1935981049096e-06,0.000387949364697326,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.77,0.3,50,1,1,50,1,1,7,0.99,1,50,1,1,3,0.8,1,4,0.87,8,2,8,0,2,0.145,1.47,0.0899,0.434,0.8,0.0899,581000000,842000000,427000000,1030000000,863000000,427000000,0.0003,0.000202,0.000122,0.000103,0.00114,0.000122,-3,8,-13,-14,4,7,71.307280819307,39.7606365212879,59.3933188941414,15.1452963180061,75.4521905935149,1194734.00199363,106.754250500858,0.0344424203559964,0.0719290753802833,110.741102851982,1784660,0.000176753887397856,0.000146010553256347,86.74588,1.91477159107789e-07,1.46321586613318e-06,0.000141796861322652,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.56,1,23,1,1,50,1,0.3,20,0.96,1,3,0.82,1,50,1,1,49,0.99,8,2,5,10,45,0.0809988766884521,1.64248784826663,0.0451137423415174,0.257505276324923,0.800472866693832,0.0451137423415174,74908519.9978076,219706137.193724,56953662.1038576,176050518.965214,674014393.930917,56953662.1038576,0.000338088821524837,8.49178789293164e-05,0.000133497993696305,0.000116795795030669,0.000807037675971791,0.000133497993696305,-12,2,-2,2,-6,-12,74.6520124022519,54.9725781216777,143.476724234044,36.5865646796813,70.2261659837546,1011653.39873843,106.976726440848,0.00550626213024275,332.700000000002,110.855820135287,2640384,0.000108252196801618,0.000169633775240878,66.41186,2.43576611035534e-07,3.09014037119415e-06,0.000382367910205406,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.77,0.3,50,1,1,50,1,1,16,0.95,1,50,1,1,4,0.84,1,9,0.96,8,2,9,0,22,0.136,1.52,0.0836,0.375,0.8,0.0836,519000000,904000000,381000000,674000000,914000000,381000000,0.000361,0.000219,0.000147,0.000147,0.00123,0.000147,6,15,-12,3,7,7,79.3820982507908,49.9516795795999,81.5503730688514,20.7953451325571,97.4947644562729,1686446.74153301,106.911411925949,0.0326778644766923,1.4253974522112,111.718739303033,2753268,0.000198597425225429,0.000141763128744835,85.84422,1.61575257742865e-07,1.2112348067711e-06,0.00011425286571376,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.77,1,50,1,1,50,1,1,24,0.97,1,50,1,1,6,0.96,1,11,0.97,8,2,6,0,1,0.106,1.56,0.064,0.339,0.8,0.064,317000000,175000000,234000000,490000000,750000000,234000000,0.00031,0.000127,0.000125,0.000116,0.000941,0.000125,5,14,2,-6,15,-6,94.0934090521974,50.7236772881521,105.128191642679,26.8076888688832,85.4534029614103,1155557.6434503,107.247703938126,0.0191764216166478,0.671244175058585,110.492059215636,2394970,0.000134008381609126,0.000149446328325536,79.49621,1.98192104512139e-07,5.12660257011577e-07,0.000117693980036249,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.885,0.333,18,0.896,1,50,1,0.3,50,1,1,4,1.03,1,44,0.994,1,1,1.12,8,2,5,22,28,0.0815913950402092,1.40077587249443,0.0455201340031375,0.499115415665222,0.800397785276036,0.0455201340031376,83159858.0597304,1198928575.99988,63031362.6004265,1432343031.61591,675969882.522274,63031362.6004266,0.000338497032875507,0.000113386807601359,0.000133722376114263,4.98370000325092e-05,0.000810422544882224,0.000133722376114263,10,10,-2,-2,-1,-12,81.462321042646,57.1305053180774,165.820762629138,42.2842944704302,77.2395698294323,1062715.19078912,106.400881688076,0.00478860014092031,312.6,118.344334649443,3084521,0.00010942080405848,0.000132628129247485,71.49862,2.57671198124025e-07,2.75187424979728e-06,0.00029029368494693,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.888,0.333,18,1.02,1,50,1,0.3,50,1,1,4,1.03,1,44,0.994,1,1,1.01,8,2,5,18,41,0.0816220394754666,1.39013221105029,0.0455201340031372,0.509748588932033,0.800413488106878,0.0455201340031372,83170623.4272375,1108158122.8435,63031362.6004266,1506421669.95473,675970396.229398,63031362.6004266,0.00033853435017889,0.000116053520732507,0.000133722376114263,4.79070983575606e-05,0.000810422319747607,0.000133722376114263,1,8,-10,-11,8,11,81.2228735394247,56.8456480841877,165.649983087626,42.2407456873447,76.7992774013865,1057503.14810852,106.403411035549,0.00499156353760847,294.7,118.482922097603,3081597,0.00010942977982003,0.000132214526229102,72.00821,2.57888057782077e-07,2.93193035613759e-06,0.000300135660699086,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
1,1,49,0.884,1,50,1,0.3,50,1,1,6,1.02,1,33,1.04,1,1,0.834,8,2,5,22,44,0.0822121139344665,1.36906326468854,0.0463151134594569,0.530789226527969,0.800262082875417,0.0463151134594569,98982516.0847359,173253297.405924,74757141.2735571,1662719575.23591,677635631.831287,74757141.2735571,0.000335480167690381,0.000109137081026165,0.000132900159432003,4.47319957038627e-05,0.000813312609125043,0.000132900159432003,7,-12,-7,-12,-2,2,83.4412217836348,56.9785241190473,166.709327797945,42.5108785884761,80.0481834318355,1065049.83395899,106.344647255986,0.00508472328933815,291,118.111492380011,3116152,0.000109953690801091,0.000135093192242928,72.34034,2.48141134759914e-07,1.61472879578517e-06,0.000203644009724835,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
1.5,0.866,39,1.01,1,50,1,0.3,50,1,1,7,0.998,1,31,1.01,1,1,1.11,8,2,5,19,63,0.0827348256517518,1.39887780901061,0.0467191961635165,0.50101706890917,0.80024221435325,0.0467191961635165,105451296.363589,226228095.886457,79523840.7265508,1445218968.27871,678233152.111561,79523840.7265508,0.000333773035822924,0.000109954361341515,0.000132328984049509,4.99440838871134e-05,0.000814347624361688,0.000132328984049509,-15,12,-13,4,9,5,83.6883122227619,57.6565933865619,164.822290528507,42.0296840847692,81.293492503572,1079288.30399588,106.249187008654,0.00608859692591106,279.3,118.078297271541,3085350,0.000110113247357886,0.000124404660260518,78.94547,2.41062147892084e-07,1.51276088565133e-06,0.000189284095541309,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.77,0.3,50,1,1,50,1,0.3,50,1,1,42,0.99,1,2,0.65,1,19,0.99,8,2,10,0,61,0.197,1.57,0.121,0.335,0.8,0.121,902000000,955000000,656000000,467000000,961000000,656000000,0.000284,0.000233,0.000116,0.00019,0.00132,0.000116,5,-9,-3,-10,2,9,87.1838543197296,38.9782484107393,191.512124958388,48.8355918643889,107.173049771315,1446011.84140273,106.621808275793,0.0155028427191205,1.84602644470331,119.044715325389,7104701,0.000218223043750416,0.000150383826075405,79.05851,1.56546022643883e-07,4.58347595779229e-07,4.54475125926113e-05,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.77,1,50,1,1,50,1,0.3,50,1,1,50,1,1,3,0.97,1,6,0.9,8,2,10,0,17,0.148,1.48,0.0907,0.416,0.8,0.0907,594000000,222000000,434000000,910000000,962000000,434000000,0.000372,0.000189,0.000151,0.000137,0.00132,0.000151,2,10,-9,13,12,8,102.2241035335,48.4185262344075,187.572330568388,47.8309442949389,89.0388475914013,1811612.52315443,107.028127144223,0.0212840599327734,1.37196618536159,118.10657619335,7018148,0.00022009228868839,0.000154599148716135,71.2489,1.28464502546898e-07,3.99300610693931e-07,7.7233371169716e-05,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
0.885,1,17,0.959,1,50,1,0.3,50,1,1,3,0.949,1,44,1.01,1,1,1.24,8,2,5.8,25,17,0.0819532577533595,1.39608275168059,0.0459104781351559,0.503802620374155,0.800277867200314,0.0459104781351559,90776652.0891421,283417705.678177,68677205.0226412,1460507746.7561,724848345.017105,68677205.0226412,0.000386316114997177,9.32126229384948e-05,0.000152809033825929,5.6363256460396e-05,0.000895536362480763,0.000152809033825929,12,0,-9,0,2,9,79.5844074349064,57.905629742191,162.726759369342,41.4953236391822,75.7874771779454,1240466.98332491,106.428680345102,0.00420241162649985,362.000000000001,116.740784197506,3485968,0.000126013042950761,0.000136162869842677,63.89236,2.13010730266061e-07,1.71491467579166e-06,0.000227776851306483,"Leung_NMCNR_Pin_3",22,1.8,0.8,10,0
