RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,av0,av10,av14,av2,av4,av6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
36.5,80,0.5,1,0.5,0.5,1,0.5,1,50,5.33,0.5,1,0.5,0.5,27,4.87,0.5,23,50,5,20.7,15,62,259,875,10,180,10,575,1000000000,1710000000,2550000000,4060000000,25300000000,1030000000,6.28318530717959e-07,6.28318530717959e-07,0.0597,6.28318530717959e-07,0.0214,0.0192,30.4591385064699,0.0701904497611875,0.510258067329395,59710.9105495893,32.7665007566692,16512040.5224869,61.5669960287166,0.165797169137444,-6.4161673890796,44.435793631002,120036300,0.0106930116423289,0.00144534567516789,47.60344,5.93962225150035e-09,5.49898749908495e-05,0.00605587257129914,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
36.5,62.4,0.5,1,0.5,0.5,1,0.5,1,50,5,0.5,1,0.5,0.5,24,5,0.5,23,1,0.5,20.7,10,19,259,875,10,287,10,490,1000000000,1710000000,2550000000,5570000000,23200000000,1030000000,6.28318530717959e-07,6.28318530717959e-07,0.0628,6.28318530717959e-07,0.0214,6.28318530717959e-07,15.3164396670906,0.0202290022019051,0.74579314974094,9682849.63555278,16.2572031765424,5834376.65811095,28.4780617317963,0.181373488697104,-23.4841919239156,37.3587612451191,215099000,0.0131098378633855,0.00138512202073845,49.65964,3.69948295311291e-09,0.00015074525906646,0.0179574889749989,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
36.5,50.7,0.5,1,0.5,0.5,1,0.5,1,50,5,0.5,1,0.5,0.5,33,5,0.5,23,50,5,22.4,11,46,259,875,10,180,389,575,1000000000,1320000000,2550000000,5570000000,25300000000,1150000000,6.28318530717959e-07,6.28318530717959e-07,0.0628,6.28318530717959e-07,0.0265,0.0135,26.2786666741441,0.275728049280608,0.536560880843981,11093783.6587206,21.4367036839855,87618949.5540964,60.3676237730126,0.129252478100135,-30.4605237349496,37.0417766101106,170504600,0.0144442305945197,0.00122733749966287,69.45288,3.19330655655263e-09,0.000524811358434,0.0271176699006499,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
36.5,75,0.5,1,0.5,0.5,1,0.5,0.5,50,5,0.5,1,0.5,0.5,27,4.93,0.5,23,50,5,20.7,11,5,259,875,761,180,389,575,1000000000,1320000000,2550000000,5570000000,25300000000,1150000000,6.28318530717959e-07,6.28318530717959e-07,0.0597,6.28318530717959e-07,0.0214,0.0135,28.1591087860698,0.137539503942285,0.658151122950054,23183.180700116,30.6278847574847,33328137.8961265,60.2063534853258,0.146671919567993,-9.11767878543497,43.3267073976047,159481100,0.0110144017936152,0.00144103636824446,48.18099,4.73579166214181e-09,1.69029806851351e-05,0.00609497127800207,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
57.1,72.3,1,1,0.5,0.5,1,0.5,0.993,22,5,0.5,1,0.5,0.5,27,4.93,0.5,19,50,5,4.95,15,16,10,875,10,10,389,575,1000000000,1320000000,1600000000,4660000000,26200000000,1400000000,0.0385,6.28318530717959e-07,0.0628,6.28318530717959e-07,0.00126,0.0135,46.7130470793801,0.266482706887806,1.56537314486632,2817.10499882135,41.1345823846501,26343580.0079746,56.5578022911075,0.0721444766724755,429,46.4804607220907,154747500,0.0044934827812751,0.00118641538100641,73.29154,1.0826071113258e-08,7.19639912622749e-05,0.00291454779572597,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
70.1,33.3,4.53,50,5,0.5,1,0.5,0.5,4,4.6,0.5,1,0.5,0.5,50,4.98,0.5,50,12,5,26.7,21,62,981,760,1000,305,440,10,1000000000,1720000000,2310000000,4770000000,14000000000,1430000000,0.0628,6.28318530717959e-07,0.0529,6.28318530717959e-07,0.0628,0.0428,51.8266547266788,0.402061896378937,5.24337063634188,2.09392749390408,48.1775720866238,10452893.3791701,57.3035775497481,0.0710545799933547,363.5,53.2202106936806,136318300,0.00118173724372826,0.00131159617398701,56.15611,1.28392562072167e-07,1.49887302311025e-06,0.000743296619003964,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
69,36.6,0.5,1,0.5,0.5,1,0.5,1.49,50,5.39,0.5,1,0.5,0.5,24,4.91,0.5,23,50,7.85,20.7,16,55,10,875,10,10,10,575,1000000000,2040000000,3120000000,5570000000,29000000000,1030000000,6.28318530717959e-07,6.28318530717959e-07,0.0597,6.28318530717959e-07,0.00832,0.0192,28.4370302107821,0.601444869686112,0.756926287063186,6576886.0896587,23.6816742729706,129632652.578002,74.1820396052845,0.124745645601382,135,39.4796256201176,163144400,0.00979706303268538,0.00171036871323965,68.43167,2.07260845255965e-09,0.000659843303545421,0.021482225653958,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
80,62.5,0.5,1,0.5,0.5,1,0.5,1.33,50,5.92,0.5,1,0.5,0.5,27,4.9,0.5,26,5,5,1,26,58,108,1000,10,10,10,290,1000000000,2020000000,2550000000,6710000000,32900000000,1240000000,6.28318530717959e-07,6.28318530717959e-07,0.0628,6.28318530717959e-07,0.0628,0.0626,51.8076599169417,0.508671518932059,2.00768522784154,99.3937122619328,47.0536514051826,64011373.6613268,38.7050384317081,0.0790250614091046,374,56.0741530081302,252647700,0.00572001337878188,0.00132710914049584,56.57228,5.64280157804253e-09,1.59236092305048e-05,0.000976858004339887,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
70.1,43.6,2.81,50,0.644,0.5,1,0.5,0.5,4,4.6,0.5,1,0.5,0.5,50,5,0.5,49,50,5,23.9,15,33,658,569,802,10,1000,10,1090000000,1480000000,1000000000,8450000000,14000000000,1430000000,0.0628,6.28318530717959e-07,0.000113,6.28318530717959e-07,0.0558,0.0333,34.906911956079,0.61587715448599,2.45699980453443,4499.54744067724,34.4975522084361,37774754.3301879,83.1786150401652,0.108886163043215,185,42.8193321379108,150699800,0.00278794930974318,0.0010490911265528,67.48136,4.58492799452871e-08,4.26577811784945e-05,0.00470834216356186,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
70.1,43.6,2.5,50,0.644,0.5,1,0.5,0.5,4,4.6,0.5,1,0.5,0.5,50,5,0.5,50,50,5,23.9,16,51,658,695,802,10,1000,10,1000000000,1480000000,1000000000,8450000000,1000000000,1430000000,0.0628,6.28318530717959e-07,0.000113,6.28318530717959e-07,0.0558,0.0333,38.9618299681207,0.758334806945301,2.95941660824627,868.263205933826,38.2180841341494,40850990.5597623,83.8671568613125,0.11018812060676,229,46.1647981064143,159421800,0.0024486060645715,0.00106498026868149,65.6158,4.17975252528802e-08,2.50870165651795e-05,0.00316748190870197,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
36.5,62.4,0.5,1,0.5,0.5,1,0.5,1,50,5,0.5,1,0.5,0.5,15,4.72,0.5,23,50,5,20.7,10,20,259,875,10,180,389,575,1000000000,1320000000,2550000000,5570000000,25300000000,1150000000,6.28318530717959e-07,6.28318530717959e-07,0.0628,6.28318530717959e-07,0.0114,0.0135,42.3764967337081,1.04057714140719,2.85895400561729,1839.46663887874,37.6914512579177,137095459.578685,60.4619715192947,0.0647017203570711,-24.450074,46.6450516500976,376665600,0.0059886110803895,0.00167104108081224,33.88633,1.5624778862915e-09,3.06676672879047e-05,0.00258275305996403,"HSOTA_COMP_Pin_2",40,2.5,1.2,0.1,0
