MOSFET_6_2_M_LOAD3_PMOS,MOSFET_6_2_W_LOAD3_PMOS,MOSFET_6_2_L_LOAD3_PMOS,MOSFET_0_2_M_LOAD2_NMOS,MOSFET_0_2_L_LOAD2_NMOS,MOSFET_0_2_W_LOAD2_NMOS,MOSFET_10_2_L_gm1_PMOS,MOSFET_10_2_M_gm1_PMOS,MOSFET_10_2_W_gm1_PMOS,MOSFET_13_2_L_gm2_PMOS,MOSFET_13_2_M_gm2_PMOS,MOSFET_13_2_W_gm2_PMOS,MOSFET_1_2_L_gm3_NMOS,MOSFET_1_2_M_gm3_NMOS,MOSFET_1_2_W_gm3_NMOS,MOSFET_28_10_L_BIASCM_NMOS,MOSFET_28_10_M_BIASCM_NMOS,MOSFET_28_10_W_BIASCM_NMOS,MOSFET_33_10_L_BIASCM_PMOS,MOSFET_33_10_M_BIASCM_PMOS,MOSFET_33_10_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS1,VDS10,VDS13,VDS28,VDS33,VDS6,ft0,ft1,ft10,ft13,ft28,ft33,ft6,gm0,gm1,gm10,gm13,gm28,gm33,gm6,gmid_offset0,gmid_offset1,gmid_offset10,gmid_offset13,gmid_offset28,gmid_offset33,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,0.3,0.15,12,0.15,0.408,0.15,1,1.64,0.15,1,2,0.15,9,0.354,0.808,1,0.3,0.924,46,0.3,5,44,24,0.120692286,0.101635599,0.701064015,0.712785352,0.321207282,0.066559168,0.040142202,30888157155,31919275027,19125922673,69406308240,1751450197,111698902.3,52531379873,0.000504039,0.000345557,0.000182584,0.000417658,5.48E-05,9.85E-05,7.50E-05,3,0,11,-15,3,-15,-13,79.86015977,2.445090864,315.6060674,2840.454606,61.35234122,2268022.993,12.29601561,0.003231073,346.8,58.85147017,292750600,0.000154597,0.000629485,48.42426,2.90E-08,4.45E-06,0.000261098,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,3
1,0.3,0.15,46,0.15,0.3,0.633,1,0.995,0.15,1,1.75,0.15,20,0.3,0.727,1,2,0.95,16,1.92,45,75,4,0.15893248,0.169090318,1.271009217,0.660622028,0.350446038,0.102298374,0.090327728,68991261180,70486756153,2619647877,2.57E+11,2374346458,220839107.9,35382622320,0.003420684,0.001516812,5.73E-05,0.00160531,0.000432971,0.000607214,5.35E-05,15,15,14,-15,-15,14,7,61.29399709,1.155197018,107.5305869,967.7752823,50.04148555,5666920.018,18.74405692,0.002985626,414.2,52.95024131,527500700,0.000817598,0.001724006,47.41618,1.02E-08,6.53E-05,0.000197449,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.632,1,0.995,0.15,1,1.73,0.15,20,0.302,0.727,1,2,0.95,16,1.91,45,77,7,0.158895781,0.169101437,1.270192632,0.66228414,0.350445061,0.1025005,0.090526835,68966899266,70191891524,2627446098,2.58E+11,2374326420,221344537.8,35737893374,0.00341939,0.001519151,5.74E-05,0.00159592,0.000432966,0.000606192,5.40E-05,15,15,15,-15,-15,14,-3,61.45134025,1.105829194,107.5738318,968.1644861,50.10388905,5422241.385,18.70448289,0.00302563,391,52.9519426,527469600,0.000817221,0.001725682,47.4974,1.10E-08,6.54E-05,0.000191231,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.633,1,0.995,0.15,1,1.95,0.15,20,0.3,0.727,1,2,0.95,16,1.92,45,80,5,0.158971214,0.169054669,1.271026596,0.65037429,0.350446038,0.102298374,0.090303974,69024603854,70503844646,2619620261,2.46E+11,2374346458,220839107.9,35293840800,0.003422472,0.001517244,5.73E-05,0.00169251,0.000432971,0.000607214,5.34E-05,15,15,14,-15,-15,15,7,61.5727327,1.138477462,110.1214535,991.0930819,50.3144304,5587318.683,18.75472394,0.0028872,388.5,53.23428544,540444300,0.000817952,0.00174625,45.21665,1.09E-08,6.28E-05,0.000191122,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.699,1,1.1,0.15,1,2,0.15,18,0.3,0.769,1,2,0.936,22,1.96,45,82,7,0.160463332,0.17834444,1.274310385,0.647495531,0.350558596,0.090116016,0.082293108,70309227343,73075195968,2163832902,2.45E+11,2196483228,193765390.3,28960461864,0.003491429,0.001416099,5.72E-05,0.001732647,0.000424898,0.000674989,4.39E-05,15,15,15,-15,-15,13,-5,59.26845999,1.007249325,97.89330228,881.0397205,49.45890487,4950235.526,21.52953785,0.002590777,374.3,53.170149,481107200,0.000819101,0.001569245,49.08284,1.68E-08,7.02E-05,0.000248535,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.699,1,1.1,0.15,1,2,0.15,18,0.334,0.769,1,2,0.944,22,1.96,45,90,20,0.160407677,0.178211034,1.274303585,0.647422593,0.350550849,0.090366137,0.082326666,70247647283,68478076378,2163825223,2.45E+11,2196345019,191307673.2,28620654104,0.003488097,0.00145728,5.72E-05,0.001731594,0.000424865,0.000673487,4.33E-05,15,15,1,-15,-15,15,-5,59.11791072,1.009753241,100.8024644,907.2221799,49.46404224,4944964.284,21.63780488,0.002528989,359.1,53.27177609,493649900,0.0008162,0.001609277,48.08957,1.64E-08,8.15E-05,0.000209263,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.682,1,1.13,0.15,1,1.65,0.15,20,0.3,0.759,1,2,0.984,19,2,43,84,24,0.15739873,0.16785011,1.247829067,0.68296819,0.349235429,0.094287904,0.08260123,67333984444,68635072773,2264625325,2.62E+11,2189119119,186582753.7,26867035436,0.003331345,0.001473175,6.01E-05,0.001536045,0.00041527,0.000621844,4.07E-05,15,15,15,-15,-15,14,3,57.81430263,1.077045832,109.2825491,983.5429415,48.64942734,5104338.991,20.83605817,0.002649471,347.7,53.03288591,517912200,0.000789867,0.001607988,49.70054,1.72E-08,8.28E-05,0.000274437,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.683,1,1.18,0.15,1,1.65,0.15,20,0.3,0.759,1,2,0.938,19,2,43,87,41,0.157885165,0.16778999,1.226028224,0.701045115,0.349276018,0.092780796,0.081245389,67648024016,68712436221,2254812598,2.64E+11,2189860964,200459220.1,24317976315,0.003347966,0.001475061,6.26E-05,0.001540417,0.000415446,0.00062992,3.69E-05,15,15,15,-15,-15,15,-3,56.23870684,1.176861097,113.808315,1024.274835,47.92300132,5610776.884,20.41401185,0.002607989,332.2,52.97687618,542590000,0.000794596,0.001612807,47.65787,1.91E-08,8.64E-05,0.000315658,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.819,1,1.21,0.15,1,1.94,0.15,17,0.3,0.869,1,2,1,22,1.97,44,88,51,0.158567915,0.187273369,1.311992422,0.618045943,0.349966307,0.09096421,0.084523359,68855115039,73829273272,1587136045,2.44E+11,1828011177,172982447.1,38578711201,0.003413695,0.001348394,5.34E-05,0.001685208,0.000400803,0.000653232,5.82E-05,15,15,15,-15,-15,10,9,66.031638,1.34951616,87.29422431,785.6480188,52.04592624,6410664.53,22.24953887,0.002744257,329,53.64678313,414677500,0.000791724,0.001591711,48.45371,1.56E-08,4.89E-05,0.000137834,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
1,0.3,0.15,46,0.15,0.3,0.655,1,1.03,0.15,1,1.97,0.15,19,0.3,0.709,1,2,0.976,18,1.94,45,82,45,0.159037205,0.171142791,1.272456367,0.648649346,0.350446423,0.098625946,0.089137289,69202312282,71168349118,2452588360,2.45E+11,2458986650,200357168.4,38195833147,0.003432216,0.001455341,5.73E-05,0.001704365,0.000436782,0.000627267,5.77E-05,6,15,15,-15,-15,15,9,63.98450406,1.06733726,104.0977091,936.8793818,51.30485459,5204722.722,19.99721231,0.003130859,321,53.45169099,507618100,0.000812727,0.001645136,48.42691,1.25E-08,5.21E-05,0.000145629,HSOTA_CS_Pin_3,22,1.8,0.9,0.3,2
