MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2,50,10,4,50,10,4,50,10,10,50,10,2,50,10,2,50,10,4,10,9,2,3,9,8.70364,17.66484,11,57,187.4008,740.0606,97.6,640.0009,687.0915,227.7503,468.0867,560.2608,11598720,3357526000,3139723000,9051075,5456020000,645854200,204944900,6525245000,0.08663584,0.2010619,0.1572792,0.1320176,0.07561618,0.1031404,0.0005446972,0.0001404689,33.8286690463749,0.705620464103858,3.42841081564629,318715732.816069,58.5185991649377,211425.937938019,268.12732788733,0.0899311034915474,-60.1656808899914,52.6801490823358,1027259,0.00332923605210866,7.17467867122966e-05,46.45067,4.32023226182136e-06,1.90809080997007,0.030832521473549,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,2,50,10,8,50,10,2,50,10,4,50,10,2,1,7,2,1,3,10.42868,10.40072,1,48,622.4657,109.6791,587.5858,40.80085,740.7199,101.9768,16.08736,514.9899,9022758,3224289000,2019654000,14872440,1887488000,7800182000,2464951000,1078273000,0.2082231,0.2513274,0.06676122,0.09135083,0.1689492,0.007858341,0.000482817,6.737249e-05,23.5446773913934,1.02941880027547,1.59527001429747,30081112054.3831,43.472672097518,400580.434653566,241.612980859887,0.191099215333127,-205.160245928498,68.5781417276256,620771.6,0.00432369577589016,7.85191454377546e-05,58.83024,0.0238005347135627,10.6207632878429,0.129545687773654,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,6,50,10,4,50,10,10,50,10,2,50,10,2,50,10,2,2,10,10,3,9,9.569553,14.94819,2,37,591.3854,812.4359,136.5954,186.4008,153.5903,471.2906,76.89479,223.8251,10168530,4957196000,8000000,8176397,6114441000,1597383000,3791235000,3742530000,0.02290612,0.07858146,0.1458906,0.1268595,0.1088389,0.1471074,0.0007662039,0.0001056407,33.5187978904395,1.72705482594479,1.77694552931028,1232850069.95639,55.8142583107096,788336.833893437,271.534976047286,0.0404493957702765,-117.853095617619,67.9706396554894,811110.1,0.00507181244207446,7.18883560566928e-05,51.838,2.85581665756961e-06,5.70812202994263,0.0345068307417278,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,50,10,2,50,10,10,50,10,2,50,10,2,50,10,2,1,9,2,1,10,9.200615,11.34751,1,27,628.0702,716.178,550.0614,41.60108,308.8988,185.0317,156.0817,524.3256,11254740,3703029000,2738042000,8822780,8264090000,1641473000,4570736000,6164395000,0.06904266,0.07716694,0.0139103,0.030195,0.1496009,0.0549052,0.0005087916,9.581421e-05,23.4624434255399,1.22963080429325,1.97143258652559,13061569506.8444,41.899947272229,529960.869120191,251.11246431629,0.187217770440172,-171.12264102167,66.3560870292083,849671.4,0.00478879845948553,7.89947530266763e-05,58.02907,0.0227004340527787,4.05135050317193,0.133718408750503,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,1,2,4,1,7,10,50,10,2,1,2,2,1,6,2,2,9,4,8,9,11.11389,17.79662,10,53,16.42283,759.9394,450.4205,122.4008,425.0948,117.2421,147.5972,850.2205,19408670,2119532000,2860450000,8185407,1534658000,1997692000,4299004000,3563523000,1.583311e-05,0.07607977,2.513274e-06,0.06809548,5.946786e-05,7.108766e-05,0.000717946,0.0001330894,52.0810027730074,1.4836963806847,3.34375884969067,29211575.422536,46.8490164791315,333577.725791505,220.669495422453,0.0995974060246731,-71.4045915806886,79.79669105557,751773.4,0.00249809814441329,9.65171762582505e-05,77.14914,6.48128359565127e-06,1.5181184615109,0.0104922366938358,"R2R_Miller_PNin_2",180,5,2,50,0
2,1,2,6,50,10,6,50,10,10,50,10,2,50,10,2,50,10,10,11,9,4,10,9,8.706816,21.54924,5,48,276.2718,692.0679,225.6,16.00094,232.4819,505.3688,269.687,900.0354,8647024,4570550000,8000000,8212690,3474905000,3567123000,58902140,1312179000,0.09958593,2.515472e-06,0.04018759,0.1377384,0.02634839,0.02387735,0.0006466111,0.0001510953,29.4319255126189,1.20011508234694,5.24500316556645,452843057.242834,55.1037243960519,254233.18661183,284.316237003798,0.0723874130434168,-91.0223235728584,30.8515295252108,1111105,0.00235378525453718,7.50310596599528e-05,31.02573,3.45635550797746e-06,2.04539799975376,0.0132328128105539,"R2R_Miller_PNin_2",180,5,2,50,0
2,1,2,2,1,2,4,20,10,10,50,10,2,1,4,2,1,10,2,2,7,2,6,9,11.11389,17.79662,10,19,16.29412,96.99712,254.4,180.8008,180.0753,182.9129,203.4077,449.5667,11635450,818220400,2288360000,8177555,1083379000,1731595000,6672081000,2964228000,0.0001121132,2.936885e-06,2.513274e-06,0.09208423,0.0001190318,7.575367e-05,0.0005422439,0.0001693712,36.3928940710233,1.29627290455434,3.9615849366776,113724898.462206,47.8584734999587,312935.067866942,231.782281915594,0.067164916636755,-33.171983503134,69.3189829464935,956371.8,0.00268234898485988,8.11073141206002e-05,57.88,6.98635506833551e-06,1.12905419792078,0.0263994011134758,"R2R_Miller_PNin_2",180,5,2,50,0
2,50,10,2,1,2,4,4,9,10,50,10,2,1,5,2,1,8,2,2,8,2,3,8,11.11389,17.79662,10,22,16.40354,269.4232,398.4,152.8008,495.796,198.6904,317.0733,547.049,13772990,2193433000,3575562000,8171531,650576400,2378557000,4961848000,4522560000,3.862347e-05,0.08389063,2.513274e-06,0.08511894,7.005835e-05,6.329872e-05,0.0006265581,0.0001114961,42.5408350413662,1.39613030137903,3.79622985507368,20188209.7145341,49.1035883447511,340247.025510878,222.317399701418,0.0807235458977622,-41.9265445418476,73.4833105912706,925168.6,0.00270785792840555,7.30719151845837e-05,67.63355,6.61223244207992e-06,1.22825423833898,0.00753042546477811,"R2R_Miller_PNin_2",180,5,2,50,0
10,50,10,2,50,10,4,50,10,10,50,10,2,50,10,2,50,10,10,50,10,2,4,8,7.50279,24.91445,3,38,426.6298,1117.286,209.6,231.2011,633.9527,375.2598,303.2842,519.3199,14188760,8014528,3944158000,8256883,1833890000,4890410000,19516050,6213025000,0.1450541,0.220533,0.004788178,0.1857117,0.0290963,0.1514187,0.0007623767,0.000159819,30.6097155933288,1.24510064810444,7.62244511803773,379508355.270795,61.3114450633828,278156.915805895,279.704376637192,0.0786920448394536,-98.7029171306279,34.3649835322949,1702863,0.00248223499244699,7.87666492020427e-05,30.2817,2.64752626322787e-06,2.42369767690729,0.017387672453876,"R2R_Miller_PNin_2",180,5,2,50,0
10,50,10,2,1,2,4,50,10,10,50,10,2,50,10,2,50,10,6,39,10,2,4,9,7.50279,30,6,59,275.4428,1122.891,289.6,148.0013,546.2267,403.5798,52.88501,706.3852,11174350,8090225,2524261000,8297427,1698963000,3163386000,58092560,3260768000,0.09300058,0.1411412,2.513274e-06,0.0632508,0.05736776,0.01808241,0.0005390262,0.0001863524,33.8985213125158,1.44462629549358,7.23628086196417,242049598.428942,71.8291294061768,392878.382655565,273.105361188681,0.0779539258083925,-91.0710876033138,43.697290927951,1967968,0.00302176097476347,8.02742660487592e-05,32.04783,2.24223008064008e-06,2.07614902284177,0.030531640439015,"R2R_Miller_PNin_2",180,5,2,50,0
