MOSFET_15_2_L_gmb_NMOS,MOSFET_15_2_W_gmb_NMOS,MOSFET_15_2_M_gmb_NMOS,MOSFET_11_1_L_gmf_PMOS,MOSFET_11_1_M_gmf_PMOS,MOSFET_11_1_W_gmf_PMOS,MOSFET_7_1_L_gm3_PMOS,MOSFET_7_1_M_gm3_PMOS,MOSFET_7_1_W_gm3_PMOS,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,RESISTOR_0,gen,index,VDS0,VDS10,VDS11,VDS15,VDS17,VDS21,VDS7,VDS8,ft0,ft10,ft11,ft15,ft17,ft21,ft7,ft8,gm0,gm10,gm11,gm15,gm17,gm21,gm7,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset15,gmid_offset17,gmid_offset21,gmid_offset7,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,0.994,15,0.5,200,0.869,0.5,56,0.98,0.5,30,0.923,0.5,31,0.969,0.5,1,1.15,1.3,1,0.645,0.648,6,1.16,11,0.56,5,2.56,100,5,0.51255866677996,0.370472462818387,0.370472462818387,0.405823695590918,0.51255866677996,0.675250521015956,0.51255866677996,0.51255866677996,372516996.943338,373616557.628322,435994998.785908,538736461.604086,300544799.719835,2508319043.5184,300544799.719835,300544799.719835,9.9333242311319e-05,0.000164735063415556,0.00114816078182324,0.000106460414414218,4.16650799620399e-05,0.000508383272690726,4.16650799620399e-05,4.16650799620399e-05,-3.94875953630872,1.11017246335122,0.844360784815901,6.44981226159394,1.48767130705204,0.28453804381707,-4.81915528443966,-4.81915528443966,80.2324689886419,1709.92037368873,2790.77662213446,13.5631743835735,89.7933901758968,1281554.02420039,113.055135487071,0.00153536578690628,383.100000000001,108.504311356598,2091636,0.000231321511562943,0.000168828845766803,72.79501,1.46337548446019e-06,1.4562131673751e-06,0.000283770583173082,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
0.5,0.916,16,0.5,200,0.92,0.5,53,1,0.5,30,0.957,0.5,57,0.986,0.5,1,1.1,1.02,1,0.812,0.512,9,1.05,11,0.56,5,2.56,100,6,0.473566622973618,0.370311496033785,0.370311496033785,0.389795070653738,0.473566622973618,0.599165562855384,0.473566622973618,0.473566622973618,473955342.587546,372336479.956043,432700995.444657,545935955.642251,386600876.67013,3119454756.31339,386600876.67013,386600876.67013,0.00011937392403309,0.00016982888752431,0.00120383016078571,0.000106758184488807,5.03333518093259e-05,0.000670621056626305,5.03333518093259e-05,5.03333518093259e-05,-2.11467517787262,1.15409697948948,0.911874451012261,8.06505948563259,-1.75308017537786,1.20745311738805,-3.14602451131536,-3.14602451131536,80.381507115549,1694.59688495767,2951.46394683199,14.3441147816035,88.9966074445016,1310760.14738411,113.191993886494,0.00155177571246212,369.2,108.101578149389,2282939,0.000238732647649463,0.000180003921421317,50.82836,1.76333542436865e-06,1.5784253899831e-06,0.000279786857698472,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
0.5,1,15,0.5,200,0.995,0.5,48,0.977,0.5,30,0.989,0.5,30,0.981,0.5,1,1.02,1.26,1,1.07,0.821,14,1.04,11,0.56,5,2.56,100,10,0.468217281263421,0.367297379809217,0.367297379809217,0.388543544874661,0.468217281263421,0.601589369235717,0.468217281263421,0.468217281263421,308261908.965537,364585175.536749,420368584.98198,534646613.709288,251230546.702048,1282053701.33081,251230546.702048,251230546.702049,0.000123199319425521,0.000169927889267948,0.00125120223917912,0.000107141512847601,5.20703134482571e-05,0.000655194497129457,5.20703134482571e-05,5.20703134482571e-05,-1.8315460010669,1.34127407263535,1.14506249706535,6.36708573014349,3.23850037979244,-6.69129737691064,-2.80606005264164,-2.80606005264164,79.1143802390909,1885.41365622801,2674.64797402612,12.9987891537669,89.0387008327672,1472038.54086003,113.174546254889,0.00193151498862916,346.100000000001,109.060025772451,2088234,0.000240972521590003,0.000140489763101625,71.95906,1.50852392406695e-06,2.0239243302006e-06,0.000362370280122093,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
0.5,1.01,20,0.5,200,1.01,0.5,50,1.01,0.5,31,0.981,0.5,58,0.99,0.5,1,1.02,1.26,1,0.48,0.697,6,0.942,11,0.56,5,2.56,100,11,0.535935223325666,0.363875644460619,0.363875644460619,0.401565561022083,0.535935223325666,0.730221169845816,0.535935223325666,0.535935223325666,444992194.479266,355153144.661154,409774537.925461,432254725.868889,356275576.168269,2501994236.01688,356275576.168269,356275576.168269,8.86022402695604e-05,0.000168226645799588,0.00122526970330362,0.000109435194792996,3.69255555304222e-05,0.000448672591370569,3.69255555304222e-05,3.69255555304222e-05,-4.90192342176493,1.51427193480375,1.33707007907439,6.45764616831333,0.435247636748568,-4.30763213870832,-5.71839787869333,-5.65335347561715,79.8024024200982,1744.51470869368,2947.58315310845,14.3252541241071,90.9258682939357,1333628.63080313,113.243578131389,0.00186381096659989,342.500000000001,108.92802746146,2253338,0.000235947437352053,0.000192625933947385,54.48085,1.76574648556648e-06,1.88465174698338e-06,0.0003401380095156,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
0.5,1.01,18,0.5,200,1.01,0.5,48,0.976,0.5,30,0.984,0.5,67,0.988,0.5,1,1.02,1.26,1,0.812,0.511,14,1.01,11,0.56,5,2.56,100,28,0.489277003870203,0.366984355862073,0.366984355862073,0.387903754728774,0.489277003870203,0.551418291343608,0.489277003870203,0.489277003870203,352348090.258878,364005614.983,418814255.957623,465206046.631203,285021823.165223,2587638979.67371,285021823.165223,285021823.165223,0.000110879762277061,0.00016866504128746,0.00126371449585417,0.000108885016223379,4.65970955517904e-05,0.000803126986556061,4.65970955517904e-05,4.65970955517904e-05,-2.93286366392487,1.35245559560863,1.17821021209508,6.23148849618209,3.22798240599403,6.358307560004,-3.86238681855431,3.97577321944008,79.9629902110153,1939.04119065339,2913.07229802402,14.1575313683968,90.4199885321057,1523129.30921309,113.305308436984,0.00175109108115839,312.6,108.485493041107,2288237,0.000242440253931692,0.000171536920545201,49.75984,1.76418960627638e-06,1.82335181014404e-06,0.000317406711198398,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
0.5,1.04,15,0.5,200,0.995,0.5,48,0.977,0.5,30,0.989,0.5,30,0.981,0.5,1,1.02,1.26,1,0.824,0.715,14,1.04,11,0.56,5,2.56,100,33,0.488102104370571,0.366745095221184,0.366745095221184,0.395179797062985,0.488102104370571,0.584098968994179,0.488102104370571,0.488102104370571,349221819.112065,363045018.216585,418765284.222269,519845882.171977,283195269.096285,1561613871.86756,283195269.096285,283195269.096285,0.000111373298434102,0.000168964252480728,0.00124442904486567,0.000107389263488613,4.68877158119634e-05,0.000694297728649634,4.68877158119634e-05,4.68877158119633e-05,-2.83654629371946,1.37041797030804,1.17357025620922,6.48129410341946,-2.42891871102819,1.5952993028482,-3.76456152566442,-3.91799914010534,79.1701724552823,1597.5975467934,2687.69747375627,13.0622097224555,89.4153466074651,1241115.18232238,113.15397244463,0.00187932346307121,309.300000000001,108.79989943379,2087974,0.000239772677559739,0.000148064900381743,72.03625,1.49949150553589e-06,1.99668794683416e-06,0.000363670384971648,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
0.5,1,18,0.5,200,1.01,0.5,50,1.01,0.5,30,0.986,0.5,58,0.99,0.5,1,1.03,1.26,1,0.812,0.697,19,1.01,11,0.56,5,2.56,100,35,0.48930240803058,0.366997887391234,0.366997887391234,0.388177673621109,0.48930240803058,0.548351765682983,0.48930240803058,0.48930240803058,352368550.514284,363186815.274309,418853438.239738,468937567.391977,285055130.118994,1420533497.88118,285055130.118994,285055130.118994,0.000110891991858932,0.000168790346966948,0.0012638825773276,0.000108807480872607,4.66040739464197e-05,0.000791361911439598,4.66040739464197e-05,4.66040739464197e-05,-2.93384749523729,1.35555751153089,1.17524689057033,6.20844777365179,2.22537050674378,-5.09718559858048,-3.86323060562195,-3.86323060562195,79.8848962783786,1907.05438520964,2897.68485223876,14.0827483818804,90.2649315368554,1496413.38399865,113.328428472295,0.00185220128560965,308.000000000001,109.82932950534,2273734,0.00024218291114171,0.000184706511704943,51.18365,1.74668783305604e-06,1.82217757914216e-06,0.000319866367471167,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
0.5,1,18,0.5,200,1.02,0.5,53,1,0.5,30,0.991,0.5,57,0.99,0.5,1,1.03,1.02,1,0.812,0.697,19,1.05,11,0.56,5,2.56,100,53,0.473405797079128,0.368118762441768,0.368118762441768,0.382228332008272,0.473405797079128,0.547077421406101,0.473405797079128,0.473405797079128,474748417.577833,365617346.481492,421683638.218689,470070622.437869,386284332.124658,1412013982.34665,386284332.124658,386284332.124658,0.000119464619180371,0.00017136733050767,0.00128888748526618,0.00010951856791757,5.02801422171741e-05,0.000816085597436651,5.02801422171741e-05,5.02801422171741e-05,-2.23280277130879,1.3026371468687,1.12688637594604,6.18248879671853,2.9043463286173,3.46191534516555,-3.09629930889491,-3.18425478374843,79.8414616096101,1771.96387211578,2662.8238100228,12.9413237167108,89.1176713062897,1417728.11085499,113.332973930803,0.00191166294586862,245.6,109.524447693661,2130495,0.000246940928915441,0.000195865062554127,58.28913,1.74035222904606e-06,1.8432329991841e-06,0.000319425081656277,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
0.5,1,16,0.5,200,1.04,0.5,50,0.984,0.5,29,1,0.5,31,0.99,0.5,1,1.02,1.26,1,0.812,0.697,19,1.01,11,0.56,5,2.56,100,54,0.489277003870203,0.36852731934064,0.36852731934064,0.393635378481222,0.489277003870203,0.553614615655992,0.489277003870203,0.489277003870203,351780633.221583,367317126.644788,422049362.126167,510945635.816409,285021823.165223,1452689070.88054,285021823.165223,285021823.165223,0.000110754107969453,0.00016788157013446,0.00131620900547538,0.000107545034541914,4.65970955517904e-05,0.000812971343312769,4.65970955517904e-05,4.65970955517904e-05,2.64942432139033,1.28805230223076,1.12437666021839,6.00136982311206,2.22621429381141,-4.96116922367771,-3.86238681855431,-3.86238681855431,79.3808849173944,1520.92715431554,2575.44314161605,12.516653668254,89.5468386408452,1234258.89584441,113.210523804106,0.00183897616932655,245.3,108.848111527632,2090017,0.00025046834266505,0.000169318954786943,75.39808,1.67379487316239e-06,1.91594161227937e-06,0.000347369712121459,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
0.5,1,35,0.5,200,1.01,0.5,50,1.01,0.5,30,0.981,0.5,58,0.99,0.5,1,1.02,1.26,1,0.812,0.697,19,1.01,11,0.56,5,2.56,100,55,0.489277003870203,0.367264528594761,0.367264528594761,0.358766304946907,0.489277003870203,0.548779651523285,0.489277003870203,0.489277003870203,354741899.010667,364127660.125041,419626869.368555,284966434.100358,285021823.165223,1423147726.01769,285021823.165223,285021823.165223,0.000111415771469152,0.000168512219753644,0.00126719990278049,0.000115840541980053,4.65970955517904e-05,0.000793117414391612,4.65970955517904e-05,4.65970955517904e-05,-1.67848198753479,1.33636023137755,1.16146267433947,7.20849949393128,2.32608592924843,2.08271225493239,-3.86238681855431,-3.86238681855431,79.8426557221969,1689.79838703788,2787.61489979771,13.5478084130169,90.2045697967182,1329756.80721611,113.402899874739,0.00264792684738194,239.3,109.804615427045,2193664,0.000242880316851725,0.000180248165038424,58.8873,1.74012613760081e-06,1.86174944238726e-06,0.000326265096741385,"Alfio_RAFFC_Pin_3",180,1.8,0.4,500,0
