MOSFET_0_1_L_BIASCM_NMOS,MOSFET_0_1_M_BIASCM_NMOS,MOSFET_0_1_W_BIASCM_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_12_1_L_gm2_NMOS,MOSFET_12_1_M_gm2_NMOS,MOSFET_12_1_W_gm2_NMOS,MOSFET_13_1_L_BIASCM_NMOS,MOSFET_13_1_M_BIASCM_NMOS,MOSFET_13_1_W_BIASCM_NMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_15_1_L_BIASCM_PMOS,MOSFET_15_1_M_BIASCM_PMOS,MOSFET_15_1_W_BIASCM_PMOS,MOSFET_18_1_L_BIASCM_PMOS,MOSFET_18_1_M_BIASCM_PMOS,MOSFET_18_1_W_BIASCM_PMOS,MOSFET_21_1_L_BIASCM_NMOS,MOSFET_21_1_M_BIASCM_NMOS,MOSFET_21_1_W_BIASCM_NMOS,MOSFET_22_1_L_BIASCM_PMOS,MOSFET_22_1_M_BIASCM_PMOS,MOSFET_22_1_W_BIASCM_PMOS,MOSFET_28_1_L_gm3_PMOS,MOSFET_28_1_M_gm3_PMOS,MOSFET_28_1_W_gm3_PMOS,MOSFET_29_1_L_gm3_NMOS,MOSFET_29_1_M_gm3_NMOS,MOSFET_29_1_W_gm3_NMOS,MOSFET_4_1_L_LOAD_NMOS,MOSFET_4_1_M_LOAD_NMOS,MOSFET_4_1_W_LOAD_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,RESISTOR_0,RESISTOR_1,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS12,VDS13,VDS14,VDS15,VDS18,VDS21,VDS22,VDS28,VDS29,VDS4,VDS6,ft0,ft10,ft12,ft13,ft14,ft15,ft18,ft21,ft22,ft28,ft29,ft4,ft6,gm0,gm10,gm12,gm13,gm14,gm15,gm18,gm21,gm22,gm28,gm29,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset12,gmid_offset13,gmid_offset14,gmid_offset15,gmid_offset18,gmid_offset21,gmid_offset22,gmid_offset28,gmid_offset29,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.5,1,0.318,0.209,13,1.82,0.162,1,0.336,0.478,1,2,0.478,1,0.3,0.228,45,2,0.222,35,0.8,0.338,36,1.24,0.332,50,1.64,0.268,50,1.79,0.209,35,1.82,0.15,25,0.656,0.203,30,21,10,20,0.3,10,61,44,0.82961044,0.82961044,0.385342532,0.958431878,0.255351574,0.300667193,0.779423338,0.779422793,1.154938273,1.100049871,0.799392697,0.255351574,0.378735715,5772778525,5772778525,10966342104,1586597150,1922494690,98874197.72,847046.5494,178666423,1844957488,8534601033,20014781002,1922494690,4501736188,0.000792637,0.000792637,2.25E-05,2.90E-05,9.73E-06,3.48E-05,8.41E-08,3.63E-05,0.001065267,0.007010389,0.010273103,9.73E-06,0.000174027,0,-15,-5,-15,12,-15,-15,-14,-14,-14,4,12,-8,95.56233016,21.69589308,10.36156038,264.2197897,77.48653683,542366526.9,12.38678296,0.000483387,310.8,97.85085171,259024300,0.001470505,0.000905294,46.15604,2.35E-08,1.96E-06,0.000194145,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
0.5,1,0.3,0.15,37,0.657,0.15,1,0.529,0.422,1,2,0.495,1,0.313,0.293,20,2,0.371,37,0.3,0.15,9,0.458,0.151,1,2,0.173,47,1.77,0.156,25,1.84,0.15,19,1.32,0.315,12,10,10,20,0.308,10,78,36,0.79443513,0.79443513,0.407285472,0.974487112,0.302941423,0.215142886,0.795477782,0.795474073,1.076581874,1.099991571,0.799180492,0.302941423,0.473560019,6997179883,6997179883,7517629122,1569815972,1772940944,149996904.8,64184039.06,1425377639,16930162572,17296444665,33695301992,1772940944,3709320942,0.000716864,0.000716864,2.00E-05,2.36E-05,8.86E-06,2.64E-05,3.31E-06,2.22E-05,0.000176986,0.009087915,0.010498253,8.86E-06,0.000115675,8,-15,-15,-8,-15,-15,-9,-4,-2,-15,15,14,15,96.94677379,29.45445361,11.64214782,296.8747695,77.59497239,630880225.3,7.655410178,0.00047009,307.1,96.22950267,249361300,0.001259932,0.000744928,48.7373,1.28E-08,1.85E-06,0.000202025,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
0.5,3,0.577,0.28,34,1.49,0.15,1,0.473,0.5,1,2,0.476,1,0.452,0.294,50,2,0.5,27,1.81,0.5,28,0.367,0.472,11,1.92,0.266,50,1.49,0.17,38,2,0.15,5,1.67,0.246,22,35,10,20,0.3,7,41,52,0.768842394,0.768842394,0.179207389,1.242093837,0.216423575,0.262187478,0.987978925,0.987977285,1.249685362,1.100395973,0.79939108,0.216423575,0.351837374,1516705924,1516705924,6846771642,1253116377,1490025341,55738712.28,6492552.807,357903331.1,738982693.6,6305034470,14048021800,1490025341,2505123231,0.00041936,0.00041936,1.75E-05,2.10E-05,9.59E-06,2.41E-05,1.56E-06,2.26E-05,0.000123879,0.003896916,0.006267987,9.59E-06,0.000167027,-15,-14,-5,9,15,5,-13,-2,15,-15,4,8,0,96.30197138,11.49045764,11.5420381,294.3219715,76.01548609,120316103.2,13.27002419,0.000809934,292.3,97.80617316,120856200,0.000615939,0.000718283,45.13499,3.18E-08,3.40E-06,0.000316525,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
0.5,4,0.3,0.39,43,1.34,0.15,1,0.494,0.38,1,1.72,0.242,1,0.3,0.234,23,2,0.5,24,2,0.321,50,1.88,0.336,20,1.93,0.254,38,0.905,0.15,39,2,0.15,17,0.727,0.26,21,48,10,20,0.484,9,27,0,0.801758225,0.801758225,0.246453186,1.243762118,0.221771131,0.187924086,0.953852126,0.953852019,1.353611152,1.100374808,0.799351814,0.221771131,0.33776776,909927698.1,909927698.1,5320023391,1431754878,3791365824,87742393.25,2401161.175,39597330.72,1192656685,8338437333,13729331828,3791365824,1705524246,0.000361966,0.000361966,1.30E-05,1.53E-05,8.58E-06,1.62E-05,5.63E-07,1.64E-05,0.000271368,0.002470503,0.005519897,8.58E-06,0.000230678,-13,-15,-15,-2,-15,-15,9,-3,-10,-15,0,-8,3,86.89425325,12.29357229,15.6874409,400.0297431,78.8970222,80857568.66,15.84030713,0.000818257,503.5,94.05977113,103179800,0.000386895,0.000793774,45.99052,1.80E-08,4.08E-06,0.000351958,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
0.5,12,0.3,0.389,20,1.34,0.15,1,0.494,0.353,1,1.92,0.376,1,0.3,0.15,23,2,0.173,24,1.83,0.321,50,1.09,0.43,27,1.99,0.38,30,0.3,0.159,39,2,0.15,25,0.553,0.301,21,49,10,20,2,8,20,12,0.847972846,0.847972846,0.172510697,1.302721401,0.231937397,0.192764413,0.813000506,0.813000354,1.383242361,1.100368766,0.799072533,0.231937397,0.297928953,1384873806,1384873806,4145965243,1118798340,1885463077,74511768.35,8988.909374,51561923.31,416412788.5,5855110729,8876336311,1885463077,568115542.3,0.000305187,0.000305187,1.00E-05,1.18E-05,6.15E-06,1.20E-05,1.23E-09,1.26E-05,0.000130214,0.000749656,0.003353817,6.15E-06,0.000282225,-10,-15,-15,-10,-4,-10,3,-11,-5,-12,9,-15,3,89.8919261,14.47504808,22.3331262,569.4947182,74.34792023,55260427.97,26.56200614,0.001432291,403.7,88.0945539,85259690,0.000224567,0.000735317,54.63234,3.20E-08,6.50E-06,0.000526836,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
0.5,7,0.3,0.231,44,1.34,0.15,1,0.51,0.484,1,1.93,0.3,1,0.3,0.189,26,2,0.275,27,2,0.324,50,1.42,0.461,25,2,0.325,50,1.14,0.162,40,2,0.15,15,0.78,0.302,19,44,10,20,2,8,31,24,0.764558098,0.764558098,0.189218738,1.287504413,0.206429017,0.21676542,1.098272546,1.098272508,1.408201011,1.100540248,0.799369712,0.206429017,0.299867722,1439389498,1439389498,4809880779,1003252779,2759729278,77397993.58,22326469.28,34855615.52,385447367.3,3451908410,8014902337,2759729278,586027141.2,0.000376837,0.000376837,1.22E-05,1.41E-05,7.55E-06,1.50E-05,4.56E-06,1.10E-05,0.000117718,0.001779916,0.003078248,7.55E-06,0.00026327,-12,-15,-15,-4,-15,-3,15,-14,-13,-14,9,14,15,89.62085559,10.760857,25.86975241,659.6786864,79.03054242,38251140.48,24.99372681,0.000905204,331,89.37105223,91958060,0.000209097,0.000709571,46.94106,2.59E-08,4.50E-06,0.000353914,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
0.5,12,0.3,0.389,20,1.34,0.15,1,0.494,0.203,1,1.7,0.381,1,0.3,0.15,23,2,0.173,24,1.83,0.321,50,1.09,0.444,27,1.99,0.38,30,2,0.159,39,2,0.15,20,0.553,0.301,21,49,10,20,2,8,21,63,0.837244868,0.837244868,0.174934614,1.282194075,0.225875798,0.21691342,1.064023104,1.064022982,1.385756299,1.101082858,0.798819801,0.225875798,0.297928953,1384878136,1384878136,4823479750,2020334769,2007053548,91834483.88,14691545.95,54576523.8,395241778.6,2856195256,8887219447,2007053548,568115542.3,0.000305592,0.000305592,1.20E-05,1.44E-05,6.91E-06,1.47E-05,2.09E-06,1.33E-05,0.000125965,0.001821723,0.003359102,6.91E-06,0.000282225,-15,-15,-15,-11,-4,-10,-1,-15,-10,-15,7,3,3,87.63510414,10.77258131,22.62850473,577.0268706,69.71802767,41426558.91,26.92445877,0.001638939,239.1,87.64707791,87019170,0.000226209,0.000694416,60.16068,2.83E-08,7.98E-06,0.000688143,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
0.5,12,1.59,0.389,20,0.424,0.15,1,0.494,0.212,2,0.453,0.374,7,1.5,0.15,1,2,0.21,24,1.83,0.156,7,1.63,0.43,30,0.3,0.38,30,1.48,0.196,46,2,0.388,17,0.553,0.317,22,50,10,20,1.54,10,13,44,0.883988547,0.883988547,0.113420016,1.490114502,0.14435164,0.152045645,1.040363361,1.040361979,1.332205477,1.102949121,0.796938659,0.14435164,0.321558719,2617002684,2617002684,6203691515,4625870636,368471562.4,2487254377,14458516.49,536988552.7,787238209.7,3214393756,6709633705,368471562.4,806831039.3,0.000252064,0.000252064,1.72E-05,2.10E-05,2.24E-05,2.00E-05,2.18E-06,2.23E-05,5.59E-05,0.001591757,0.003368115,2.24E-05,0.000353149,-10,-14,-2,-15,-4,-8,11,-5,2,-12,7,0,3,64.04191368,10.49185657,10.49145713,267.5321568,56.4766694,49812936.45,24.65268018,0.004189493,-37.358838,81.69338407,49811040,0.000279281,0.000731189,51.29931,2.64E-08,2.90E-05,0.001488066,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
0.5,1,1.19,0.155,25,0.879,0.168,1,0.353,0.165,1,1.84,0.5,1,0.331,0.176,35,2,0.15,41,0.3,0.197,1,1.35,0.164,27,2,0.15,50,1.47,0.15,1,1.62,0.15,17,2,0.15,17,8,10,20,0.3,10,100,19,0.697424093,0.697424093,0.281464712,1.035341205,0.302626894,0.180519864,0.073161462,0.073162173,0.04702289,0.999910377,0.795617723,0.302626894,0.48149586,10586071669,10586071669,5506148681,1775617836,1306074719,46248369.33,241253753.9,57106340.17,2879045471,14568128841,67635768887,1306074719,11309162211,0.001124109,0.001124109,9.01E-06,1.12E-05,5.67E-06,1.18E-05,1.11E-05,2.65E-07,0.000928986,0.005119185,0.000843255,5.67E-06,0.000149724,7,-15,-15,-15,-10,-15,3,-4,15,-12,15,15,5,96.66198867,43.59771395,13.98519763,356.6225396,76.47892763,666797738.2,7.092565051,0.000364437,352.5,88.19020905,213894200,0.000899666,0.000831816,46.06363,1.95E-08,3.21E-07,4.41E-05,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
0.5,1,1.35,0.196,20,0.3,0.177,1,0.73,0.182,1,1.81,0.494,1,0.343,0.344,26,2,0.269,1,2,0.15,1,0.65,0.15,48,1.69,0.15,31,2,0.2,1,1.96,0.15,26,2,0.189,30,14,10,20,0.31,10,91,18,0.999861245,0.999861245,0.277801411,1.103647356,0.250422681,0.268023525,0.009154112,0.009161841,0.062337161,1.099761601,0.793356542,0.250422681,0.40331746,13423871111,13423871111,5433527675,3437551149,1676086878,114679931.7,195818637,598201266.9,3318646916,18555365474,42336254088,1676086878,6163140553,0.000601253,0.000601253,2.17E-05,2.59E-05,9.24E-06,2.80E-05,4.75E-06,1.83E-06,0.001460776,0.006142187,0.000855242,9.24E-06,0.000165922,10,-15,-15,-15,-15,-14,-3,-15,12,-12,-6,14,-15,91.25031603,47.9578987,12.26318337,312.7111759,88.68316164,854690989.8,8.67584993,0.00037959,334.1,87.5717005,218550700,0.001048335,0.001023886,51.33382,1.53E-08,2.81E-07,7.15E-06,CLASSAB_NULL_Pin_3,22,1.8,0.8,0.1,0
