MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,20,4.99,4.5,20,5,6,20,5,10,1,3.071196,10,1,0.5614691,0.5,20,5,1,4,3.76,2.5,20,4.93,12.44041,15.29376,7,55,244.4634,344.5273,763.5724,17.82507,413.4112,297.3898,124.342,373.7672,8558892,751344600,8000027,16436510,8006585,540835400,2091484000,5141752000,0.1018797,0.0354285,0.04634521,3.666859e-05,2.513675e-06,0.1008765,0.0009814439,0.0002016163,64.6017504326722,34.2066623556879,127.8670394429,38618063.3991364,62.2443130366388,433016.292887366,139.510691515023,0.089343598538858,-118.096309942591,62.2365372823965,1618647,0.000372318502980135,5.2592620363703e-05,41.31612,1.73027650794775e-06,77.6304818684914,0.00809717666995247,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
10,20,5,0.5,20,5,6,20,5,8,1,4.909033,0.5,1,0.22,0.5,20,5,0.5,3,4.68,2.5,20,4.95,12.61362,16.45742,6,21,229.2944,292.8241,567.8474,362.1935,291.4013,220.7406,86.29577,419.3165,8577959,9603178,1969118000,16848290,1575771000,2753006000,2651903000,4622848000,0.02621131,0.043097,0.1701265,4.178611e-05,4.899861e-06,0.0894492,0.001034526,0.0002544417,50.6069463653678,60.7591692649769,121.303396196531,366796.125348508,74.7346659019745,1091927.9083404,142.008549137015,0.115729137672253,-90.3635895759165,74.6355775719722,2179993,0.000528570866001066,5.37902473944342e-05,46.72525,9.24685394544308e-07,9.17047663449881,0.000662018100865081,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
10,1,0.7554011,0.5,20,5,10,20,5,10,1,0.7141636,0.5,20,5,0.5,20,5,0.5,3,4.52,3,10,4.65,7.58028,6.875266,8,39,90.79858,247.3938,522.7174,18.50112,257.4497,570.1329,103.5341,590.5136,8177448,18829970,2830898000,15904360,1544070000,498277300,2562228000,3402366000,0.1037524,5.482281e-06,0.04896964,9.561301e-06,0.05077285,0.09159815,0.0009279935,8.684344e-05,51.2616156187592,60.858069255601,201.68567733647,82528.0767392545,85.0993001785268,338944.979365295,130.033650963895,0.139893364422322,-89.6316699538827,84.4063467466797,1123275,0.000163806872338703,5.35710385304344e-05,53.6365,1.54757035832238e-06,8.45401470807749,0.000639390741666301,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,1,0.22,0.5,20,4.98,9,20,5,10,2,3.33,0.5,1,0.2348318,0.5,20,5,0.5,20,4.94,0.5,1,2.424185,6.893283,22.72503,11,20,75.21504,265.2245,432.0923,148.7499,245.6703,235.8117,188.6049,206.5896,8355854,7935090000,1419413000,13365690,4853781000,437722700,1268651000,2258228000,0.07986698,2.86487e-05,0.0352563,5.729912e-05,2.168238e-05,0.05312235,0.002435244,0.0001112438,40.1687185317889,99.2237064363717,59.437510088638,2074515.18212969,45.2958172568663,1838545.06296001,123.79147462891,0.0993273957434577,-38.6753152046132,75.7839260909901,1101335,0.000544979186275587,0.000164632228813707,49.17072,5.53473341462739e-07,1.31289538053345,0.00140558719038131,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
1,20,4.99,1,20,5,2.5,1,2.379994,10,20,5,10,20,5,1,20,5,2,20,4.96,0.5,1,4.060405,11.36135,16.94549,5,32,290.7696,413.3558,295.884,152.1004,877.8488,179.0408,324.7785,553.1583,33843740,735899900,275615200,8415164,10619200,3845284000,121094100,1303683000,1.635962e-05,0.04268777,0.1643425,0.03896391,0.1289067,0.04404105,0.00143289,9.266645e-05,7.61034880758926,94.3445696652542,75.0686223533632,23047906902.3693,13.6503500911923,1374767.74801254,164.074191244388,0.0847022572751186,-123.328548911662,57.6636973822599,1093883,0.000428581588460752,4.00633796787821e-05,50.57471,1.06008762043093e-06,3.55463636284555,0.0566894603465068,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,1,0.22,0.5,20,4.99,9.5,20,5,10,1,2.461272,0.5,1,0.22,0.5,20,5,1,2,4.84,0.5,1,2.234979,8.784817,12.85501,10,30,112.6169,261.1188,592.1343,227.5059,328.7199,302.5673,364.0135,290.1152,8255149,7285651000,2004482000,13695200,3468656000,515241800,2005498000,2308131000,0.07784989,1.362935e-05,0.06386422,2.525192e-05,1.094046e-05,0.08286492,0.001000022,0.0001054977,40.1610700937362,69.3819800229286,64.3165054750024,1024495.26040278,45.28645740943,873892.051078699,132.10046268844,0.110940296919532,-56.976608324566,76.6560009696832,810090.5,0.000370452203528548,0.00013787792262449,57.10528,9.56699203932473e-07,1.30210833323632,0.00107795901817331,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
10,20,5,0.5,20,5,6,20,5,6.5,2,4.05,0.5,1,0.22,0.5,20,5,0.5,2,4.4,2.5,20,4.95,12.61362,16.45742,8,37,229.2991,299.9903,466.2977,486.7537,41.81062,313.2281,84.63904,422.1499,8578137,9442717,1969117000,16945350,2073585000,759895400,4269522000,4622304000,0.07122385,0.04401109,0.1701265,4.849963e-05,7.779874e-06,0.08944675,0.001015273,0.0002479921,78.9978207319992,69.3823637012379,149.782046661973,2640.46176859787,87.4924739734958,1068563.20276513,142.328676590489,0.111371323764109,-89.2010878354753,111.219984736205,2306805,0.000452972885565317,5.9729109603489e-05,46.22381,8.30972256705108e-07,8.08252984313198,4.33487951487788e-05,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,20,4.99,0.5,20,5,4,20,5,10,1,0.6085144,3.5,20,5,0.5,20,5,0.5,4,3.76,2,13,4.7,8.959776,12.04196,3,46,381.029,229.7446,222.8581,16.91358,274.4229,504.6976,543.3693,264.2396,8910484,4424868000,2085450000,19100570,104179700,2753064000,2531654000,5009573000,0.05346249,0.1255827,0.09565528,9.775172e-06,0.1166142,0.1425152,0.0006933809,0.0001387938,46.6090695673104,130.732794438018,58.5090546709712,131554857634.238,14.1398242668283,1308880.07962344,125.416952889153,0.126817469044484,-219.755596491067,46.5640027907683,585785.2,0.000294466840516845,5.62595131240647e-05,47.79943,8.53222600540582e-07,144.169072344076,0.158803880921369,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
0.5,1,0.22,0.5,20,5,3.5,1,2.713436,10,20,5,1,20,4.99,3,20,5,10,20,4.94,0.5,1,2.236341,8.204801,14.41143,2,39,547.0917,179.7954,121.3656,16.90025,426.3297,513.5325,836.5198,592.3618,18876850,4145257000,1552462000,8376442,2058192000,4548779000,8394518,1426930000,1.40659e-05,2.514952e-06,0.1599266,0.07973432,0.1383127,0.1878335,0.0006931937,8.77152e-05,29.567903396358,134.189469098748,79.983390730578,915116516.890881,29.9006112569052,1567140.72647818,134.345943993483,0.0508724723427818,-222.780431590602,62.6281383650508,934091.4,0.000343487269289836,3.51777967567171e-05,16.61649,1.04872645481906e-06,15.5297361295646,0.0578000100826358,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
8.5,20,5,0.5,20,4.97,4,20,5,8.5,20,5,0.5,1,0.22,0.5,20,4.99,1,2,4.21,4.5,18,4.95,9.697832,14.441,5,40,438.6822,763.4648,231.9709,483.3006,410.9674,258.7678,64.10748,694.5891,8999161,8786103,1568079000,8472561,6866378000,2379326000,1936135000,10403340,0.05732864,0.0799751,0.01926498,0.08615503,1.067251e-05,0.07538438,0.0008074279,0.000114838,58.6451959382578,158.052914820745,71.7487268356583,261114.641339364,78.3695247231413,1569312.21828511,145.157428497477,0.178348128858681,-131.706150789762,83.1446614042151,712395.3,0.000292030310017476,0.000156169675471127,30.77208,0.00753194947298021,2.92594926577772,0.000964691289400355,"R2R_Miller_PNin_2",180,1.8,0.8,50,0
