RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS14,VDS2,VDS4,VDS6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,gmid_offset0,gmid_offset10,gmid_offset14,gmid_offset2,gmid_offset4,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
11.5,6.32,0.8,74,1.77,0.429,59,1.99,0.42,87,2,0.15,3,1.22,0.7,63,0.51,0.9,58,65,1.61,48,10,43,0.372901383816379,0.372901383816379,0.317844061217925,1.15004639346403,0.317844061217925,0.388861157119396,1350816801.21802,1350816801.21802,698853530.900096,25620550285.4946,698853530.900096,315807257.826946,0.00168765066355073,0.00168765066355073,0.000957461530926121,0.000570391781962485,0.000957461530926121,0.000635264354292699,-1,-2,-1,4,1,-7,74.1037559764406,914.92617668685,2817.63867753402,76.0762442934185,60.9619963508973,11003914.4194835,76.1780998056528,2.9969304829257,-82.4831003648518,58.1194451964134,33888040,0.000668172574397151,4.54171839669386e-05,61.23024,2.9969304829257,3.14903146704848e-06,0.000414331456832451,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
11.5,6.32,0.8,74,2,0.429,59,1.99,0.42,87,2,0.15,3,1.22,0.7,63,0.51,0.9,58,65,1.61,48,10,48,0.372875898337904,0.372875898337904,0.312555636637996,1.15651922268825,0.312555636637996,0.388861157119396,1350833002.04133,1350833002.04133,659236820.483991,25640948224.1438,659236820.483991,315807257.826946,0.00168768727528321,0.00168768727528321,0.00088386572615162,0.000570580777719735,0.00088386572615162,0.000635264354292699,-1,-2,-1,4,1,-7,74.0284398221378,872.08074215779,2648.16371738116,71.5004203692914,60.9642380749224,10328528.7798694,76.2674169616357,3.08351875497697,-82.9469113265148,58.0960522356602,31363650,0.000657974802903473,4.3722220670378e-05,62.68762,3.08351875497697,3.16801849892134e-06,0.000416620498457365,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
11.5,6.32,0.8,74,1.77,0.429,59,1.99,0.42,87,2,0.15,3,1.22,0.7,57,0.51,0.9,58,54,1.61,48,10,52,0.225508446101374,0.225508446101374,0.317733727285872,1.32492656238633,0.317733727285872,0.403187691159636,1394966915.86801,1394966915.86801,698018568.551787,27022122503.3182,698018568.551787,343144260.695614,0.00185737992671244,0.00185737992671244,0.000955888407565015,0.00060210609928007,0.000955888407565015,0.000598640010943811,-1,-2,7,4,1,-7,48.4548758825864,831.560247306653,2238.01744157567,60.426470922543,57.9205749784574,11179593.8768865,69.8319331681431,3.27919095328214,-83.9048131977628,57.1542588121108,30088170,0.000746895430280088,4.40108058154817e-05,63.97801,3.27919095328214,4.4398237722737e-06,0.000396189157076621,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
22.8,21.7,1,41,1.39,0.15,6,1.76,0.394,1,2,0.15,3,1.87,0.433,33,2,1,53,39,1.7,7,10,54,0.522446480147178,0.522446480147178,1.00773645930161,0.737305367157353,1.00773645930161,0.30390168799617,8070021696.81828,8070021696.81828,6336388369.20036,11798543407.8851,6336388369.20036,132740113.097378,0.000400536993130572,0.000400536993130572,0.000187513372789037,0.000329661991129425,0.000187513372789037,0.000128881687518267,-6,-3,-11,2,4,0,105.742479038204,39.0375652675683,8517.74980179455,229.979244648453,59.722367044739,186205.352326243,61.8480517073901,2.62176080080392,-85.5191070441273,58.3619074237104,40628830,0.000264994543717013,0.000106608432463872,42.54566,2.62176080080392,7.61286297346064e-07,6.59237128706192e-05,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
11.5,6.32,0.964,74,1.77,0.429,59,1.99,0.42,90,2,0.162,3,1.22,1,100,0.51,0.951,58,65,1.71,48,10,63,0.374077269528551,0.374077269528551,0.331836233859324,1.16101055394697,0.331836233859324,0.389194732929632,1350067975.92063,1350067975.92063,807434186.502517,23292621592.4711,807434186.502517,283491665.474573,0.00168595998723326,0.00168595998723326,0.00121004451064891,0.000552978626036755,0.00121004451064891,0.000636941202715586,-1,7,5,4,1,-8,75.4900409593861,853.602440452847,3236.97855916462,87.3984210974447,62.1065689768941,10908491.7442672,80.7696615691808,3.01260113708736,-90.605000359113,59.474791859363,41366510,0.000709964370303872,5.36309443315548e-05,41.34728,3.01260113708736,2.70301113279414e-06,0.000350563075821819,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
38.4,9.46,0.86,17,0.97,1,93,1.94,0.33,24,1.64,0.37,24,1.63,0.587,8,0.34,0.77,49,100,0.48,43,6,17,0.568373785390412,0.568373785390412,0.32893118765819,0.598849967039515,0.32893118765819,0.414857193171196,245098622.823905,245098622.823905,1211555180.02855,2041845981.75202,1211555180.02855,515223393.684666,0.000896750085881849,0.000896750085881849,0.000334968581835897,0.000774291816509536,0.000334968581835897,0.000479787072875696,6,15,2,12,15,-8,103.385404491434,463.375448435041,4900.14287734668,132.30385768836,69.2511491334742,2844798.32157626,47.6864890718535,2.96732338404467,-97.8714634930172,66.6762780409617,30083420,0.000341071914216526,5.44399364580323e-05,37.93038,2.96732338404467,1.29060046740292e-06,0.000149730707026952,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
26.7,11.1,0.94,70,1.44,0.21,100,1.16,0.27,6,0.3,0.17,92,0.93,0.954,87,1.01,0.971,27,67,1.22,14,6,18,0.825204473853863,0.825204473853863,0.585324839052358,0.188425101642351,0.585324839052358,0.326203778159467,813265371.999948,813265371.999948,7342793535.68663,1078208334.50023,7342793535.68663,177034271.381491,0.00037167587035763,0.00037167587035763,0.000134512416921755,0.000370211498774237,0.000134512416921755,0.00023560273221757,-5,7,-2,0,-6,-5,82.227212220291,1122.28071766432,5131.86483048946,138.560350423215,61.5599274265193,2631830.72253968,50.4970173376606,2.56248016579384,-99.4135873105259,58.1852567000875,12034600,0.00013028185873421,5.61469667428343e-05,36.03145,2.56248016579384,5.7284506566202e-06,0.000312380974722526,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
100,80.5,0.94,100,1.1,0.783,2,0.3,0.691,88,0.78,0.219,46,0.562,0.63,67,0.509,0.439,46,23,1.6,5,6,19,0.833749230658472,0.833749230658472,0.336150257707698,1.0060948218859,0.336150257707698,0.276473657842876,1735235610.63524,1735235610.63524,381938848.465717,3543268345.31456,381938848.465717,399085726.196724,3.07801132041889e-05,3.07801132041889e-05,0.000341144696925006,0.000495072890112445,0.000341144696925006,0.000101194662113795,-7,7,-8,15,9,-3,66.4667312692191,29.731860877968,5736.02484110602,154.872670709863,63.9843666417681,70545.2728124317,42.7093165246179,2.45260041345178,-99.4920601062369,59.7554339622537,13609960,0.000131817575731261,0.000326415132415241,35.6024,2.45260041345178,2.5590997800945e-06,0.000294651000178892,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
26.7,11.1,0.94,70,1.44,0.21,88,1.18,0.27,6,0.68,0.17,92,0.93,0.58,87,1.01,0.78,27,67,1.22,14,3,4,0.828614041664009,0.828614041664009,0.542017928402777,0.192020638569883,0.542017928402777,0.311931125845537,906357619.513053,906357619.513053,6139387179.77054,1097878812.76991,6139387179.77054,242245372.451936,0.000373627263015182,0.000373627263015182,0.000233937036574263,0.00037720260009702,0.000233937036574263,0.00024594062177659,-5,7,-2,0,-6,-5,77.6331840923288,2129.13828377681,7454.33457035308,201.267033399533,60.462907907116,5737621.61226223,45.756029110927,2.71578016399733,-100.941077332725,56.6077309926688,20088010,0.000149711626842461,6.70328286954893e-05,35.83278,2.71578016399733,7.33313100616695e-06,0.000411535820136311,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
38.4,9.46,0.86,17,0.97,1,93,1.94,0.332,62,1.64,0.384,24,1.63,0.587,8,0.34,0.709,49,100,0.48,43,9,57,0.566721869081249,0.566721869081249,0.278885396791595,0.605981961409997,0.278885396791595,0.407362470582516,245415426.329787,245415426.329787,647832701.359102,1944643680.62592,647832701.359102,580595835.481957,0.000898674625884101,0.000898674625884101,0.000387088282708336,0.000765041823239331,0.000387088282708336,0.000494386366265857,6,15,2,12,15,-8,102.203056601787,481.180880663367,4959.38847883061,133.903488928426,68.6934115117325,2960339.46807918,46.3879928429761,4.99972187043311,-109.244233272823,66.2970970869599,30511340,0.000341791019533951,5.57109948117121e-05,35.84328,4.99972187043311,1.47247390400618e-06,0.000170614685316428,HSOTA_COMP_Pin_2,22,1.8,0.8,10,0
