MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_11_1_L_gmf2_PMOS,MOSFET_11_1_M_gmf2_PMOS,MOSFET_11_1_W_gmf2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS11,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft11,ft17,ft21,ft23,ft8,gm0,gm10,gm11,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset11,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.392,1,0.807,0.12,19,0.924,0.283,21,0.945,0.211,11,0.994,0.85,4,0.86,0.85,211,0.987,0.85,7,0.96,3.12,5.47,19,16,0.0297725494084949,0.248978483247572,0.419196586788963,0.0317538817177007,0.470842852560133,0.299087597459474,0.0319722065945293,19341721.3134567,3402991279.60571,47451413781.065,19971263.4444042,456467769.675434,14974326090.0722,20037377.7840974,0.000410465909005748,6.81900723510603e-05,0.00753135120950132,0.000211641084740781,0.000115108113013657,0.00630237309225749,0.000212313141243918,15,15,15,15,15,15,15,64.2698409938729,150.721593227494,1077.0490939323,9.69344184539073,58.622707755839,709893.213940411,68.441789113085,0.00180788330653203,1001.8,89.708749636904,5072862,0.000784993929026174,0.000791927248810559,45.51475,1.14551209408428e-06,1.86503555168277e-06,0.00012067283300049,Fan_SMC_Pin_3,22,0.9,0.3,120,1
0.12,1,0.82,0.64,433,1,0.08,12,0.899,0.48,19,0.96,0.76,8,0.83,0.85,342,1.01,0.56,25,0.98,3.12,10.1,23,61,0.0248061774189703,0.285081180022828,0.41959826146615,0.0319041693266271,0.434585865086128,0.299060739725651,0.0320947453168284,19211787.5703945,28981627836.9055,708495984.580166,21992002.327177,604061907.317882,88265996641.2505,22055603.4123838,0.000683877004043035,0.000189410540217747,0.0103445184956048,0.000389198353686272,0.000283003840262531,0.00656856473845775,0.000390273412608013,15,15,15,15,15,15,15,37.9436450840199,645.368375233261,1053.54720404782,9.48192483643037,38.2379163964101,2430899.71520659,76.2648807774588,0.00178055711248112,-4.66547399999999,93.280968216143,3968381,0.00062778092029687,0.00122683710826493,38.11496,1.30138627915942e-06,4.26972727820135e-06,9.04048542588187e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,1
0.64,5,0.787,0.399,89,1.37,0.164,35,0.968,0.04,16,0.921,0.699,3,1.02,0.85,228,0.878,0.844,1,1.16,3.12,7.73,45,27,0.0781313664671531,0.385320721360807,0.580064477587661,0.0463664630894202,0.494435367882122,0.299431389218178,0.0466421330022869,20294100.2593514,722506794.538678,2144705985.46107,16363682.9778111,1105281358.50539,15522018234.0768,16414263.9904821,0.000467686175600833,9.79272977145539e-05,0.00578579956055018,0.000191242321076866,7.12851251191824e-05,0.00595257877057005,0.000191798466611562,15,15,15,15,15,15,15,74.9977994015314,186.995053873415,2127.5183194112,19.1476648747008,71.2172003448333,638622.557890872,68.3062813363456,0.00102118367571318,1027.2,104.430997251975,7265867,0.00056919737060994,0.000840092765160747,52.76587,2.05429225330955e-07,5.52476844007943e-07,8.56637916539782e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.16,3,0.684,0.199,157,0.933,0.117,29,0.988,0.224,9,1.43,0.597,20,0.996,0.85,148,0.972,0.28,7,0.99,3.12,12.1,28,24,0.0306538759013803,0.259695866257284,0.419980858595964,0.0345688746885269,0.460107190790937,0.299243579530612,0.034629424494244,48653343.3031878,13489160597.0966,9036977913.79095,51976207.8030119,3162064663.53279,42095731873.1766,52023734.0258182,0.000822805310991642,0.000258655084275071,0.0147772786242692,0.0004365200680009,0.000300018089805064,0.0109449513540156,0.000436876978153452,15,15,15,15,15,15,15,74.1364185298535,35.4455910313607,1962.68087423773,17.6641278681396,70.46803321442,170235.489364209,66.2664168565043,0.00309446077937409,973.600000000003,104.440327162619,9426220,0.000800454463732842,0.00063389379365802,57.05033,1.20499805013256e-06,1.2657377164299e-06,0.000125082736661175,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.64,3,0.787,0.345,74,1.63,0.164,30,0.784,0.04,38,2,0.443,3,0.865,0.85,91,0.756,0.844,2,0.683,3.12,7.73,47,39,0.0827381212009661,0.418831047101033,0.580248513734846,0.0501276650917947,0.460924308826702,0.298471961963338,0.0502482589131647,49749718.3565631,912380833.276146,3738610439.82614,39904406.9172467,1016041681.4383,25310856021.6753,39957483.1204339,0.000454780273503499,8.13583552145291e-05,0.00956298119700214,0.000188423505827564,7.57541116846862e-05,0.00790875920874907,0.000188640786933032,15,15,15,15,15,15,15,82.8662074612548,226.492792892352,1251.34092676155,11.2620683408539,64.4965177147846,1402765.18836057,62.2220291215258,0.00237729356242849,971.800000000003,103.365882886291,7750081,0.00103223681016293,0.000965223056691509,66.25346,1.29106475188062e-07,1.88008338174062e-06,0.000244909424159778,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.64,6,0.787,0.399,134,1.09,0.164,35,0.923,0.04,12,0.921,0.699,3,1.02,0.85,228,0.78,0.85,1,1.41,3.12,7.6,43,33,0.0784908939481347,0.403112107022207,0.580014896239131,0.0465743719147573,0.476688259549444,0.299510473491556,0.0468100808896678,22139354.6329888,658934858.791387,1948540362.42106,17822647.5452483,981747058.667626,15728327235.706,17869884.6192756,0.000458233432803938,0.000102825993763015,0.00604274102839318,0.000187323242430848,7.51777410372384e-05,0.00577445279933759,0.000187787778458396,15,15,15,15,15,15,15,69.148072048617,130.383039462542,2141.01301915903,19.2691171724313,69.9174090856436,427495.921760501,67.4004356069009,0.00100931770853861,956.000000000003,103.430492440662,7019888,0.000546461568829175,0.0010519336137214,56.25833,2.35655093614065e-07,3.03599868689552e-07,6.05895117619104e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.423,6,0.8,0.399,139,1.08,0.164,36,0.904,0.184,17,1.14,0.647,7,1.03,0.85,228,0.94,0.85,1,1.2,3.12,7.55,39,50,0.0770123624152023,0.388892028646312,0.580114394350697,0.0462020843140622,0.490892457311447,0.29961057172538,0.0465027899223557,18796676.8044865,1286899522.50639,1487898111.16683,15221242.9192118,1067925145.41592,11621854136.806,15272498.8796326,0.000460392279244449,0.000122248619404279,0.00419216169933853,0.000188832993786707,7.13340895708468e-05,0.00396934880487291,0.000189433780276766,15,15,15,15,15,15,15,58.1371018125393,439.977186205053,4191.64247053012,37.724782234771,58.6630497802413,927281.257043086,69.1855497629382,0.00390891072501812,897.600000000002,103.9780880973,8834166,0.000351261113120125,0.00114599754888679,45.06402,9.26979169537497e-07,7.75576392983424e-07,6.77114880016094e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.583,3,0.762,0.7,204,0.987,0.08,29,0.988,0.04,20,0.964,0.675,45,0.996,0.85,144,0.821,0.28,12,0.733,3.12,12.1,25,15,0.0815809599450682,0.602082807579526,0.580808155311436,0.0498276776907196,0.27774172173519,0.298282381120255,0.0499689833938424,46386060.5618232,1339258854.58275,884287382.084848,37390485.1546846,2113899512.84043,53800838708.7678,37448515.5975447,0.000715294824960243,0.000111607055281601,0.00773885456622742,0.000297069430549704,0.000233985357876722,0.0100199640111398,0.000297472547033653,15,15,15,15,15,15,15,69.7713975599137,36.9917688077835,2107.89951591012,18.9710956431911,48.9780052532012,217291.374064069,67.0386266118273,0.0045944165765062,1029.8,101.718078809428,12381900,0.000979007767886405,0.00120857730461509,52.82542,6.71170682963184e-07,4.36583675042679e-06,0.000445719621052387,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.583,3,0.83,0.7,229,0.987,0.08,9,0.988,0.04,20,0.964,0.675,45,0.996,0.85,144,0.821,0.438,12,0.733,3.12,12.1,26,21,0.0816207035306644,0.57443666405696,0.580790760110251,0.0498288849633125,0.305391064423352,0.29647920957889,0.0499701919167669,46392767.4211621,1282257405.89238,846360124.188691,37390563.8324425,1217712677.02188,86436611358.4506,37448592.3097976,0.000715379075772386,0.000114651174015186,0.00819071739235836,0.000297068619882126,0.000210369918367316,0.00587329384196801,0.000297471720574386,15,15,15,15,15,15,15,69.9130298242615,35.6861854398278,2112.97663690983,19.0167897321885,53.1248192139412,211657.56210567,67.1771361848658,0.00445303369824362,1015.8,100.102751948956,12532230,0.00098851305949822,0.00141069586109182,49.18353,4.08920510842309e-07,4.2444384830706e-06,0.000431627880144614,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.583,3,0.83,0.7,229,1.01,0.08,9,0.988,0.04,20,0.964,0.675,45,0.942,0.85,144,0.821,0.438,12,0.733,3.12,12.1,28,51,0.0816316003701628,0.574478727722681,0.580779802718805,0.0498277381400776,0.305349127236462,0.296428451987064,0.0499692283696742,46384352.3138825,1281839754.34306,846540741.310904,37382088.1394128,1217219442.38644,86890387071.376,37440178.5488443,0.000715206233675155,0.000114600735914142,0.00838228201990749,0.000296983742695502,0.000210247104897066,0.00592744036808062,0.000297387260814369,15,15,15,15,15,15,15,69.8318568686179,16.8522419750465,2062.98024770782,18.5668222293704,53.1429437180567,102050.90059445,67.1068739102039,0.00441062786440118,863.600000000002,99.8716782212546,12492640,0.00100927125646506,0.00134823079645996,49.97793,3.37109190857575e-07,4.50149387165449e-06,0.000430076083583364,Fan_SMC_Pin_3,22,0.9,0.3,120,3
0.537,138,0.313,0.13,481,1.73,0.576,661,0.121,0.248,266,0.778,0.85,218,0.1,0.36,1,2.22,0.684,160,0.94,3.12,11.7,57,42,0.122401979653703,0.684394123188317,0.579938778957047,0.0759279118286438,0.195594438325699,0.299211536872212,0.0759372640810402,1482809530.61089,331509932.073875,8476001948.90042,1086996803.99401,120870608.366794,3299471559.28745,1087098241.6297,0.000479941430342389,0.000245884978617995,0.0424022744486052,0.000195952889889924,0.000269044970959125,0.0145424422848969,0.000195966121076774,15,15,-15,-8,15,-15,15,60.6300048074427,149.54877429272,1266.74683269535,11.4007214942581,59.5249122641294,2420757.69941594,63.5401364650722,0.00258448712149558,1005.6,92.6023103666195,20504930,0.0026978463613457,0.000415789241560659,44.71211,1.33847821697647e-07,2.08042135411701e-07,1.10461271821127e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,2
0.406,197,0.1,0.181,304,1.8,0.04,937,0.233,0.26,147,2.4,0.85,554,0.1,0.495,1,2.12,0.833,1,1.58,3.12,20,98,61,0.16235491747281,0.165266341307563,0.579962720229657,0.0986602716210127,0.713880802443705,0.299496298601862,0.0986698687176721,1335190276.1844,1424926892.48927,8607299278.06813,958524133.750125,2198050531.97534,58825916599.1123,958598083.649606,0.000647940987099685,0.000693870711712744,0.0464069158477532,0.00026621656388748,0.000221449274794278,0.0487998906394124,0.00026623090619415,15,15,-7,-12,-1,-15,11,70.113901985787,67.9358904338793,1445.02761247651,13.0052485122886,61.7508291647517,1338283.72978036,63.9031166689075,0.00118301915873589,963.200000000003,84.7111244134502,28465910,0.00328320254393095,0.00347914341180897,41.31386,9.73445189398381e-08,7.33535891117021e-07,3.32991198053745e-05,Fan_SMC_Pin_3,22,0.9,0.3,120,2
