CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,VDS0,VDS17,VDS5,VDS8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,gmid_offset0,gmid_offset17,gmid_offset5,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
9,0.813,7,0.481,0.701,15,0.148,0.85,19,0.1,0.37,30,0.997,15,8,0.423463868604133,0.0806382331545723,0.455397132232146,0.440382995114939,549165129.139932,362263197.289775,652410849.530216,638184049.984341,9.03247538088134e-05,0.000145382128978392,7.96294119600366e-05,0.000208027979867725,-7,0,-2,12,51.7692220105453,130.11724326553,276.487829076667,3359.32712328151,40.9947382977246,66669833.6545311,7.62600209808521,0.283766225022431,456.900000000002,45.868356098955,141667600,6.32571322177226e-05,0.00110168993698631,46.48882,0.283766225022431,3.53629678759793e-06,0.0004462916972095,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
8,0.85,23,0.1,0.734,18,0.18,0.85,30,0.1,0.575,27,1,17,13,0.420374713152225,0.07374384050207,0.39652741661869,0.473455668354984,563045714.175701,282666117.324663,502331250.021358,342862821.091872,7.93146995020564e-05,0.000139781897483929,8.86712119708481e-05,0.000171280441745163,-15,-1,-3,-15,54.8303193676977,105.887437418138,223.171955135582,2711.53925489733,45.2021320401853,48211218.6964545,8.27267308673563,0.270533259112138,415.300000000002,45.9634764794344,101611600,5.62106558939606e-05,0.00120924716168804,54.00191,0.270533259112138,4.28553013853472e-06,0.000669068944476436,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
8,0.57,28,0.1,0.776,16,0.482,0.85,19,0.1,0.538,19,0.954,18,29,0.357652639447145,0.0649320564818919,0.444195489224958,0.497632017423617,979595499.462926,162517610.023248,623871247.512097,471686072.758696,0.000102057358295681,0.000158139638646178,7.50862023508255e-05,0.000162421431228369,-15,4,0,-15,50.3189313613676,101.323694628378,233.482646329788,2836.81415290692,42.4557415910221,46453358.349393,8.79733823380686,0.278677805720046,370.900000000001,45.9503955484729,107043600,5.6600605942221e-05,0.000860848150574744,46.11528,0.278677805720046,3.86512863559452e-06,0.000680966135083727,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
9,0.85,7,0.593,0.775,13,0.281,0.85,17,0.1,0.573,30,0.997,21,30,0.409220662850663,0.0765444899025281,0.46834096140079,0.471373423568366,464656366.539469,238126152.008344,685270745.02539,347169859.144414,9.54536603673838e-05,0.000152308079762186,7.59623832630209e-05,0.000191978633747787,-7,7,-1,12,46.6895058538294,113.499451803461,227.910653468335,2769.11443964027,37.5114154485962,58140825.1308784,9.23099046690007,0.26342130442805,370.000000000001,45.9802035932515,116748700,6.32415358112646e-05,0.000860116884116725,48.89765,0.26342130442805,3.37581123269703e-06,0.000508417653410809,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
9,0.85,10,0.481,0.801,30,0.148,0.85,23,0.1,0.705,28,0.997,24,34,0.395264461768261,0.0709229159972065,0.43485159900767,0.493816306394062,433267512.577599,206961703.979613,600020093.038701,259816147.877496,0.00010104663595623,0.00016336659369883,8.63291240917511e-05,0.000180236185914862,-7,4,1,-6,50.3615495234341,105.235204815625,219.478008775863,2666.65780662674,42.2303220200797,53987521.169108,10.0436367915213,0.24926475375452,364.300000000001,46.0409011518362,112596100,6.33355166832025e-05,0.00166123729290854,46.0759,0.24926475375452,3.9043929564711e-06,0.000574464246322404,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
8,0.846,23,0.1,0.71,18,0.136,0.85,16,0.1,0.599,30,1,24,43,0.419791887999955,0.0760717897572422,0.461668322108577,0.468815428229199,567367891.664291,306090245.67868,668350046.339256,303381181.413503,7.94913635137647e-05,0.000136127100304959,6.92047176303543e-05,0.000172250315889703,-15,-1,-3,-15,46.0822972454887,115.851632532775,221.259181190447,2688.29905146393,37.3826507639482,52744470.4837423,8.14818752852436,0.26391724226596,353.300000000001,45.848976043125,100734000,5.62069163836951e-05,0.00115483549699243,55.28995,0.26391724226596,3.52380192053997e-06,0.000473138401167639,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
9,0.767,14,0.277,0.828,6,0.875,0.74,11,0.295,0.422,30,1,19,46,0.398857458712548,0.0732443516631539,0.413432225114591,0.455883620590293,560654747.534377,197522688.921901,651552997.545511,539915962.196507,9.92745685445995e-05,0.000157820150184817,9.53547144159429e-05,0.000204913514600352,-5,1,-7,15,57.2765639011488,129.571267806932,253.745851201708,3083.01209210076,46.990236026311,66389420.2072249,9.18406271755589,0.274305133357887,352.800000000001,46.0997144041335,130013700,6.32564985715361e-05,0.000600271668750643,46.02582,0.274305133357887,4.28493273082503e-06,0.00070583256600959,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
9,0.65,1,0.933,0.813,3,1,0.85,30,0.1,0.434,30,0.989,22,49,0.545803972203894,0.0834220112830045,0.406716471302764,0.447596541731229,1423861539.00437,265993500.050308,528218896.172806,520334057.221992,5.92461342766386e-05,0.000139055591728728,9.4934882701818e-05,0.000201897205311383,-6,15,-8,15,53.0134779289534,115.772680276861,260.134762649022,3160.63736618561,44.1710715746643,59011520.9847225,7.26485787885764,0.277761340926036,348.000000000001,46.2379579165159,132595600,6.2928256853469e-05,0.000567739812841939,49.57575,0.277761340926036,3.86644217036242e-06,0.000555435301367591,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
7,0.846,23,0.1,0.71,18,0.18,0.85,30,0.1,0.599,30,1,22,50,0.406750997741718,0.0709774721536666,0.384759120111381,0.467701799408445,533768924.858563,277036794.72787,472592746.817815,282571583.395433,7.32209585700082e-05,0.000126624664611245,8.15558034267427e-05,0.000154468679477987,-15,-1,-3,-15,57.2745327525355,100.981848396848,220.426135811714,2678.17755011233,46.6650740095441,40258274.2739679,8.52696898082783,0.266470276897167,346.700000000001,46.1865551828405,87876940,4.92183238540221e-05,0.00113929024746895,56.85972,0.266470276897167,4.4802144927425e-06,0.000709238255790612,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
9,0.85,1,0.639,0.601,18,0.148,0.85,24,0.1,0.37,30,0.981,21,46,0.678613197100101,0.0737692107108093,0.429643396834975,0.447288845250156,1023175551.71523,406910121.507675,586717413.109065,640053539.749952,4.07419665779915e-05,0.000156027515092844,8.74398153455449e-05,0.000205391365944956,-10,2,-2,12,46.9496002791909,84.0201608486104,262.94382628247,3194.76748933201,38.4830775984657,42805881.981707,6.43512610599046,0.284518760617346,342.900000000001,45.8296858343608,133962400,6.28977228142555e-05,0.0012467943091131,51.38696,0.284518760617346,3.97984979410154e-06,0.000582004189051522,"Cascode_Null_Pin_1",22,0.9,0.45,0.1,2
