RESISTOR_0,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av10,av17,av21,av23,av8,ft0,ft10,ft17,ft21,ft23,ft8,gm0,gm10,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.52,0.5,3,2.31,0.5,50,3.04,0.5,8,7.17,0.5,1,2.41,0.66,50,5.03,0.5,50,5,1.6,0.338,130,30,6,1000,267,1000,551,360,1000,872000000,308000000000,819000000,500000000,358000000000,85400000000,6.28318530717959e-06,0.000178,0.228,0.118,6.28318530717959e-06,0.000788,29.2652969126113,7.45927161358242,6.83562332310696,29174.7132163198,27.7525253698109,47010481.4254282,60.5927140834606,0.336342341136123,-13.7014614,92.3118685256461,43080070,0.00572935314729998,0.00098426043727101,63.79607,0.000120000001,7.20818700175552e-05,0.0105922711734829,"Leung_NMCNR_Pin_3",40,2.5,1.2,2,0
0.23,0.5,3,3.43,0.5,8,4.28,0.5,5,6.47,0.5,1,1.78,0.5,50,5.05,0.5,50,5,1.33,0.302453214603214,97.1,22,1,1000,305,1000,737,729,1000,872000000,308000000000,819000000,3650000000,311000000000,85400000000,6.28318530717959e-06,0.000178,0.193,6.28318530717959e-06,6.28318530717959e-06,0.000788,21.2505448971719,14.041174118467,6.66573161220573,2172966.4750169,19.8652040638594,66003295.3816048,54.5378451233902,0.0431339800938795,-39.7502525954449,74.278291003822,31333580,0.00427336028278025,0.000934898841361885,60.74239,1.06982272810008e-08,0.00038787726444968,0.0308702096942601,"Leung_NMCNR_Pin_3",40,2.5,1.2,2,0
0.52,0.5,3,2.98,0.5,25,2.91,0.5,5,5.69,0.5,1,2.05,0.66,50,5.03,0.5,50,5,1.43,0.338,117,30,42,1000,171,1000,959,360,1000,872000000,267000000000,819000000,1890000000,500000000000,85400000000,6.28318530717959e-06,0.000178,0.228,0.118,6.28318530717959e-06,0.000788,22.0280410924506,11.9475957800647,5.74419368326693,1982281.14894991,20.422444983561,67618865.6447191,58.4583355904015,0.0342819267589411,-34.6302792,81.784391717793,32509960,0.00514511012694481,0.00095166405389082,68.42435,9.08318926171915e-09,0.000462592768261,0.0270186945495749,"Leung_NMCNR_Pin_3",40,2.5,1.2,2,0
0.52,0.5,2,0.5,0.5,8,4.65,0.5,5,4.1,0.5,1,1.78,0.66,20,0.5,0.5,50,5,1.16,0.302453214603214,56,25,58,1000,305,1000,737,729,1000,954000000,308000000000,819000000,3500000000,179000000000,500000000,6.28318530717959e-06,0.000756,6.28318530717959e-06,0.567,0.000241,0.000788,28.5870867187749,20.9918814496829,11.4184416967209,140353512.456819,12.5331886952597,57440246.9645555,44.0242155035487,0.0238090601905665,-191.907146102985,68.2577750109588,31244370,0.00248755245958208,0.00119767158437775,48.27081,1.12820740792971e-08,0.00472815695571376,0.13323996011102,"Leung_NMCNR_Pin_3",40,2.5,1.2,2,0
0.23,0.5,3,9.46,0.5,8,4.28,0.5,5,8.06,0.5,1,1.78,0.615,50,5.08,0.5,50,5,1.33,0.302453214603214,97.1,26,37,1000,305,1000,737,729,1000,727000000,500000000000,819000000,3650000000,311000000000,74500000000,6.28318530717959e-06,0.000178,0.193,6.28318530717959e-06,6.28318530717959e-06,0.000788,17.5391131158566,14.4323893506105,6.79681681813716,28970153.3506247,16.82647927979,67804203.0398147,56.578189708605,0.0654453373658274,-112.837771945204,71.9638560799828,31931840,0.00427096186807365,0.00102592299841988,66.3125,9.14696264241979e-09,0.00127162992506438,0.0530093134315601,"Leung_NMCNR_Pin_3",40,2.5,1.2,2,0
0.23,0.5,3,3.01,0.5,8,4.28,0.5,6,6.47,0.5,1,1.78,0.5,50,5.08,0.5,50,5,1.33,0.302453214603214,97.1,29,36,1000,305,713,737,729,844,824000000,500000000000,619000000,3650000000,311000000000,18500000000,6.28318530717959e-06,0.000178,0.193,6.28318530717959e-06,6.28318530717959e-06,0.000674,23.0604363595472,13.964141123633,7.32753754397359,827528.364765719,21.6125274801051,65649193.1106596,54.6394230451137,0.0345349723305237,-37.5804396,75.7325159840502,34448730,0.00427388151678369,0.00097387754371003,57.84984,1.06680548098983e-08,0.00026912521466533,0.0247092292083171,"Leung_NMCNR_Pin_3",40,2.5,1.2,2,0
0.52,0.5,2,3.89,0.5,50,4.4,0.5,11,2.38,0.5,1,1.24,0.62,50,0.5,1.11,50,5,1.35,0.839,63.1,30,12,1000,1000,864,867,264,344,754000000,355000000000,955000000,880000000,244000000000,40200000000,6.28318530717959e-06,0.000247,0.475,0.628,0.00612,0.000629,25.4055461187891,17.4448286337107,12.2990323990917,37745.2989388766,24.3710825111462,53615055.2188936,56.5238976009263,0.0297566311183177,-24.1561386,100.295365530084,37799930,0.00279400619595169,0.000415213835903111,56.09656,1.03683835562932e-08,0.000171882499543206,0.01795171550966,"Leung_NMCNR_Pin_3",40,2.5,1.2,2,0
0.363,0.5,3,4.59,0.5,50,4.28,0.5,5,11.3,0.5,1,2.92,0.5,50,5.1,0.5,50,5,1.33,0.415,55.3,29,4,440,305,864,127,10,1000,872000000,282000000000,819000000,500000000,496000000000,470000000000,6.28318530717959e-06,0.000178,6.28318530717959e-06,6.28318530717959e-06,6.28318530717959e-06,0.000639,39.6995986393382,12.4852763448358,15.2436853321341,90.7962417650934,39.3222809469653,34055719.3216812,56.8039171184523,0.332313498951603,-16.672095,108.082094441867,41579750,0.002479700407328,0.00068640260418239,50.69237,0.000256000001,1.11310892771299e-05,0.00351892603618009,"Leung_NMCNR_Pin_3",40,2.5,1.2,2,0
