CAPACITOR_0,MOSFET_68_1_L_gm2_NMOS,MOSFET_68_1_M_gm2_NMOS,MOSFET_68_1_W_gm2_NMOS,CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,VDS0,VDS17,VDS5,VDS68,VDS8,ft0,ft17,ft5,ft68,ft8,gm0,gm17,gm5,gm68,gm8,gmid_offset0,gmid_offset17,gmid_offset5,gmid_offset68,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2,0.5,15,0.604,1,0.18,200,0.782,2.62,19,0.22,1,1,0.22,0.5,157,0.534,60,13,0.306063943667754,0.306063943667754,0.324405447864403,0.444793300316703,0.444793300316703,29531621.7401477,30337840.1521544,37569330.9289123,1538154959.86271,1538154959.86271,0.000124286490341843,4.23938892569609e-05,9.82041568980372e-05,0.00026502046504597,0.00026502046504597,5.82716636028446,6.66120539626851,6.99941292296563,6.90661476735426,7.55593203191115,64.1676184149786,42.2473717965773,185.596297230914,45.0999002271121,44.7823566004754,331624.811509562,50.6821980580953,0.00173369601373616,758.599999999999,65.1229971652826,1456856,4.84542978808255e-05,0.000130859236919104,48.75729,1.53740941780757e-06,2.27692081459505e-05,0.00100290382519191,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
2,0.5,15,0.802,1,0.18,200,1.08,2.22,20,0.22,1,1,0.22,0.5,104,0.491,45,21,0.30229761716073,0.30229761716073,0.320843318986006,0.439428206589021,0.439428206589021,39103398.932077,40198590.2977345,49557466.2391561,1445756610.79772,1445756610.79772,0.000145243588277055,4.95807457799575e-05,0.000115196453056961,0.000323964177784664,0.000323964177784664,6.07396316938208,6.91230027571296,7.19932517784656,2.05607263933253,7.70844356905054,56.354675042213,37.2236265440664,178.172842073791,43.2960006239312,43.4512316278896,301889.931224298,51.1364351514651,0.00201877000027701,741.199999999999,64.4709052063628,1445012,5.00627764404165e-05,0.000134565713972712,51.45479,1.34578938142682e-06,0.000217476003519237,0.000989635617478224,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
2,0.5,5,0.8,1,0.18,135,0.22,1.97,5,0.48,1,1,0.22,0.5,30,0.893,25,31,0.350929132847087,0.350929132847087,0.369664360453966,0.503390351796087,0.503390351796087,49511409.6977489,50873917.5199488,64112087.2211599,2136433111.43147,2136433111.43147,8.91521617248777e-05,3.04204908553451e-05,7.10673517714468e-05,0.00017608848085056,0.00017608848085056,5.29057854130494,6.11922735522737,6.6481453883888,0.181364504722795,7.22532674494191,66.3335467063816,80.0796300995373,197.009354746241,47.8732732033367,44.0524883695929,528543.955234824,47.7817329112287,0.00459828815427774,736.499999999999,64.6826991278369,1300307,4.07421588182539e-05,0.000153136808131213,46.74094,1.36595016870769e-06,3.04894640632325e-06,0.00144278541147658,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
2,0.5,5,0.8,1,0.18,135,0.22,2.34,5,0.22,1,1,0.22,0.5,25,0.764,29,35,0.377683217577324,0.377683217577324,0.400948724980557,0.503394193129872,0.503394193129872,61211637.3286013,63041721.744035,80222427.1977964,2136451615.43042,2136451615.43042,7.20594646539427e-05,2.46254963909927e-05,5.82363520429649e-05,0.00017609125937546,0.00017609125937546,2.97434003581732,0.156475239189119,4.26479309667719,5.37812161137641,6.02772235562385,66.173559754634,81.9157654910795,194.134323555159,47.1746406239036,44.1159990378999,538316.327719666,47.5428859031506,0.00491785066095426,730.899999999999,64.6694663617838,1275770,4.05653328714568e-05,0.000150310930147107,48.65948,2.71766288662654e-06,2.7493083597524e-06,0.00148948408868987,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
2,0.5,17,0.716,1,0.18,200,0.771,1.48,24,0.22,1,1,0.22,0.5,134,0.491,46,16,0.259290586506442,0.259290586506442,0.274604517655965,0.424607486515266,0.424607486515266,56676710.1489004,57959244.5227851,69837480.3785018,1313905887.83102,1313905887.83102,0.000147832370615432,5.02667957566484e-05,0.000114664251841713,0.000290388250512559,0.000290388250512559,8.03469586162218,8.84322468904376,8.91371500051083,6.03017083955329,8.37837831330817,63.1903502557214,42.0247665032919,185.351485814668,45.0404110529642,43.3656879768004,333997.515112983,50.2699592201943,0.00213726667725438,728.499999999999,64.4547975123829,1473106,4.90594767752364e-05,0.000135477798166594,52.0206,1.16097708329058e-06,2.48541350792947e-05,0.00115683545360401,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
2,0.5,5,0.8,1,0.18,200,0.22,2.34,6,0.22,1,1,0.22,0.5,31,0.666,33,44,0.366245846916917,0.366245846916917,0.388582188709105,0.507527117941668,0.507527117941668,57044122.29927,58700581.0605529,74424254.5951897,2182657511.74821,2182657511.74821,7.87495343937701e-05,2.68942253161844e-05,6.34215038860923e-05,0.000180824497777957,0.000180824497777957,4.36997460710559,1.94760178699052,7.34947012819571,-0.263147631023648,7.58543392148185,65.8403743224376,73.2144644443674,188.037893827036,45.6932081999696,43.980121570482,490465.312866508,47.812839279842,0.00414708175780877,701.8,64.4165913683671,1259670,4.13519880620082e-05,0.00014514170211885,49.65921,1.50904597782824e-06,7.15801604336847e-06,0.00139412389256061,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
2,0.5,5,0.8,1,0.18,200,0.22,2.34,5,0.294,1,1,0.22,0.5,25,0.764,34,54,0.378047258499761,0.378047258499761,0.400401952691666,0.507529622400591,0.507529622400591,52629078.8412217,54198667.8075161,69222264.3627944,2182669450.1913,2182669450.1913,7.88022230955231e-05,2.69295166210119e-05,6.37685201003991e-05,0.00018082630286865,0.00018082630286865,3.49470789694396,4.32743495209715,4.85763871404359,-0.712892637222485,7.63649000170879,65.9298391737793,73.2411669213433,187.671015075991,45.6040566634659,43.9568586342501,488482.807683355,47.8223650607119,0.00428365808108455,679,64.4138223245308,1251674,4.11698242955676e-05,0.000146308096475373,49.86476,1.59967703314428e-06,7.14012931560537e-06,0.00143213252757751,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
2,0.5,15,0.802,1,0.18,200,1.08,2.22,20,0.22,1,1,0.22,0.5,108,0.491,52,40,0.302297617160732,0.302297617160732,0.320825321547309,0.439428459116787,0.439428459116787,39108614.3503522,40198590.2977332,49548599.3413593,1445757996.41726,1445757996.41726,0.000145260312909119,4.95807457799563e-05,0.000115167275647528,0.000323964711905431,0.000323964711905431,6.07461916430371,6.91230027571267,7.20015689548376,7.3581941026579,8.11181949557172,56.3830371560274,37.3805515379664,178.669299451193,43.4166397666399,43.4879339014591,303168.194428164,51.1556350757177,0.00206723289460505,662.4,64.5090804488106,1449065,5.00636970452542e-05,0.000134257956631362,51.34895,1.43031576273304e-06,0.000215932486149231,0.000986576262584582,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
2,0.5,27,1.31,2,0.18,100,1.99,2.28,18,0.521,1,1,0.403,0.5,102,1.5,100,2,0.331384969003578,0.331384969003578,0.350112000330165,0.405648635137648,0.405648635137648,30896688.8512623,31815502.1145693,39531972.493925,1040068760.70935,1040068760.70935,0.000236223797748355,8.07536808749176e-05,0.000187792660965308,0.000629664266026063,0.000629664266026063,6.06258793574306,6.90182663751132,7.31503179357663,7.57130792445701,8.57256629771751,59.8646909509583,40.1620486804041,194.028001280526,47.148804311168,45.1107605408439,631293.964294462,52.7799571807329,0.00122677147958415,856.599999999999,67.1950785188546,3049862,9.70288232509088e-05,0.000123975022130364,47.25076,9.22807946996545e-07,1.21115923383508e-05,0.000512155392322189,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
2,0.5,27,1.31,2,0.18,100,2.44,2.28,18,0.521,1,1,0.403,0.5,102,1.5,100,15,0.334385164810849,0.334385164810849,0.353403774504527,0.408734378155084,0.408734378155084,31704223.3278004,32644161.5680729,40596417.2498143,1070454345.27948,1070454345.27948,0.000244605759289783,8.3610933017307e-05,0.000194797924817806,0.00065258300482665,0.00065258300482665,5.94472995814617,6.78338249246205,7.20787446962882,8.04620742262832,8.24208163680068,57.6343085692439,35.5208524062644,190.082505376536,46.1900488064983,44.8491340099713,565510.379764466,53.3902976204479,0.00129413838428365,767.499999999999,66.976218408211,3026212,9.82748041470218e-05,0.00012365769164766,46.43479,8.63089087949387e-07,4.90070738902487e-05,0.0005225303351859,"Cascode_Miller_Pin_2",180,1.8,0.4,10,2
