CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,av0,av17,av5,av8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
7.75,0.171,11,1.96,2.1,1,0.408,0.381,1,1.4,0.62,14,2.3,24,58,38.1537791630659,4.2113949278183,42.8929089824998,77.5002775253388,1029159246.01788,190286858.502407,2096171683.51881,220960288.034139,0.000156688600813408,4.59532876871198e-05,6.86127381443838e-05,0.000178196025501229,45.0722830304026,25.5322098935707,126.97499405407,154.071686971172,35.6996811428739,16751800.8250706,8.74565492115942,0.0955793044769506,-16.5242088,20.8844430927516,83308880,5.96458743855464e-05,0.000288455375576004,53.82871,3.75852957874298e-09,6.0412584963723e-05,0.00611132805682857,"Cascode_Null_Pin_1",65,1.2,0.4,0.1,0
5.73,1.04,2,1.56,2.1,1,0.693,0.4,1,1.09,0.0931,6,2.57,44,11,60.590428708961,5.8241288897402,44.5126521866945,20.4293336904799,261110375.883103,124406519.792803,1837349474.36326,1527142719.54596,4.86389400832439e-05,4.70251003452268e-05,4.85312243638842e-05,0.000116725245933443,63.7355480436264,36.4906966299836,226.258331149868,3.67986904919972,38.4498076312979,16373599.241569,6.315750470055,0.071709375251341,2014,34.9887275763846,101523500,4.07914663031602e-05,0.000406259610235769,50.66041,5.57268649930794e-09,1.56159510081919e-05,0.00421349355252115,"Cascode_Null_Pin_1",65,1.2,0.4,0.1,0
9.23,0.271,1,1.15,2.1,1,0.856,0.256,1,0.12,0.5,6,1.96,19,7,38.9585458589596,6.00006923287662,21.8323655707374,75.2623322764704,3897547206.12897,144044087.781308,11650262327.2886,535022316.250828,7.63049117203308e-05,6.8323116622898e-05,3.02409913226567e-05,0.000146801975452679,21.2511467743125,68.8488677542638,124.111389788147,84265.9740193971,11.6867801398876,49744783.0332748,5.18631275570612,0.0690615727591758,-22.6480493790784,30.5298870974239,89673140,6.56837672213559e-05,0.000360342118363784,50.92404,4.45673235910415e-09,0.00022600289388409,0.0343053006735121,"Cascode_Null_Pin_1",65,1.2,0.4,0.1,0
