MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_2_2_L_LOAD2_PMOS,MOSFET_2_2_M_LOAD2_PMOS,MOSFET_2_2_W_LOAD2_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CURRENT_0_BIAS,gen,index,av0,av2,av3,av5,av7,ft0,ft2,ft3,ft5,ft7,gm0,gm2,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
10,50,5,10,50,5,10,11,4.78,2,50,5,10,50,5,1.44,0,20,298,696,47,916,862,1000000,1000000,1000000,1000000,1000000,0.00458,0.00423,6.77e-06,4.93e-06,0.00297,116.405344131657,0.890027554021695,50.4999854096802,0.00296185754787439,58.8680004683847,1000,109.779779558897,0.494742691515845,0.988155460275612,59.0233589792452,56739.8,5.1070941847984e-06,5.40343199428137e-05,77.12263,3.67080401388522e-07,1.45249797738001e-06,0.00115175794117395,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,0
10,50,5,10,50,5,10,8,4.49,2,50,5,10,50,5,2,4,53,416,106,61,937,724,1000000,1000000,1000000,1000000,1000000,0.00434,0.00372,9.34e-06,8.16e-06,0.00192,107.510562692089,47.0302077780653,40.0444196565349,0.0107258951987423,56.9829071215615,73331.7207034757,108.25155888023,0.0362409520435865,-37.1852415,56.9835587443004,62439.15,7.08748736068903e-06,6.10440666204093e-05,78.89742,6.21178749934167e-06,2.1067613102399e-06,0.00143338070188603,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,0
10,50,5,1,50,5,10,9,4.56,2,50,5,10,50,5,1.64,4,55,765,799,291,1000,624,1000000,1000000,1000000,1000000,1000000,0.00529,0.000605,8.82e-06,6.34e-06,0.00184,96.9954356998144,52.3537231237877,47.1939501462738,0.198824751612116,48.9857248497003,66991.0713090649,85.5616736629199,0.0382602457025176,-39.215187,49.4060336741805,60388.7,5.81629827675621e-06,5.95554541699662e-05,85.81596,7.63262167980359e-06,7.10952814760524e-06,0.004373216167467,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,0
10,50,5,10,42,4.58,10,3,4.8,10,25,4.96,10,50,5,16.7,12,60,1000,806,89,10,1000,10000000,10000000,10000000,10000000,10000000,0.0588,6.09e-05,3.66e-05,0.00022,0.0302,75.7851239415193,98.856272520361,20.1599892200981,0.272578371708198,53.7108154381184,2543079.95113227,107.773837270462,0.0306076301300802,-49.4306142,52.54952929378,518616.2,0.000116931925801144,0.000133861636205296,44.19381,2.17218465682038e-07,1.47750661178447e-06,0.00155340551172611,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,1
10,50,5,10,5,4.6,10,8,4.39,10,7,4.5,10,50,5,19,11,46,623,10,10,366,927,10000000,10000000,10000000,10000000,10000000,0.0628,6.09e-05,9.29e-05,4.96e-05,0.0237,21.6117118093495,78.9655932474196,27.6801570233163,34043660.0101195,9.95427141022252,6169074.95079192,82.4160178606077,0.0926858711583628,-128.381765278795,22.7380244288476,2162473,0.000355107188120102,0.000169336731130441,15.68235,1.29315738575216e-07,0.00103704726733587,0.0768360701806519,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,1
10,50,5,10,50,5,10,8,4.78,2,50,5,10,50,5,1.63,3,32,183,1000,427,1000,79,1000000,1000000,1000000,1000000,1000000,0.00417,0.00125,7.41e-06,6.63e-06,0.00525,111.312167214104,55.0464575021347,44.1644470032397,0.00542654793968224,57.6413232946264,70003.1567709097,108.465662769376,0.0309808564632978,-43.3972539,57.7212598178693,56164.39,5.78050217179114e-06,5.83149423965001e-05,78.3939,6.60814807492475e-06,1.57407797362508e-06,0.00132974161903698,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,0
10,1,0.5,10,1,0.5,10,8,4.7,10,7,4.89,10,50,5,1.88,1,12,1000,663,10,777,10,1000000,1000000,1000000,1000000,1000000,6.28318530717959e-08,6.28318530717959e-08,9.18e-06,6.64e-06,0.00383,11.9542219753368,64.5387577497382,86.0793653335748,1159368.55862029,16.4409055650346,229907.074174506,62.8617530776863,0.163219834277218,-98.6496289495281,32.6640953779033,306641.4,1.61923190308525e-05,0.000100173959301089,34.75144,3.57344326378252e-06,0.000503030560657415,0.129710165623866,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,0
10,50,5,1,50,5,10,8,4.79,10,10,4.58,10,5,4.3,1.53,4,33,970,891,10,244,666,1000000,1000000,1000000,1000000,1000000,0.00513,0.00501,7.48e-06,5.72e-06,3.52e-06,100.759350505834,65.3294117763894,84.9116074137951,0.109628408163426,49.9184430257473,87174.14453977,69.9814261072179,0.0356731771613679,230,50.3013082020732,113304.2,6.06535556910702e-06,6.07853788498854e-05,85.34432,4.93191065032455e-06,6.62710382334009e-06,0.00386703654960208,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,0
10,50,5,1,50,5,10,10,4.98,10,10,4.61,10,5,4.3,1.83,4,27,580,891,345,851,120,1000000,1000000,1000000,1000000,1000000,0.00371,0.00501,8.85e-06,7.02e-06,3.52e-06,101.937038547592,71.4069718376245,85.8333771290647,0.0974724018226921,50.2977572909879,113771.713463066,71.6449579523919,0.0307696681024179,255,50.6523871501929,136757.1,7.24220813173258e-06,5.88621347396023e-05,84.92999,4.10774814611505e-06,6.18241759304028e-06,0.00368988096227207,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,0
10,50,5,1,50,5,10,11,4.59,10,9,4.54,10,5,4.3,1.87,2,7,580,891,345,300,605,1000000,1000000,1000000,1000000,1000000,0.00513,0.00501,8.88e-06,7.48e-06,3.52e-06,102.210402620049,78.6030329261406,93.4073961789585,0.091472384881502,50.3900303676031,131801.126416904,71.0070419043069,0.035571537805651,279,50.7213664488529,156625,7.62179278413707e-06,5.92099924688111e-05,84.49645,2.9499311492043e-06,6.01785334390481e-06,0.00363871566992602,"PseudoTwoSt_Null_Pin_1",40,2.5,1.2,10,0
