MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,VDS0,VDS3,VDS5,VDS7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,gmid_offset0,gmid_offset3,gmid_offset5,gmid_offset7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.52,16,0.99,0.32,5,0.82,0.4,21,0.96,2.5,0.16,3,0.69,11.6,39,10,34,0.509195609886272,0.901525131940145,0.506601613191158,0.80399703493168,1583351314.45785,5754649523.30107,25919630300.9481,9173483767.88799,0.000370867355630803,0.000255090138445959,0.000371338014317551,0.0026244320353512,-6,-4,-11,1,36.9028207459273,334.725622917108,1057.11804787767,269.565102208806,37.0373905379942,25468648.1508425,52.9158501774279,0.137851756001502,348.650000000001,46.1501346937981,80434140,0.000447577260600088,0.000446358557492816,93.15506,0.137851756001502,1.82636989620022e-05,0.00333948183808497,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
0.15,2,0.9,0.623,36,1.02,0.211,8,1.08,2.5,0.15,1,0.89,7.21,16,15,43,0.491511003841073,0.677228777810364,0.512836639157762,0.799689144972539,14542102580.7281,624632891.472332,28646540576.2002,21055767611.1327,0.000149041004154744,0.000282133234187082,0.000168049074544037,0.00150872736633203,2,2,-9,7,53.004583843155,245.945633217909,852.565317291067,217.404155909222,60.2854724096113,9047624.99297529,52.9779497527037,0.000586516386436588,325.300000000001,47.3735830734223,31363400,0.000216394667356975,0.000239767853885536,105.9737,9.3782174920916e-08,5.67339351509322e-07,0.000179783422899593,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
1,12,1.16,0.298,50,1.3,1,50,1.5,2.5,1,5,1.78,5.97,13,19,60,0.482324114836177,0.710506318143397,0.399583122388408,0.799591344659909,396527206.440322,892615894.469481,796011453.187856,804630826.33216,0.000139510628393621,0.000297283625955266,0.000185920541934506,0.00153799400662025,-15,10,-5,-2,74.1810643053139,312.37070232377,1193.81089351431,304.421777846148,88.3922448036206,7815620.01342481,53.8313105915136,0.000545465743327346,304.300000000001,64.7083466821332,29869550,0.000147178448654366,9.87190787701927e-05,73.2895,7.69529208574605e-08,2.25797642167458e-06,0.000245709614503209,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
0.4,9,0.98,1,50,0.93,0.15,9,0.857,2.5,1,2,0.53,6.85,18,12,58,0.466677079613467,0.541128390603855,0.668435152552267,0.796527885806977,2135067706.4206,280163782.336932,2651095065.04293,30544798608.0119,0.000208477169322637,0.000273734902430438,9.97559753365377e-05,0.001514264846208,-14,-14,-11,13,58.8657134096721,297.79192214639,832.900285066769,212.389572692026,69.2875866453859,10790393.1101521,53.4467487317985,0.00428450801616385,279.7,57.3814998662177,30179870,0.000213145139030169,0.000112599885280768,102.776,9.49395676746431e-08,1.86486857261614e-05,0.00199970075581601,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
1,21,0.97,0.44,38,0.99,0.15,3,0.99,2.5,1,15,0.95,4.47,43,0,58,0.57,0.785,0.447,0.808,552000000,1470000000,1100000000,59700000000,0.000326,0.000581,0.000459,0.00135,-15,5,-11,-15,44.7142949415603,288.001438978779,504.275249841738,128.590188709643,72.9273678692267,23615272.4612212,53.1720894831113,0.18640830645828,1.73220028710792,53.2987784783861,41349090,0.000482335671347753,9.82356623528418e-05,91.58029,0.18640830645828,4.07234254947553e-05,0.00889485366523568,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
1,21,1.23,0.755,50,0.478,1,50,2,2.5,1,6,2,3.344,25,15,38,0.486286632505805,0.826190657009523,0.425633038108837,0.799617707230124,403118048.620728,636154390.941612,950142270.577591,968024057.008143,0.000264669350861116,0.000291959581838674,0.000315423314864728,0.00262185235159912,12,0,2,0,71.6169175227902,291.993887654065,463.437462692956,118.176552986704,74.721978776042,14022619.5052294,54.0845541721479,0.000544024314164384,338.800000000001,62.8250435868504,22255970,0.000282492204724876,0.000115886757459018,96.83374,5.964922287203e-08,2.1810645366821e-06,0.000213537497141147,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
0.23,1,1.36,0.578,49,1.04,0.852,14,2,2.5,1,2,1.21,4.29,16,15,45,0.59451361054616,0.62382641248138,0.538786192738545,0.798802715811671,9620499463.93904,575178381.72644,1694258514.92222,1880928997.97719,0.000108817537614165,0.000300259998083598,0.000131640949539626,0.00136047536068629,-12,12,-2,-3,60.5616307404073,264.24816144268,598.002925327632,152.490745958546,63.7242317391758,8559963.57640283,53.2153038138466,0.00157047595495967,316.300000000001,62.1414167482533,19371500,0.000190550907318002,9.33625652208182e-05,90.54243,6.02635508741272e-08,5.64227604655465e-06,0.000762966718696911,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
0.402,5,0.339,0.362,21,1.93,0.897,20,2,2.5,1,7,0.753,8.39,10,23,62,0.561159265761569,0.723545647647423,0.411174097560054,0.799977311613412,3264501513.83021,867566938.082825,894118664.47315,1149975249.15167,7.50364096631418e-05,0.000218839279468505,0.000130950532612427,0.00110749871683538,15,-11,-5,15,68.5346520765408,315.840164940892,1172.80422607291,299.065077648593,71.4831229068655,6219895.94592485,53.3000666978945,0.000440157451756251,295.3,63.0416064513177,23096240,0.00011584221157613,0.000102533902695528,88.31231,1.09705852585889e-07,1.08530611458491e-06,9.72826731721055e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
0.402,1,0.784,1,50,2,1,36,0.88,2.5,1,6,0.586,7,8,17,37,0.662857817573531,0.709033615803675,0.420232497492248,0.799762610250233,4093833118.21291,133444620.809106,971435235.521292,960128334.638345,4.44229437981734e-05,0.000172771162095296,9.78858835778255e-05,0.000836509859030828,-8,-9,-12,3,68.4542781368249,296.814712208075,729.020003925593,185.900101001026,70.1690123887035,4594463.88353832,54.7405440966748,0.000438400115059039,349.200000000001,65.9419415304175,11284670,9.10543077107126e-05,9.33811082353909e-05,88.32607,1.07973095234007e-07,1.87171385964802e-06,8.85066388376377e-05,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
0.986,15,0.576,1,50,1.48,0.956,22,1.44,2.5,0.908,7,0.519,10.1,8,25,46,0.471596701449263,0.732251526975553,0.409277167094986,0.800035303005934,394332322.002964,157028631.693921,1099591315.34687,1032052097.51382,8.61633365150067e-05,0.000164556027209276,0.00010317966695594,0.000846762819370316,-11,-7,-2,-5,79.340939704648,313.818409260215,1008.66484604761,257.209535742141,89.3463644350825,4833631.51517773,54.4646917553014,0.000282470262710267,323.400000000001,66.2430814984685,15536100,9.06037559329176e-05,0.000105002783671314,89.79697,1.326237277787e-07,6.92918786630026e-07,0.000109589786168263,"TwoStFixIRatio_SMCNR_Pin_2",22,1.8,0.8,10,0
