RESISTOR_0,MOSFET_15_1_L_EXTCM_NMOS,MOSFET_15_1_M_EXTCM_NMOS,MOSFET_15_1_W_EXTCM_NMOS,MOSFET_16_1_L_EXTCM_PMOS,MOSFET_16_1_M_EXTCM_PMOS,MOSFET_16_1_W_EXTCM_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_19_7_L_gm1_NMOS,MOSFET_19_7_M_gm1_NMOS,MOSFET_19_7_W_gm1_NMOS,MOSFET_28_1_L_gm2_PMOS,MOSFET_28_1_M_gm2_PMOS,MOSFET_28_1_W_gm2_PMOS,MOSFET_29_1_L_gm2_NMOS,MOSFET_29_1_M_gm2_NMOS,MOSFET_29_1_W_gm2_NMOS,MOSFET_4_1_L_gm1_PMOS,MOSFET_4_1_M_gm1_PMOS,MOSFET_4_1_W_gm1_PMOS,CAPACITOR_0,CURRENT_0_BIAS,gen,index,av0,av15,av16,av17,av19,av28,av29,av4,ft0,ft15,ft16,ft17,ft19,ft28,ft29,ft4,gm0,gm15,gm16,gm17,gm19,gm28,gm29,gm4,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.01181838,1.85598,2,8,0.4,1,10,0.4,2,2,3.056076,13,6,0.4,17,4,0.4,5,10,1.889459,30,10,0.4,17,10,0.8626105,107.2073,56,19,17.11561,128.7905,387.8627,16.87484,111.3222,452.4687,657.7984,45.62256,3779429000,80000000,80000000,91482560,3881646000,102229100,113968400,3513684000,0.0009448351,0.0006127621,1.00531e-05,0.0005222432,0.00177844,0.03972671,0.01115543,0.00171147,95.3213040653856,23.6006216860599,34.3878173951666,295.139146488671,94.8966733746304,83711824.9343856,59.1590466657467,0.0385351826605796,544.5,99.2502562771178,121974200,0.00221688611766082,0.000156639358507701,47.79135,1.13280809814058e-08,0.637491414868893,4.74730766150677e-05,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.008217983,5.188516,1,10,2.4,50,10,0.4,1,2,8.044131,4,9,2.036201,4,10,0.4,50,2,10.56027,44,9,3.643537,4,5,0.1507084,55.85809,21,22,71.51232,989.8591,682.0588,17.29527,920.5828,658.4112,1056.269,1005.107,2231699000,26661420000,68941260000,140014900,144139500,21933060000,2160059000,94754690,0.0001570272,1.00534e-05,0.007664958,0.0004503497,0.0008205146,0.0002707041,0.003817515,0.000257707,56.5597407152335,27.7221390462852,39.5718001781501,453393.434173016,56.7882286341496,59438073.8345598,91.1835656766887,0.0393829157535655,-94.7050647214387,84.7601187062424,84844520,0.00134004075531747,0.000270412446825807,24.56311,1.2262185235613e-08,5.60683098591361,0.000609395921652989,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,19.16147,1,7,2.4,50,10,0.4,1,8,2.4,2,5,0.8,5,4,0.4,50,10,7.377561,50,10,2.8,5,9,0.6679782,128.3613,18,0,16.80215,994.8363,1254.426,86.95834,554.7009,455.284,930.8372,910.1332,1274800000,99598800000,80026280,538760800,43315800000,42689420000,84239140,109085800,0.0004827928,1.49415e-05,1.032047e-05,0.0005407147,0.0003563444,0.1164049,0.01501062,0.0002949209,75.9441327910281,4.91973103048497,10.027619794338,5290.78929990519,76.233919991993,26174334.3220774,79.8871957813015,0.0675840754362657,-46.1837772,104.472877653224,53349720,0.0033251734393467,0.000157152889718019,50.46127,2.72989163613411e-08,3.60555556429094,3.00144048644979e-05,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,5.6,2,8,0.4,1,10,0.4,2,6,3.056076,2,6,0.4,10,5,0.4,5,10,13.94604,50,10,0.4,5,10,0.8626105,136.4011,25,0,16.69416,1006.577,72.66107,60.75357,210.6968,711.1529,933.3071,261.5128,1596785000,80008510,80000000,114693200,15282540000,31277870000,81049010,2010399000,0.0005811637,0.01269529,0.02310334,0.0005427593,0.0009688805,0.0002910599,0.006711622,0.0007759463,101.665679491996,16.3413068609247,22.5800993838487,5859.43092065815,87.7155799275673,75077480.8258389,92.0930953899368,0.0468661959076642,398.5,100.365602890633,103740600,0.00287146101076852,0.000157437551491095,48.14807,9.92770171483896e-09,0.864451281925262,0.000489339240023812,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,5.6,2,8,0.4,1,10,0.4,2,6,3.056076,2,6,0.4,10,6,0.4,5,10,13.94604,50,10,0.4,7,10,0.8626105,136.4011,29,0,16.69416,1007.237,79.63873,41.55357,157.0965,735.9529,1059.703,205.9664,2017079000,80006090,80000000,135851400,11223940000,20019790000,81049270,2412695000,0.0007388559,0.008124995,0.01478614,0.0005690863,0.001315716,0.0004561227,0.00696449,0.001076692,102.607082747675,16.8742732025736,23.4566935977938,3574.37466302437,88.5691772754633,77622382.9099559,92.2883428093711,0.0500105400076248,445.5,101.109325036737,107901800,0.00287502689664425,0.000155777650862868,46.63702,9.37631039191103e-09,0.682714978781264,0.000410100443796801,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,0.4,3,8,0.4,1,3,0.4,2,3,3.126616,10,4,0.4,9,3,0.4,8,10,3.051374,42,10,0.4,6,10,0.6774304,109.6711,63,0,16.95329,298.7219,119.1993,16.97618,61.08939,322.7745,358.7263,136.0042,2711914000,80001280,80000000,158968600,7799172000,1041116000,93379640,2277110000,0.001330842,1.005326e-05,6.168576e-05,0.0004917457,0.001618367,0.01433441,0.01202349,0.001706042,108.14478785058,15.6412293793803,21.9744885100902,335.20170518708,105.123190889237,79976979.8795996,55.2845029425064,0.0299058194140119,639.5,115.494498793232,112360300,0.00319575982247569,0.000185170056454324,45.19543,1.15542186765749e-08,0.674233547940409,6.1411295492253e-05,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.00766479,0.4,2,8,0.4,1,10,0.4,3,3,3.056076,6,6,0.4,10,5,0.4,9,10,7.270195,50,10,0.4,8,10,0.8626105,118.7265,44,0,16.76894,140.9027,306.6694,17.00854,83.46589,748.2911,1020.44,85.13089,2790098000,80000240,80000000,189914300,1905953000,4387702000,82820620,2536634000,0.0008308099,0.001678929,0.008696096,0.0009381111,0.001719574,0.02268813,0.008015922,0.001472821,103.79580680417,14.236689422594,19.4561960957982,192.902715688509,99.3844445022308,76396601.1918795,74.7786721629236,0.0442396922239503,653.5,112.025529387627,104405400,0.00335386088209155,0.000164737804401017,48.98297,1.1796790732749e-08,0.297533339312911,6.40495844998479e-05,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,0.4,2,8,0.4,1,3,0.4,2,3,3.126616,10,4,0.4,7,5,0.4,12,10,0.8447284,28,10,0.4,8,10,0.6774304,109.6711,53,0,16.89127,516.1437,439.3867,23.38346,87.30212,365.9368,508.9335,253.2579,2528080000,80000180,80000000,226762100,4550240000,3104518000,396924200,2886588000,0.0009546227,0.000812416,0.00012048,0.0009619552,0.001517259,0.0006722036,0.01736081,0.001857107,112.088684858912,15.8434121487737,21.1175941198843,166.318408030431,105.990512042982,84415694.48233,45.3268478674615,0.0395584081913263,646.5,115.204316860115,112517200,0.00333007868229572,0.00015447723668663,54.60899,1.1658371203262e-08,0.717692651451993,3.58052999143155e-05,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.008217983,5.6,2,10,2.4,50,10,0.4,1,10,8.044131,4,9,2.036201,4,10,0.4,50,2,10.56027,44,9,3.643537,4,5,0.1507084,55.85809,17,0,150.2037,962.3177,1255.517,21.27977,963.1514,515.6446,1044.281,422.2109,2159821000,52073070000,80043730,258181600,172538800000,42832140000,4211973000,98149080,0.00045091,1.005455e-05,0.01488222,0.0003731011,0.0002299418,0.0001047597,0.01025404,0.0003698208,76.2900635007362,28.897900300301,31.5592508124895,10727.1436478965,77.000538340732,62059558.436184,91.6523730708322,0.0401120801207117,-60.7435928,108.240638450052,67774930,0.00134221599561027,0.000284532385168859,34.34236,1.4104780249091e-08,4.43265126420931,8.43655444105473e-05,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.008217983,5.6,2,10,2.4,50,10,0.4,1,10,8.044131,3,6,2.036201,4,9,0.4,50,2,10.56027,44,9,0.4,4,5,0.1507084,55.85809,16,0,102.9423,948.3617,1272.264,85.62431,966.8822,430.2374,992.5266,256.9681,1662117000,65091340000,80000000,318524700,122920600000,53538540000,5263132000,5303463000,0.0004161139,1.013183e-05,0.01860221,0.0003587532,0.0001542613,0.0001005537,0.01139168,0.0004247727,113.923599151879,25.4162873254635,32.1505560146349,219.813494781766,88.5976678275701,61539332.9244332,85.2332834960322,0.0417549986688356,-62.17397395,117.314879724917,77844720,0.0015132848706521,0.00032545597083906,30.20774,1.23258083400091e-08,0.340877551990631,6.4788177049413e-05,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,1.36855,2,8,0.4,1,3,0.4,3,2,2.837542,10,4,0.4,12,3,0.4,9,10,0.8447284,28,10,0.4,7,10,0.6774304,109.6711,60,0,16.97704,432.7049,136.7063,16.93674,92.25367,197.3511,415.2986,134.8962,2767617000,80000010,80000000,103104100,4759833000,2112143000,460508900,3104846000,0.001440579,1.00531e-05,7.71072e-05,0.00096354,0.001512097,0.0008968976,0.01923277,0.002037391,112.966121933268,22.1759266937856,26.3776801188008,51.4284548421291,95.9048523055701,94296499.5305844,44.4508629567526,0.0420514524722207,650.5,113.945424011706,112163200,0.00265762567762866,0.000157678796003612,55.98182,1.0310131273092e-08,0.526051472667726,1.50613775479758e-05,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
0.005,5.6,2,8,0.4,50,10,0.4,2,6,3.056076,2,6,0.4,10,5,0.4,5,10,12.51801,50,10,0.4,5,10,0.3426356,55.85809,19,0,16.53021,1010.727,63.37288,57.89368,615.561,672.5574,727.9209,345.5374,1496399000,47525060000,80000000,106520500,21826830000,48868900000,80845860,1502686000,0.0004503795,0.01983639,0.03609898,0.0005631727,0.0006951995,0.0001036033,0.006973946,0.0006264903,107.388127441287,20.4950718765844,38.4599733097106,954.377553239578,82.9435712132302,42230519.2495953,86.0050612022339,0.0464541282653922,-27.3926697,105.808483762973,79247570,0.00128782541920003,0.000200759393700655,41.88738,1.66060668896509e-08,1.1334189240311,0.000103007498004015,"R2R_SMCNR_PNin_2",65,3.3,1.6,2,0
