MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,av0,av3,av5,av7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1.36,8,1.63,0.06,1,1.13,0.06,6,2.55,1.44,3.39,4,2.5,0.09,20.3,30,15,70.3259710448288,6.61398726242706,104.829345554878,7.1963277521881,157361710.558179,27447352694.5723,73616389.8474969,29018502655.8062,0.00016202732550309,0.000181916149951529,0.000152879847424424,0.00227833755949401,26.4148225905227,61.7746510907798,413.892501401734,10615.9865966398,25.587702664309,1545009.17885356,40.6841246679832,0.0640198243450423,1019,33.438648498312,10351620,0.000227367338245868,0.000191187662550832,59.66331,2.76787576233331e-08,8.0321025136704e-05,0.0199876966189377,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,2
1.28,8,0.818,0.06,1,1.54,0.189,6,2.91,1.46,3.64,3,2.78,0.09,23.9,40,18,57.5827924258425,6.23466986283829,108.652070320367,24.5881017474856,252142626.341151,24388158107.8013,78407431.4128271,10890605695.5728,0.000132059327306909,0.000216016576666246,0.000148844979886535,0.00225933550052227,25.9218145899891,113.74767947245,415.127033584267,4817.27397812311,24.9560337758898,3310378.97118573,40.7794833218863,0.0629492930140842,1717,42.9355178367906,12081370,0.00026457114925844,0.000171441776687947,54.02884,2.54068578700699e-08,8.5862641306805e-05,0.0132669589098227,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,2
1.2,5,2.15,0.06,1,1.72,0.06,10,3.63,1.52,4.38,2,2.32,0.09,17.1,26,20,67.5582303717114,4.18280317107544,117.070811811413,7.37264735166393,193822276.852863,17995871349.7616,68297431.1038116,13689211753.7149,0.000143214017873103,0.000173777200160572,8.88045366164871e-05,0.002357708254435,19.5955927455483,109.331433299887,516.527752006424,172272.720307933,22.9254640230518,2318449.0352258,41.372222565388,0.0689437139380608,-37.6424793784893,31.5977288731487,10953330,0.000192779046016271,0.000151181779110483,62.37648,3.26947303185891e-08,0.000346614967211159,0.045489149217782,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,2
2.24,5,2.26,0.06,1,1.72,0.274,8,3.04,1.66,4.22,2,2.89,0.09,18.8,39,59,83.664743076469,5.58145499968114,116.391937801306,32.8944957220134,72059252.9978526,19632723924.1707,67684376.1050153,4968073325.45766,0.000110177731758015,0.000189402324641355,0.000104533217995814,0.00191756137138548,24.5174595891023,89.9514620217977,463.233960360886,10674.6274393375,23.9659862981399,2057248.06011421,43.464413949805,0.114832096509824,1475,45.8584059920002,10594460,0.000207914965155489,0.000153201313716124,55.35674,3.7990916193155e-08,0.000145799898677171,0.0217283189951083,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,2
0.06,1,1.03,0.06,6,1.48,0.06,7,1.7,1.85,3.84,3,2.11,0.09,13,28,35,7.72546914098605,5.95720889219971,110.703730294362,7.06408242138206,23764203324.8206,5004892785.57765,64319698.2355265,35234497848.1652,0.000138950660533707,0.00021607858418375,9.72746996196531e-05,0.0022185163600486,24.3407348529819,266.70812520214,394.928659023657,6489.38240004733,35.791275152776,6259540.00100312,45.4483861099599,0.0435801178963273,-10.683727959278,29.8434976790067,9268828,0.000213360238113855,9.8124869140741e-05,62.67969,4.59248254984529e-08,0.000147840950108671,0.0172587605569214,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,2
1.86,1,0.818,0.06,3,1.45,0.189,6,2.91,1.59,2.44,6,2.78,0.09,23.9,41,2,36.8334893146615,7.82119136934025,88.8171691584235,26.2102087931639,396037677.364543,9592747604.4001,76486829.1551696,10150439005.1532,3.95040494944765e-05,0.000211576677919662,0.000173621448574485,0.0020748442750348,34.5427544882219,379.612329356348,398.998428636313,166.590990487447,33.3979773766189,9799069.64407171,42.6462403970151,0.0435556957231934,2072,39.2854566660575,10299490,0.000234666907317754,0.000110042836226083,56.24899,2.79428476670961e-08,1.71995452742724e-05,0.00989023583399878,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,2
1.9,14,1.91,1,20,1.99,1,1,0.918,1.91,2.7,12,1.93,2.94,1,1,0,90.6348270294851,75.261694003212,83.223365527902,37.2505959090036,12963246.4914512,23024022.760414,9411006.73049848,931040020.251,2.18895179455352e-05,2.35637417379084e-05,2.1352441379989e-05,5.58927267322487e-05,8.85173289428229,523.53414092965,735.358821807654,18210.3679369072,44.6222823650927,682343.295642768,48.4879160203859,0.222689352225298,-68.19237315,34.6602999958127,958423,1.18485508098186e-05,8.89724488782865e-05,23.54142,5.09133990649405e-07,0.000523076499749155,0.0242379638169075,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,1
0.73,3,1.98,0.06,2,2.12,0.06,6,3.31,0.771,3.88,1,2.6,0.09,12.9,27,59,57.5940760673917,1.06126808170442,109.823942558857,7.06486924430942,489521463.145396,6821925427.02536,95338932.3177308,17632767875.1527,0.000120277020596245,0.000152039841275381,6.19388626575294e-05,0.00170690381759086,2.83811487876965,614.406226382735,583.811474691832,38565212.7994313,26.9765532851365,9965795.15478683,29.4326621290022,0.206916863009068,-150.878454869181,27.0983340829368,9469542,0.000147456412191944,0.000155725126553638,44.70964,5.79888459416029e-08,0.00184280938662194,0.048287585130321,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,2
2,8,1.96,1.9,1,0.484,3.8,1,1.3,2.2,0.2,20,2,22.8,0.1,3,27,66.6373330905866,164.451484249628,12.6596371394978,103.108023308833,3588722.18468257,36385482.6407084,9488066.72120401,34138475.7475018,2.42553097989545e-06,1.52828652338224e-06,2.28777874372214e-06,9.72690356130044e-06,41.9325888169828,447.704761174989,799.056823653096,34.456615681556,57.0953879761362,59679.6752206468,50.6353552372253,0.0643752600815123,-3.3961554,57.3476289226643,106515.4,1.21183098562989e-06,0.000115380007024216,48.28477,5.20932676646069e-06,0.000367691560050105,0.0164937298539508,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,0
2,7,1.86,2.7,1,0.699,0.7,1,0.452,2.47,0.2,20,2,23.6,0.1,7,63,69.2212411294168,205.578343085014,12.7737326271781,44.5064684298766,4079504.94957534,17664515.1648017,9584927.94536879,667984652.632091,2.40505511898683e-06,1.52018839246483e-06,2.31110381416879e-06,1.17652510226329e-05,43.4934123855968,439.092839321698,752.474281140106,29.4731906261844,57.0945176340831,58406.3036864976,53.4224765431181,0.0775681851326005,408,54.6154679288767,100091,1.20923492619512e-06,0.000106722387296258,55.96068,5.44384120918285e-06,0.000351955207821194,0.0151042146305997,"TwoStFixRatio_SMCNR_Pin_2",65,1.2,0.4,10,0
