RESISTOR_0,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,VDS0,VDS10,VDS17,VDS21,VDS23,VDS8,ft0,ft10,ft17,ft21,ft23,ft8,gm0,gm10,gm17,gm21,gm23,gm8,gmid_offset0,gmid_offset10,gmid_offset17,gmid_offset21,gmid_offset23,gmid_offset8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.326,0.79,30,0.983,0.604,30,1,0.06,30,0.983,0.85,5,0.904,0.85,1,0.583,0.85,1,0.864,8,2,5,22,13,0.194011587588779,0.516825500653907,0.115132641137431,0.472991509504171,0.299985220419641,0.11514594511251,593742902.372033,155395974.635841,418362549.889584,1021550004.38215,876952000.55021,418402136.346824,0.000141353228447197,0.000109385937458972,5.81344975451207e-05,4.86250510251965e-05,0.000776456671130475,5.81382423011212e-05,-11,-12,13,-5,-11,-6,97.3356747794161,37.8938789961516,287.989985598286,34.9907832501918,98.9296571313279,316107.651724634,104.748553927966,0.00853182802934942,322.1,146.660110343084,2402389,0.000102986648633544,0.000166942659341326,65.98691,7.27566554193163e-07,2.32619454942351e-07,9.9761459014247e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.978,0.843,30,0.987,0.551,30,1,0.06,30,1,0.85,8,0.982,0.85,1,0.91,0.693,9,0.982,8,2,5.17,20,17,0.169874554326104,0.697595572591265,0.101483833321702,0.292384061960468,0.299954237706656,0.101500268856893,480217819.819894,142840785.902685,341908693.590867,416630712.023136,1017251676.50822,341953303.4433,0.000163748111892161,0.00011046725125307,6.73194976816506e-05,9.74427825171177e-05,0.000816576898036487,6.73254857873475e-05,11,-10,0,-11,10,-15,96.7796513988334,39.9837239449825,298.585044554248,36.2780829133412,102.715822990347,345904.388845141,104.933626631314,0.00877300202775985,317.9,145.964963622935,2583098,0.000106804072565122,0.000160134777294099,77.48567,6.07876877517771e-07,6.57867553813252e-08,2.61620226149617e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.22,0.822,30,0.983,0.604,30,1,0.06,30,0.992,0.85,6,0.923,0.85,1,0.716,0.85,1,0.979,8,2,5,20,21,0.18142198943582,0.525984080233175,0.108041142409848,0.463855117103101,0.299973147820868,0.108055876150026,533953776.191849,146265921.716556,378148897.902744,958590998.637228,877382042.830079,378190812.687377,0.000149653349600117,0.000108551410258912,6.15237967181316e-05,5.0699225705084e-05,0.000777009632243596,6.1528440449059e-05,-13,-3,1,4,-14,14,101.313445402772,39.0892240968562,293.6748686737,35.6814965438546,104.846311246255,326571.895661029,104.812284012896,0.00979172845615986,316.7,146.49371945893,2453514,0.000103142282596716,0.000148127252838627,81.45498,6.25009106111889e-07,1.55250194898982e-07,4.876683020405e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.843,0.85,28,1,0.85,30,1,0.06,30,0.999,0.85,7,1,0.85,1,1,0.685,1,1,8,2,5.88,22,21,0.171681969448806,0.533847840580405,0.102548455855539,0.455982855831048,0.299948528258943,0.102566094175074,489097703.778299,155337670.861405,347948788.524314,1414253728.0795,581913327.489359,347997127.238467,0.000184202889612006,0.000122073417728857,7.57281325849339e-05,6.12637597880416e-05,0.000797151589430149,7.57353014410987e-05,-4,9,-4,-12,-15,12,101.133384820306,39.4781047987599,304.358682875388,36.9795799693596,107.42169523439,388077.831249544,104.890568689468,0.00910399078562147,315.2,147.017485123719,2991908,0.000121360545569164,0.000173958096278825,74.36999,5.03918726838318e-07,4.72471474288749e-08,1.81652957048639e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.766,0.822,30,0.983,0.604,30,1,0.06,30,0.992,0.85,4,0.923,0.85,1,0.716,0.85,1,0.979,8,2,5,21,23,0.181419303771551,0.526166075708241,0.108006546646209,0.463673414191556,0.29999597176999,0.10802209431157,533564848.460392,146122775.492572,377874641.874712,957700446.493864,876495650.956581,377918845.285456,0.000149471835936337,0.000108384368490794,6.14512131079825e-05,5.06381733917887e-05,0.000775870127140838,6.1456107365185e-05,10,-7,-6,2,-1,4,97.2044955809245,38.6044522313294,294.157086075255,35.7400859581435,96.9182697901575,322107.973572189,104.741548966969,0.00999450448255901,310,147.080972269779,2454389,0.000103009922928323,0.000154907350988726,74.31576,6.37810790984862e-07,3.37064336536352e-07,1.41694828932892e-05,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.558,0.788,16,0.961,0.652,30,1,0.04,30,0.996,0.849,8,0.971,0.85,1,0.8,0.85,5,0.819,8,2,5.76,21,45,0.183605584720148,0.637500590309777,0.109164688804712,0.352447997157691,0.299903447185094,0.109179715099073,543846996.869727,235121096.415326,384585716.955074,490976258.109363,846779528.845225,384628868.459939,0.000170840700665887,0.000108397593340059,7.02098352070052e-05,8.53934111686664e-05,0.000846816798093191,7.02151977717212e-05,-5,-6,13,-5,10,-3,83.730368470857,37.8732349294287,220.70500330075,26.8156579010411,101.025263193756,364557.058077994,104.839584337215,0.00857630145564212,300.3,144.959483375179,2124444,0.00011883601781317,0.000162341281383151,72.92572,6.61057011849993e-07,4.27064803786015e-07,2.27744866611035e-05,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1.22,0.841,16,0.929,0.767,30,1,0.04,30,1,0.85,4,0.902,0.85,1,0.726,0.85,1,0.961,8,2,5,23,41,0.180846470577402,0.524942074623666,0.107543608022348,0.464892802439165,0.299959164507435,0.107559299301793,530022400.086658,200452876.839301,375280584.403466,966121340.840564,621703793.079562,375325053.818518,0.000150073518994229,9.46820685905096e-05,6.16826877411134e-05,5.02819815602523e-05,0.000728122163360912,6.168766446073e-05,-15,7,5,-10,-9,-5,101.246463264513,0.0133031495122833,220.487119105746,26.7891849713482,107.545150782371,111,104.711500915611,0.0909090909090909,298.6,145.12371900221,1839720,0.000103010972635093,0.000146403204121724,81.17705,0.0909090909090909,6.70282663195465e-08,1.14903905718e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.305,0.847,28,0.99,0.505,30,1,0.44,30,0.994,0.85,8,0.996,0.85,1,1,0.85,12,1,8,2,7.42,10,6,0.183580327843556,0.682814830225392,0.110283471271787,0.307161265618855,0.299928626397762,0.110300593264758,550757133.932635,176853254.911799,390976239.072376,321237877.180986,1386903193.38286,391025888.365815,0.000217170477118493,0.000146578708358994,8.94276458064475e-05,0.000132564906415391,0.00109292744845681,8.94353700988494e-05,15,-13,5,-2,7,-11,70.6905286424942,40.9014755447299,467.316032508538,56.7788979497873,70.7242298490569,506441.097404987,105.056783883764,0.0101323143464692,387.950000000002,150.765566029689,5786296,0.000152863903904505,0.000226498030239035,55.08401,3.81372331083102e-07,7.93399976639631e-08,2.93231405440464e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
0.305,0.847,28,0.99,0.505,30,1,0.44,30,0.994,0.85,15,0.996,0.85,1,1,0.85,12,1,8,2,7.42,10,11,0.183394063144038,0.682648904164487,0.110334553938165,0.307327120979668,0.299905255006115,0.110350114082265,551144256.306689,177117572.343183,391411863.630295,321732357.391385,1389255897.24883,391457029.299403,0.000217552319554667,0.000146926228693151,8.95948227920176e-05,0.000132876785934913,0.00109555889336217,8.96018570829188e-05,15,-8,-1,8,12,-1,83.0449818924217,40.9652130566691,473.797205452383,57.5663604624646,83.5687860090077,508218.053250863,105.282180068614,0.0106316098019672,382.900000000001,149.734291935856,5877970,0.000153161584806964,0.000231300785878442,53.54073,3.74160274909047e-07,1.41216432847369e-07,1.22528768667918e-05,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
1,0.85,30,0.977,0.749,30,1,0.424,30,1,0.85,8,0.964,0.85,1,0.92,0.85,23,0.986,8,2,10.2,13,3,0.211190225554347,0.700880236113151,0.126026965671274,0.289097915929201,0.299903202197229,0.126043618801396,681693383.124588,199863298.395403,479615710.66911,270733515.20603,925572155.136585,479668560.562736,0.000264442542005294,0.000189419806532697,0.00010905629621431,0.000192627521388198,0.00122157610829782,0.000109064437368175,-1,14,12,-3,9,9,64.4742449222293,37.8509628631614,493.480049355558,59.9578259967003,64.1205762640066,642032.818513985,105.186936926597,0.00891878178373924,364.600000000001,150.314044463884,8370471,0.000209408968575528,0.000207987822648927,75.83219,2.96102649444173e-07,1.0820503073633e-07,3.61912152541111e-06,"Leung_NMCNR_Pin_3",22,0.9,0.3,10,0
