MOSFET_21_1_L_BIASCM_NMOS,MOSFET_21_1_M_BIASCM_NMOS,MOSFET_21_1_W_BIASCM_NMOS,MOSFET_25_1_L_gm1_NMOS,MOSFET_25_1_M_gm1_NMOS,MOSFET_25_1_W_gm1_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,VDS21,VDS25,VDS6,ft21,ft25,ft6,gm21,gm25,gm6,gmid_offset21,gmid_offset25,gmid_offset6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1,7,1.14,0.169,21,0.764,0.611,8,0.3,15,69,1,0.627709324487305,0.134302197714173,0.14200734527235,1724066227.44707,3637905858.76785,3513017073.51516,8.68739177657229e-05,0.000315976165592418,0.000300833153252973,1,-11,-2,40.3881441329434,16.1521753431614,12.2305013163179,3302.23535540584,39.5799373406436,355078275.244376,3.48680885624664,0.00393506537756598,334.000000000001,45.9478996220316,268866900,0.000122129499140571,0.00106623852397665,47.02075,1.409914689234e-08,1.9395359192293e-05,0.902392862464225,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
0.988,11,0.703,0.176,21,0.694,0.67,7,0.3,17,76,3,0.696841842666168,0.119455883880139,0.127711408486662,1660667090.95378,3960669980.18199,3863388269.2949,8.22262080829163e-05,0.000338337028671785,0.000324648127868992,-15,10,-11,35.8139364538784,16.1400376089957,11.3627364029197,3067.93882878831,35.3446505164732,401128514.038354,3.40767193256628,0.00386352428526439,324.600000000001,45.3476121804329,282398200,0.00013807227706926,0.00116331218280292,45.99379,1.2568447637224e-08,2.26350597496916e-05,0.902403749599629,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,6,1.31,0.152,23,0.764,0.569,8,0.3,18,79,2,0.647582505991692,0.130483479603019,0.13836738535837,2062125485.46553,4141755831.72073,4008494502.73657,9.84524127994429e-05,0.000373279369476252,0.000356545573346724,-15,4,-10,39.4210959399527,15.7206726139994,11.3627475309274,3067.94183335039,38.6646882201263,414548530.237774,3.44913670358251,0.00383447340222912,318.400000000001,45.4793676324806,299631600,0.000146498018676311,0.00105847644837429,48.89203,1.21593595857471e-08,1.9585912874524e-05,0.902359321685142,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
0.996,7,1.21,0.18,21,0.505,0.659,9,0.3,22,74,4,0.693128663899626,0.148621502533817,0.15630350276851,1702701670.10211,5673119236.52879,5549730445.96447,0.000106608946588203,0.000390219441310075,0.000376587469906277,9,-15,-2,39.1817850842048,15.5271058321921,10.2086746174288,2756.34214670577,38.4737462404628,498934710.070768,3.48199942561741,0.00390123125116564,317.400000000001,45.3145117527687,328036800,0.000178517460391511,0.0011385461025317,47.77668,1.17334122583593e-08,1.98214118049367e-05,0.902426458270616,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,6,1.24,0.15,9,0.866,0.731,6,0.3,13,89,3,0.691472276315935,0.137215022745574,0.145162052595211,1390955018.27581,5899239932.26396,5741302762.12989,6.37736293697085e-05,0.000248075559359033,0.000238246299654022,-8,15,-15,38.9425059988562,19.7174675864968,13.9425521028752,3764.4890677763,38.2874108049957,374485529.31465,3.15038092934807,0.00407294173222481,308.4,45.9260625462551,264805000,0.000105514318901883,0.00118172574243694,47.90101,1.48547994153571e-08,2.05058528750479e-05,0.902509331576353,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,4,2,0.15,19,0.767,0.562,11,0.3,26,98,5,0.653109348978548,0.156215175231433,0.16354150071798,2135811244.41405,6188531048.06018,6023777083.2022,0.000139031494641833,0.000488196785981801,0.00046991011391107,-8,4,-15,42.5490432874105,14.6318971243762,10.1187298589471,2732.05706191572,41.457286030092,556640770.620867,3.46994956735685,0.00380684260611056,306.200000000001,45.3473306067978,384946500,0.000211349813314336,0.00106253637796623,47.00938,1.004969455502e-08,1.69516219028243e-05,0.902326670075549,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,11,0.703,0.176,21,0.694,0.635,7,0.3,17,79,6,0.685396173733268,0.123703246719712,0.131971460587893,1802192403.47301,3989593919.69183,3885453716.96867,8.45764025040473e-05,0.000339535660689208,0.000325418564884741,15,-15,-11,36.7284246962245,16.1981337890965,11.4778848549244,3099.02891082958,36.1594732219069,402839830.637172,3.41050201583286,0.00388712499570507,305.800000000001,45.327974018299,285449500,0.000138164006312991,0.00115674963573371,48.11831,1.26095695432071e-08,2.18765002344867e-05,0.902427494693536,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,7,1.26,0.155,21,0.966,0.591,8,0.3,18,82,10,0.655274090663433,0.121016432198986,0.129051740231594,1948925788.92278,3738872120.30535,3618377547.05834,9.66379276264629e-05,0.000383561347508743,0.000366124200189799,-13,11,-2,38.1929340404394,14.174315277101,10.8468624251132,2928.65285478058,37.5613218989365,373666582.911096,3.65824138077301,0.00379510505194065,301.600000000001,45.6779594689622,285947500,0.000146456842537637,0.00101913504409955,48.96615,1.23845465790751e-08,2.02788392262276e-05,0.902350218547544,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,6,1.24,0.15,30,0.476,0.591,6,0.3,9,69,23,0.585760787723496,0.126513708530975,0.134462390248921,1662038281.41352,2841949139.20441,2711779019.19355,5.94480553965949e-05,0.00019929661194644,0.000187498313776979,-4,11,-15,38.959286910695,19.6733766077678,14.4566967078686,3903.30811112452,38.2146888598472,260313341.554028,3.26279021697687,0.00462850359184784,295.400000000001,45.4978827868314,191287500,7.35097619330227e-05,0.00110570332959179,46.77178,3.4481559222579e-08,2.27794379238039e-05,0.902594053957059,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
1,7,1.14,0.169,21,0.764,0.611,9,0.3,15,76,9,0.607036838527914,0.141897128957187,0.149339513156189,1643810175.95355,3670586001.99872,3537326775.54325,9.20982178794536e-05,0.000317367308803729,0.000301689439113876,-1,-8,-2,42.0938258321142,15.9736084797588,12.2005719488439,3294.15442618786,41.1165967235374,351373977.973719,3.51299530315655,0.00397216197255331,295.400000000001,46.0768323486861,268377900,0.000122206429303883,0.00106616086848124,46.01319,1.43954182405001e-08,1.85392135427115e-05,0.902403801894524,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
0.991,7,0.948,0.176,28,0.516,0.615,7,0.3,17,100,13,0.677744502384847,0.125537786874008,0.133418819730539,1888459186.18209,3917417133.00185,3818133385.14456,8.58073165171872e-05,0.000336051455703114,0.000322542374120896,-9,15,-1,37.119107257781,17.3071221622504,11.7862074176032,3182.27600275285,36.5528460851225,430292624.46334,3.22654986014473,0.00377376203957369,295,45.2766492510279,293030700,0.000138123170215207,0.00115187476310341,45.46805,1.08120413460271e-08,2.11979053125017e-05,0.90229966943375,"Cascode_CS_Nin_1",22,1.8,1.795,0.01,0
