CURRENT_0_BIAS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_5_2_L_LOAD1_PMOS,MOSFET_5_2_M_LOAD1_PMOS,MOSFET_5_2_W_LOAD1_PMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,gen,index,av0,av17,av5,av8,ft0,ft17,ft5,ft8,gm0,gm17,gm5,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
7.47,4.5,50,5,2,50,5,4,5,4.12,0.5,46,4.91,6,38,383,833,755,288,100000000,100000000,100000000,100000000,0.0343,0.0293,9.2e-05,7.01e-05,107.021076834519,42.4595190180902,37.2967094419602,0.00293104260829525,62.1304240780678,4941246.37837894,113.537042413478,0.0191668868492114,-85.7961522,61.0223555499868,4340422,5.28979398029544e-05,0.000156593407471252,31.46985,1.33256512152573e-07,8.16323709385003e-07,0.000594700992327946,"Cascode_Null_Pin_1",40,2.5,1.2,1,0
10.7,2,50,5,10,1,0.5,2,4,4.47,2,6,4.82,11,54,1000,10,170,1000,100000000,100000000,100000000,100000000,0.0628,6.28318530717959e-07,6.36e-05,8.33e-05,78.6694563479467,41.3724689741695,62.0893841759483,2.9339868300994,60.5591848408302,6878032.95667334,64.9784579687761,0.0507226098127274,100,30.9548051146803,10322150,7.55666435721208e-05,0.000145143580051028,70.54637,4.63971193975529e-08,6.66477166259349e-05,0.00112180787211802,"Cascode_Null_Pin_1",40,2.5,1.2,1,0
8.44,4,1,0.5,2,50,5,2,5,4.44,0.5,42,4.93,4,4,118,800,1000,274,100000000,100000000,100000000,100000000,6.28318530717959e-07,0.00857,7.74e-05,7.97e-05,60.6098459809859,39.291276567843,51.6909368106521,0.0765694574841412,57.1807934305869,5091357.08677397,61.740262390113,0.0183375384814085,-48.2287443,53.9047989072656,6698103,5.88999244467139e-05,0.000172198425431568,37.93638,1.06710198257212e-07,2.64671120042026e-06,0.00103058206204509,"Cascode_Null_Pin_1",40,2.5,1.2,1,0
7.8,2,50,5,10,1,0.5,2,5,4.74,0.5,50,4.98,11,51,1000,229,1000,285,100000000,100000000,100000000,100000000,0.0571,6.28318530717959e-07,6.82e-05,8.48e-05,91.2201079552857,53.6392139853522,100.986204639567,0.0202313328364706,67.8389405465065,6516062.95847448,66.1725018417771,0.0321663423041312,224,45.4538157062704,12267750,5.52179381322664e-05,0.000126071462403358,48.33119,6.67483749006021e-08,9.31102492769509e-06,0.000345981159659114,"Cascode_Null_Pin_1",40,2.5,1.2,1,0
8.14,5.88,4,0.78,5.67,1,0.5,6.45,1,4.54,0.5,34,5.5,16,61,10,434,756,10,100000000,100000000,100000000,100000000,6.28318530717959e-07,6.28318530717959e-07,7.75e-05,8.39e-05,60.3271134803847,49.7999113471218,104.825523643155,0.34424766046224,51.3565903903901,6246443.05703581,20.3021131905031,0.0493437629489602,339,70.9073053193154,13148350,5.70140030744601e-05,0.00010886885748862,46.90651,4.8234997759054e-08,4.44546664602352e-05,0.000873300040580061,"Cascode_Null_Pin_1",40,2.5,1.2,1,0
7.8,2,50,5,10,1,0.5,2,4,4.17,0.5,50,4.98,10,29,1000,229,1000,285,100000000,100000000,100000000,100000000,0.0628,6.28318530717959e-07,4.82e-05,8.48e-05,91.0644739010712,54.2722731972061,101.886068079519,0.0168321466436745,68.3625308065061,6592964.02697518,65.9599878714361,0.0318663386902153,275,45.4982056437788,12377060,5.5217916145763e-05,0.000122866176255359,49.27804,6.65192309656521e-08,8.99538747331508e-06,0.000311385785457974,"Cascode_Null_Pin_1",40,2.5,1.2,1,0
7.8,4.5,50,5,10,1,0.5,2,5,4.74,0.5,50,4.98,10,20,534,229,1000,285,100000000,100000000,100000000,100000000,0.0571,6.28318530717959e-07,6.82e-05,8.48e-05,86.8621359772855,56.1842949144664,101.72645188642,0.0205626789649053,68.2965854592479,6778598.49710468,96.8442047827334,0.0276148028331474,464.5,45.8716260892931,12273230,5.48406123052411e-05,0.000125473297650983,47.97758,6.58103907929201e-08,9.07074055311541e-06,0.000341877117538969,"Cascode_Null_Pin_1",40,2.5,1.2,1,0
7.8,4.5,50,5,10,1,0.5,2,5,4.72,0.5,50,4.98,10,19,534,229,1000,285,100000000,100000000,100000000,100000000,0.0571,6.28318530717959e-07,6.82e-05,8.48e-05,86.8623082307325,56.1902944257077,101.738884980636,0.0205185966161727,68.3033382544267,6779322.30953136,96.8421395880946,0.0276119132212728,470.5,45.8722004199468,12274730,5.48406121055355e-05,0.00012543566433275,47.9893,6.5809184795179e-08,9.06748606457897e-06,0.000341467308967003,"Cascode_Null_Pin_1",40,2.5,1.2,1,0
6.15,3.74,4,0.78,6.03,1,0.5,6.69,1,5.55,0.5,26,5.83,38,55,365,10,288,10,100000000,100000000,100000000,100000000,6.28318530717959e-07,6.28318530717959e-07,8.76e-05,8.36e-06,86.0773648831196,72.0614599237646,113.527626830682,0.000151269422295094,72.6337787326959,6836193.97976352,18.4470702280877,0.031907215489308,415,75.7590092385044,10769930,4.31209817727791e-05,0.000114754489409593,54.14329,6.571551867127e-08,2.02043948810071e-06,4.45591793329925e-05,"Cascode_Null_Pin_1",40,2.5,1.2,1,0
