MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_2_2_L_LOAD2_PMOS,MOSFET_2_2_M_LOAD2_PMOS,MOSFET_2_2_W_LOAD2_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CURRENT_0_BIAS,gen,index,av0,av2,av3,av5,av7,ft0,ft2,ft3,ft5,ft7,gm0,gm2,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.723,1,2.88,0.309,20,1.01,0.437,1,1.63,2.77,2,0.12,0.386,17,6.05,1,42,30,84.0671600208473,18.3813019084443,25.809306205758,87.714914750973,37.8299476106922,216765674.367382,7471703689.66736,578182708.294597,160706907.379032,4599325964.08067,1.99854481637561e-05,0.00322248940290148,1.93130931615194e-05,7.11767335302712e-06,0.0113645076617946,38.3821333978639,0.840838085950311,2.18301790359519,133354.530333621,31.916569772623,20909249.2504975,7.55116944585407,0.0295402514019045,1758,34.1403773684074,54285440,0.00226065026396372,0.000670361347164045,85.16162,1.11277652908819e-08,0.0003168545896179,0.0143164181345129,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.876,1,3.36,0.586,12,2.13,0.304,3,1.57,1.36,1,0.12,0.887,19,5.37,1,50,63,71.9100908013809,33.9157469792176,21.5692719368244,52.2095292068269,47.5305579645059,139925466.59055,1780664480.5228,421241769.299977,550111825.059163,885039733.159949,1.78075192788094e-05,0.00173957972552633,2.17512849560475e-05,6.7779430620816e-06,0.00477894161060199,42.8829203097901,1.26762218250788,4.12471264482979,41124.1590356627,31.4224729922128,18119415.2804686,11.2512385984833,0.0386697779357585,1543,38.3672235340391,58958720,0.00129945625256637,0.00083396145378397,68.80105,1.52721048246049e-08,0.000338190901418576,0.00921152761194743,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.824,4,1.82,0.06,13,1.88,0.986,3,1.37,1.8,1,0.438,1.78,17,2.03,4.27,13,20,67.7573660910793,8.29326476112898,25.6222704054238,65.4902820316021,33.831855902581,223430932.437246,28196689657.0895,190494843.217489,345930379.107737,432092334.308862,6.43132190168949e-05,0.00381301601123721,4.00656659522542e-05,1.80583174229471e-05,0.00174250683270308,15.5280047070061,0.806223978265209,5.10546212788984,16139028.5952557,17.2083367634729,5713677.73531679,8.94656582158763,0.0934462831379651,-82.0167841407992,15.7408312898261,36182210,0.000644269164237505,0.000720431339204005,83.77989,5.8358972035201e-09,0.000326045983720646,0.0453952653972408,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
1.24,1,1.12,0.57,15,2.13,0.304,2,1.57,1.36,1,0.12,0.887,18,5.37,1,48,7,71.4360495754156,41.0508672975221,26.0080113889844,52.3989717595798,47.9255675153754,146521246.457751,1643162487.4092,547371509.35734,539454450.476127,872759442.435042,1.10227467120629e-05,0.00193509563696428,2.01404428800527e-05,6.63306124503486e-06,0.00445465079874437,49.9679162832995,1.32915345028492,4.40494000263897,2143.07137807705,38.831099891112,17899432.8132914,11.2153796190767,0.0310537375840991,2292.5,38.3268677358306,59320410,0.00122425380191871,0.000866717424035103,68.05277,1.0972307557706e-08,0.00010126282451061,0.00339819418461873,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.7,11,1.86,0.1,10,1.83,1.5,2,1.48,2,2,1.1,2.93,20,1.97,11.7,13,13,65.9681028474178,21.8242181364677,36.9015357310016,75.6376326827792,67.4489877230564,278266894.488503,13664691912.6763,177737887.880479,227521979.433311,127628854.262364,0.000186316260167697,0.00179696445117012,4.8888600712987e-05,6.38548628908454e-05,0.000939526367508342,33.7494291149339,1.36055230217165,14.3229850699664,470167.386687531,18.4181124307161,4841033.08948743,12.2924366990438,0.112132319134874,-46.7416740499307,17.0852339796379,50963160,0.000323467107088551,0.0010280882221377,50.79504,8.93898404164945e-09,0.000102241228826805,0.0445368052471466,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.76,7,1.48,0.598,20,1.93,0.826,1,1.48,1.6,1,0.12,1,20,1.9,2.69,21,42,79.3872675511207,36.8334190448971,1.672255412633,58.6953320215365,21.4498806304758,171444372.844136,1889141621.92743,267711883.612853,779142392.516825,1520524362.50507,5.68388616001029e-05,0.00281142168872831,2.00707721628185e-05,1.03766718151589e-05,0.0037662695723262,18.6135954780219,2.97642787332285,3.59604400295865,16134250.8755441,17.9264564843501,51227198.0440538,9.74002874739084,0.0952937132086749,888,21.4630716741512,61891390,0.00156463324569188,0.000850161443809395,64.56742,7.15979458382102e-09,0.00069919522441985,0.0279991404800382,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.862,1,1.12,0.57,14,1.81,0.587,2,1.57,1.54,1,0.12,0.887,18,4.92,1,44,6,74.7510419340447,31.1582873467569,18.5282116175665,65.6505335082158,50.3433430052003,279468564.477803,2212800977.19369,258697340.662045,542273849.856081,1149853042.25056,1.40972193731704e-05,0.00207526600381733,2.06824943507618e-05,6.74258345600888e-06,0.00552393802634648,40.7856768337525,1.44011739087868,4.11996116235074,30430.3885700858,32.9970174494228,20042355.0918601,10.6047970277606,0.03311828871376,2199.5,37.6395211723489,57338190,0.00126519705450296,0.000857203208547476,70.03103,1.27248015505919e-08,0.000245014812843895,0.00890037034236685,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.7,7,1.81,0.175,13,1.83,1.19,2,1.74,1.8,1,0.602,0.4,20,1.96,7.66,15,7,65.7225737106848,16.7609992477079,3.92685801548783,63.1436891814873,11.7607041159327,286900155.389741,16076344046.8703,181823117.037997,446407131.307885,7203590906.14836,0.000120047952793717,0.00506045888852972,4.58060235711857e-05,3.22159211405988e-05,0.00769743364355571,16.8707737116703,4.05793775303919,4.63338700477965,16484622.8598257,18.9318999526416,149674599.574281,6.58218048977692,0.0970844181102138,-12.8399810642928,17.406064431456,170899700,0.0033531272798084,0.000761449248666955,70.73204,1.528988026268e-09,0.000483599777008464,0.021577053550422,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
1.39,1,3.32,0.865,13,2.13,0.563,2,2.08,1.36,1,0.143,1.06,17,5.37,1,48,26,90.0164165080135,41.1124638183894,32.1487468878462,53.7695114335407,52.3497578319877,72553075.7150775,808973337.107247,217914864.829111,501557227.790157,600150020.034628,1.56363712190749e-05,0.00124072488263997,2.01280902073737e-05,7.0844565500641e-06,0.00343901237957281,41.9222870959646,1.78045579123761,5.75164859246443,17339.8032633199,30.2514061281851,18200731.6955172,12.424130553081,0.0360887988412455,1868.5,38.9538785301217,58796300,0.000929319323997147,0.000889757809212724,59.19196,1.2142441617617e-08,0.000173782899196178,0.0090327048640465,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.7,4,0.972,0.0626,20,2.01,0.746,3,1.76,1.6,1,0.649,0.794,20,1.88,5.46,18,56,58.1877069288174,8.91167602546934,27.5967165548818,63.1101687171163,30.623958899581,439393036.366532,27997031472.2457,291785639.58327,391891276.248622,1815384044.00982,6.41836025721323e-05,0.00639407829232801,5.77577216729329e-05,2.62722425156747e-05,0.00354254437249507,20.2736320248475,1.63251753346444,10.3139182209403,2565010.71455563,19.4896227370505,18843729.1688166,6.89663686154346,0.172447190331895,-25.6216233851479,18.0147033396553,119050900,0.00104934020796632,0.00074195903944029,73.47103,3.09424622908653e-09,0.000204098384503296,0.0356947149649902,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.7,4,0.846,0.119,20,2.01,0.761,3,1.76,1.6,1,0.649,1.1,20,1.88,9.33,18,13,52.6623505000516,24.0867894555041,4.86985460240194,60.1234147861985,18.1273993356267,589735470.568009,16103385172.6009,337497822.697037,542964385.147218,1118531818.06638,8.17528367679681e-05,0.00575497588896668,7.70788653146411e-05,3.7519910500969e-05,0.00307471546836286,15.8949380499548,2.85141363018279,10.7232812528647,1859976.81920333,22.400590566154,43000093.6526475,7.96299943488633,0.14256987592074,-0.345734535505204,19.9301546392919,161710000,0.0013709338349194,0.000892846845774474,52.28047,3.27751420842431e-09,0.000231187501027088,0.0168358907782221,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.594,10,1.89,0.176,20,2.06,1.15,2,1.11,1.44,1,0.692,0.726,20,1.99,4.54,21,26,62.0655228635353,37.3342126550708,27.3211202992058,60.3772190761737,35.9938972236505,205171366.395559,8101101395.02944,220477397.962669,445519904.987881,1710057318.09716,8.98516612074081e-05,0.00390226269005901,3.31375897207693e-05,2.84802472674657e-05,0.00314374140863662,38.9527400379994,4.88981593364474,16.7444702643837,15927.4456076724,27.1440048564781,45697936.3402091,7.85638339186677,0.05892789072677,1799,24.9777992000978,156486000,0.000849593912221838,0.00109453109403265,51.31332,3.37403547410867e-09,4.1209141703539e-05,0.0145058444298654,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
0.683,5,1.79,0.06,5,1.86,1.1,3,1.41,1.43,2,1.44,0.643,20,1.94,7.41,13,16,64.3343030734515,7.9553509189179,59.626758891219,65.831662208313,44.7804164108271,350555742.775376,35144616105.52,210262851.117145,248386008.444552,1419668036.2353,0.000105954811461189,0.00187964842801703,5.47946718763894e-05,5.97312019701323e-05,0.00212218982679305,31.6442906476765,4.54042130900168,41.2412355079447,330039.863381031,17.6572266719223,18475350.0268445,7.05124457099596,0.111342775335893,-54.9178701816335,15.674513642175,167814000,0.000369916613649445,0.000815165717234197,54.27943,2.93158144478855e-09,9.59301102973151e-05,0.0453481589169156,"PseudoTwoSt_Null_Pin_1",65,1.2,0.4,0.1,0
